order_id,payment_sequential,payment_type,payment_installments,payment_value
ORD0000609,1,credit_card,12,34.97
ORD0000015,1,credit_card,1,210.19
ORD0000273,1,credit_card,6,150.08
ORD0000943,1,credit_card,2,190.39
ORD0000645,2,credit_card,1,62.39
ORD0000376,1,debit_card,10,1016.21
ORD0000494,1,credit_card,1,139.32
ORD0000565,1,credit_card,3,58.92
ORD0000268,1,boleto,6,28.58
ORD0000889,1,credit_card,12,17.19
ORD0000578,1,voucher,10,13.73
ORD0000427,1,credit_card,2,116.73
ORD0000596,1,credit_card,1,73.46
ORD0000507,1,credit_card,12,29.11
ORD0000867,2,credit_card,6,778.48
ORD0000946,1,credit_card,12,74.23
ORD0000670,1,credit_card,10,54.34
ORD0000479,1,boleto,10,76.5
ORD0000634,1,credit_card,1,332.36
ORD0000769,1,credit_card,2,120.91
ORD0000020,1,credit_card,2,5.67
ORD0000218,1,boleto,3,48.54
ORD0000311,1,boleto,1,43.46
ORD0000731,1,boleto,2,118.66
ORD0000209,2,credit_card,6,85.8
ORD0000956,1,credit_card,1,219.15
ORD0000199,1,credit_card,1,19.14
ORD0000902,1,credit_card,6,322.42
ORD0000947,1,boleto,6,27.54
ORD0000596,1,boleto,10,113.24
ORD0000614,1,credit_card,2,129.37
ORD0000728,1,credit_card,1,31.37
ORD0000637,1,credit_card,12,124.73
ORD0000082,1,boleto,3,114.25
ORD0000088,1,credit_card,1,172.01
ORD0000559,1,credit_card,2,149.98
ORD0000370,1,boleto,1,64.88
ORD0000191,2,credit_card,12,34.3
ORD0000044,2,credit_card,12,99.41
ORD0000372,1,credit_card,2,71.28
ORD0000436,1,boleto,3,148.3
ORD0000088,1,voucher,2,81.67
ORD0000548,1,boleto,6,42.37
ORD0000017,1,credit_card,1,349.96
ORD0000491,1,credit_card,1,43.94
ORD0000084,2,credit_card,10,74.31
ORD0000725,1,credit_card,1,156.4
ORD0000636,1,credit_card,1,17.81
ORD0000711,1,credit_card,2,55.48
ORD0000965,1,credit_card,12,71.97
ORD0000128,1,credit_card,2,151.18
ORD0000844,2,credit_card,10,569.54
ORD0000770,1,credit_card,12,175.75
ORD0000850,1,credit_card,1,315.79
ORD0000327,1,credit_card,2,110.32
ORD0000598,1,voucher,1,298.83
ORD0000955,1,credit_card,1,12.55
ORD0000215,1,credit_card,1,424.25
ORD0000391,1,boleto,1,141.5
ORD0000722,1,credit_card,6,201.09
ORD0000446,1,credit_card,1,56.07
ORD0000560,1,voucher,1,46.01
ORD0000830,1,boleto,1,298.7
ORD0000650,1,credit_card,1,94.71
ORD0000348,1,boleto,2,71.87
ORD0000868,1,boleto,1,98.15
ORD0000742,1,credit_card,12,63.8
ORD0000558,1,credit_card,1,81.13
ORD0000630,1,credit_card,2,27.32
ORD0000303,1,boleto,1,93.41
ORD0000901,1,credit_card,1,44.53
ORD0000479,2,credit_card,1,368.43
ORD0000660,1,credit_card,1,352.44
ORD0000963,1,credit_card,1,174.86
ORD0000017,1,credit_card,1,316.91
ORD0000715,1,credit_card,1,120.41
ORD0000705,1,boleto,12,50.92
ORD0000419,1,credit_card,10,267.61
ORD0000130,2,boleto,6,627.42
ORD0000316,1,credit_card,10,18.6
ORD0000270,1,boleto,6,54.65
ORD0000335,1,boleto,2,33.27
ORD0000212,1,credit_card,2,90.17
ORD0000615,1,boleto,2,68.38
ORD0000057,1,credit_card,1,56.51
ORD0000885,1,credit_card,1,66.58
ORD0000313,1,credit_card,1,141.78
ORD0000564,1,credit_card,1,103.37
ORD0000209,1,voucher,3,174.11
ORD0000567,1,credit_card,12,89.97
ORD0000005,1,credit_card,3,99.03
ORD0000985,1,credit_card,1,99.55
ORD0000196,1,credit_card,1,159.19
ORD0000202,1,credit_card,3,56.66
ORD0000150,1,voucher,6,37.7
ORD0000144,1,credit_card,1,25.99
ORD0000023,1,credit_card,3,55.45
ORD0000498,1,credit_card,6,73.55
ORD0000149,2,credit_card,2,46.27
ORD0000507,1,boleto,12,84.76
ORD0000808,1,boleto,6,81.56
ORD0000663,1,debit_card,1,18.82
ORD0000519,1,credit_card,2,253.38
ORD0000777,1,credit_card,12,49.69
ORD0000551,1,credit_card,1,11.04
ORD0000226,1,debit_card,2,186.83
ORD0000183,1,credit_card,12,94.18
ORD0000070,1,credit_card,2,39.93
ORD0000262,1,credit_card,1,139.19
ORD0000673,2,boleto,2,66.9
ORD0000182,1,credit_card,1,419.11
ORD0000952,1,credit_card,10,54.38
ORD0000094,1,credit_card,1,49.73
ORD0000374,2,credit_card,6,44.01
ORD0000370,1,credit_card,1,238.77
ORD0000931,1,credit_card,1,92.51
ORD0000376,1,credit_card,2,10.63
ORD0000620,1,credit_card,3,19.4
ORD0000893,1,credit_card,3,205.9
ORD0000511,1,credit_card,10,85.95
ORD0000679,1,credit_card,1,158.15
ORD0000978,1,debit_card,1,77.36
ORD0000353,1,voucher,1,86.92
ORD0000204,1,credit_card,2,29.19
ORD0000830,1,credit_card,1,50.59
ORD0000135,1,credit_card,6,23.37
ORD0000244,1,credit_card,1,340.07
ORD0000952,1,credit_card,2,42.35
ORD0000502,1,credit_card,1,45.85
ORD0000484,1,credit_card,3,36.63
ORD0000916,1,credit_card,6,47.86
ORD0000530,1,credit_card,10,13.3
ORD0000778,1,credit_card,3,223.24
ORD0000425,1,credit_card,10,18.69
ORD0000091,1,credit_card,1,136.45
ORD0000826,1,boleto,6,312.49
ORD0000121,1,credit_card,6,51.97
ORD0000993,1,credit_card,10,89.74
ORD0000401,1,credit_card,2,38.16
ORD0000179,1,credit_card,2,503.34
ORD0000942,1,credit_card,6,63.61
ORD0000530,1,credit_card,1,104.64
ORD0000000,1,credit_card,1,237.17
ORD0000728,1,credit_card,1,100.63
ORD0000669,1,credit_card,1,69.95
ORD0000582,1,credit_card,1,279.27
ORD0000345,1,credit_card,1,53.74
ORD0000115,1,credit_card,1,98.87
ORD0000799,1,credit_card,3,62.87
ORD0000559,1,voucher,1,156.53
ORD0000059,1,credit_card,2,200.48
ORD0000551,1,credit_card,1,13.39
ORD0000726,1,credit_card,12,204.35
ORD0000973,1,credit_card,10,90.06
ORD0000954,1,credit_card,2,87.45
ORD0000740,1,credit_card,1,29.54
ORD0000228,2,credit_card,2,110.46
ORD0000616,1,credit_card,1,28.97
ORD0000432,1,credit_card,1,1173.13
ORD0000353,1,credit_card,6,172.98
ORD0000708,1,credit_card,3,53.83
ORD0000951,1,credit_card,12,74.35
ORD0000712,1,boleto,6,23.5
ORD0000188,1,credit_card,1,118.78
ORD0000250,1,boleto,2,154.73
ORD0000236,1,boleto,10,49.87
ORD0000989,1,credit_card,1,49.39
ORD0000990,1,credit_card,2,135.47
ORD0000402,1,voucher,10,15.63
ORD0000904,1,credit_card,2,133.08
ORD0000023,2,credit_card,1,183.05
ORD0000428,1,credit_card,1,23.72
ORD0000195,1,credit_card,1,85.14
ORD0000299,1,boleto,1,47.7
ORD0000069,1,voucher,3,68.13
ORD0000244,2,credit_card,3,102.63
ORD0000683,1,credit_card,1,70.71
ORD0000365,1,debit_card,2,25.42
ORD0000677,1,credit_card,1,133.25
ORD0000084,1,debit_card,1,322.45
ORD0000329,1,credit_card,6,57.87
ORD0000498,1,credit_card,2,98.02
ORD0000581,1,credit_card,1,67.36
ORD0000988,1,credit_card,2,63.87
ORD0000451,1,boleto,6,97.49
ORD0000048,2,credit_card,1,121.96
ORD0000148,1,credit_card,10,124.6
ORD0000581,2,credit_card,1,26.86
ORD0000124,1,boleto,1,274.19
ORD0000852,1,credit_card,2,94.98
ORD0000744,1,debit_card,6,133.29
ORD0000273,1,credit_card,1,57.17
ORD0000487,1,credit_card,1,279.65
ORD0000805,1,credit_card,1,35.11
ORD0000264,1,credit_card,2,38.65
ORD0000680,1,debit_card,3,475.68
ORD0000095,1,boleto,3,40.02
ORD0000913,1,credit_card,10,191.29
ORD0000160,1,credit_card,2,97.52
ORD0000197,1,credit_card,2,185.67
ORD0000502,1,credit_card,1,112.33
ORD0000389,1,boleto,2,44.56
ORD0000749,1,boleto,6,34.59
ORD0000073,1,credit_card,3,89.82
ORD0000022,2,credit_card,3,76.33
ORD0000762,1,voucher,3,34.55
ORD0000936,1,credit_card,6,169.83
ORD0000387,2,credit_card,2,90.56
ORD0000885,1,credit_card,2,203.88
ORD0000783,2,credit_card,3,59.08
ORD0000101,1,boleto,3,59.44
ORD0000015,1,voucher,1,288.59
ORD0000762,1,boleto,2,28.21
ORD0000061,1,credit_card,3,218.64
ORD0000458,1,credit_card,6,162.59
ORD0000163,1,voucher,1,219.09
ORD0000269,1,boleto,2,27.17
ORD0000412,1,credit_card,10,536.42
ORD0000016,1,credit_card,6,77.27
ORD0000029,2,boleto,3,37.2
ORD0000885,1,credit_card,12,30.41
ORD0000983,1,boleto,12,264.46
ORD0000643,2,credit_card,1,193.54
ORD0000777,2,boleto,10,93.13
ORD0000037,1,credit_card,2,89.93
ORD0000698,1,credit_card,2,101.28
ORD0000426,1,credit_card,1,40.27
ORD0000367,1,credit_card,3,71.84
ORD0000567,2,credit_card,1,349.49
ORD0000925,1,boleto,1,39.66
ORD0000546,1,credit_card,10,72.68
ORD0000709,1,voucher,1,78.99
ORD0000240,1,credit_card,6,61.07
ORD0000777,1,boleto,1,57.93
ORD0000285,1,credit_card,1,22.52
ORD0000148,1,credit_card,12,677.04
ORD0000495,1,credit_card,1,186.2
ORD0000305,1,credit_card,1,207.64
ORD0000694,1,credit_card,2,801.49
ORD0000558,1,voucher,3,60.2
ORD0000808,1,boleto,1,35.83
ORD0000262,1,credit_card,2,212.31
ORD0000784,1,credit_card,6,12.65
ORD0000741,1,credit_card,1,62.76
ORD0000945,1,credit_card,1,185.81
ORD0000685,1,credit_card,2,66.76
ORD0000403,1,credit_card,1,45.01
ORD0000825,1,credit_card,6,387.3
ORD0000775,1,credit_card,1,82.45
ORD0000706,1,credit_card,3,118.24
ORD0000338,1,credit_card,2,73.35
ORD0000660,1,boleto,1,453.75
ORD0000334,1,boleto,3,75.24
ORD0000845,1,credit_card,6,51.74
ORD0000727,2,credit_card,10,80.13
ORD0000171,1,credit_card,6,112.48
ORD0000660,1,credit_card,1,296.85
ORD0000168,1,boleto,1,157.71
ORD0000537,1,boleto,3,36.97
ORD0000452,1,credit_card,1,757.63
ORD0000948,1,credit_card,6,123.87
ORD0000061,1,credit_card,1,37.06
ORD0000853,1,credit_card,1,56.94
ORD0000156,1,boleto,6,25.22
ORD0000988,2,credit_card,12,70.98
ORD0000014,1,credit_card,12,59.65
ORD0000993,1,credit_card,3,561.8
ORD0000919,2,credit_card,1,73.34
ORD0000850,1,boleto,6,37.07
ORD0000985,1,credit_card,1,16.75
ORD0000579,1,boleto,3,110.49
ORD0000107,1,credit_card,3,50.92
ORD0000592,1,boleto,1,276.33
ORD0000950,1,boleto,1,28.51
ORD0000188,1,credit_card,6,72.44
ORD0000420,1,credit_card,2,93.73
ORD0000907,1,credit_card,1,38.05
ORD0000365,2,credit_card,12,151.81
ORD0000909,2,credit_card,6,172.01
ORD0000724,1,credit_card,12,150.35
ORD0000518,1,credit_card,12,784.98
ORD0000589,1,credit_card,6,72.08
ORD0000642,2,credit_card,1,139.66
ORD0000024,1,boleto,10,177.19
ORD0000006,1,credit_card,1,44.17
ORD0000187,1,credit_card,12,6.27
ORD0000488,2,credit_card,2,76.81
ORD0000924,1,credit_card,1,20.69
ORD0000813,1,credit_card,3,51.05
ORD0000409,1,credit_card,1,130.43
ORD0000664,1,credit_card,6,102.2
ORD0000124,1,credit_card,12,72.97
ORD0000697,1,debit_card,2,226.78
ORD0000434,1,credit_card,3,137.61
ORD0000334,1,boleto,10,50.5
ORD0000279,1,credit_card,2,42.24
ORD0000816,1,credit_card,6,147.29
ORD0000815,1,credit_card,2,57.03
ORD0000182,1,credit_card,3,146.0
ORD0000822,2,credit_card,1,277.1
ORD0000016,1,credit_card,1,47.21
ORD0000217,2,credit_card,6,87.92
ORD0000470,1,credit_card,1,104.28
ORD0000325,1,boleto,2,72.16
ORD0000253,1,credit_card,1,37.51
ORD0000857,1,credit_card,1,24.27
ORD0000541,1,credit_card,1,80.4
ORD0000852,1,credit_card,3,138.72
ORD0000630,1,boleto,6,158.0
ORD0000795,1,credit_card,2,99.11
ORD0000832,1,credit_card,1,344.15
ORD0000485,1,boleto,1,109.21
ORD0000699,1,credit_card,1,143.79
ORD0000195,1,credit_card,6,63.24
ORD0000515,1,credit_card,6,255.1
ORD0000997,1,boleto,6,63.79
ORD0000636,1,boleto,6,160.3
ORD0000075,1,credit_card,1,10.18
ORD0000036,1,boleto,3,63.61
ORD0000423,1,credit_card,2,195.8
ORD0000175,1,boleto,10,272.02
ORD0000370,1,credit_card,2,61.98
ORD0000074,1,credit_card,1,47.19
ORD0000011,1,boleto,12,33.01
ORD0000499,1,credit_card,1,152.41
ORD0000389,1,credit_card,3,107.88
ORD0000770,1,credit_card,1,22.1
ORD0000033,1,boleto,6,136.54
ORD0000819,1,voucher,10,51.47
ORD0000373,1,credit_card,3,71.44
ORD0000118,1,voucher,2,277.41
ORD0000810,1,boleto,2,39.46
ORD0000976,1,credit_card,3,31.84
ORD0000064,1,debit_card,1,59.72
ORD0000519,1,credit_card,2,96.61
ORD0000732,1,credit_card,6,118.87
ORD0000809,1,boleto,1,440.2
ORD0000701,1,credit_card,2,59.17
ORD0000284,1,credit_card,3,182.71
ORD0000927,1,credit_card,3,52.8
ORD0000077,1,credit_card,10,48.56
ORD0000440,1,credit_card,1,36.59
ORD0000131,1,credit_card,12,546.79
ORD0000586,1,boleto,6,39.12
ORD0000904,1,credit_card,3,17.84
ORD0000458,1,boleto,10,17.14
ORD0000726,1,boleto,6,836.56
ORD0000616,1,boleto,1,171.88
ORD0000589,1,credit_card,3,43.27
ORD0000554,1,credit_card,1,215.18
ORD0000384,1,voucher,1,519.35
ORD0000355,1,boleto,12,48.96
ORD0000269,1,credit_card,12,95.56
ORD0000520,1,boleto,1,82.18
ORD0000999,1,credit_card,1,25.61
ORD0000572,1,boleto,1,11.56
ORD0000262,1,credit_card,12,107.17
ORD0000769,1,credit_card,1,28.53
ORD0000065,1,boleto,12,234.69
ORD0000288,1,credit_card,1,72.66
ORD0000285,1,credit_card,2,50.43
ORD0000350,1,credit_card,1,129.58
ORD0000509,1,boleto,1,112.57
ORD0000416,1,credit_card,6,56.99
ORD0000855,1,credit_card,6,168.89
ORD0000034,1,credit_card,6,46.41
ORD0000013,1,credit_card,2,51.42
ORD0000469,1,credit_card,10,133.88
ORD0000387,1,credit_card,12,59.24
ORD0000498,1,boleto,1,54.57
ORD0000472,1,credit_card,1,246.72
ORD0000388,1,credit_card,1,21.73
ORD0000967,1,credit_card,10,73.86
ORD0000447,1,credit_card,1,71.88
ORD0000545,1,credit_card,6,72.96
ORD0000411,1,credit_card,1,14.18
ORD0000356,1,credit_card,1,149.72
ORD0000645,1,credit_card,1,93.29
ORD0000542,1,voucher,2,198.56
ORD0000110,1,boleto,3,160.99
ORD0000147,1,credit_card,2,43.11
ORD0000490,1,credit_card,10,145.12
ORD0000937,1,boleto,2,28.21
ORD0000489,1,credit_card,2,338.62
ORD0000127,1,credit_card,12,260.24
ORD0000735,1,credit_card,1,398.08
ORD0000088,1,boleto,3,156.94
ORD0000122,1,credit_card,1,214.7
ORD0000022,2,debit_card,6,48.86
ORD0000199,1,credit_card,1,92.17
ORD0000791,1,credit_card,6,15.37
ORD0000793,1,credit_card,1,82.9
ORD0000079,1,boleto,2,8.71
ORD0000772,1,boleto,6,41.4
ORD0000071,1,credit_card,1,282.45
ORD0000236,1,credit_card,1,112.37
ORD0000650,2,credit_card,1,34.56
ORD0000581,1,credit_card,1,55.96
ORD0000239,1,voucher,1,247.05
ORD0000330,1,credit_card,1,77.9
ORD0000429,2,credit_card,2,107.06
ORD0000360,1,credit_card,6,210.78
ORD0000667,1,boleto,1,14.46
ORD0000498,1,credit_card,1,97.54
ORD0000082,1,credit_card,1,181.55
ORD0000016,2,credit_card,1,58.85
ORD0000137,1,debit_card,2,51.81
ORD0000494,1,boleto,12,17.96
ORD0000677,1,credit_card,10,97.7
ORD0000595,2,credit_card,2,86.18
ORD0000198,1,credit_card,1,16.75
ORD0000851,1,credit_card,1,47.19
ORD0000770,1,credit_card,1,138.63
ORD0000224,2,credit_card,12,128.64
ORD0000185,1,credit_card,1,49.39
ORD0000675,1,boleto,1,270.73
ORD0000328,2,credit_card,6,89.6
ORD0000744,2,credit_card,1,86.97
ORD0000513,1,boleto,6,201.18
ORD0000595,1,credit_card,1,149.36
ORD0000619,1,credit_card,1,36.56
ORD0000585,1,credit_card,1,111.64
ORD0000338,1,voucher,1,12.88
ORD0000957,1,credit_card,12,107.33
ORD0000447,1,boleto,1,32.17
ORD0000002,1,boleto,3,12.1
ORD0000665,1,credit_card,1,110.69
ORD0000339,1,credit_card,12,134.26
ORD0000365,1,credit_card,10,65.41
ORD0000057,1,credit_card,6,329.55
ORD0000133,1,credit_card,2,78.14
ORD0000283,1,credit_card,1,510.41
ORD0000782,2,credit_card,1,62.65
ORD0000538,1,credit_card,12,189.32
ORD0000809,1,credit_card,1,36.9
ORD0000658,1,credit_card,1,16.54
ORD0000175,1,credit_card,1,194.81
ORD0000385,1,boleto,1,34.97
ORD0000706,1,credit_card,1,88.25
ORD0000821,1,boleto,2,138.52
ORD0000131,1,credit_card,12,86.29
ORD0000325,1,credit_card,12,266.38
ORD0000717,1,boleto,6,92.7
ORD0000282,1,credit_card,1,96.33
ORD0000279,1,credit_card,1,87.21
ORD0000101,1,credit_card,3,262.52
ORD0000133,2,credit_card,3,55.65
ORD0000624,1,boleto,6,12.23
ORD0000560,1,credit_card,2,76.96
ORD0000880,1,credit_card,3,129.62
ORD0000971,1,credit_card,3,189.88
ORD0000664,1,credit_card,3,138.36
ORD0000683,1,credit_card,12,40.53
ORD0000699,1,credit_card,1,95.72
ORD0000135,1,voucher,3,276.24
ORD0000204,1,credit_card,1,65.36
ORD0000438,2,boleto,1,23.67
ORD0000455,1,credit_card,1,36.39
ORD0000247,1,credit_card,10,35.36
ORD0000340,1,credit_card,1,331.71
ORD0000188,1,credit_card,10,5.95
ORD0000209,1,boleto,6,148.2
ORD0000644,1,credit_card,6,35.59
ORD0000920,1,credit_card,3,115.74
ORD0000498,1,credit_card,10,49.57
ORD0000621,1,boleto,12,35.75
ORD0000916,1,credit_card,10,311.8
ORD0000112,1,credit_card,2,60.0
ORD0000710,1,boleto,3,22.2
ORD0000328,1,credit_card,2,353.82
ORD0000298,1,voucher,6,119.04
ORD0000083,1,credit_card,1,32.28
ORD0000533,1,credit_card,1,101.15
ORD0000199,1,credit_card,10,132.79
ORD0000022,1,credit_card,1,92.52
ORD0000033,1,credit_card,1,163.96
ORD0000680,1,credit_card,3,82.15
ORD0000160,1,voucher,3,50.85
ORD0000947,1,credit_card,1,9.64
ORD0000215,1,voucher,2,55.02
ORD0000206,1,debit_card,3,484.7
ORD0000059,1,credit_card,3,248.53
ORD0000825,1,credit_card,10,164.83
ORD0000129,1,credit_card,12,68.72
ORD0000316,2,boleto,12,126.77
ORD0000457,1,boleto,1,99.57
ORD0000663,1,credit_card,2,157.81
ORD0000827,2,credit_card,3,28.59
ORD0000891,1,credit_card,2,16.61
ORD0000989,1,credit_card,1,88.06
ORD0000626,1,credit_card,10,63.56
ORD0000734,1,boleto,3,46.6
ORD0000048,1,credit_card,6,112.33
ORD0000500,1,voucher,2,9.22
ORD0000632,1,voucher,1,44.38
ORD0000527,1,credit_card,1,59.25
ORD0000080,2,credit_card,3,77.67
ORD0000313,1,credit_card,3,56.82
ORD0000225,1,credit_card,1,319.77
ORD0000564,1,voucher,1,72.13
ORD0000103,1,credit_card,2,25.66
ORD0000189,1,credit_card,3,103.04
ORD0000104,1,credit_card,1,118.84
ORD0000908,1,credit_card,3,88.95
ORD0000937,1,credit_card,10,94.54
ORD0000564,1,credit_card,1,159.91
ORD0000341,1,credit_card,10,57.73
ORD0000339,1,credit_card,1,168.64
ORD0000864,1,credit_card,3,495.13
ORD0000617,2,boleto,1,53.92
ORD0000301,1,credit_card,3,88.15
ORD0000685,2,credit_card,1,274.47
ORD0000024,1,credit_card,2,110.91
ORD0000985,1,credit_card,1,223.95
ORD0000278,1,credit_card,2,16.38
ORD0000107,1,credit_card,12,62.73
ORD0000273,1,credit_card,1,52.98
ORD0000689,1,credit_card,12,334.11
ORD0000160,1,credit_card,10,96.54
ORD0000608,1,voucher,6,23.46
ORD0000745,1,boleto,1,52.38
ORD0000149,1,debit_card,12,212.62
ORD0000684,1,credit_card,10,27.33
ORD0000343,1,credit_card,1,57.0
ORD0000797,1,credit_card,6,356.5
ORD0000422,1,credit_card,3,69.76
ORD0000020,1,credit_card,1,13.84
ORD0000734,1,boleto,1,87.06
ORD0000057,1,credit_card,1,139.44
ORD0000624,1,boleto,12,67.2
ORD0000997,1,credit_card,1,92.54
ORD0000788,1,credit_card,1,30.82
ORD0000883,1,credit_card,3,198.49
ORD0000966,1,credit_card,10,204.63
ORD0000025,1,credit_card,1,533.23
ORD0000022,1,credit_card,1,62.1
ORD0000883,1,credit_card,12,6.25
ORD0000889,1,credit_card,10,14.94
ORD0000658,1,credit_card,3,33.06
ORD0000611,1,credit_card,1,54.73
ORD0000184,1,credit_card,3,73.33
ORD0000433,1,boleto,12,93.11
ORD0000257,1,credit_card,1,119.16
ORD0000565,1,credit_card,3,297.29
ORD0000859,1,boleto,10,27.0
ORD0000383,1,boleto,1,245.0
ORD0000365,1,credit_card,6,29.36
ORD0000781,1,boleto,3,199.26
ORD0000121,1,boleto,6,52.26
ORD0000988,1,boleto,1,86.32
ORD0000116,1,voucher,1,398.24
ORD0000631,1,credit_card,12,92.34
ORD0000422,1,credit_card,10,139.92
ORD0000071,2,credit_card,3,74.4
ORD0000299,1,credit_card,1,28.01
ORD0000095,1,credit_card,3,772.88
ORD0000407,1,credit_card,12,28.63
