order_id,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value
ORD0000546,3,PROD00142,SELL00088,2018-07-06,31.03,9.9
ORD0000932,2,PROD00031,SELL00025,2017-11-03,23.43,6.96
ORD0000743,3,PROD00122,SELL00001,2017-08-28,35.5,19.66
ORD0000225,1,PROD00058,SELL00070,2017-11-15,28.2,16.76
ORD0000732,1,PROD00038,SELL00041,2017-12-31,40.86,7.93
ORD0000912,3,PROD00079,SELL00068,2017-03-27,121.04,14.76
ORD0000521,3,PROD00096,SELL00085,2017-07-14,229.94,17.1
ORD0000721,1,PROD00003,SELL00024,2017-04-04,73.62,13.31
ORD0000134,2,PROD00132,SELL00093,2017-08-07,27.68,11.19
ORD0000847,1,PROD00039,SELL00087,2017-10-19,10.48,9.77
ORD0000686,3,PROD00154,SELL00027,2018-07-28,222.5,14.38
ORD0000765,2,PROD00010,SELL00096,2017-11-20,6.37,19.33
ORD0000590,3,PROD00090,SELL00002,2017-12-08,3.47,13.07
ORD0000345,3,PROD00007,SELL00085,2017-04-21,53.7,23.37
ORD0000452,2,PROD00087,SELL00092,2018-02-21,13.8,7.99
ORD0000127,2,PROD00131,SELL00068,2018-08-26,34.04,8.59
ORD0000965,2,PROD00157,SELL00055,2017-11-24,24.86,27.49
ORD0000723,2,PROD00086,SELL00048,2017-07-29,75.23,6.81
ORD0000839,1,PROD00185,SELL00077,2017-12-21,16.16,11.34
ORD0000846,3,PROD00009,SELL00029,2018-06-22,95.08,16.66
ORD0000947,2,PROD00173,SELL00030,2018-02-04,53.13,18.78
ORD0000311,2,PROD00198,SELL00009,2018-08-11,366.97,11.56
ORD0000875,1,PROD00141,SELL00085,2017-01-12,139.38,11.49
ORD0000722,1,PROD00088,SELL00094,2018-06-05,18.12,10.36
ORD0000827,1,PROD00020,SELL00001,2017-09-20,21.35,13.7
ORD0000763,1,PROD00174,SELL00080,2018-03-11,28.15,12.83
ORD0000388,1,PROD00191,SELL00028,2017-05-14,144.01,17.48
ORD0000184,2,PROD00194,SELL00090,2017-04-01,23.54,3.23
ORD0000107,2,PROD00061,SELL00094,2017-12-08,188.96,31.89
ORD0000565,1,PROD00027,SELL00008,2017-10-25,49.31,15.51
ORD0000645,2,PROD00004,SELL00053,2017-04-10,77.94,9.04
ORD0000528,3,PROD00120,SELL00008,2017-01-30,62.23,14.86
ORD0000852,1,PROD00029,SELL00007,2018-09-05,15.26,6.76
ORD0000272,1,PROD00010,SELL00014,2018-07-10,22.94,16.91
ORD0000789,1,PROD00184,SELL00013,2017-01-15,81.58,9.46
ORD0000948,1,PROD00113,SELL00069,2018-04-24,35.23,5.83
ORD0000161,1,PROD00015,SELL00088,2018-01-11,90.96,7.58
ORD0000456,2,PROD00106,SELL00023,2017-04-04,16.1,6.27
ORD0000178,2,PROD00190,SELL00018,2017-11-29,36.42,24.29
ORD0000527,3,PROD00102,SELL00001,2018-01-06,26.79,18.54
ORD0000715,1,PROD00014,SELL00030,2017-01-27,35.49,6.23
ORD0000780,3,PROD00078,SELL00030,2018-01-16,13.45,7.52
ORD0000923,1,PROD00140,SELL00047,2017-03-26,161.72,9.55
ORD0000503,2,PROD00022,SELL00069,2018-05-11,80.1,41.11
ORD0000441,2,PROD00005,SELL00056,2018-08-10,130.76,24.35
ORD0000676,3,PROD00095,SELL00053,2017-04-03,55.18,23.48
ORD0000369,2,PROD00167,SELL00072,2017-06-25,33.6,28.57
ORD0000409,3,PROD00197,SELL00061,2018-03-12,18.37,12.73
ORD0000209,1,PROD00040,SELL00056,2017-12-26,29.82,21.02
ORD0000342,1,PROD00058,SELL00006,2017-12-07,55.49,5.54
ORD0000770,2,PROD00116,SELL00065,2017-03-19,19.45,4.76
ORD0000091,3,PROD00075,SELL00039,2017-09-05,99.42,9.17
ORD0000945,2,PROD00111,SELL00071,2018-01-02,87.23,5.14
ORD0000989,1,PROD00090,SELL00009,2018-06-14,27.96,32.26
ORD0000063,1,PROD00133,SELL00094,2017-03-06,88.84,8.11
ORD0000138,1,PROD00153,SELL00016,2018-04-20,8.42,12.86
ORD0000469,2,PROD00147,SELL00084,2017-07-11,57.76,9.48
ORD0000789,1,PROD00117,SELL00028,2018-04-14,181.88,13.48
ORD0000535,2,PROD00031,SELL00064,2018-06-22,36.79,9.01
ORD0000712,1,PROD00188,SELL00046,2017-07-28,64.71,12.11
ORD0000744,2,PROD00186,SELL00031,2018-04-05,18.58,23.66
ORD0000718,2,PROD00077,SELL00071,2017-06-14,14.16,14.34
ORD0000769,1,PROD00168,SELL00011,2017-01-26,52.5,6.67
ORD0000882,1,PROD00151,SELL00015,2017-11-28,283.03,7.88
ORD0000974,2,PROD00090,SELL00013,2017-09-17,48.88,14.82
ORD0000933,1,PROD00090,SELL00012,2017-01-22,42.67,9.41
ORD0000519,3,PROD00132,SELL00047,2017-05-25,15.55,22.33
ORD0000462,2,PROD00067,SELL00039,2017-06-30,12.69,24.32
ORD0000682,2,PROD00047,SELL00064,2018-03-18,71.06,19.21
ORD0000457,1,PROD00164,SELL00034,2018-05-27,69.46,11.34
ORD0000567,3,PROD00118,SELL00008,2017-11-23,38.75,9.63
ORD0000174,1,PROD00133,SELL00065,2017-06-04,108.54,25.38
ORD0000873,3,PROD00140,SELL00029,2017-09-12,15.82,9.04
ORD0000406,1,PROD00026,SELL00022,2017-02-20,26.81,13.98
ORD0000505,3,PROD00108,SELL00082,2017-06-07,13.25,9.44
ORD0000946,2,PROD00120,SELL00072,2017-05-14,16.81,11.08
ORD0000916,1,PROD00131,SELL00057,2017-04-04,5.86,9.84
ORD0000272,1,PROD00193,SELL00062,2017-12-20,68.6,12.8
ORD0000103,2,PROD00152,SELL00032,2017-06-10,269.25,20.15
ORD0000944,2,PROD00083,SELL00090,2017-03-20,174.24,12.61
ORD0000000,3,PROD00189,SELL00009,2018-06-10,18.73,8.64
ORD0000688,1,PROD00014,SELL00092,2017-02-13,155.52,9.44
ORD0000148,2,PROD00194,SELL00082,2017-07-07,65.9,12.91
ORD0000123,3,PROD00006,SELL00044,2018-03-28,421.47,18.47
ORD0000064,3,PROD00048,SELL00019,2017-05-22,30.82,3.5
ORD0000731,3,PROD00049,SELL00096,2017-12-31,31.54,9.26
ORD0000348,3,PROD00054,SELL00056,2018-07-16,52.54,29.45
ORD0000236,2,PROD00020,SELL00038,2018-02-20,133.07,24.33
ORD0000040,3,PROD00113,SELL00012,2018-02-04,132.27,22.42
ORD0000510,1,PROD00123,SELL00045,2017-02-08,120.4,16.57
ORD0000295,1,PROD00123,SELL00021,2017-04-24,94.85,12.54
ORD0000222,2,PROD00108,SELL00048,2018-02-03,30.82,12.61
ORD0000100,3,PROD00056,SELL00019,2017-02-07,28.98,10.7
ORD0000663,2,PROD00128,SELL00099,2018-02-20,45.56,21.87
ORD0000697,1,PROD00186,SELL00054,2018-07-07,58.12,15.69
ORD0000336,2,PROD00002,SELL00081,2018-08-05,42.88,9.16
ORD0000628,3,PROD00016,SELL00006,2017-05-22,3.9,15.69
ORD0000013,1,PROD00058,SELL00040,2018-05-31,36.73,8.7
ORD0000327,3,PROD00119,SELL00027,2017-12-15,21.62,14.13
ORD0000373,1,PROD00060,SELL00037,2017-03-28,456.83,5.12
ORD0000393,2,PROD00161,SELL00060,2018-07-03,79.12,9.52
ORD0000426,3,PROD00043,SELL00010,2017-04-14,154.38,8.32
ORD0000545,1,PROD00067,SELL00052,2018-06-05,117.07,7.44
ORD0000405,1,PROD00117,SELL00078,2017-07-30,44.16,8.6
ORD0000492,1,PROD00110,SELL00004,2017-09-26,66.9,17.5
ORD0000643,3,PROD00109,SELL00044,2018-01-29,57.41,19.03
ORD0000654,2,PROD00002,SELL00060,2017-04-10,4.34,13.22
ORD0000200,2,PROD00088,SELL00047,2017-05-23,9.72,14.27
ORD0000354,2,PROD00028,SELL00000,2017-08-18,89.47,9.07
ORD0000304,1,PROD00016,SELL00045,2018-03-03,13.91,19.57
ORD0000709,2,PROD00182,SELL00018,2018-02-14,23.65,8.02
ORD0000315,2,PROD00096,SELL00022,2017-12-24,79.77,10.39
ORD0000221,3,PROD00048,SELL00074,2017-07-24,33.1,19.61
ORD0000738,2,PROD00036,SELL00049,2017-12-14,6.1,41.03
ORD0000213,2,PROD00191,SELL00014,2018-01-19,64.22,11.57
ORD0000664,3,PROD00162,SELL00013,2017-10-24,92.1,5.64
ORD0000920,2,PROD00144,SELL00016,2018-09-02,100.75,16.98
ORD0000832,1,PROD00033,SELL00079,2017-06-14,23.14,8.62
ORD0000199,2,PROD00168,SELL00074,2017-06-16,9.33,19.71
ORD0000380,2,PROD00161,SELL00028,2017-06-19,164.55,10.14
ORD0000590,1,PROD00171,SELL00082,2017-07-14,83.63,7.7
ORD0000357,3,PROD00027,SELL00023,2017-06-23,108.94,23.49
ORD0000636,3,PROD00013,SELL00005,2017-01-14,58.19,17.97
ORD0000041,1,PROD00050,SELL00040,2018-03-07,692.83,13.36
ORD0000723,1,PROD00143,SELL00064,2017-03-14,11.15,16.39
ORD0000499,1,PROD00116,SELL00092,2017-06-07,88.76,26.42
ORD0000590,2,PROD00130,SELL00064,2017-11-30,155.57,9.78
ORD0000103,3,PROD00134,SELL00000,2017-12-19,108.73,12.01
ORD0000463,1,PROD00076,SELL00021,2017-05-07,142.74,5.6
ORD0000982,2,PROD00029,SELL00033,2017-05-26,107.69,4.05
ORD0000227,1,PROD00010,SELL00050,2017-12-29,149.0,18.29
ORD0000415,1,PROD00004,SELL00046,2017-04-02,50.48,17.6
ORD0000757,1,PROD00106,SELL00069,2018-09-01,123.25,5.18
ORD0000226,3,PROD00066,SELL00006,2017-08-18,26.62,6.25
ORD0000904,1,PROD00092,SELL00096,2017-03-03,140.29,34.43
ORD0000446,1,PROD00199,SELL00068,2017-02-21,113.37,8.64
ORD0000159,1,PROD00160,SELL00037,2017-08-18,18.74,8.45
ORD0000389,2,PROD00071,SELL00089,2018-01-12,33.18,13.77
ORD0000387,1,PROD00166,SELL00000,2018-07-24,174.45,7.52
ORD0000503,1,PROD00006,SELL00079,2018-04-12,89.21,20.38
ORD0000979,1,PROD00003,SELL00021,2018-02-27,40.17,16.56
ORD0000246,3,PROD00054,SELL00052,2017-07-05,92.81,5.26
ORD0000769,1,PROD00092,SELL00004,2017-05-05,159.91,31.45
ORD0000803,2,PROD00121,SELL00005,2017-06-23,65.47,16.25
ORD0000405,1,PROD00049,SELL00049,2018-01-27,86.97,8.3
ORD0000411,3,PROD00107,SELL00037,2017-02-07,42.88,6.95
ORD0000058,2,PROD00041,SELL00082,2018-01-05,22.97,5.16
ORD0000042,1,PROD00190,SELL00029,2018-01-14,139.65,10.21
ORD0000335,1,PROD00085,SELL00028,2017-04-14,86.89,5.47
ORD0000605,3,PROD00084,SELL00027,2018-05-29,25.61,18.37
ORD0000765,3,PROD00182,SELL00012,2017-12-21,9.43,8.09
ORD0000455,1,PROD00028,SELL00001,2017-05-14,87.17,8.64
ORD0000965,3,PROD00137,SELL00065,2017-03-10,14.23,13.13
ORD0000645,1,PROD00068,SELL00000,2017-09-23,128.32,7.15
ORD0000714,3,PROD00180,SELL00069,2017-04-26,229.11,10.59
ORD0000556,3,PROD00022,SELL00029,2017-04-16,43.71,10.52
ORD0000639,2,PROD00081,SELL00015,2018-04-30,90.79,10.09
ORD0000037,3,PROD00012,SELL00061,2018-04-07,36.07,23.92
ORD0000306,1,PROD00083,SELL00065,2018-02-06,27.45,17.01
ORD0000334,2,PROD00184,SELL00053,2017-09-20,28.03,7.66
ORD0000147,1,PROD00117,SELL00030,2018-03-19,60.86,8.91
ORD0000021,2,PROD00143,SELL00068,2017-11-16,79.06,16.47
ORD0000491,3,PROD00194,SELL00075,2017-01-10,28.8,5.97
ORD0000385,1,PROD00141,SELL00076,2017-06-15,14.13,5.98
ORD0000839,3,PROD00092,SELL00018,2018-07-31,1009.61,26.34
ORD0000252,3,PROD00024,SELL00073,2018-03-06,82.92,19.35
ORD0000973,3,PROD00175,SELL00042,2018-06-11,91.77,17.79
ORD0000005,2,PROD00003,SELL00045,2018-07-10,6.76,16.61
ORD0000962,2,PROD00064,SELL00004,2018-07-02,51.71,7.63
ORD0000461,2,PROD00150,SELL00052,2018-06-11,15.18,14.19
ORD0000082,3,PROD00050,SELL00042,2017-09-08,33.41,16.23
ORD0000657,1,PROD00082,SELL00076,2017-04-25,31.09,9.78
ORD0000332,1,PROD00138,SELL00067,2018-04-28,58.1,3.52
ORD0000101,1,PROD00037,SELL00096,2017-05-09,45.43,12.65
ORD0000737,3,PROD00194,SELL00014,2018-09-02,41.79,9.26
ORD0000378,2,PROD00149,SELL00090,2017-09-18,64.07,12.8
ORD0000031,2,PROD00021,SELL00083,2017-06-04,34.79,17.78
ORD0000301,2,PROD00050,SELL00041,2018-05-30,24.49,11.21
ORD0000002,3,PROD00067,SELL00015,2017-10-01,54.35,28.91
ORD0000380,1,PROD00128,SELL00074,2017-07-06,16.84,13.96
ORD0000427,1,PROD00157,SELL00045,2018-08-13,83.49,8.22
ORD0000758,1,PROD00193,SELL00077,2017-07-31,6.29,17.42
ORD0000440,1,PROD00096,SELL00086,2017-07-07,189.83,9.96
ORD0000753,1,PROD00129,SELL00001,2017-07-11,24.47,5.93
ORD0000511,2,PROD00071,SELL00053,2018-01-29,113.94,27.43
ORD0000321,2,PROD00172,SELL00074,2017-10-31,82.24,7.35
ORD0000452,3,PROD00176,SELL00097,2017-05-22,50.03,9.26
ORD0000630,1,PROD00139,SELL00003,2017-07-11,25.96,9.37
ORD0000333,3,PROD00102,SELL00099,2017-12-25,19.19,5.66
ORD0000696,2,PROD00178,SELL00007,2017-08-25,72.35,13.37
ORD0000088,2,PROD00038,SELL00082,2018-06-25,129.32,13.76
ORD0000421,2,PROD00138,SELL00095,2017-03-04,164.89,5.99
ORD0000419,1,PROD00172,SELL00048,2017-10-20,64.39,10.48
ORD0000477,2,PROD00123,SELL00075,2018-02-03,50.71,25.62
ORD0000087,3,PROD00123,SELL00093,2017-12-31,25.41,12.86
ORD0000229,3,PROD00079,SELL00036,2017-08-31,14.72,12.61
ORD0000857,1,PROD00109,SELL00034,2017-08-21,80.02,22.92
ORD0000090,2,PROD00022,SELL00030,2018-02-07,16.39,11.84
ORD0000687,2,PROD00085,SELL00076,2017-07-14,22.63,4.75
ORD0000925,1,PROD00065,SELL00059,2018-05-22,103.91,27.84
ORD0000712,1,PROD00140,SELL00037,2017-10-16,113.24,10.83
ORD0000936,3,PROD00084,SELL00094,2017-09-12,54.64,9.21
ORD0000986,1,PROD00009,SELL00073,2018-04-06,13.53,44.05
ORD0000346,2,PROD00010,SELL00006,2018-08-09,16.43,14.8
ORD0000678,1,PROD00160,SELL00048,2018-06-10,225.84,14.13
ORD0000863,1,PROD00031,SELL00020,2018-01-31,48.08,10.63
ORD0000121,3,PROD00172,SELL00018,2017-01-23,32.51,44.45
ORD0000764,3,PROD00066,SELL00096,2018-07-17,71.7,21.0
ORD0000678,2,PROD00006,SELL00003,2018-06-13,255.78,11.44
ORD0000528,1,PROD00156,SELL00081,2017-09-25,15.27,11.57
ORD0000849,2,PROD00141,SELL00044,2017-02-17,14.72,9.19
ORD0000697,2,PROD00074,SELL00041,2018-05-14,33.75,15.84
ORD0000955,2,PROD00178,SELL00097,2017-03-21,66.63,13.21
ORD0000401,3,PROD00101,SELL00084,2018-08-22,13.47,10.7
ORD0000199,3,PROD00160,SELL00029,2018-05-19,30.26,6.12
ORD0000553,3,PROD00034,SELL00084,2018-02-01,39.61,5.97
ORD0000888,2,PROD00169,SELL00098,2018-04-04,27.12,10.19
ORD0000235,1,PROD00000,SELL00058,2018-05-13,37.43,14.26
ORD0000320,2,PROD00031,SELL00035,2018-03-11,73.92,26.98
ORD0000473,2,PROD00117,SELL00056,2018-06-29,13.31,16.47
ORD0000012,3,PROD00189,SELL00022,2017-07-07,121.37,8.17
ORD0000957,2,PROD00050,SELL00074,2017-07-25,32.73,8.13
ORD0000543,2,PROD00070,SELL00026,2018-03-30,155.9,9.77
ORD0000530,1,PROD00164,SELL00093,2018-03-31,19.97,21.18
ORD0000854,3,PROD00115,SELL00090,2017-04-09,76.48,19.12
ORD0000660,1,PROD00038,SELL00030,2017-11-27,23.54,11.57
ORD0000713,2,PROD00094,SELL00036,2018-03-17,164.21,13.25
ORD0000880,1,PROD00169,SELL00096,2017-05-01,71.76,7.63
ORD0000314,3,PROD00179,SELL00012,2017-05-12,98.47,9.11
ORD0000502,2,PROD00130,SELL00051,2017-11-03,32.63,13.38
ORD0000769,3,PROD00026,SELL00092,2018-07-08,17.27,7.82
ORD0000596,1,PROD00061,SELL00087,2018-02-06,51.25,22.1
ORD0000552,3,PROD00071,SELL00084,2017-06-24,166.18,22.2
ORD0000065,2,PROD00095,SELL00070,2018-04-24,11.05,12.03
ORD0000537,3,PROD00102,SELL00057,2017-09-09,164.33,7.63
ORD0000625,1,PROD00152,SELL00047,2018-08-17,33.02,7.44
ORD0000813,2,PROD00120,SELL00061,2018-07-16,9.6,23.32
ORD0000803,1,PROD00052,SELL00081,2017-01-14,135.95,31.85
ORD0000066,1,PROD00005,SELL00001,2018-03-09,85.89,3.67
ORD0000503,2,PROD00087,SELL00081,2017-08-01,36.69,4.49
ORD0000028,2,PROD00004,SELL00053,2018-06-29,162.81,11.78
ORD0000205,3,PROD00162,SELL00093,2017-12-08,58.23,12.41
ORD0000483,1,PROD00009,SELL00050,2017-02-03,101.05,7.91
ORD0000145,3,PROD00119,SELL00013,2018-02-07,98.44,30.34
ORD0000269,2,PROD00117,SELL00072,2017-11-14,35.11,11.06
ORD0000528,3,PROD00188,SELL00066,2018-02-13,24.09,16.72
ORD0000565,2,PROD00187,SELL00029,2017-03-09,29.55,11.88
ORD0000419,3,PROD00145,SELL00068,2018-02-05,53.56,16.53
ORD0000077,3,PROD00023,SELL00043,2018-07-17,35.52,17.17
ORD0000439,3,PROD00199,SELL00016,2018-01-06,31.22,8.64
ORD0000273,3,PROD00168,SELL00032,2018-05-21,92.19,15.33
ORD0000596,1,PROD00015,SELL00078,2017-03-30,75.85,13.97
ORD0000968,1,PROD00138,SELL00000,2017-11-30,25.98,7.58
ORD0000081,2,PROD00034,SELL00023,2018-08-09,50.29,8.72
ORD0000792,2,PROD00168,SELL00092,2018-07-26,13.99,2.64
ORD0000615,1,PROD00054,SELL00019,2017-08-23,86.07,16.84
ORD0000513,3,PROD00124,SELL00029,2017-06-25,15.54,5.16
ORD0000068,3,PROD00116,SELL00062,2017-10-18,17.92,8.29
ORD0000123,1,PROD00004,SELL00031,2018-05-20,55.99,10.0
ORD0000538,1,PROD00100,SELL00034,2018-05-14,89.15,31.96
ORD0000401,2,PROD00132,SELL00056,2018-06-30,75.28,11.33
ORD0000539,1,PROD00152,SELL00095,2018-08-30,59.98,10.88
ORD0000799,1,PROD00060,SELL00048,2018-04-04,37.57,18.27
ORD0000654,2,PROD00158,SELL00017,2017-09-17,45.95,16.24
ORD0000217,1,PROD00063,SELL00002,2018-07-31,19.35,32.75
ORD0000462,2,PROD00175,SELL00030,2017-09-12,22.31,9.75
ORD0000402,1,PROD00050,SELL00024,2017-06-12,11.1,15.47
ORD0000127,3,PROD00089,SELL00041,2017-03-14,47.41,14.83
ORD0000169,2,PROD00181,SELL00063,2017-10-21,15.13,12.62
ORD0000480,1,PROD00191,SELL00007,2017-08-19,25.26,8.08
ORD0000546,1,PROD00199,SELL00075,2017-12-14,30.65,20.89
ORD0000260,3,PROD00049,SELL00025,2018-04-12,17.26,11.98
ORD0000613,1,PROD00166,SELL00051,2017-12-21,149.63,22.31
ORD0000797,1,PROD00026,SELL00062,2017-06-22,6.95,7.22
ORD0000600,3,PROD00177,SELL00096,2018-07-26,7.87,28.32
ORD0000749,2,PROD00079,SELL00093,2017-11-25,4.54,16.4
ORD0000815,2,PROD00187,SELL00038,2017-09-26,31.9,15.78
ORD0000554,1,PROD00076,SELL00019,2018-06-09,51.08,19.49
ORD0000974,2,PROD00036,SELL00045,2017-04-25,28.84,24.03
ORD0000144,1,PROD00005,SELL00018,2017-05-28,261.95,8.35
ORD0000534,1,PROD00066,SELL00002,2018-04-20,5.18,17.18
ORD0000815,2,PROD00159,SELL00030,2018-08-08,32.06,7.81
ORD0000610,1,PROD00168,SELL00014,2017-10-24,49.35,4.33
ORD0000903,3,PROD00011,SELL00021,2017-09-08,96.11,6.01
ORD0000667,2,PROD00138,SELL00025,2017-09-14,32.47,7.88
ORD0000380,1,PROD00023,SELL00089,2018-05-19,72.95,4.82
ORD0000625,1,PROD00073,SELL00035,2018-05-15,64.72,22.36
ORD0000737,1,PROD00046,SELL00067,2017-02-06,26.75,7.84
ORD0000931,3,PROD00122,SELL00052,2017-11-11,23.81,30.65
ORD0000732,3,PROD00048,SELL00059,2017-12-17,189.91,4.15
ORD0000563,1,PROD00199,SELL00085,2017-08-27,35.72,12.33
ORD0000482,1,PROD00168,SELL00090,2017-11-03,401.72,4.32
ORD0000031,3,PROD00135,SELL00090,2018-06-13,56.2,17.15
ORD0000494,2,PROD00072,SELL00032,2018-05-30,22.17,13.3
ORD0000073,1,PROD00089,SELL00034,2018-04-14,27.51,10.49
ORD0000422,2,PROD00129,SELL00046,2018-05-07,126.75,13.26
ORD0000245,1,PROD00121,SELL00052,2017-11-23,110.62,12.89
ORD0000246,3,PROD00015,SELL00086,2017-09-11,401.18,18.39
ORD0000115,3,PROD00145,SELL00064,2017-08-02,41.86,16.42
ORD0000373,2,PROD00119,SELL00016,2018-02-07,18.22,10.13
ORD0000898,2,PROD00066,SELL00089,2017-10-29,50.87,4.53
ORD0000720,3,PROD00016,SELL00049,2018-08-03,13.22,13.01
ORD0000261,2,PROD00045,SELL00031,2017-12-18,32.03,10.15
ORD0000467,1,PROD00008,SELL00049,2018-03-10,41.96,20.22
ORD0000856,3,PROD00136,SELL00086,2018-04-12,136.08,9.92
ORD0000717,2,PROD00152,SELL00077,2018-07-18,78.54,16.72
ORD0000004,3,PROD00198,SELL00045,2017-02-11,39.26,23.12
ORD0000131,3,PROD00133,SELL00033,2017-11-13,43.42,18.79
ORD0000623,1,PROD00132,SELL00081,2018-07-03,34.81,9.54
ORD0000867,1,PROD00106,SELL00091,2017-11-01,40.09,8.1
ORD0000303,1,PROD00174,SELL00006,2018-05-01,53.41,18.57
ORD0000385,2,PROD00144,SELL00047,2017-02-07,121.32,23.13
ORD0000477,3,PROD00067,SELL00074,2017-01-27,358.33,11.55
ORD0000636,1,PROD00037,SELL00019,2018-01-27,132.46,5.91
ORD0000738,3,PROD00130,SELL00035,2018-03-27,34.4,13.62
ORD0000442,3,PROD00046,SELL00068,2017-05-31,30.94,14.02
ORD0000768,3,PROD00115,SELL00003,2017-05-03,12.82,10.7
ORD0000965,1,PROD00109,SELL00007,2017-10-30,23.36,11.84
ORD0000329,3,PROD00184,SELL00051,2018-01-07,71.3,8.02
ORD0000373,2,PROD00077,SELL00072,2017-05-17,30.27,18.66
ORD0000029,1,PROD00160,SELL00063,2018-04-03,11.83,8.8
ORD0000399,2,PROD00058,SELL00023,2018-08-01,21.41,9.71
ORD0000676,1,PROD00038,SELL00083,2017-12-02,193.65,5.1
ORD0000803,2,PROD00079,SELL00021,2017-08-14,62.93,4.89
ORD0000553,2,PROD00021,SELL00015,2018-03-05,38.08,9.68
ORD0000429,1,PROD00131,SELL00047,2017-07-16,232.91,14.52
ORD0000157,3,PROD00017,SELL00049,2018-02-18,101.89,16.01
ORD0000245,2,PROD00132,SELL00037,2017-02-15,189.89,11.23
ORD0000685,3,PROD00189,SELL00099,2018-07-29,57.15,21.96
ORD0000799,1,PROD00001,SELL00019,2018-05-28,158.21,8.75
ORD0000047,2,PROD00084,SELL00062,2017-10-23,113.05,12.89
ORD0000760,2,PROD00087,SELL00071,2018-07-20,184.71,17.09
ORD0000748,3,PROD00129,SELL00022,2017-03-07,35.56,16.65
ORD0000073,2,PROD00101,SELL00034,2018-04-03,12.35,12.67
ORD0000514,1,PROD00187,SELL00028,2018-06-27,16.46,4.83
ORD0000602,3,PROD00186,SELL00019,2017-08-24,118.21,25.8
ORD0000032,3,PROD00148,SELL00095,2018-09-09,37.55,17.39
ORD0000692,3,PROD00056,SELL00003,2017-03-09,93.94,12.09
ORD0000686,3,PROD00178,SELL00055,2017-01-24,42.88,11.75
ORD0000127,3,PROD00080,SELL00045,2017-11-29,16.08,14.32
ORD0000167,2,PROD00039,SELL00053,2017-02-21,15.31,11.37
ORD0000894,1,PROD00148,SELL00096,2017-09-16,37.14,11.83
