review_id,order_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp
REV0000041,ORD0000041,5,Great,A bit disappointing.,2017-01-29,2017-05-21
REV0000042,ORD0000042,5,,Decent quality.,2017-04-08,2018-06-21
REV0000043,ORD0000043,5,,A bit disappointing.,2017-01-30,2017-05-17
REV0000044,ORD0000044,4,Great,Average product.,2018-06-20,2017-07-15
REV0000045,ORD0000045,4,Bad,,2017-04-12,2017-03-03
REV0000046,ORD0000046,4,Fine,Average product.,2018-06-11,2018-01-06
REV0000047,ORD0000047,5,,Great product!,2018-01-05,2017-02-14
REV0000048,ORD0000048,3,,Very satisfied.,2017-06-09,2018-07-21
REV0000049,ORD0000049,5,,Poor quality.,2017-02-24,2017-02-04
REV0000050,ORD0000050,2,Excellent,Great product!,2018-08-22,2017-09-16
REV0000051,ORD0000051,4,,Not what I expected.,2017-04-03,2018-09-13
REV0000052,ORD0000052,5,Bad,Very satisfied.,2018-05-18,2018-06-07
REV0000053,ORD0000053,4,,Decent quality.,2018-03-21,2017-12-10
REV0000054,ORD0000054,5,,Exceeded expectations.,2018-06-14,2017-11-16
REV0000055,ORD0000055,5,,Average product.,2017-03-12,2018-04-26
REV0000056,ORD0000056,5,,Very satisfied.,2017-10-06,2017-04-11
REV0000057,ORD0000057,5,Great,Arrived on time.,2017-03-10,2017-10-13
REV0000058,ORD0000058,5,,Great product!,2017-03-04,2018-07-05
REV0000059,ORD0000059,3,,Not what I expected.,2017-08-24,2017-02-23
REV0000060,ORD0000060,4,Great,Not what I expected.,2018-09-17,2018-04-05
REV0000061,ORD0000061,4,,Very satisfied.,2018-07-13,2018-08-12
REV0000062,ORD0000062,5,,Arrived on time.,2017-07-11,2018-05-15
REV0000063,ORD0000063,4,Poor,Would not buy again.,2017-08-07,2018-08-11
REV0000064,ORD0000064,5,,A bit disappointing.,2017-03-24,2018-03-25
REV0000065,ORD0000065,4,,Very satisfied.,2017-04-10,2017-04-09
REV0000066,ORD0000066,4,Excellent,Poor quality.,2017-11-07,2018-08-19
REV0000067,ORD0000067,4,,Arrived on time.,2017-11-01,2017-05-31
REV0000068,ORD0000068,1,Great,Great product!,2018-04-28,2018-03-13
REV0000069,ORD0000069,5,Great,A bit disappointing.,2018-07-10,2017-03-13
REV0000070,ORD0000070,5,,Average product.,2018-05-20,2018-04-03
REV0000071,ORD0000071,5,,,2018-06-03,2017-04-21
REV0000072,ORD0000072,4,OK,,2017-10-09,2018-08-20
REV0000073,ORD0000073,5,,Average product.,2017-09-24,2018-08-22
REV0000074,ORD0000074,5,Bad,Arrived on time.,2018-02-16,2017-02-13
REV0000075,ORD0000075,3,,Great product!,2017-04-14,2018-05-25
REV0000076,ORD0000076,4,,Average product.,2018-01-05,2017-05-28
REV0000077,ORD0000077,5,,Arrived on time.,2017-02-08,2017-08-27
REV0000078,ORD0000078,2,Great,Not what I expected.,2017-10-18,2017-04-08
REV0000079,ORD0000079,3,OK,Arrived on time.,2018-03-14,2017-09-13
REV0000080,ORD0000080,2,Poor,,2017-05-30,2017-12-18
REV0000081,ORD0000081,3,Great,Decent quality.,2017-09-21,2017-05-22
REV0000082,ORD0000082,4,,Not what I expected.,2017-05-18,2018-07-30
REV0000083,ORD0000083,5,,Exceeded expectations.,2017-09-13,2018-08-16
REV0000084,ORD0000084,4,,Exceeded expectations.,2018-09-05,2018-07-10
REV0000085,ORD0000085,5,,Poor quality.,2017-10-05,2018-10-04
REV0000086,ORD0000086,5,,Average product.,2017-08-03,2018-06-07
REV0000087,ORD0000087,4,OK,A bit disappointing.,2017-01-29,2018-03-14
REV0000088,ORD0000088,5,,Poor quality.,2018-06-09,2018-02-27
REV0000089,ORD0000089,2,,Not what I expected.,2017-07-21,2017-10-27
REV0000090,ORD0000090,2,Poor,Great product!,2017-11-02,2018-02-17
REV0000091,ORD0000091,3,Great,Not what I expected.,2017-03-17,2018-09-03
REV0000092,ORD0000092,4,,Decent quality.,2018-07-21,2018-06-10
REV0000093,ORD0000093,3,Great,Decent quality.,2017-04-17,2017-04-20
REV0000094,ORD0000094,3,Great,Would not buy again.,2018-03-07,2018-06-04
REV0000095,ORD0000095,2,Great,Exceeded expectations.,2018-06-03,2017-11-03
REV0000096,ORD0000096,5,,Decent quality.,2018-07-24,2017-08-12
REV0000097,ORD0000097,5,OK,Not what I expected.,2017-07-12,2018-06-19
REV0000098,ORD0000098,5,,Exceeded expectations.,2018-06-20,2017-01-22
REV0000099,ORD0000099,4,,A bit disappointing.,2017-10-07,2018-02-26
REV0000100,ORD0000100,4,,Arrived on time.,2017-10-02,2017-09-15
REV0000101,ORD0000101,5,Great,,2017-08-22,2017-08-19
REV0000102,ORD0000102,3,Poor,Poor quality.,2017-05-19,2018-07-03
REV0000103,ORD0000103,2,,Would not buy again.,2018-03-07,2018-09-13
REV0000104,ORD0000104,3,,Arrived on time.,2017-07-28,2018-05-31
REV0000105,ORD0000105,5,,Arrived on time.,2018-04-19,2017-10-31
REV0000106,ORD0000106,4,,Average product.,2018-07-26,2017-12-26
REV0000107,ORD0000107,3,Bad,Great product!,2018-04-30,2017-09-26
REV0000108,ORD0000108,4,Poor,Exceeded expectations.,2018-09-22,2017-08-21
REV0000109,ORD0000109,5,,Great product!,2018-05-26,2018-10-02
REV0000110,ORD0000110,5,,A bit disappointing.,2017-05-13,2017-12-29
REV0000111,ORD0000111,5,Great,Not what I expected.,2018-07-17,2018-07-08
REV0000112,ORD0000112,3,,Poor quality.,2017-05-01,2017-01-31
REV0000113,ORD0000113,4,Excellent,Great product!,2017-03-13,2017-08-15
REV0000114,ORD0000114,5,Great,Would not buy again.,2018-03-31,2017-06-14
REV0000115,ORD0000115,5,,A bit disappointing.,2018-05-25,2017-08-09
REV0000116,ORD0000116,5,,Would not buy again.,2017-11-05,2018-01-26
REV0000117,ORD0000117,4,Bad,Average product.,2017-11-19,2017-05-08
REV0000118,ORD0000118,4,,Great product!,2018-03-16,2018-05-09
REV0000119,ORD0000119,3,Bad,Not what I expected.,2017-01-22,2017-10-15
REV0000120,ORD0000120,5,,Exceeded expectations.,2017-07-18,2018-06-20
REV0000121,ORD0000121,4,,Great product!,2017-11-01,2018-02-28
REV0000122,ORD0000122,5,,A bit disappointing.,2018-08-12,2017-09-23
REV0000123,ORD0000123,3,Bad,Exceeded expectations.,2017-01-19,2017-04-14
REV0000124,ORD0000124,5,,A bit disappointing.,2017-09-06,2017-03-04
REV0000125,ORD0000125,1,Bad,,2018-07-17,2017-07-05
REV0000126,ORD0000126,5,OK,Arrived on time.,2017-05-02,2017-12-30
REV0000127,ORD0000127,1,,Decent quality.,2018-07-05,2017-04-08
REV0000128,ORD0000128,4,,Poor quality.,2017-04-10,2017-05-05
REV0000129,ORD0000129,3,Excellent,Exceeded expectations.,2017-10-01,2017-09-04
REV0000130,ORD0000130,5,,Great product!,2018-01-24,2018-09-08
REV0000131,ORD0000131,5,Great,Decent quality.,2017-03-12,2017-06-30
REV0000132,ORD0000132,4,Bad,Great product!,2017-01-31,2017-09-29
REV0000133,ORD0000133,3,,Decent quality.,2017-07-15,2017-03-02
REV0000134,ORD0000134,3,Great,Exceeded expectations.,2017-06-15,2018-02-11
REV0000135,ORD0000135,2,,A bit disappointing.,2018-02-21,2018-08-07
REV0000136,ORD0000136,5,,,2017-07-21,2018-06-27
REV0000137,ORD0000137,5,,Decent quality.,2018-02-10,2017-08-07
REV0000138,ORD0000138,3,,Average product.,2018-04-01,2018-02-26
REV0000139,ORD0000139,5,,Average product.,2017-03-28,2017-06-07
REV0000140,ORD0000140,5,,Very satisfied.,2018-04-07,2017-08-28
REV0000141,ORD0000141,4,,Arrived on time.,2018-01-14,2017-04-25
REV0000142,ORD0000142,4,Great,Not what I expected.,2017-09-21,2017-10-22
REV0000143,ORD0000143,5,Great,Exceeded expectations.,2018-05-30,2018-10-02
REV0000144,ORD0000144,1,Excellent,Average product.,2018-01-05,2017-02-18
REV0000145,ORD0000145,5,,Very satisfied.,2018-01-21,2017-09-27
REV0000146,ORD0000146,5,,Would not buy again.,2018-04-05,2018-01-30
REV0000147,ORD0000147,5,,Would not buy again.,2017-04-25,2017-12-12
REV0000148,ORD0000148,5,,Average product.,2017-06-17,2018-01-03
REV0000149,ORD0000149,4,,Great product!,2017-06-29,2018-06-14
REV0000150,ORD0000150,2,,Great product!,2017-06-15,2017-11-26
REV0000151,ORD0000151,5,Excellent,Arrived on time.,2018-08-19,2017-04-22
REV0000152,ORD0000152,5,,Great product!,2017-05-24,2017-07-06
REV0000153,ORD0000153,3,Bad,Not what I expected.,2018-09-15,2017-08-15
REV0000154,ORD0000154,3,Bad,Poor quality.,2018-07-14,2018-07-31
REV0000155,ORD0000155,5,Excellent,Poor quality.,2017-12-05,2018-06-30
REV0000156,ORD0000156,4,OK,Arrived on time.,2018-03-16,2018-03-30
REV0000157,ORD0000157,5,,Average product.,2018-06-13,2017-08-18
REV0000158,ORD0000158,5,,Exceeded expectations.,2017-11-02,2017-09-22
REV0000159,ORD0000159,4,,Arrived on time.,2017-09-21,2018-01-26
REV0000160,ORD0000160,4,Bad,,2017-05-20,2017-03-11
REV0000161,ORD0000161,5,OK,Very satisfied.,2018-09-18,2017-10-06
REV0000162,ORD0000162,3,,Very satisfied.,2018-06-04,2018-04-24
REV0000163,ORD0000163,5,,Decent quality.,2017-05-22,2018-07-26
REV0000164,ORD0000164,3,,Great product!,2018-01-28,2018-01-18
REV0000165,ORD0000165,5,OK,Very satisfied.,2018-04-05,2018-05-01
REV0000166,ORD0000166,4,Bad,Not what I expected.,2018-05-07,2017-06-30
REV0000167,ORD0000167,5,Poor,Decent quality.,2017-02-01,2018-02-23
REV0000168,ORD0000168,3,Great,Average product.,2018-05-17,2017-01-23
REV0000169,ORD0000169,4,,Exceeded expectations.,2018-08-29,2017-12-02
REV0000170,ORD0000170,4,Bad,Exceeded expectations.,2017-05-21,2018-07-21
REV0000171,ORD0000171,5,,Great product!,2018-07-01,2017-08-18
REV0000172,ORD0000172,5,Great,Arrived on time.,2017-08-24,2017-06-26
REV0000173,ORD0000173,5,,Average product.,2017-10-25,2018-09-28
REV0000174,ORD0000174,5,,Decent quality.,2017-12-01,2018-04-14
REV0000175,ORD0000175,1,,Great product!,2017-12-03,2017-04-27
REV0000176,ORD0000176,2,OK,Average product.,2017-07-16,2018-05-10
REV0000177,ORD0000177,5,OK,Would not buy again.,2018-09-04,2018-04-19
REV0000178,ORD0000178,4,,Great product!,2018-05-14,2017-11-30
REV0000179,ORD0000179,5,,Not what I expected.,2017-12-15,2018-07-21
REV0000180,ORD0000180,5,,Would not buy again.,2018-06-13,2018-02-23
REV0000181,ORD0000181,3,Great,A bit disappointing.,2018-03-03,2018-10-02
REV0000182,ORD0000182,5,,Very satisfied.,2017-02-01,2017-10-25
REV0000183,ORD0000183,5,Great,Exceeded expectations.,2017-09-01,2018-01-13
REV0000184,ORD0000184,4,,Not what I expected.,2017-11-09,2017-08-17
REV0000185,ORD0000185,5,,Exceeded expectations.,2018-03-31,2018-03-10
REV0000186,ORD0000186,5,,Decent quality.,2017-05-09,2018-07-12
REV0000187,ORD0000187,5,,Very satisfied.,2018-07-03,2017-09-26
REV0000188,ORD0000188,5,Bad,Decent quality.,2017-03-13,2017-11-29
REV0000189,ORD0000189,4,OK,A bit disappointing.,2017-06-04,2017-03-05
REV0000190,ORD0000190,4,Great,Poor quality.,2017-11-30,2018-01-12
REV0000191,ORD0000191,5,,,2018-05-28,2017-02-05
REV0000192,ORD0000192,4,Great,Great product!,2018-05-12,2018-06-03
REV0000193,ORD0000193,4,,Would not buy again.,2018-08-19,2017-02-18
REV0000194,ORD0000194,4,,Would not buy again.,2018-02-03,2017-02-26
REV0000195,ORD0000195,4,,Would not buy again.,2017-05-08,2018-04-13
REV0000196,ORD0000196,5,Bad,Arrived on time.,2017-11-07,2017-01-30
REV0000197,ORD0000197,5,,Decent quality.,2017-03-14,2018-04-04
REV0000198,ORD0000198,5,,Great product!,2017-07-08,2017-05-10
REV0000199,ORD0000199,4,Excellent,Great product!,2018-08-21,2018-09-13
REV0000200,ORD0000200,2,OK,Exceeded expectations.,2018-02-14,2017-02-16
REV0000201,ORD0000201,5,Bad,Great product!,2017-08-11,2017-03-01
REV0000202,ORD0000202,5,,Would not buy again.,2017-10-30,2018-02-06
REV0000203,ORD0000203,5,Excellent,Average product.,2017-01-25,2017-05-14
REV0000204,ORD0000204,4,Great,Very satisfied.,2017-05-07,2017-06-09
REV0000205,ORD0000205,4,,Great product!,2017-07-02,2018-05-31
REV0000206,ORD0000206,5,Bad,Not what I expected.,2018-01-15,2017-04-18
REV0000207,ORD0000207,3,,Exceeded expectations.,2018-06-26,2018-06-05
REV0000208,ORD0000208,5,Great,Average product.,2018-05-15,2018-01-20
REV0000209,ORD0000209,4,Great,Arrived on time.,2017-08-10,2018-07-14
REV0000210,ORD0000210,3,OK,Exceeded expectations.,2017-10-31,2017-11-17
REV0000211,ORD0000211,1,,Would not buy again.,2018-09-08,2017-11-06
REV0000212,ORD0000212,4,,Poor quality.,2018-07-29,2017-02-28
REV0000213,ORD0000213,5,,Average product.,2018-04-12,2018-01-06
REV0000214,ORD0000214,5,,A bit disappointing.,2017-07-21,2017-11-17
REV0000215,ORD0000215,4,,Great product!,2017-08-11,2017-05-19
REV0000216,ORD0000216,5,OK,A bit disappointing.,2017-03-08,2017-08-11
REV0000217,ORD0000217,3,,Not what I expected.,2018-09-08,2018-01-03
REV0000218,ORD0000218,3,Fine,Decent quality.,2018-06-29,2017-10-14
REV0000219,ORD0000219,4,,Very satisfied.,2017-04-28,2017-07-15
REV0000220,ORD0000220,5,,Exceeded expectations.,2017-06-25,2018-03-02
REV0000221,ORD0000221,5,,Great product!,2017-11-06,2017-10-11
REV0000222,ORD0000222,2,Great,,2017-06-29,2018-05-28
REV0000223,ORD0000223,5,,,2017-02-21,2017-03-13
REV0000224,ORD0000224,3,,Arrived on time.,2017-10-18,2017-11-09
REV0000225,ORD0000225,5,,Decent quality.,2017-10-26,2017-03-11
REV0000226,ORD0000226,5,,Not what I expected.,2017-11-15,2018-07-16
REV0000227,ORD0000227,5,Bad,Arrived on time.,2018-04-03,2017-03-24
REV0000228,ORD0000228,5,,Very satisfied.,2017-01-17,2017-05-24
REV0000229,ORD0000229,4,Poor,Poor quality.,2018-09-20,2018-02-16
REV0000230,ORD0000230,5,Bad,Average product.,2017-05-29,2017-03-23
REV0000231,ORD0000231,2,,Great product!,2018-02-06,2017-03-05
REV0000232,ORD0000232,5,,Arrived on time.,2017-11-20,2017-04-05
REV0000233,ORD0000233,5,Excellent,Not what I expected.,2017-01-17,2017-12-30
REV0000234,ORD0000234,5,Great,Decent quality.,2017-06-09,2017-08-06
REV0000235,ORD0000235,5,,,2018-01-09,2017-06-10
REV0000236,ORD0000236,3,,Great product!,2018-06-24,2017-07-28
REV0000237,ORD0000237,5,,Not what I expected.,2017-01-25,2017-03-18
REV0000238,ORD0000238,5,OK,,2017-01-21,2017-01-25
REV0000239,ORD0000239,4,,Would not buy again.,2017-09-28,2017-10-22
REV0000240,ORD0000240,5,,,2018-02-24,2018-02-20
REV0000241,ORD0000241,5,,A bit disappointing.,2017-12-29,2017-08-18
REV0000242,ORD0000242,5,,Poor quality.,2018-01-16,2017-08-25
REV0000243,ORD0000243,1,,Decent quality.,2017-07-02,2017-10-21
REV0000244,ORD0000244,5,,Would not buy again.,2017-09-02,2018-04-17
REV0000245,ORD0000245,5,OK,Arrived on time.,2018-05-20,2017-01-27
REV0000246,ORD0000246,5,,Exceeded expectations.,2017-04-01,2018-08-27
REV0000247,ORD0000247,3,Great,Poor quality.,2017-02-23,2017-08-31
REV0000248,ORD0000248,5,Great,A bit disappointing.,2017-03-31,2018-02-06
REV0000249,ORD0000249,4,Bad,Arrived on time.,2018-06-18,2018-06-03
REV0000250,ORD0000250,4,Bad,,2017-11-15,2018-09-20
REV0000251,ORD0000251,3,,Not what I expected.,2017-12-08,2017-07-15
REV0000252,ORD0000252,5,Excellent,Would not buy again.,2017-07-07,2018-10-02
REV0000253,ORD0000253,5,Poor,Would not buy again.,2018-07-15,2017-12-30
REV0000254,ORD0000254,5,,A bit disappointing.,2018-02-27,2018-04-17
REV0000255,ORD0000255,5,,Decent quality.,2017-10-25,2017-03-29
REV0000256,ORD0000256,3,,Arrived on time.,2018-02-03,2017-04-07
REV0000257,ORD0000257,5,Great,Poor quality.,2018-01-11,2017-12-16
REV0000258,ORD0000258,4,Great,Decent quality.,2017-07-20,2018-07-27
REV0000259,ORD0000259,5,OK,A bit disappointing.,2017-06-05,2018-07-12
REV0000260,ORD0000260,2,Great,Great product!,2018-02-24,2018-08-17
REV0000261,ORD0000261,4,Great,Great product!,2018-01-01,2017-09-01
REV0000262,ORD0000262,5,,Decent quality.,2017-12-12,2017-10-19
REV0000263,ORD0000263,5,Poor,Would not buy again.,2017-10-13,2017-08-11
REV0000264,ORD0000264,4,OK,A bit disappointing.,2018-05-05,2017-04-23
REV0000265,ORD0000265,5,,Average product.,2018-03-26,2017-01-23
REV0000266,ORD0000266,3,Bad,A bit disappointing.,2017-03-22,2018-09-28
REV0000267,ORD0000267,3,,,2017-06-25,2017-04-03
REV0000268,ORD0000268,5,,Not what I expected.,2017-01-23,2017-01-27
REV0000269,ORD0000269,4,,,2018-01-29,2018-04-28
REV0000270,ORD0000270,5,,Great product!,2017-03-22,2018-09-05
REV0000271,ORD0000271,5,Great,Not what I expected.,2018-01-25,2018-03-14
REV0000272,ORD0000272,5,,A bit disappointing.,2018-03-15,2017-12-14
REV0000273,ORD0000273,2,,Exceeded expectations.,2018-04-17,2017-02-08
REV0000274,ORD0000274,5,Great,Poor quality.,2017-04-23,2018-02-19
REV0000275,ORD0000275,5,,Great product!,2018-08-23,2018-07-10
REV0000276,ORD0000276,4,,Poor quality.,2018-06-27,2017-10-09
REV0000277,ORD0000277,5,Poor,Decent quality.,2017-12-18,2018-05-19
REV0000278,ORD0000278,5,,Arrived on time.,2017-08-19,2017-09-18
REV0000279,ORD0000279,4,,Poor quality.,2017-07-15,2017-01-26
REV0000280,ORD0000280,4,,Exceeded expectations.,2017-03-09,2018-08-18
REV0000281,ORD0000281,5,,Poor quality.,2017-07-24,2017-05-23
REV0000282,ORD0000282,4,Fine,Arrived on time.,2017-09-30,2017-05-22
REV0000283,ORD0000283,4,,Very satisfied.,2018-09-23,2018-09-12
REV0000284,ORD0000284,5,,,2017-08-30,2017-11-30
REV0000285,ORD0000285,5,Great,Would not buy again.,2018-01-29,2017-07-30
REV0000286,ORD0000286,5,,Average product.,2017-05-26,2018-05-26
REV0000287,ORD0000287,5,,Arrived on time.,2017-05-27,2018-09-05
REV0000288,ORD0000288,5,Great,Would not buy again.,2017-11-24,2018-02-02
REV0000289,ORD0000289,5,,Very satisfied.,2018-05-01,2017-02-14
REV0000290,ORD0000290,4,,Exceeded expectations.,2018-05-30,2018-01-18
REV0000291,ORD0000291,5,,Average product.,2018-01-13,2017-06-07
REV0000292,ORD0000292,3,,Exceeded expectations.,2018-06-19,2017-08-18
REV0000293,ORD0000293,4,,,2017-02-09,2017-05-22
REV0000294,ORD0000294,5,,Poor quality.,2017-05-28,2018-03-03
REV0000295,ORD0000295,2,,A bit disappointing.,2017-10-30,2018-09-05
REV0000296,ORD0000296,3,Great,Very satisfied.,2017-06-28,2017-04-20
REV0000297,ORD0000297,5,,Arrived on time.,2017-03-22,2018-05-31
REV0000298,ORD0000298,4,,Poor quality.,2017-04-03,2018-09-14
REV0000299,ORD0000299,4,OK,Exceeded expectations.,2017-08-16,2017-11-27
REV0000300,ORD0000300,5,Fine,Poor quality.,2018-07-01,2017-01-20
REV0000301,ORD0000301,3,Great,Would not buy again.,2018-01-01,2017-09-08
REV0000302,ORD0000302,5,,Decent quality.,2017-12-17,2017-03-30
REV0000303,ORD0000303,5,Excellent,Very satisfied.,2017-09-10,2017-07-14
REV0000304,ORD0000304,4,Great,Arrived on time.,2018-05-03,2018-05-04
REV0000305,ORD0000305,5,OK,Would not buy again.,2017-11-02,2017-10-23
REV0000306,ORD0000306,4,Excellent,,2017-11-06,2017-12-06
REV0000307,ORD0000307,4,Great,Exceeded expectations.,2017-04-17,2017-10-23
REV0000308,ORD0000308,5,Great,Great product!,2017-06-15,2018-08-22
REV0000309,ORD0000309,1,Bad,A bit disappointing.,2017-09-25,2018-03-13
REV0000310,ORD0000310,3,,,2018-01-18,2018-08-12
REV0000311,ORD0000311,5,Great,Great product!,2018-07-08,2018-04-30
REV0000312,ORD0000312,1,Great,Great product!,2018-03-02,2018-08-15
REV0000313,ORD0000313,4,,Decent quality.,2018-07-29,2018-03-30
REV0000314,ORD0000314,2,,Arrived on time.,2018-05-30,2018-03-07
REV0000315,ORD0000315,5,,Would not buy again.,2018-07-30,2017-02-17
REV0000316,ORD0000316,5,Excellent,,2018-01-05,2018-09-05
REV0000317,ORD0000317,5,Bad,A bit disappointing.,2018-09-02,2017-10-08
REV0000318,ORD0000318,5,Bad,Decent quality.,2017-01-15,2017-05-22
REV0000319,ORD0000319,4,,Would not buy again.,2018-07-22,2017-09-06
REV0000320,ORD0000320,5,Poor,Arrived on time.,2018-04-09,2017-01-30
REV0000321,ORD0000321,3,OK,Arrived on time.,2017-08-21,2018-01-28
REV0000322,ORD0000322,5,,Very satisfied.,2018-06-04,2018-06-28
REV0000323,ORD0000323,4,,Average product.,2017-03-31,2017-11-30
REV0000324,ORD0000324,4,,Exceeded expectations.,2017-02-10,2018-03-24
REV0000325,ORD0000325,5,Great,Poor quality.,2017-02-02,2018-09-09
REV0000326,ORD0000326,1,,Decent quality.,2017-01-20,2018-09-24
REV0000327,ORD0000327,3,,Not what I expected.,2017-10-11,2018-07-31
REV0000328,ORD0000328,3,,Would not buy again.,2018-06-11,2018-09-06
REV0000329,ORD0000329,3,,Average product.,2018-02-28,2018-04-10
REV0000330,ORD0000330,5,,Poor quality.,2017-05-01,2017-06-04
REV0000331,ORD0000331,4,Bad,Arrived on time.,2018-04-21,2017-06-21
REV0000332,ORD0000332,1,,,2018-08-23,2018-08-26
REV0000333,ORD0000333,5,Fine,Exceeded expectations.,2017-05-15,2018-09-11
REV0000334,ORD0000334,4,Bad,,2018-03-25,2018-03-24
REV0000335,ORD0000335,3,,Very satisfied.,2017-11-17,2017-04-01
REV0000336,ORD0000336,3,Great,Would not buy again.,2017-04-27,2017-08-28
REV0000337,ORD0000337,5,Excellent,Decent quality.,2017-07-13,2017-06-26
REV0000338,ORD0000338,5,,Great product!,2017-12-06,2017-11-26
REV0000339,ORD0000339,5,,,2017-04-30,2017-02-15
REV0000340,ORD0000340,4,Excellent,Not what I expected.,2018-06-24,2018-07-12
REV0000341,ORD0000341,5,Bad,Average product.,2018-04-01,2018-01-19
REV0000342,ORD0000342,5,OK,Very satisfied.,2017-12-07,2018-05-01
REV0000343,ORD0000343,5,,Decent quality.,2017-03-21,2017-02-19
REV0000344,ORD0000344,4,Great,Would not buy again.,2017-11-20,2018-03-18
REV0000345,ORD0000345,5,Excellent,Decent quality.,2018-07-03,2017-01-23
REV0000346,ORD0000346,4,,Not what I expected.,2017-06-16,2018-02-12
REV0000347,ORD0000347,5,,Decent quality.,2018-08-02,2017-12-07
REV0000348,ORD0000348,3,,Average product.,2018-03-03,2018-09-10
REV0000349,ORD0000349,5,,Not what I expected.,2018-07-13,2017-06-04
REV0000350,ORD0000350,5,,,2017-09-08,2017-12-29
REV0000351,ORD0000351,5,,Not what I expected.,2018-02-08,2018-03-15
REV0000352,ORD0000352,1,Great,,2018-06-01,2018-06-23
REV0000353,ORD0000353,5,,Poor quality.,2017-10-15,2017-08-21
REV0000354,ORD0000354,4,,Exceeded expectations.,2018-01-06,2017-04-08
REV0000355,ORD0000355,5,Great,Great product!,2017-12-24,2017-07-10
REV0000356,ORD0000356,4,,Poor quality.,2018-07-13,2018-02-19
REV0000357,ORD0000357,1,,Would not buy again.,2018-03-26,2018-02-15
REV0000358,ORD0000358,4,,,2017-10-06,2017-06-13
REV0000359,ORD0000359,4,,Exceeded expectations.,2017-09-22,2017-12-31
REV0000360,ORD0000360,5,Bad,Very satisfied.,2017-08-05,2018-07-04
REV0000361,ORD0000361,4,Fine,Average product.,2018-02-18,2018-07-11
REV0000362,ORD0000362,5,,,2018-01-18,2017-06-19
REV0000363,ORD0000363,5,Bad,,2018-09-24,2017-04-03
REV0000364,ORD0000364,5,OK,Arrived on time.,2017-09-19,2018-09-16
REV0000365,ORD0000365,5,,Arrived on time.,2018-06-26,2018-02-09
