geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
70493,-23.839848,-64.54381,Manaus,MG
91518,-11.942248,-72.323719,Rio de Janeiro,BA
49093,-23.76327,-37.577669,Porto Alegre,SP
67484,-26.942087,-41.617059,Belo Horizonte,PR
50952,-3.174116,-62.419352,Belo Horizonte,PR
98364,-12.902773,-47.217084,Brasília,AM
12949,-0.183177,-51.204082,Salvador,AM
63775,-14.025531,-72.491112,Curitiba,PE
91421,-0.020951,-49.057162,Belo Horizonte,CE
66431,-1.650702,-60.145619,Rio de Janeiro,MG
20670,-18.856299,-68.918177,Rio de Janeiro,DF
16023,0.507308,-48.311726,Brasília,PR
47451,-31.362908,-46.205338,Brasília,BA
82578,-9.675968,-35.234042,Salvador,RJ
11695,-8.698556,-60.056402,Belo Horizonte,DF
83268,-14.519251,-45.001623,São Paulo,AM
54961,0.843649,-47.647468,Recife,PE
11085,-27.690494,-42.061367,Porto Alegre,SP
38459,-15.122708,-41.868635,São Paulo,PR
16695,-13.913328,-65.564025,Fortaleza,BA
27608,-0.553625,-48.560426,Fortaleza,MG
56684,-15.481256,-61.028445,Curitiba,DF
39770,4.238633,-58.144438,Rio de Janeiro,BA
74703,-14.821074,-58.768437,Manaus,RJ
55527,-17.73589,-53.790998,Recife,MG
45146,-17.92787,-66.58286,Porto Alegre,MG
19809,-12.0188,-37.723775,Brasília,BA
54707,-19.677574,-65.562065,Fortaleza,RS
20116,-18.036104,-68.65419,Curitiba,AM
94884,4.110493,-54.586659,São Paulo,SP
30270,-32.014741,-62.255689,Recife,RS
59740,-31.318438,-47.873712,Rio de Janeiro,RS
97726,-33.001526,-61.657881,Rio de Janeiro,RS
90505,-20.454728,-51.36226,Rio de Janeiro,CE
67423,-31.91881,-70.04581,Manaus,DF
52958,-10.693551,-56.453094,Fortaleza,SP
62699,-21.577878,-73.064422,Recife,RJ
42309,-30.865083,-64.445446,Belo Horizonte,MG
19532,0.587767,-57.946584,Curitiba,RJ
15187,2.810329,-61.527583,Belo Horizonte,RS
15063,-33.264346,-63.050913,Fortaleza,PE
62147,4.489101,-65.579783,Rio de Janeiro,PR
10717,2.665515,-67.444013,Manaus,AM
89312,-6.598762,-68.513747,Rio de Janeiro,RS
32745,-16.678297,-69.410701,Porto Alegre,SP
50391,-6.511864,-38.022632,Manaus,BA
39118,5.127406,-46.15109,Porto Alegre,DF
12202,2.08002,-41.165486,Recife,RS
99454,-4.716608,-39.114569,Manaus,MG
59493,-14.705344,-50.408114,Salvador,AM
95624,-21.438076,-69.615769,Rio de Janeiro,MG
48602,-28.300329,-42.61344,Belo Horizonte,PR
62294,-2.037199,-59.834318,Brasília,BA
84739,-17.320573,-53.372267,Salvador,RJ
36419,-1.056282,-60.899357,Brasília,BA
99465,-14.004475,-42.118958,São Paulo,PR
61263,-5.780969,-66.185684,Recife,CE
23856,-13.314572,-50.435931,Recife,BA
78936,-18.652176,-37.051275,São Paulo,RJ
26434,-24.63969,-65.41348,Belo Horizonte,PR
86781,-17.52981,-44.610726,Salvador,PR
28522,-4.190591,-70.965008,Recife,RJ
45866,3.040608,-47.803706,Manaus,PE
88280,-4.847215,-60.617566,Porto Alegre,RJ
88124,-22.481671,-58.271518,Manaus,PR
25882,-18.260931,-70.766452,Belo Horizonte,PR
63825,-24.320627,-39.772904,São Paulo,PR
71129,-15.476499,-38.616147,São Paulo,DF
37339,-15.503667,-62.228008,Fortaleza,CE
62647,-16.88726,-59.522481,Manaus,PE
89711,-29.444718,-39.610866,Brasília,MG
64610,-14.904748,-71.573409,São Paulo,RJ
22037,-15.830169,-43.71486,Recife,RJ
47826,-23.274309,-41.509676,Curitiba,AM
50071,-24.619953,-52.213567,Curitiba,SP
63831,-28.147342,-43.262008,Fortaleza,SP
19511,-6.781058,-51.557072,Belo Horizonte,RJ
19943,-11.559056,-49.530252,Rio de Janeiro,AM
95356,-5.746246,-55.854196,São Paulo,SP
96667,3.653355,-42.364766,Fortaleza,AM
13712,-17.232491,-61.306928,Manaus,AM
45902,-19.442517,-70.625373,Fortaleza,DF
23310,-2.850521,-42.976789,Rio de Janeiro,SP
55733,-14.950463,-49.172346,Porto Alegre,RJ
40069,-22.309111,-72.571942,Rio de Janeiro,BA
25746,-20.860356,-72.06118,Belo Horizonte,DF
26454,-23.278847,-40.216469,Fortaleza,MG
86447,1.64214,-67.336511,Rio de Janeiro,DF
15921,-31.156514,-39.566093,Fortaleza,DF
80315,4.176709,-55.327227,Porto Alegre,MG
77768,-14.405763,-54.895651,Porto Alegre,PE
47560,-1.144605,-53.213347,Fortaleza,SP
87185,-29.589293,-72.915623,Porto Alegre,PE
90933,-25.479891,-64.701602,Fortaleza,RJ
61596,-24.604779,-52.867573,Rio de Janeiro,SP
85207,-33.030869,-38.392152,Manaus,MG
83340,-4.853259,-70.687909,Rio de Janeiro,RS
92038,-26.005269,-38.866376,Porto Alegre,BA
80133,-20.50369,-45.609484,Salvador,RJ
52102,-31.498866,-49.508603,Belo Horizonte,PR
48781,-19.128423,-71.42257,Manaus,DF
79380,-26.107859,-68.172776,Curitiba,RS
76525,-25.016665,-62.731025,Salvador,SP
87010,-21.573302,-61.717902,Recife,RS
58334,-9.859873,-62.48734,Salvador,MG
93738,-1.591309,-72.55554,Recife,MG
19321,1.717425,-45.734038,São Paulo,RS
68774,-30.756853,-53.019262,Manaus,MG
38514,-10.251053,-58.847629,São Paulo,AM
11628,-19.15668,-69.928524,Curitiba,MG
89017,-12.979594,-45.767561,Brasília,PR
43395,-17.308723,-63.359167,Brasília,PR
25808,-22.563262,-72.222796,Recife,BA
11770,-13.923679,-52.284124,Manaus,PR
83248,-31.105927,-37.926077,São Paulo,SP
86128,3.346537,-47.280076,Recife,AM
49422,-11.782287,-51.48699,Salvador,BA
46633,-11.232863,-65.151969,Porto Alegre,AM
72995,3.750636,-55.531645,Rio de Janeiro,MG
20876,1.292251,-57.867105,Salvador,SP
81083,-31.065471,-54.88926,Rio de Janeiro,SP
92751,0.590516,-43.217358,Brasília,DF
43253,-20.910644,-47.3739,Belo Horizonte,SP
89468,-17.586184,-39.297996,Salvador,RS
91075,-16.640871,-52.498855,Salvador,RS
58692,-3.200436,-64.888139,Recife,RJ
70547,-20.832723,-42.187681,Curitiba,MG
59045,-7.68435,-51.786024,Belo Horizonte,MG
94689,-16.716495,-41.826091,Brasília,PE
31437,0.778501,-43.666791,Rio de Janeiro,AM
85894,-3.05359,-70.622602,Belo Horizonte,PE
98648,-24.119446,-60.70132,Belo Horizonte,AM
57170,-4.113539,-46.632466,São Paulo,MG
39774,-3.78008,-47.318041,Salvador,RJ
85885,-29.699754,-71.834983,Curitiba,PR
43950,3.376302,-72.447733,Curitiba,SP
15647,4.696887,-66.87627,São Paulo,AM
56553,-10.681096,-62.755361,Recife,BA
19017,-14.838345,-63.753942,São Paulo,PR
50300,-31.851302,-65.149614,Fortaleza,AM
71588,-8.674528,-50.024031,Brasília,SP
61016,0.059844,-55.898711,Salvador,PE
96433,-1.085782,-57.641406,Belo Horizonte,BA
15462,-0.975124,-52.818539,Porto Alegre,DF
24750,4.127126,-44.816059,Rio de Janeiro,MG
34466,-29.354308,-36.144406,Fortaleza,DF
79279,-12.527504,-41.85047,Fortaleza,PR
92005,-8.433552,-35.553922,Rio de Janeiro,PR
72316,-32.074482,-43.062771,Curitiba,PR
77665,4.127682,-49.749657,Salvador,AM
18081,-0.189649,-64.5938,Porto Alegre,PE
47185,-6.478822,-47.998031,Brasília,RS
59736,3.871364,-52.630917,Manaus,BA
61468,3.85993,-50.589818,Brasília,PR
54453,3.917888,-57.375042,Porto Alegre,PR
89457,2.843414,-55.086833,Fortaleza,SP
86368,-20.771708,-36.29156,São Paulo,RS
96192,1.041977,-48.833801,Porto Alegre,RS
33871,-28.121766,-45.620984,Manaus,SP
71343,-20.398386,-68.533482,São Paulo,DF
12382,-13.449731,-40.837633,Belo Horizonte,DF
58677,-5.552465,-71.99993,Salvador,RJ
11872,-8.558398,-60.547595,São Paulo,CE
66714,-4.405982,-54.257384,Curitiba,BA
58307,5.023781,-58.829998,Manaus,DF
50300,-4.976699,-36.77523,Brasília,DF
91056,-26.335965,-38.634764,Porto Alegre,PR
53607,-2.589588,-49.925722,Belo Horizonte,CE
52950,-31.849946,-63.669794,São Paulo,RS
31178,-11.14948,-51.038041,São Paulo,SP
71589,-5.488784,-71.894442,São Paulo,MG
41673,5.145126,-41.972054,Salvador,AM
20863,-33.162441,-41.119551,Fortaleza,PE
30864,-29.11787,-59.616031,Belo Horizonte,CE
56348,-19.107475,-51.284666,Curitiba,PR
82020,-17.374805,-44.182518,Brasília,MG
20341,-14.130989,-53.336375,Porto Alegre,PE
28138,-24.202396,-69.001308,Salvador,PE
64279,-30.635479,-59.930233,Curitiba,SP
21674,-24.488276,-55.780518,Fortaleza,PR
84446,-27.531863,-52.533499,Belo Horizonte,BA
61268,-22.332575,-35.043101,São Paulo,RS
34347,-24.496085,-55.445573,Rio de Janeiro,CE
28522,-32.725496,-58.452039,Brasília,DF
85158,-30.358446,-45.921607,Porto Alegre,AM
76524,-17.436028,-68.933588,Recife,BA
99284,-11.671938,-72.247628,Salvador,PE
93797,1.990878,-55.694247,Recife,PR
68222,-13.185643,-46.22961,Curitiba,PR
56086,-31.445439,-52.060564,São Paulo,BA
22748,-22.170279,-41.272384,Curitiba,MG
77054,-27.44943,-72.861312,Manaus,SP
25105,-9.247826,-69.737868,Salvador,BA
94203,-11.576562,-36.336634,Recife,DF
12783,-33.674976,-46.359344,Curitiba,RS
73411,-18.718848,-63.147308,Recife,SP
33598,1.603784,-47.724054,Manaus,MG
31915,-23.868662,-45.484727,Belo Horizonte,RJ
97298,-5.939343,-46.064589,São Paulo,CE
78869,2.353228,-35.153964,Salvador,RJ
14714,-9.28365,-41.505598,Fortaleza,AM
32722,-10.841105,-41.85895,Porto Alegre,RJ
98901,-8.281243,-41.796356,Salvador,MG
99260,-17.103415,-45.308482,Brasília,PE
38611,2.04036,-72.863652,Rio de Janeiro,BA
39682,-14.128114,-37.641627,Rio de Janeiro,CE
10653,-6.014575,-45.632954,Belo Horizonte,PE
23252,-4.670662,-47.15212,Salvador,AM
76012,-29.416616,-57.756028,Recife,RS
13038,-15.788007,-37.95205,Porto Alegre,PR
33692,-16.953199,-47.546291,Recife,BA
61137,-13.973721,-48.750066,Rio de Janeiro,RJ
67727,-6.889187,-68.765851,Porto Alegre,DF
83669,-25.711872,-55.316281,Curitiba,BA
73670,-26.653406,-63.463276,Porto Alegre,BA
23402,-13.927077,-68.671638,Manaus,MG
21150,-24.000798,-60.708536,Brasília,RJ
46028,4.732793,-54.963867,São Paulo,PR
71225,0.263048,-46.406516,Brasília,DF
20033,-12.123702,-55.077588,Curitiba,PE
34974,-27.492334,-37.370667,Rio de Janeiro,SP
34419,-0.928892,-44.214048,Rio de Janeiro,PE
96246,-15.684813,-64.886927,Salvador,BA
32167,-2.876314,-68.63468,Curitiba,SP
99358,4.253465,-41.058546,Belo Horizonte,RJ
64607,-33.294695,-42.423745,Curitiba,DF
99403,-31.403237,-52.167306,Recife,RS
96487,-14.592202,-67.586798,São Paulo,BA
10439,-22.425675,-70.448491,Brasília,PE
16241,-19.834923,-37.024134,Rio de Janeiro,RJ
39242,0.454156,-51.43654,Porto Alegre,RJ
37034,2.861367,-48.009734,Recife,PR
17338,-22.099452,-73.046254,Manaus,RJ
70324,-13.160684,-35.743176,Salvador,SP
30007,-1.543772,-63.464139,Recife,AM
58412,-9.781398,-63.415786,São Paulo,SP
10900,-30.769404,-58.205175,Rio de Janeiro,DF
97237,1.623696,-68.007033,São Paulo,RS
31842,-33.305916,-57.334484,Porto Alegre,PR
39187,-11.301999,-35.46474,Manaus,BA
98031,-14.248471,-68.01657,Salvador,PR
42301,-22.934296,-40.166861,Belo Horizonte,RS
80060,-24.364693,-61.372783,Manaus,CE
40827,-0.478932,-69.209731,São Paulo,MG
14806,-7.793489,-37.535883,Porto Alegre,DF
35370,-21.208918,-44.327403,Rio de Janeiro,SP
58838,-12.109928,-56.963026,Brasília,AM
36438,-2.427703,-68.48458,Recife,DF
21796,-11.953387,-64.926624,Salvador,PR
28691,-9.007642,-71.319377,Porto Alegre,RS
97644,-17.284385,-41.416235,Brasília,SP
