order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date
ORD0000028,CUST000099,delivered,2017-06-18,2017-06-18,2017-06-20,2017-07-01,2017-07-10
ORD0000029,CUST000733,delivered,2018-05-16,2018-05-17,2018-05-20,2018-05-25,2018-06-09
ORD0000030,CUST000251,delivered,2017-03-27,2017-03-27,2017-03-28,2017-04-04,2017-04-24
ORD0000031,CUST000080,delivered,2018-07-14,2018-07-15,2018-07-17,2018-07-31,2018-08-07
ORD0000032,CUST000249,delivered,2018-02-09,2018-02-10,2018-02-12,2018-02-20,2018-02-23
ORD0000033,CUST000335,delivered,2017-09-04,2017-09-04,2017-09-05,2017-09-17,2017-09-22
ORD0000034,CUST000522,delivered,2017-12-31,2017-12-31,2018-01-02,2018-01-10,2018-01-29
ORD0000035,CUST000122,delivered,2018-08-19,2018-08-19,2018-08-21,2018-08-31,2018-09-06
ORD0000036,CUST000359,delivered,2018-08-10,2018-08-10,2018-08-14,2018-08-25,2018-09-04
ORD0000037,CUST000682,delivered,2017-06-29,2017-06-30,2017-07-04,2017-07-17,2017-07-25
ORD0000038,CUST000261,delivered,2017-12-29,2017-12-30,2018-01-02,2018-01-15,2018-01-09
ORD0000039,CUST000178,delivered,2017-03-01,2017-03-01,2017-03-04,2017-03-13,2017-03-19
ORD0000040,CUST000300,delivered,2017-01-17,2017-01-18,2017-01-21,2017-01-31,2017-02-14
ORD0000041,CUST000337,canceled,2018-07-29,2018-07-30,2018-08-01,2018-08-15,2018-08-14
ORD0000042,CUST000591,delivered,2017-02-25,2017-02-26,2017-02-28,2017-03-11,2017-03-26
ORD0000043,CUST000762,delivered,2017-07-16,2017-07-16,2017-07-17,2017-07-23,2017-07-31
ORD0000044,CUST000774,delivered,2017-03-04,2017-03-05,2017-03-08,2017-03-19,2017-03-15
ORD0000045,CUST000170,delivered,2017-08-15,2017-08-15,2017-08-17,2017-08-29,2017-08-26
ORD0000046,CUST000416,delivered,2017-03-07,2017-03-08,2017-03-11,2017-03-17,2017-03-24
ORD0000047,CUST000534,delivered,2017-05-24,2017-05-24,2017-05-26,2017-06-02,2017-06-14
ORD0000048,CUST000215,delivered,2018-05-10,2018-05-10,2018-05-13,2018-05-25,2018-05-20
ORD0000049,CUST000626,canceled,2018-08-25,2018-08-26,2018-08-28,2018-09-05,2018-09-14
ORD0000050,CUST000668,delivered,2017-05-03,2017-05-03,2017-05-07,2017-05-11,2017-05-21
ORD0000051,CUST000761,canceled,2017-08-28,2017-08-28,2017-08-29,2017-09-02,2017-09-13
ORD0000052,CUST000488,delivered,2017-07-02,2017-07-02,2017-07-04,2017-07-09,2017-07-21
ORD0000053,CUST000127,delivered,2018-03-22,2018-03-23,2018-03-26,2018-04-09,2018-04-06
ORD0000054,CUST000743,delivered,2017-04-29,2017-04-29,2017-05-03,2017-05-07,2017-05-25
ORD0000055,CUST000413,delivered,2018-05-06,2018-05-06,2018-05-10,2018-05-23,2018-05-25
ORD0000056,CUST000286,delivered,2017-11-02,2017-11-02,2017-11-03,2017-11-11,2017-11-22
ORD0000057,CUST000297,invoiced,2017-02-24,2017-02-25,2017-03-01,2017-03-14,2017-03-24
ORD0000058,CUST000674,delivered,2018-04-10,2018-04-11,2018-04-15,2018-04-19,2018-05-04
ORD0000059,CUST000204,delivered,2018-06-01,2018-06-02,2018-06-04,2018-06-12,2018-06-25
ORD0000060,CUST000291,delivered,2018-01-04,2018-01-04,2018-01-05,2018-01-18,2018-01-17
ORD0000061,CUST000183,delivered,2017-09-16,2017-09-17,2017-09-20,2017-09-28,2017-10-09
ORD0000062,CUST000781,delivered,2017-03-15,2017-03-15,2017-03-17,2017-03-23,2017-04-12
ORD0000063,CUST000237,delivered,2017-08-15,2017-08-16,2017-08-20,2017-08-24,2017-08-26
ORD0000064,CUST000452,delivered,2017-03-31,2017-04-01,2017-04-04,2017-04-09,2017-04-22
ORD0000065,CUST000626,delivered,2017-12-13,2017-12-14,2017-12-16,2017-12-28,2018-01-07
ORD0000066,CUST000686,delivered,2017-08-27,2017-08-28,2017-08-30,2017-09-09,2017-09-23
ORD0000067,CUST000672,delivered,2017-11-03,2017-11-04,2017-11-07,2017-11-16,2017-11-16
ORD0000068,CUST000721,delivered,2017-02-22,2017-02-23,2017-02-27,2017-03-04,2017-03-08
ORD0000069,CUST000690,canceled,2018-03-23,2018-03-23,2018-03-25,2018-04-01,2018-04-19
ORD0000070,CUST000799,delivered,2017-04-07,2017-04-07,2017-04-09,2017-04-14,2017-04-27
ORD0000071,CUST000419,delivered,2018-03-18,2018-03-18,2018-03-20,2018-03-26,2018-04-05
ORD0000072,CUST000448,shipped,2017-12-27,2017-12-27,2017-12-31,2018-01-05,2018-01-20
ORD0000073,CUST000563,delivered,2018-06-07,2018-06-08,2018-06-09,2018-06-20,2018-07-04
ORD0000074,CUST000343,delivered,2018-05-29,2018-05-29,2018-06-01,2018-06-11,2018-06-22
ORD0000075,CUST000667,delivered,2017-06-27,2017-06-27,2017-06-29,2017-07-08,2017-07-21
ORD0000076,CUST000564,delivered,2018-03-17,2018-03-17,2018-03-20,2018-03-25,2018-03-28
ORD0000077,CUST000143,delivered,2018-03-10,2018-03-10,2018-03-13,2018-03-21,2018-03-29
ORD0000078,CUST000760,delivered,2017-07-21,2017-07-21,2017-07-25,2017-08-02,2017-08-04
ORD0000079,CUST000269,shipped,2018-03-31,2018-04-01,2018-04-04,2018-04-08,2018-04-19
ORD0000080,CUST000789,delivered,2017-09-18,2017-09-19,2017-09-20,2017-10-02,2017-09-29
ORD0000081,CUST000619,delivered,2017-09-19,2017-09-19,2017-09-23,2017-09-27,2017-10-12
ORD0000082,CUST000279,delivered,2018-03-04,2018-03-05,2018-03-06,2018-03-18,2018-03-20
ORD0000083,CUST000617,delivered,2017-01-07,2017-01-08,2017-01-10,2017-01-14,2017-02-05
ORD0000084,CUST000158,canceled,2018-01-02,2018-01-03,2018-01-05,2018-01-17,2018-01-17
ORD0000085,CUST000474,invoiced,2017-08-23,2017-08-23,2017-08-26,2017-09-01,2017-09-20
ORD0000086,CUST000081,shipped,2017-04-29,2017-04-30,2017-05-04,2017-05-10,2017-05-22
ORD0000087,CUST000711,delivered,2018-04-16,2018-04-17,2018-04-18,2018-04-27,2018-05-08
ORD0000088,CUST000334,delivered,2017-11-13,2017-11-14,2017-11-18,2017-11-30,2017-12-11
ORD0000089,CUST000429,delivered,2018-03-13,2018-03-14,2018-03-18,2018-03-28,2018-04-02
ORD0000090,CUST000729,delivered,2018-05-29,2018-05-30,2018-05-31,2018-06-09,2018-06-11
ORD0000091,CUST000511,delivered,2018-06-11,2018-06-12,2018-06-13,2018-06-16,2018-06-26
ORD0000092,CUST000309,shipped,2017-11-21,2017-11-22,2017-11-24,2017-11-28,2017-12-18
ORD0000093,CUST000363,delivered,2017-06-23,2017-06-24,2017-06-28,2017-07-07,2017-07-18
ORD0000094,CUST000483,delivered,2017-02-09,2017-02-10,2017-02-12,2017-02-16,2017-03-01
ORD0000095,CUST000253,delivered,2017-01-18,2017-01-18,2017-01-22,2017-01-25,2017-02-05
ORD0000096,CUST000503,delivered,2018-02-03,2018-02-03,2018-02-05,2018-02-08,2018-03-02
ORD0000097,CUST000782,delivered,2018-01-13,2018-01-14,2018-01-18,2018-01-24,2018-01-27
ORD0000098,CUST000626,delivered,2017-06-23,2017-06-23,2017-06-25,2017-07-08,2017-07-12
ORD0000099,CUST000230,delivered,2018-07-10,2018-07-10,2018-07-12,2018-07-17,2018-07-29
ORD0000100,CUST000757,delivered,2017-06-19,2017-06-19,2017-06-22,2017-07-03,2017-07-18
ORD0000101,CUST000079,delivered,2017-12-13,2017-12-13,2017-12-15,2017-12-26,2018-01-02
ORD0000102,CUST000389,delivered,2018-03-21,2018-03-22,2018-03-23,2018-04-02,2018-04-19
ORD0000103,CUST000741,delivered,2017-09-25,2017-09-25,2017-09-29,2017-10-06,2017-10-09
ORD0000104,CUST000068,delivered,2017-12-04,2017-12-05,2017-12-07,2017-12-12,2017-12-19
ORD0000105,CUST000434,shipped,2018-03-22,2018-03-22,2018-03-26,2018-04-07,2018-04-14
ORD0000106,CUST000514,delivered,2017-01-20,2017-01-21,2017-01-25,2017-02-04,2017-02-17
ORD0000107,CUST000409,delivered,2017-11-21,2017-11-21,2017-11-25,2017-12-05,2017-12-01
ORD0000108,CUST000544,delivered,2018-04-12,2018-04-12,2018-04-13,2018-04-18,2018-05-06
ORD0000109,CUST000700,delivered,2017-01-24,2017-01-25,2017-01-28,2017-02-06,2017-02-13
ORD0000110,CUST000003,delivered,2017-09-18,2017-09-19,2017-09-21,2017-10-01,2017-10-12
ORD0000111,CUST000218,delivered,2018-05-09,2018-05-10,2018-05-11,2018-05-20,2018-06-03
ORD0000112,CUST000105,delivered,2018-04-08,2018-04-09,2018-04-12,2018-04-23,2018-04-21
ORD0000113,CUST000174,shipped,2017-12-17,2017-12-18,2017-12-19,2018-01-01,2018-01-10
ORD0000114,CUST000033,delivered,2017-02-24,2017-02-24,2017-02-26,2017-03-06,2017-03-21
ORD0000115,CUST000483,delivered,2017-06-08,2017-06-09,2017-06-12,2017-06-20,2017-06-29
ORD0000116,CUST000744,delivered,2017-01-22,2017-01-22,2017-01-26,2017-02-03,2017-02-18
ORD0000117,CUST000381,delivered,2017-07-30,2017-07-30,2017-08-01,2017-08-09,2017-08-22
ORD0000118,CUST000310,delivered,2017-11-24,2017-11-24,2017-11-26,2017-12-06,2017-12-13
ORD0000119,CUST000567,delivered,2017-02-17,2017-02-17,2017-02-19,2017-02-23,2017-03-14
ORD0000120,CUST000502,delivered,2018-05-23,2018-05-24,2018-05-27,2018-06-06,2018-06-13
ORD0000121,CUST000698,delivered,2017-03-30,2017-03-31,2017-04-02,2017-04-14,2017-04-23
ORD0000122,CUST000542,delivered,2017-05-24,2017-05-24,2017-05-25,2017-05-28,2017-06-11
ORD0000123,CUST000621,delivered,2018-03-12,2018-03-13,2018-03-16,2018-03-24,2018-03-24
ORD0000124,CUST000683,canceled,2017-11-11,2017-11-12,2017-11-16,2017-11-27,2017-11-29
ORD0000125,CUST000375,delivered,2017-05-20,2017-05-21,2017-05-24,2017-06-02,2017-06-03
ORD0000126,CUST000578,delivered,2017-04-24,2017-04-25,2017-04-27,2017-05-08,2017-05-22
ORD0000127,CUST000135,delivered,2018-03-27,2018-03-28,2018-03-29,2018-04-01,2018-04-25
ORD0000128,CUST000542,delivered,2017-10-13,2017-10-13,2017-10-14,2017-10-27,2017-10-31
ORD0000129,CUST000171,delivered,2017-06-05,2017-06-05,2017-06-06,2017-06-09,2017-06-20
ORD0000130,CUST000460,delivered,2017-05-27,2017-05-27,2017-05-30,2017-06-05,2017-06-10
ORD0000131,CUST000213,delivered,2017-07-02,2017-07-02,2017-07-04,2017-07-07,2017-07-30
ORD0000132,CUST000240,delivered,2017-04-15,2017-04-16,2017-04-17,2017-05-01,2017-05-07
ORD0000133,CUST000725,delivered,2017-10-17,2017-10-18,2017-10-20,2017-11-01,2017-11-06
ORD0000134,CUST000107,delivered,2017-02-07,2017-02-08,2017-02-09,2017-02-17,2017-03-08
ORD0000135,CUST000465,shipped,2018-01-19,2018-01-19,2018-01-22,2018-01-25,2018-02-04
ORD0000136,CUST000213,shipped,2017-01-11,2017-01-11,2017-01-13,2017-01-26,2017-02-06
ORD0000137,CUST000728,delivered,2017-11-22,2017-11-22,2017-11-25,2017-12-05,2017-12-17
ORD0000138,CUST000512,delivered,2018-06-22,2018-06-23,2018-06-26,2018-07-04,2018-07-02
ORD0000139,CUST000495,delivered,2017-08-04,2017-08-05,2017-08-07,2017-08-19,2017-08-26
ORD0000140,CUST000333,delivered,2017-05-18,2017-05-19,2017-05-22,2017-05-27,2017-05-31
ORD0000141,CUST000387,delivered,2018-01-02,2018-01-02,2018-01-06,2018-01-09,2018-01-12
ORD0000142,CUST000137,delivered,2017-01-01,2017-01-01,2017-01-05,2017-01-08,2017-01-16
ORD0000143,CUST000658,delivered,2017-08-11,2017-08-11,2017-08-13,2017-08-22,2017-08-30
ORD0000144,CUST000545,delivered,2017-10-18,2017-10-18,2017-10-21,2017-11-03,2017-11-14
ORD0000145,CUST000405,delivered,2018-03-12,2018-03-12,2018-03-16,2018-03-28,2018-03-30
ORD0000146,CUST000367,delivered,2018-08-06,2018-08-06,2018-08-08,2018-08-21,2018-08-27
ORD0000147,CUST000505,delivered,2018-02-28,2018-02-28,2018-03-01,2018-03-06,2018-03-16
ORD0000148,CUST000090,delivered,2018-04-15,2018-04-15,2018-04-19,2018-04-28,2018-05-02
ORD0000149,CUST000350,delivered,2017-02-13,2017-02-14,2017-02-17,2017-02-24,2017-03-06
ORD0000150,CUST000392,delivered,2018-03-26,2018-03-26,2018-03-29,2018-04-07,2018-04-09
ORD0000151,CUST000127,delivered,2017-10-17,2017-10-17,2017-10-19,2017-10-31,2017-11-14
ORD0000152,CUST000093,delivered,2018-03-02,2018-03-02,2018-03-06,2018-03-14,2018-03-24
ORD0000153,CUST000104,delivered,2017-01-26,2017-01-27,2017-01-28,2017-02-06,2017-02-21
ORD0000154,CUST000553,delivered,2018-06-13,2018-06-14,2018-06-16,2018-06-21,2018-06-23
ORD0000155,CUST000214,delivered,2017-07-19,2017-07-19,2017-07-21,2017-07-28,2017-08-09
ORD0000156,CUST000496,shipped,2017-05-03,2017-05-04,2017-05-07,2017-05-20,2017-05-30
ORD0000157,CUST000133,shipped,2017-05-29,2017-05-29,2017-06-01,2017-06-08,2017-06-25
ORD0000158,CUST000247,delivered,2018-05-29,2018-05-29,2018-06-02,2018-06-14,2018-06-17
ORD0000159,CUST000143,delivered,2018-02-03,2018-02-03,2018-02-06,2018-02-15,2018-02-13
ORD0000160,CUST000368,delivered,2017-05-09,2017-05-09,2017-05-11,2017-05-14,2017-05-29
ORD0000161,CUST000640,delivered,2017-01-21,2017-01-22,2017-01-25,2017-02-08,2017-02-14
ORD0000162,CUST000702,delivered,2018-01-22,2018-01-22,2018-01-23,2018-01-31,2018-02-14
ORD0000163,CUST000152,delivered,2017-12-05,2017-12-05,2017-12-06,2017-12-15,2017-12-31
ORD0000164,CUST000107,delivered,2018-06-01,2018-06-01,2018-06-05,2018-06-13,2018-06-17
ORD0000165,CUST000129,delivered,2018-05-11,2018-05-11,2018-05-15,2018-05-29,2018-06-02
ORD0000166,CUST000010,invoiced,2018-05-20,2018-05-20,2018-05-21,2018-05-29,2018-06-14
ORD0000167,CUST000040,delivered,2018-06-14,2018-06-14,2018-06-18,2018-06-26,2018-07-07
ORD0000168,CUST000702,delivered,2017-03-18,2017-03-18,2017-03-22,2017-03-31,2017-04-14
ORD0000169,CUST000087,delivered,2017-08-10,2017-08-11,2017-08-15,2017-08-29,2017-09-07
ORD0000170,CUST000505,delivered,2017-08-02,2017-08-03,2017-08-06,2017-08-16,2017-08-21
ORD0000171,CUST000099,delivered,2018-06-04,2018-06-04,2018-06-07,2018-06-17,2018-06-26
ORD0000172,CUST000221,shipped,2017-05-30,2017-05-30,2017-06-03,2017-06-15,2017-06-27
ORD0000173,CUST000308,delivered,2017-04-05,2017-04-06,2017-04-08,2017-04-16,2017-04-20
ORD0000174,CUST000154,invoiced,2017-06-19,2017-06-19,2017-06-22,2017-07-01,2017-06-29
ORD0000175,CUST000413,delivered,2018-02-25,2018-02-26,2018-03-01,2018-03-04,2018-03-19
ORD0000176,CUST000432,delivered,2017-03-29,2017-03-29,2017-04-01,2017-04-15,2017-04-14
ORD0000177,CUST000216,delivered,2018-01-15,2018-01-16,2018-01-18,2018-01-29,2018-02-12
ORD0000178,CUST000001,delivered,2018-04-18,2018-04-19,2018-04-20,2018-04-28,2018-05-01
ORD0000179,CUST000642,delivered,2018-01-02,2018-01-02,2018-01-06,2018-01-19,2018-01-21
ORD0000180,CUST000368,delivered,2018-08-14,2018-08-14,2018-08-15,2018-08-23,2018-09-10
ORD0000181,CUST000043,delivered,2018-05-20,2018-05-20,2018-05-23,2018-05-30,2018-06-14
ORD0000182,CUST000468,delivered,2017-01-25,2017-01-25,2017-01-27,2017-01-31,2017-02-16
ORD0000183,CUST000544,delivered,2018-04-23,2018-04-23,2018-04-24,2018-05-01,2018-05-18
ORD0000184,CUST000332,delivered,2017-06-05,2017-06-05,2017-06-08,2017-06-18,2017-07-01
ORD0000185,CUST000345,delivered,2017-06-17,2017-06-18,2017-06-19,2017-07-02,2017-06-28
ORD0000186,CUST000036,delivered,2018-02-27,2018-02-28,2018-03-02,2018-03-14,2018-03-23
ORD0000187,CUST000797,delivered,2017-12-15,2017-12-15,2017-12-18,2017-12-27,2018-01-10
ORD0000188,CUST000006,delivered,2018-05-04,2018-05-05,2018-05-08,2018-05-20,2018-05-16
ORD0000189,CUST000339,invoiced,2018-05-29,2018-05-30,2018-06-03,2018-06-11,2018-06-10
ORD0000190,CUST000363,delivered,2017-12-05,2017-12-05,2017-12-07,2017-12-14,2018-01-01
ORD0000191,CUST000151,delivered,2018-08-11,2018-08-11,2018-08-15,2018-08-24,2018-09-09
ORD0000192,CUST000384,delivered,2018-06-04,2018-06-04,2018-06-06,2018-06-18,2018-06-20
ORD0000193,CUST000252,delivered,2018-02-14,2018-02-15,2018-02-19,2018-02-27,2018-03-02
ORD0000194,CUST000780,delivered,2018-03-23,2018-03-23,2018-03-26,2018-04-02,2018-04-17
ORD0000195,CUST000388,delivered,2018-03-24,2018-03-24,2018-03-27,2018-04-01,2018-04-11
ORD0000196,CUST000253,delivered,2017-07-21,2017-07-22,2017-07-23,2017-07-28,2017-08-05
ORD0000197,CUST000702,canceled,2018-06-28,2018-06-28,2018-07-01,2018-07-11,2018-07-13
ORD0000198,CUST000687,delivered,2017-02-05,2017-02-06,2017-02-08,2017-02-11,2017-02-21
ORD0000199,CUST000236,delivered,2017-01-07,2017-01-08,2017-01-12,2017-01-21,2017-02-03
ORD0000200,CUST000141,delivered,2017-07-24,2017-07-24,2017-07-25,2017-07-31,2017-08-18
ORD0000201,CUST000000,delivered,2017-05-18,2017-05-19,2017-05-23,2017-06-06,2017-06-10
ORD0000202,CUST000766,delivered,2017-07-26,2017-07-27,2017-07-28,2017-08-11,2017-08-21
ORD0000203,CUST000496,delivered,2017-06-10,2017-06-11,2017-06-15,2017-06-24,2017-07-04
ORD0000204,CUST000296,delivered,2018-06-12,2018-06-12,2018-06-15,2018-06-21,2018-06-27
ORD0000205,CUST000059,delivered,2018-04-28,2018-04-28,2018-04-30,2018-05-04,2018-05-08
ORD0000206,CUST000182,delivered,2018-07-21,2018-07-21,2018-07-22,2018-08-03,2018-08-17
ORD0000207,CUST000544,delivered,2017-02-16,2017-02-17,2017-02-18,2017-02-21,2017-03-04
ORD0000208,CUST000058,delivered,2017-05-03,2017-05-04,2017-05-05,2017-05-15,2017-05-14
ORD0000209,CUST000614,delivered,2017-12-10,2017-12-10,2017-12-11,2017-12-18,2017-12-25
ORD0000210,CUST000000,delivered,2017-10-15,2017-10-15,2017-10-17,2017-10-25,2017-10-31
ORD0000211,CUST000410,delivered,2017-05-20,2017-05-20,2017-05-23,2017-05-28,2017-06-03
ORD0000212,CUST000456,delivered,2017-07-28,2017-07-28,2017-07-29,2017-08-01,2017-08-13
ORD0000213,CUST000616,delivered,2017-07-13,2017-07-13,2017-07-17,2017-07-22,2017-08-06
ORD0000214,CUST000125,delivered,2018-01-03,2018-01-03,2018-01-06,2018-01-19,2018-01-17
ORD0000215,CUST000788,delivered,2017-03-12,2017-03-12,2017-03-14,2017-03-21,2017-04-08
ORD0000216,CUST000655,delivered,2018-07-30,2018-07-30,2018-08-01,2018-08-12,2018-08-20
ORD0000217,CUST000489,delivered,2018-01-18,2018-01-19,2018-01-20,2018-01-24,2018-01-30
ORD0000218,CUST000570,delivered,2017-08-20,2017-08-21,2017-08-23,2017-08-28,2017-09-13
ORD0000219,CUST000680,delivered,2017-03-22,2017-03-23,2017-03-26,2017-04-01,2017-04-15
ORD0000220,CUST000765,delivered,2017-10-25,2017-10-26,2017-10-30,2017-11-11,2017-11-20
ORD0000221,CUST000458,delivered,2017-06-07,2017-06-07,2017-06-11,2017-06-14,2017-07-01
ORD0000222,CUST000669,delivered,2017-11-04,2017-11-04,2017-11-07,2017-11-15,2017-11-20
ORD0000223,CUST000035,invoiced,2018-01-02,2018-01-02,2018-01-03,2018-01-06,2018-01-24
ORD0000224,CUST000628,delivered,2017-02-02,2017-02-02,2017-02-04,2017-02-15,2017-02-17
ORD0000225,CUST000668,canceled,2017-01-02,2017-01-02,2017-01-06,2017-01-14,2017-01-18
ORD0000226,CUST000544,delivered,2017-10-25,2017-10-26,2017-10-30,2017-11-06,2017-11-18
ORD0000227,CUST000379,delivered,2017-02-26,2017-02-27,2017-02-28,2017-03-14,2017-03-13
ORD0000228,CUST000729,delivered,2018-03-04,2018-03-04,2018-03-07,2018-03-16,2018-03-16
ORD0000229,CUST000193,delivered,2018-06-10,2018-06-10,2018-06-14,2018-06-18,2018-07-07
ORD0000230,CUST000793,delivered,2018-01-11,2018-01-11,2018-01-15,2018-01-20,2018-01-22
ORD0000231,CUST000707,delivered,2017-01-08,2017-01-09,2017-01-11,2017-01-24,2017-02-01
ORD0000232,CUST000576,delivered,2018-04-10,2018-04-10,2018-04-11,2018-04-23,2018-05-05
ORD0000233,CUST000716,delivered,2018-02-15,2018-02-15,2018-02-19,2018-03-03,2018-03-02
ORD0000234,CUST000051,delivered,2017-11-11,2017-11-11,2017-11-14,2017-11-27,2017-11-29
ORD0000235,CUST000758,delivered,2018-06-10,2018-06-11,2018-06-13,2018-06-25,2018-06-22
ORD0000236,CUST000422,delivered,2017-10-01,2017-10-02,2017-10-03,2017-10-11,2017-10-14
ORD0000237,CUST000664,delivered,2017-06-13,2017-06-14,2017-06-16,2017-06-26,2017-07-01
ORD0000238,CUST000749,shipped,2018-05-08,2018-05-09,2018-05-13,2018-05-25,2018-06-01
ORD0000239,CUST000414,delivered,2017-01-12,2017-01-12,2017-01-13,2017-01-25,2017-01-29
ORD0000240,CUST000039,shipped,2018-07-12,2018-07-12,2018-07-16,2018-07-21,2018-08-09
ORD0000241,CUST000183,delivered,2017-03-21,2017-03-22,2017-03-23,2017-03-30,2017-04-02
ORD0000242,CUST000023,delivered,2017-04-25,2017-04-25,2017-04-29,2017-05-03,2017-05-23
ORD0000243,CUST000638,delivered,2017-01-22,2017-01-23,2017-01-26,2017-01-29,2017-02-04
ORD0000244,CUST000583,delivered,2017-09-28,2017-09-29,2017-10-02,2017-10-15,2017-10-27
ORD0000245,CUST000371,invoiced,2018-08-24,2018-08-25,2018-08-27,2018-09-01,2018-09-05
ORD0000246,CUST000141,delivered,2017-03-26,2017-03-27,2017-03-30,2017-04-13,2017-04-15
ORD0000247,CUST000370,delivered,2017-07-05,2017-07-06,2017-07-07,2017-07-11,2017-07-18
ORD0000248,CUST000348,delivered,2018-01-23,2018-01-24,2018-01-28,2018-02-07,2018-02-16
ORD0000249,CUST000401,delivered,2017-12-04,2017-12-04,2017-12-06,2017-12-13,2017-12-24
ORD0000250,CUST000096,delivered,2018-06-03,2018-06-04,2018-06-06,2018-06-12,2018-06-18
ORD0000251,CUST000648,canceled,2018-06-18,2018-06-19,2018-06-20,2018-06-30,2018-07-16
ORD0000252,CUST000345,delivered,2017-11-06,2017-11-07,2017-11-09,2017-11-14,2017-11-18
ORD0000253,CUST000693,delivered,2018-01-07,2018-01-08,2018-01-10,2018-01-24,2018-01-19
ORD0000254,CUST000333,delivered,2018-02-13,2018-02-13,2018-02-17,2018-02-25,2018-03-07
ORD0000255,CUST000551,delivered,2017-03-06,2017-03-06,2017-03-09,2017-03-15,2017-03-19
ORD0000256,CUST000065,delivered,2017-02-23,2017-02-24,2017-02-26,2017-03-12,2017-03-20
ORD0000257,CUST000340,delivered,2017-07-28,2017-07-28,2017-07-31,2017-08-03,2017-08-26
ORD0000258,CUST000213,delivered,2018-02-06,2018-02-07,2018-02-10,2018-02-21,2018-03-02
ORD0000259,CUST000667,delivered,2017-10-07,2017-10-07,2017-10-11,2017-10-18,2017-10-29
ORD0000260,CUST000088,delivered,2017-05-17,2017-05-18,2017-05-19,2017-05-29,2017-06-08
ORD0000261,CUST000082,delivered,2017-01-15,2017-01-16,2017-01-20,2017-01-27,2017-02-01
ORD0000262,CUST000224,delivered,2017-07-10,2017-07-11,2017-07-13,2017-07-24,2017-07-31
ORD0000263,CUST000399,delivered,2017-12-18,2017-12-18,2017-12-22,2018-01-03,2018-01-09
ORD0000264,CUST000015,delivered,2018-06-24,2018-06-24,2018-06-26,2018-07-06,2018-07-10
ORD0000265,CUST000677,delivered,2018-06-09,2018-06-10,2018-06-13,2018-06-24,2018-06-27
