product_id,product_category_name,product_name_length,product_description_length,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm
PROD00056,health,75,850,4,3713,17,15,22
PROD00057,food,27,793,3,3513,38,22,56
PROD00058,clothing,65,896,3,1616,24,35,12
PROD00059,clothing,37,299,4,3526,62,19,58
PROD00060,electronics,55,912,5,907,51,42,45
PROD00061,garden,30,750,4,1731,22,34,32
PROD00062,furniture,51,454,2,4002,56,18,41
PROD00063,food,40,586,2,871,62,42,52
PROD00064,books,64,492,2,2286,52,42,51
PROD00065,garden,77,354,2,798,65,45,49
PROD00066,furniture,44,741,3,1637,22,44,14
PROD00067,furniture,62,869,5,3239,30,34,26
PROD00068,furniture,35,475,3,1053,47,34,47
PROD00069,automotive,51,811,1,3884,68,36,25
PROD00070,automotive,26,156,1,4467,41,25,28
PROD00071,beauty,28,380,4,372,68,10,36
PROD00072,books,75,659,5,3744,43,38,28
PROD00073,art,29,955,3,3195,14,49,17
PROD00074,books,43,732,5,629,32,17,18
PROD00075,electronics,45,744,3,3939,71,5,46
PROD00076,health,31,544,2,692,34,9,23
PROD00077,electronics,36,690,1,2075,46,10,47
PROD00078,food,68,430,2,4921,51,29,44
PROD00079,food,39,317,5,4618,12,35,19
PROD00080,food,43,564,3,954,35,38,37
PROD00081,furniture,77,330,1,3680,77,37,58
PROD00082,art,26,969,5,1561,21,19,23
PROD00083,sports,71,474,3,3780,66,46,16
PROD00084,clothing,33,844,4,703,78,19,41
PROD00085,art,36,689,2,3986,67,15,42
PROD00086,food,47,874,5,1161,44,14,58
PROD00087,clothing,62,392,2,4505,28,22,45
PROD00088,garden,33,987,1,4499,33,41,26
PROD00089,furniture,26,366,2,1169,38,14,46
PROD00090,art,46,998,1,793,72,49,23
PROD00091,health,51,581,5,3669,47,20,14
PROD00092,art,49,698,5,3955,58,48,21
PROD00093,books,28,236,1,1496,42,49,37
PROD00094,toys,41,327,3,1468,49,33,20
PROD00095,beauty,60,830,3,3969,74,14,12
PROD00096,toys,65,335,2,3869,57,33,17
PROD00097,furniture,29,994,1,3582,26,19,42
PROD00098,garden,48,193,2,2276,62,15,43
PROD00099,art,43,677,2,2362,73,20,49
PROD00100,food,43,756,2,1611,61,5,48
PROD00101,electronics,79,771,4,3401,12,28,30
PROD00102,art,31,164,3,3314,32,11,18
PROD00103,automotive,73,601,1,2117,16,32,46
PROD00104,sports,69,872,1,110,26,29,44
PROD00105,garden,23,410,5,2152,59,8,43
PROD00106,health,50,976,2,2003,36,20,32
PROD00107,food,34,694,2,508,67,34,53
PROD00108,garden,64,181,2,2454,59,39,25
PROD00109,books,61,220,2,1368,67,16,30
PROD00110,books,27,282,3,4783,15,48,26
PROD00111,art,47,550,3,2664,16,6,54
PROD00112,toys,26,990,1,1061,65,30,50
PROD00113,automotive,43,831,3,1698,62,42,39
PROD00114,clothing,42,276,1,1716,28,16,53
PROD00115,beauty,32,441,2,4319,61,13,41
PROD00116,food,75,791,5,954,15,24,21
PROD00117,beauty,57,154,3,3879,10,35,20
PROD00118,art,69,111,2,3770,42,47,25
PROD00119,sports,47,364,1,885,59,16,10
PROD00120,furniture,49,662,3,3999,48,47,18
PROD00121,books,62,114,1,4129,34,17,11
PROD00122,beauty,37,176,2,4700,17,32,57
PROD00123,automotive,67,412,2,349,26,45,30
PROD00124,beauty,28,743,3,2827,57,18,27
PROD00125,health,76,434,1,3053,16,40,47
PROD00126,clothing,24,508,5,4211,20,40,54
PROD00127,sports,47,225,5,1271,69,34,16
PROD00128,beauty,22,373,4,2916,63,21,37
PROD00129,electronics,78,602,2,2650,49,26,25
PROD00130,sports,34,264,1,235,57,35,40
PROD00131,art,57,449,4,2791,13,14,57
PROD00132,food,65,925,3,1228,63,37,27
PROD00133,beauty,54,614,4,4013,29,47,33
PROD00134,clothing,50,754,5,2223,39,45,39
PROD00135,toys,27,719,5,4999,31,44,26
PROD00136,automotive,34,138,5,2596,59,32,25
PROD00137,food,70,198,2,4184,57,14,20
PROD00138,sports,51,533,4,2704,49,47,36
PROD00139,books,53,256,2,3090,54,36,38
PROD00140,beauty,26,424,5,155,11,6,46
PROD00141,garden,72,332,3,3044,65,26,31
PROD00142,health,39,732,3,2532,17,48,43
PROD00143,automotive,52,744,3,2268,34,14,31
PROD00144,sports,55,879,3,1015,23,26,28
PROD00145,food,38,548,5,2782,74,10,15
PROD00146,garden,30,657,5,305,51,48,26
PROD00147,furniture,58,342,1,2359,16,36,33
PROD00148,health,71,816,1,4660,28,20,39
PROD00149,books,55,374,3,4876,19,39,40
PROD00150,food,63,733,4,132,62,36,28
PROD00151,food,67,543,5,4045,57,39,39
PROD00152,health,66,281,1,3963,57,25,55
PROD00153,garden,45,784,2,4131,68,32,31
PROD00154,food,39,174,5,4102,40,46,37
PROD00155,sports,57,238,4,4579,31,15,47
PROD00156,electronics,74,702,2,2236,64,48,39
PROD00157,garden,56,319,5,187,26,7,58
PROD00158,food,26,111,2,2940,16,39,22
PROD00159,garden,56,777,2,1438,36,47,57
PROD00160,health,69,452,1,4415,69,5,24
PROD00161,books,35,188,3,267,11,45,21
PROD00162,art,40,186,4,4362,73,9,37
PROD00163,health,71,174,3,433,62,48,31
PROD00164,furniture,37,667,3,1297,70,44,48
PROD00165,furniture,37,876,4,4514,63,29,11
PROD00166,furniture,22,436,4,166,34,28,43
PROD00167,electronics,39,439,1,1225,49,26,36
PROD00168,health,29,647,3,2292,15,19,49
PROD00169,automotive,53,124,5,4039,47,10,45
PROD00170,electronics,24,770,2,3637,15,35,29
PROD00171,sports,45,501,2,1369,50,7,18
PROD00172,food,38,822,3,4394,52,41,29
PROD00173,art,76,415,3,937,30,34,58
PROD00174,health,46,274,5,519,59,45,53
PROD00175,automotive,75,290,5,1099,50,30,34
PROD00176,food,75,557,2,3453,10,28,31
PROD00177,health,75,989,4,3736,52,8,18
PROD00178,food,24,928,3,122,74,47,54
PROD00179,automotive,29,969,2,2890,59,12,12
PROD00180,clothing,77,206,4,3495,16,47,49
PROD00181,art,79,851,4,4800,47,44,48
PROD00182,furniture,45,170,1,839,25,46,28
PROD00183,furniture,39,986,4,3642,25,30,40
PROD00184,sports,29,133,4,2548,71,14,12
PROD00185,art,62,541,5,4315,53,14,25
PROD00186,automotive,50,510,2,1536,38,15,12
PROD00187,sports,67,888,4,535,20,35,49
PROD00188,art,33,136,2,1891,30,40,13
PROD00189,food,51,774,4,4568,31,8,15
PROD00190,health,40,435,1,3089,38,23,53
PROD00191,furniture,43,423,3,3577,25,17,47
PROD00192,food,64,804,2,2397,55,31,56
PROD00193,sports,31,324,5,962,69,48,53
PROD00194,health,40,576,5,2054,64,6,53
PROD00195,electronics,29,659,1,3944,51,44,53
PROD00196,toys,55,421,5,963,59,25,56
PROD00197,clothing,59,272,2,486,78,14,33
PROD00198,electronics,25,739,1,676,47,10,48
PROD00199,beauty,30,913,4,891,21,10,39
