station_id,date,tmax,tmin_f,precip_in,wind_speed_kmh,humidity_pct,visibility_mi,snow_in,weather_event,station_city,data_source
STN0005,2021-10-19,103.1,81.8,0.08,14.7,39.1,6.4,0.0,None,Chicago,Estimated
STN0028,2020-09-23,76.8,56.1,0.01,4.6,80.0,9.6,0.0,Snow,Miami,WMO
STN0045,2020-02-08,56.5,36.9,0.13,0.7,56.8,14.9,0.0,Rain,Atlanta,Estimated
STN0004,2021-02-17,10.2,29.8,0.17,13.5,22.4,8.8,0.0,Rain,Boston,WMO
STN0043,2024-07-28,70.6,60.5,0.32,15.7,48.9,11.5,0.0,Clear,Chicago,Regional
STN0042,2022-09-28,28.2,13.1,0.02,12.5,54.1,11.4,0.0,None,Atlanta,Regional
STN0014,2024-12-21,80.4,67.9,0.02,999,115,11.3,0.0,Rain,Chicago,Regional
STN0032,2021-01-27,44.0,23.6,0.04,22.1,75.8,12.8,0.0,Fog,Dallas,Regional
STN0009,2021-10-03,73.2,62.5,0.01,6.0,107,5.0,0.6,Fog,Phoenix,Estimated
STN0038,2020-10-25,11.9,42.4,Trace,3.2,78.8,6.1,0.0,Clear,Chicago,Estimated
STN0036,2021-12-28,59.2,41.6,T,7.1,67.1,9.1,0.0,Thunderstorm,Boston,Regional
STN0018,2022-10-25,48.3,39.1,0.1,27.3,38.8,12.7,0.0,Rain,Chicago,WMO
STN0004,2024-01-15,16.4,43.2,0.04,11.3,56.2,12.7,0.0,None,Minneapolis,NOAA
STN0049,2021-11-03,106.6,94.8,Trace,-10,70.9,8.9,0.0,Fog,Denver,WMO
STN0023,2023-11-09,95.5,78.2,0.02,2.4,62.7,12.0,0.0,Hail,Miami,WMO
STN0045,2023-02-17,72.8,52.6,0.14,9.5,68.8,7.7,0.0,Fog,Phoenix,Estimated
STN0034,2021-06-16,64.4,47.9,0.58,6.5,51.4,6.5,0.0,Clear,Minneapolis,WMO
STN0039,2024-07-23,83.6,72.6,0.46,1.5,72.0,5.0,0.0,Hail,Atlanta,NOAA
STN0038,2022-03-03,89.9,81.2,0.08,13.1,54.8,8.6,0.0,None,Portland,Estimated
STN0010,2020-10-02,46.7,38.1,0.05,22.7,100.0,8.0,0.0,Fog,Chicago,WMO
STN0019,2024-10-23,63.3,54.1,0.02,3.6,38.2,12.0,0.0,Hail,Dallas,Regional
STN0024,2024-07-25,-3.9,8.8,0.13,9.4,100.0,10.7,0.0,Snow,Denver,NOAA
STN0025,2020-03-31,89.7,76.8,0.1,0.5,44.9,9.2,0.0,Rain,Denver,WMO
STN0003,2024-07-05,110.4,99.0,0.22,3.5,84.9,9.2,0.0,Hail,Minneapolis,Estimated
STN0028,2024-09-25,66.8,55.7,0.02,66.0,76.9,7.7,0.0,None,Boston,WMO
STN0008,2024-02-22,-7.7,-3.1,0.15,16.5,45.6,3.7,0.0,Snow,Atlanta,WMO
STN0038,2021-04-10,78.4,68.7,0.01,1.4,72.8,5.5,0.0,Rain,Phoenix,Estimated
STN0035,2023-02-26,45.1,32.8,0.02,18.4,53.1,11.4,0.0,Rain,Dallas,NOAA
STN0047,2022-09-09,50.4,35.8,0.02,13.3,66.9,8.6,0.0,Fog,Dallas,Estimated
STN0038,2023-02-06,78.8,70.8,T,8.5,64.7,5.1,0.8,Thunderstorm,Chicago,WMO
STN0019,2023-01-30,70.6,49.7,0.17,7.7,55.7,13.1,0.4,Hail,Phoenix,NOAA
STN0049,2023-03-13,54.3,44.9,0.11,6.1,54.2,14.1,0.0,Rain,Denver,NOAA
STN0021,2022-07-27,10.4,33.1,0.09,1.1,68.1,12.6,0.0,Clear,Minneapolis,WMO
STN0017,2023-06-14,67.8,51.0,0.11,20.9,45.7,10.3,0.0,Hail,Chicago,Regional
STN0046,2022-08-19,56.0,36.7,0.28,11.8,46.4,9.9,0.0,Thunderstorm,Denver,NOAA
STN0019,2020-01-31,4.8,23.5,0.19,3.7,79.2,8.9,0.0,Snow,Boston,NOAA
STN0004,2020-03-05,57.7,38.9,0.08,0.4,69.7,9.5,0.0,Fog,Denver,Estimated
STN0024,2024-10-15,72.5,58.6,0.33,0.5,38.5,10.9,0.4,Rain,Denver,Regional
STN0040,2024-07-18,61.1,46.3,0.04,0.7,43.9,11.1,0.0,Fog,Dallas,Regional
STN0010,2022-12-05,33.9,16.1,0.27,6.3,23.5,10.4,0.0,Snow,Denver,Estimated
STN0024,2020-11-14,86.8,70.8,0.09,16.7,78.4,0.0,0.0,Thunderstorm,Minneapolis,NOAA
,2023-11-27,4.7,-10.5,0.03,4.0,74.4,12.5,0.0,None,Portland,Estimated
STN0035,2020-09-18,55.2,44.3,0.03,14.8,42.4,9.6,0.0,Clear,Chicago,WMO
STN0024,2021-11-19,51.4,39.8,0.04,0.1,73.7,4.9,0.0,None,Atlanta,NOAA
STN0017,2021-08-25,68.3,55.3,0.38,4.8,97.7,9.6,0.0,Clear,Atlanta,Regional
STN0012,2020-01-23,77.4,69.3,0.07,33.5,34.3,9.9,0.0,Rain,Phoenix,Estimated
STN0029,2024-01-13,89.8,76.0,0.09,8.3,50.9,4.3,0.0,Rain,Boston,Regional
,2022-07-19,49.3,41.3,0.12,6.7,33.9,7.1,0.0,Clear,Miami,NOAA
STN0048,2021-07-31,77.9,62.0,0.02,25.6,79.1,5.7,0.0,Rain,Dallas,NOAA
STN0022,2022-07-15,69.3,51.4,0.08,3.2,60.3,6.1,0.0,Hail,Phoenix,WMO
,2020-01-01,27.3,11.4,0.28,0.9,102,10.7,0.0,Fog,Phoenix,Regional
STN0042,2022-03-08,106.8,89.1,0.06,11.9,66.1,7.1,0.0,Fog,Atlanta,Regional
STN0032,2022-08-06,33.3,25.3,0.07,15.4,112,9.3,0.0,Thunderstorm,Chicago,NOAA
STN0036,2021-09-12,23.4,65.4,0.01,9.5,54.8,11.2,0.0,Rain,Chicago,Regional
STN0005,2024-02-25,73.6,55.8,0.05,3.7,66.9,7.7,0.0,Clear,Seattle,Estimated
STN0016,2021-04-01,71.1,51.9,0.05,10.4,51.0,11.3,0.0,Snow,Chicago,Estimated
STN0039,2020-09-08,54.1,36.1,0.35,11.2,53.6,13.1,0.0,Hail,Miami,Estimated
STN0042,2022-08-21,83.2,65.9,0.24,6.6,59.2,11.5,0.0,Rain,Denver,Regional
STN0022,2024-06-08,30.7,12.8,0.2,1.0,63.6,10.8,0.0,Hail,Chicago,WMO
STN0041,2021-11-16,63.6,45.2,0.01,24.9,72.8,11.6,0.0,Clear,Portland,Estimated
STN0043,2020-03-26,52.6,34.5,0.1,31.7,72.5,10.2,0.0,Clear,Phoenix,WMO
STN0020,2024-11-06,50.1,31.8,0.1,28.7,35.0,11.5,0.0,Snow,Minneapolis,WMO
STN0045,2022-03-22,74.4,65.4,0.05,10.4,87.3,5.5,0.0,Rain,Atlanta,NOAA
STN0015,2020-11-11,31.5,79.8,0.16,2.6,63.1,8.8,0.0,Fog,Seattle,Regional
STN0012,2023-01-29,57.4,44.3,0.02,9.2,56.0,10.2,0.0,Snow,Dallas,NOAA
STN0035,2021-08-06,82.2,66.8,0.11,3.2,45.7,8.8,0.6,Fog,Portland,WMO
STN0032,2024-09-08,66.1,47.4,0.06,13.4,97.8,15.0,0.0,Thunderstorm,Dallas,Estimated
STN0007,2021-06-20,45.4,32.7,0.06,3.4,100.0,8.4,2.5,Rain,Seattle,NOAA
STN0042,2022-10-01,59.3,47.4,0.11,17.6,95.6,3.7,0.0,Clear,Minneapolis,Estimated
STN0010,2022-09-19,14.7,39.5,0.25,-10,64.2,9.2,0.0,Clear,Chicago,Regional
STN0041,2021-03-18,49.7,38.2,0.01,3.0,68.2,11.5,0.0,Snow,Portland,WMO
,2022-06-30,74.4,54.9,0.04,6.3,88.8,6.4,0.0,Hail,Minneapolis,WMO
STN0040,2020-07-18,70.2,59.7,0.16,9.6,115,8.9,0.0,None,Chicago,Estimated
STN0040,2023-03-21,30.0,17.0,0.13,27.2,71.7,8.8,0.0,Hail,Portland,Estimated
STN0040,2023-10-16,28.7,15.1,0.06,3.5,66.1,8.8,0.0,Fog,Miami,Estimated
STN0034,2024-09-30,74.3,62.1,0.15,26.4,96.5,7.2,0.0,Fog,Portland,Regional
STN0024,2021-08-17,47.1,39.1,0.09,13.5,87.9,12.3,0.0,Rain,Seattle,Regional
STN0036,2021-06-04,22.0,60.3,0.12,11.5,59.5,15.0,0.0,Snow,Miami,WMO
STN0014,2022-09-29,82.2,69.5,0.08,18.8,89.5,6.5,0.0,Thunderstorm,Dallas,WMO
STN0040,2023-06-19,37.0,24.6,0.01,3.5,61.9,5.1,0.0,Clear,Chicago,Estimated
STN0028,2024-12-17,33.9,14.9,0.04,5.0,52.2,7.7,0.0,Snow,Atlanta,Estimated
STN0023,2020-02-15,101.8,93.1,0.08,0.3,56.9,13.2,0.0,Thunderstorm,Minneapolis,WMO
STN0026,2021-03-11,72.7,59.3,0.03,15.7,64.7,8.2,0.0,None,Minneapolis,NOAA
STN0029,2021-04-24,55.8,47.3,0.33,1.2,47.9,10.1,0.1,Hail,Atlanta,Regional
STN0002,2021-04-11,6.9,23.5,0.41,22.7,52.7,6.3,0.0,None,Dallas,Estimated
STN0007,2022-04-26,53.8,34.7,Trace,999,36.0,14.4,0.0,Thunderstorm,Denver,Estimated
STN0013,2024-05-12,38.8,17.0,0.19,17.1,47.2,8.1,0.0,Rain,Portland,NOAA
STN0006,2020-02-26,84.4,63.7,0.0,6.7,66.2,9.7,0.0,Rain,Chicago,Regional
STN0022,2024-01-29,47.9,35.5,0.09,12.3,80.8,6.6,0.3,None,Boston,WMO
STN0034,2023-02-01,89.1,71.4,0.08,0.0,78.5,6.3,0.0,Thunderstorm,Denver,Regional
STN0033,2023-01-28,13.4,43.9,0.03,0.6,69.7,9.0,0.0,Hail,Minneapolis,NOAA
STN0024,2023-05-23,42.0,21.6,0.09,12.6,34.5,9.3,0.0,Fog,Chicago,NOAA
STN0043,2020-07-29,55.6,41.8,0.15,10.9,46.5,11.6,0.0,Rain,Portland,WMO
STN0029,2023-09-25,7.3,-6.0,0.13,8.2,58.4,3.9,0.0,Thunderstorm,Portland,Regional
STN0004,2021-03-29,62.3,41.5,0.02,27.0,79.3,6.1,0.0,Hail,Seattle,Regional
STN0039,2022-08-01,61.3,41.6,0.01,1.9,52.0,6.9,0.0,Rain,Denver,WMO
STN0029,2023-05-20,83.1,61.6,0.16,13.5,40.0,9.4,0.0,Rain,Dallas,WMO
STN0032,2023-01-07,23.5,14.6,0.05,7.1,88.1,5.6,0.0,Fog,Atlanta,NOAA
STN0029,2021-08-13,90.6,79.2,0.01,15.7,48.8,8.7,0.0,Clear,Minneapolis,Regional
STN0028,2021-12-24,83.1,70.9,0.09,8.7,41.7,7.1,0.4,Clear,Miami,WMO
STN0005,2022-05-20,33.6,78.6,Trace,14.7,66.1,8.6,0.0,Hail,Minneapolis,WMO
STN0028,2020-03-16,63.8,49.2,0.0,6.3,61.1,6.7,0.0,None,Atlanta,Regional
STN0040,2023-08-18,30.7,75.2,0.02,8.7,53.0,6.0,0.0,Snow,Minneapolis,Regional
STN0016,2020-07-01,0.3,13.5,0.08,13.7,62.0,9.9,0.0,Clear,Denver,NOAA
STN0031,2022-04-17,27.1,69.6,0.08,3.1,45.3,12.3,0.0,None,Dallas,Regional
STN0002,2023-04-11,48.0,30.2,0.01,8.0,52.8,11.4,0.0,None,Miami,NOAA
STN0018,2020-05-26,28.7,8.8,0.05,21.5,61.3,12.3,0.0,Fog,Boston,Estimated
STN0022,2024-12-22,4.6,23.8,0.12,9.3,25.4,12.7,0.0,None,Chicago,Regional
STN0050,2021-11-19,65.1,52.1,0.2,0.9,79.2,8.5,0.0,Thunderstorm,Phoenix,Estimated
STN0011,2020-01-29,46.9,36.3,0.03,3.9,37.3,14.6,0.0,Thunderstorm,Phoenix,Estimated
STN0014,2023-04-17,73.3,63.4,0.08,28.3,45.1,11.3,0.0,Hail,Denver,WMO
STN0021,2022-10-15,25.2,6.8,0.14,4.1,80.0,6.2,0.0,Rain,Dallas,Estimated
STN0050,2023-03-15,18.2,3.6,0.02,9.9,72.2,7.0,0.0,Hail,Seattle,WMO
STN0043,2023-10-03,95.2,86.6,0.1,14.2,63.6,9.5,0.5,Rain,Seattle,Regional
STN0002,2022-05-18,84.9,63.1,0.42,13.5,31.3,11.6,0.0,Rain,Denver,NOAA
STN0012,2024-02-18,41.9,24.5,0.04,15.5,51.1,8.3,0.0,Clear,Atlanta,NOAA
STN0042,2021-11-06,18.3,45.1,0.22,11.6,112,6.1,0.0,Rain,Denver,NOAA
STN0003,2022-09-22,87.4,73.3,0.0,7.2,59.4,11.4,0.0,Hail,Boston,WMO
STN0043,2020-10-16,74.2,52.8,0.1,0.3,82.5,5.6,0.0,None,Denver,WMO
STN0015,2023-02-05,68.3,57.5,0.1,8.7,97.9,9.9,0.0,Clear,Atlanta,WMO
STN0046,2021-04-22,89.1,78.5,0.1,6.7,73.1,9.1,0.0,Snow,Seattle,Estimated
STN0015,2023-06-26,48.9,28.4,0.16,5.9,52.4,5.0,0.0,Rain,Dallas,NOAA
STN0022,2024-01-02,65.7,45.2,0.07,12.1,83.9,14.3,0.0,Thunderstorm,Atlanta,Estimated
STN0034,2024-04-17,64.6,49.6,trace,3.0,51.4,9.1,0.0,None,Phoenix,Estimated
STN0007,2024-08-23,59.0,49.2,0.06,2.1,14.8,5.4,0.0,Clear,Portland,Estimated
STN0028,2020-09-08,56.4,44.1,0.11,7.2,39.5,9.1,0.0,Snow,Minneapolis,WMO
STN0026,2024-08-18,19.2,48.0,0.15,4.4,19.3,3.8,0.0,Thunderstorm,Minneapolis,WMO
STN0040,2021-11-26,65.8,46.0,0.19,9.3,55.1,10.1,0.7,None,Minneapolis,WMO
STN0050,2020-02-17,41.9,29.0,0.07,8.9,58.8,11.6,0.0,Rain,Boston,Estimated
STN0034,2021-06-08,82.6,73.7,0.13,9.4,33.3,15.0,0.0,Fog,Dallas,Estimated
STN0021,2024-03-06,43.5,26.2,0.17,7.2,46.6,9.3,0.0,Hail,Phoenix,Estimated
STN0021,2021-10-10,15.7,41.8,0.6,2.0,36.3,7.0,0.0,Hail,Dallas,Estimated
STN0021,2020-05-20,58.5,44.6,0.18,17.7,59.7,9.6,0.0,Hail,Minneapolis,NOAA
STN0041,2023-08-11,22.7,56.7,0.17,0.6,46.6,13.3,0.0,Hail,Denver,Estimated
STN0017,2020-12-21,18.4,-3.4,0.16,22.7,80.2,10.5,0.0,Thunderstorm,Miami,WMO
STN0009,2021-10-06,29.2,73.2,0.18,19.5,65.1,11.5,0.0,Clear,Phoenix,Estimated
STN0017,2020-01-08,50.1,34.1,0.1,17.7,90.9,11.3,0.0,Rain,Boston,Regional
STN0002,2023-01-04,91.8,75.2,0.39,15.4,53.8,10.5,0.0,Hail,Portland,WMO
STN0006,2022-03-24,54.5,38.8,0.22,24.9,107,4.8,0.2,Rain,Dallas,WMO
STN0005,2024-05-02,63.9,43.7,0.09,-10,62.0,4.6,0.0,Thunderstorm,Chicago,Regional
STN0039,2021-09-02,107.1,90.6,0.17,6.1,52.5,4.3,0.0,Clear,Dallas,WMO
,2021-01-08,58.9,43.8,0.31,43.3,100.0,5.4,0.0,Thunderstorm,Atlanta,Regional
STN0035,2020-10-30,92.3,82.6,0.04,7.0,29.1,5.8,0.0,Snow,Portland,Estimated
STN0024,2020-12-31,65.9,48.1,0.07,2.3,52.1,14.6,0.5,Thunderstorm,Miami,WMO
STN0036,2022-04-03,74.1,64.3,0.0,30.2,32.0,6.9,0.0,Snow,Chicago,WMO
STN0009,2020-06-08,66.5,58.1,0.09,2.7,28.9,9.3,0.0,Hail,Miami,WMO
STN0046,2022-01-04,83.7,68.9,0.07,1.2,24.8,8.3,0.0,Fog,Portland,WMO
STN0026,2024-04-09,49.9,33.9,trace,32.6,73.1,9.6,0.0,Hail,Minneapolis,NOAA
STN0047,2023-11-02,43.4,21.4,0.28,0.6,38.1,9.2,0.0,None,Atlanta,WMO
STN0008,2023-03-09,51.0,33.0,0.12,18.4,57.4,5.2,0.0,Snow,Dallas,Regional
STN0025,2024-06-18,67.2,47.3,0.16,56.2,78.1,10.8,0.0,Hail,Phoenix,Regional
,2023-11-25,60.1,47.3,0.0,14.0,70.3,7.0,0.0,Fog,Denver,WMO
STN0025,2023-04-06,27.0,65.5,0.08,15.2,69.5,6.9,0.0,Snow,Atlanta,Regional
STN0023,2024-04-24,93.7,72.1,0.07,10.9,83.8,8.1,0.0,Thunderstorm,Miami,NOAA
STN0009,2020-08-15,6.4,29.7,0.11,5.9,91.0,11.4,0.0,Hail,Miami,Estimated
STN0020,2024-02-03,48.9,29.6,0.23,3.3,39.5,7.1,0.0,Snow,Portland,NOAA
STN0012,2021-06-23,33.4,18.0,0.01,51.6,70.7,9.3,0.0,Snow,Phoenix,Regional
STN0016,2023-08-31,109.7,98.6,0.06,24.3,57.1,10.2,0.1,Snow,Dallas,NOAA
STN0035,2024-07-25,22.1,55.6,0.09,10.3,59.4,9.8,0.0,Snow,Dallas,Estimated
STN0032,2022-06-24,75.6,64.5,0.02,1.3,34.8,9.6,0.0,Rain,Chicago,WMO
STN0031,2020-06-11,35.5,27.5,0.02,0.5,52.4,4.8,0.4,Clear,Seattle,Regional
STN0019,2021-11-07,65.0,53.7,0.0,3.9,54.4,9.4,0.0,Snow,Dallas,WMO
STN0048,2022-01-12,24.6,65.5,0.05,2.8,87.7,6.3,0.0,Hail,Minneapolis,WMO
STN0005,2024-09-06,59.4,46.2,0.05,47.0,41.2,3.7,0.0,None,Seattle,Estimated
STN0018,2024-09-17,88.7,68.3,0.19,16.3,19.1,7.6,1.6,Rain,Phoenix,Estimated
STN0006,2022-11-04,115.9,102.5,0.02,1.4,61.9,7.4,0.0,Snow,Miami,NOAA
STN0017,2024-10-01,44.2,24.4,0.14,29.3,112,15.0,0.0,Rain,Atlanta,NOAA
STN0049,2022-03-07,5.8,26.7,0.19,12.2,59.5,11.9,0.0,None,Miami,WMO
STN0019,2022-01-20,45.7,37.6,0.39,6.2,73.9,11.4,0.0,Snow,Denver,Regional
STN0046,2024-03-07,100.3,89.7,0.05,3.1,60.2,7.8,0.0,Clear,Boston,Regional
STN0025,2023-05-03,31.1,66.9,0.11,21.5,54.2,8.4,0.0,Hail,Portland,WMO
STN0035,2022-08-11,62.0,45.5,trace,12.9,59.2,15.0,0.0,Rain,Phoenix,WMO
STN0023,2022-04-14,65.8,44.8,0.09,2.3,77.3,7.1,0.0,None,Minneapolis,NOAA
STN0014,2023-07-12,47.0,34.7,0.06,21.8,41.2,9.8,0.2,Fog,Miami,NOAA
STN0039,2023-10-07,84.6,66.6,0.0,46.6,75.1,14.5,0.0,Fog,Boston,WMO
STN0049,2022-06-14,56.6,37.8,0.03,2.4,43.9,6.8,0.0,Fog,Denver,Estimated
STN0014,2020-02-27,59.3,37.6,0.09,7.3,72.8,9.4,0.0,None,Dallas,Regional
STN0039,2020-07-04,78.4,70.1,0.12,2.4,34.2,8.9,0.0,Rain,Miami,WMO
STN0014,2020-09-20,60.9,39.6,0.16,27.5,71.8,6.3,0.0,Snow,Boston,Estimated
STN0036,2022-04-23,59.8,46.3,0.09,2.2,60.2,11.3,0.0,Clear,Denver,Estimated
STN0040,2023-01-26,65.2,45.5,trace,2.4,63.7,5.7,0.0,Thunderstorm,Boston,Regional
STN0023,2024-01-07,82.5,66.9,0.13,27.9,115,11.3,0.0,Thunderstorm,Dallas,Regional
STN0037,2021-02-28,101.2,85.3,0.09,5.7,47.2,10.3,0.0,None,Minneapolis,WMO
STN0014,2023-12-07,77.9,64.9,0.06,31.6,61.5,11.7,0.3,Thunderstorm,Denver,Estimated
STN0004,2023-05-01,82.7,63.1,0.19,0.8,67.5,8.4,0.0,Fog,Seattle,Estimated
STN0005,2020-04-04,60.6,48.9,0.02,16.2,56.6,10.2,0.0,Thunderstorm,Phoenix,Estimated
STN0023,2021-10-03,49.4,34.5,0.19,14.7,74.9,12.1,0.0,Fog,Boston,NOAA
STN0046,2021-07-06,79.4,63.6,0.0,3.3,67.9,4.8,0.0,None,Denver,Regional
STN0007,2024-06-07,68.8,50.4,0.3,0.8,51.6,5.4,0.0,Clear,Boston,NOAA
STN0023,2024-08-09,0.9,19.1,0.28,0.1,84.7,10.7,0.4,Snow,Denver,NOAA
STN0036,2024-02-04,57.8,40.3,0.0,21.6,72.1,11.5,0.0,None,Miami,WMO
STN0011,2022-08-22,17.3,48.4,0.18,30.7,46.8,9.4,0.0,Thunderstorm,Chicago,NOAA
STN0037,2022-06-18,53.8,36.6,0.06,9.8,46.7,11.8,0.0,Rain,Seattle,NOAA
STN0016,2021-07-22,97.6,80.2,0.32,5.2,58.0,7.9,0.0,Hail,Seattle,WMO
STN0041,2023-11-12,75.6,57.7,0.14,0.8,70.1,12.8,0.0,Fog,Miami,WMO
STN0029,2020-06-06,95.2,75.7,0.09,8.1,22.2,8.8,0.0,Thunderstorm,Portland,NOAA
STN0028,2021-05-10,70.8,55.2,0.26,35.6,47.6,6.7,0.0,Hail,Minneapolis,NOAA
STN0009,2020-09-03,66.8,56.1,0.3,23.6,51.6,13.3,0.0,Hail,Minneapolis,WMO
STN0024,2022-06-21,44.4,26.9,0.02,9.5,36.1,11.5,0.0,Fog,Denver,NOAA
STN0043,2021-07-01,65.3,56.2,0.31,1.2,43.6,7.6,0.0,Hail,Phoenix,Estimated
STN0001,2020-12-26,65.3,54.2,0.04,11.1,64.5,7.7,1.1,Hail,Chicago,NOAA
STN0038,2021-11-18,34.9,15.8,0.27,1.2,53.2,10.8,0.0,Fog,Minneapolis,WMO
STN0025,2024-04-20,53.1,39.0,0.06,25.7,54.6,6.0,0.0,Hail,Dallas,NOAA
STN0036,2022-10-15,57.9,42.9,0.05,21.3,37.2,10.0,0.0,Snow,Portland,WMO
,2024-02-11,74.1,52.3,0.06,20.9,58.2,8.5,0.0,Hail,Miami,Regional
STN0022,2024-07-26,75.1,63.8,0.05,0.1,34.9,9.6,0.0,Hail,Denver,WMO
STN0016,2024-07-05,11.2,43.9,0.08,2.6,88.3,2.9,0.0,Clear,Boston,NOAA
STN0032,2021-10-02,75.3,65.7,0.03,21.3,93.4,6.3,0.0,Fog,Phoenix,Regional
STN0008,2024-05-21,61.0,49.6,0.44,9.1,53.5,9.8,0.3,Rain,Dallas,Regional
STN0030,2024-07-18,1.9,-16.3,0.02,11.7,41.8,12.2,0.0,Rain,Miami,Estimated
STN0005,2024-10-18,54.3,35.4,0.11,4.8,77.4,8.6,0.0,None,Phoenix,Regional
STN0033,2021-10-02,88.7,72.8,0.04,17.5,72.7,11.2,0.0,Hail,Atlanta,Estimated
STN0032,2021-02-20,-2.2,16.4,0.14,9.9,95.7,4.6,0.0,Rain,Seattle,Regional
STN0005,2022-12-02,67.5,52.2,0.58,13.0,100.0,7.7,0.0,Thunderstorm,Boston,Estimated
STN0038,2024-08-28,99.9,91.7,0.24,6.4,25.5,9.8,0.0,Thunderstorm,Dallas,Regional
STN0021,2024-07-02,48.3,30.8,0.02,3.7,82.9,8.8,0.0,Rain,Seattle,Regional
STN0040,2022-11-09,65.0,48.4,0.34,0.2,58.0,11.3,0.6,Fog,Atlanta,WMO
STN0003,2020-09-29,36.3,28.0,0.26,0.8,71.9,8.2,0.0,Thunderstorm,Seattle,WMO
STN0009,2022-02-10,100.8,81.4,0.89,2.0,76.0,8.3,0.0,None,Dallas,Regional
STN0025,2023-07-27,17.3,44.5,0.34,0.5,75.2,11.0,0.0,Fog,Denver,WMO
STN0010,2022-10-20,66.0,53.7,0.19,18.3,80.0,7.4,0.0,Rain,Phoenix,WMO
STN0017,2021-09-22,94.8,77.9,0.28,15.4,51.9,6.3,0.0,Fog,Minneapolis,Estimated
STN0034,2021-09-17,79.6,63.2,0.16,4.0,102,10.4,0.0,Hail,Portland,NOAA
STN0008,2020-04-19,45.7,35.7,0.03,10.3,83.4,6.1,0.0,Rain,Denver,NOAA
STN0034,2021-06-10,10.4,40.1,0.21,9.3,46.3,13.3,0.0,Snow,Dallas,Regional
STN0006,2023-05-07,75.9,58.3,0.03,26.0,95.5,3.5,0.0,Clear,Chicago,NOAA
STN0009,2021-03-16,51.3,30.2,0.1,1.4,48.2,8.1,0.0,Rain,Phoenix,Estimated
