device_id,timestamp,sensor_type,temperature_c,humidity_pct,pressure_hpa,vibration_ms2,machine_status,battery_pct,firmware_version
dev_045,2024-01-01 05:16:11,vibration,22,58.2,1013.77,0.5066,error,96.5,v1.2.1
dev_022,2024-01-19 15:57:33,humidity,25,57.0,1016.38,1.3895,normal,75.1,v2.0.0
dev_004,2024-01-01 05:28:50,pressure,8,63.4,1002.93,6.9839,normal,59.7,v1.2.1
dev_027,2024-01-01 05:44:43,pressure,20,62.5,1008.1,3.2203,normal,63.2,v1.3.0
dev_018,2024-01-01 05:55:15,humidity,38,58.9,1036.4,1.4878,normal,100.0,v1.2.1
dev_018,2024-01-01 05:59:34,combined,21,43.7,1016.2,0.6489,warning,72.8,v1.2.1
dev_026,2024-01-01 05:59:46,vibration,10,56.6,1016.39,0.8154,normal,93.3,v1.3.0
dev_007,2024-01-01 06:01:28,temperature,30,58.0,989.56,1.7346,normal,83.5,v1.2.1
dev_009,2024-01-01 06:17:19,temperature,18,41.6,1035.91,5.8456,normal,64.8,v1.2.1
dev_003,2024-01-01 06:21:21,pressure,36,67.3,1006.52,0.8699,normal,92.8,v2.0.0
dev_029,2024-01-01 06:30:57,pressure,28,38.8,1009.45,0.4298,normal,83.9,v1.2.1
dev_016,2024-01-01 06:52:41,combined,31,49.5,1004.32,2.0202,normal,72.3,v2.0.0
dev_004,2024-01-01 06:56:49,combined,22,57.0,1012.04,0.3293,normal,76.7,v1.2.1
dev_030,2024-01-01 06:57:03,humidity,16,86.3,1003.5,8.3371,normal,89.8,v1.3.0
dev_008,2024-01-01 06:59:11,vibration,25,21.7,1005.35,4.7029,normal,91.7,v2.0.0
dev_043,2024-01-01 07:03:17,pressure,15,56.4,1028.19,2.8391,normal,51.7,v1.2.1
dev_003,2024-01-01 07:08:48,vibration,28,79.6,1015.5,0.2502,normal,56.5,v1.2.1
dev_026,2024-01-01 07:16:43,temperature,35,87.5,1036.98,0.3728,normal,28.4,v1.2.1
dev_025,2024-01-01 07:38:51,vibration,9,72.4,1025.1,6.6901,normal,79.9,v1.3.0
dev_002,2024-01-01 07:43:18,combined,19,47.4,999.74,0.0469,normal,54.9,v1.2.1
dev_002,2024-01-01 07:52:15,humidity,25,76.5,1021.61,0.1116,normal,87.1,v1.3.0
dev_018,2024-01-01 08:19:03,vibration,15,71.8,1024.71,4.0471,normal,78.9,v2.0.0
dev_036,2024-01-01 08:22:57,temperature,13,52.7,997.82,4.7471,normal,89.5,v1.2.1
dev_001,2024-01-01 08:23:06,combined,13,64.9,1013.75,0.8103,normal,79.2,v1.2.1
dev_010,2024-01-01 09:17:51,temperature,10,46.6,990.48,0.0111,normal,86.5,v2.0.0
dev_045,2024-01-01 09:22:01,temperature,13,70.8,1010.86,0.2556,normal,66.5,v1.2.1
dev_046,2024-01-29 23:31:59,pressure,17,31.0,1022.87,1.2638,warning,34.6,v2.0.0
dev_046,2024-01-01 09:28:15,combined,24,61.5,1021.73,1.1183,normal,57.5,v1.3.0
dev_028,2024-01-01 10:03:31,vibration,21,58.4,1007.54,2.7824,normal,77.2,v1.2.1
dev_049,2024-01-01 10:44:36,temperature,29,75.5,1029.39,9.4998,normal,81.1,v1.3.0
dev_011,2024-01-01 10:52:49,combined,30,58.6,1021.77,2.8826,normal,100.0,v1.3.0
dev_019,2024-01-01 10:54:44,temperature,28,71.8,1029.98,2.113,normal,69.4,v1.2.1
dev_047,2024-01-01 11:19:01,humidity,18,47.8,1027.82,0.0312,normal,84.6,v1.3.0
dev_029,2024-01-01 11:22:17,combined,18,61.9,1014.32,3.4737,normal,38.5,v2.0.0
dev_001,2024-01-01 11:42:02,humidity,20,71.1,1016.17,9.9227,normal,96.0,v1.2.1
dev_044,2024-01-01 11:46:50,humidity,19,70.4,1018.44,0.0175,normal,45.5,v1.3.0
dev_029,2024-01-01 12:38:19,vibration,17,44.3,1015.75,4.9824,normal,72.3,v1.2.1
dev_022,2024-01-01 12:45:49,pressure,31,56.1,1008.81,0.1471,normal,81.1,v1.2.1
dev_006,2024-01-01 12:51:12,pressure,20,95.0,1010.11,0.608,normal,80.5,v1.3.0
dev_038,2024-01-01 13:08:59,temperature,30,30.1,1013.49,2.2672,normal,77.3,v1.3.0
dev_024,2024-01-01 13:24:03,humidity,9,55.0,1007.17,0.7303,normal,93.8,v2.0.0
dev_018,2024-01-01 13:25:44,vibration,17,54.1,1016.29,1.1476,normal,89.1,v1.2.1
dev_023,2024-01-01 13:34:46,combined,11,54.8,993.65,2.2561,normal,29.5,v2.0.0
dev_042,2024-01-01 13:37:40,pressure,23,45.2,1012.22,0.9334,normal,54.3,v1.3.0
dev_016,2024-01-01 13:48:39,vibration,13,66.2,1016.92,1.5415,normal,67.9,v1.3.0
dev_006,2024-01-01 13:59:55,humidity,28,34.1,1012.4,0.0394,normal,92.3,v1.3.0
dev_030,2024-01-01 14:01:00,pressure,23,56.4,1006.55,3.3039,normal,76.3,v1.2.1
dev_036,2024-01-01 14:07:59,pressure,25,65.0,1008.22,2.9275,normal,100.0,v1.3.0
dev_039,2024-01-01 14:20:46,combined,19,11.9,1005.11,1.1106,normal,100.0,v1.3.0
dev_032,2024-01-01 14:20:54,pressure,19,76.6,1014.55,4.0178,normal,92.3,v1.3.0
dev_040,2024-01-01 14:24:34,temperature,15,60.0,1008.0,0.4937,normal,53.7,v1.3.0
dev_045,2024-01-01 14:36:16,temperature,7,51.3,999.23,2.9876,normal,85.9,v1.2.1
dev_012,2024-01-01 14:47:28,pressure,5,53.4,1019.44,6.0165,normal,66.2,v1.2.1
dev_046,2024-01-01 14:54:53,humidity,27,67.9,1024.43,0.7513,normal,75.7,v1.3.0
dev_036,2024-01-01 14:58:40,temperature,29,64.9,1022.76,5.7132,normal,25.5,v1.3.0
dev_045,2024-01-01 15:06:40,pressure,27,43.1,1012.85,3.8501,normal,53.6,v1.3.0
dev_011,2024-01-01 15:06:42,temperature,19,66.3,1015.0,0.1908,normal,88.4,v1.3.0
dev_010,2024-01-01 15:07:56,humidity,29,66.8,1012.46,4.4587,normal,78.7,v1.2.1
dev_013,2024-01-01 15:18:08,vibration,30,71.1,1006.75,2.4088,normal,83.6,v1.2.1
dev_045,2024-01-01 15:24:33,vibration,11,90.2,1011.52,3.7617,normal,71.7,v1.3.0
dev_002,2024-01-01 15:26:23,temperature,19,35.9,1012.65,1.2836,normal,99.1,v1.2.1
dev_038,2024-01-01 15:46:37,humidity,22,52.7,999.43,1.63,normal,73.8,v1.2.1
dev_004,2024-01-01 15:52:24,vibration,17,64.6,1015.85,4.1563,normal,100.0,v1.3.0
dev_043,2024-01-01 15:55:19,temperature,24,42.8,992.13,0.4021,normal,23.3,v1.2.1
dev_039,2024-01-01 16:22:49,combined,36,41.2,1013.02,0.7543,normal,61.4,v1.2.1
dev_025,2024-01-01 16:34:17,temperature,13,75.9,997.16,5.0129,normal,55.0,v2.0.0
dev_030,2024-01-01 16:36:23,temperature,16,18.5,1016.16,8.7627,error,61.3,v1.2.1
dev_013,2024-01-01 16:39:06,humidity,28,68.4,986.38,0.4585,normal,75.3,v1.2.1
dev_016,2024-01-14 05:35:07,combined,32,16.8,1022.52,0.9949,normal,85.3,v2.0.0
dev_050,2024-01-01 16:55:15,combined,27,49.0,992.06,1.2577,normal,60.2,v1.2.1
dev_002,2024-01-01 16:58:12,humidity,28,83.2,1013.37,7.982,normal,100.0,v2.0.0
dev_039,2024-01-01 17:03:38,humidity,10,37.9,998.65,4.715,normal,62.6,v1.2.1
dev_035,2024-01-01 17:07:30,combined,14,68.8,1007.17,1.1255,warning,70.1,v1.2.1
dev_042,2024-01-01 17:07:53,temperature,21,47.8,1019.65,0.5341,normal,33.9,v1.2.1
dev_025,2024-01-01 17:14:54,humidity,9,56.9,1023.21,1.2002,normal,72.5,v1.2.1
dev_048,2024-01-01 17:22:50,combined,20,39.2,1020.34,3.9478,normal,81.2,v2.0.0
dev_023,2024-01-01 17:25:31,temperature,17,39.1,1014.3,0.3732,normal,70.9,v1.3.0
dev_016,2024-01-01 17:42:07,humidity,26,67.8,1013.03,1.4585,normal,60.4,v1.3.0
dev_029,2024-01-01 17:50:08,temperature,45,59.7,995.26,0.7662,normal,62.6,v1.2.1
dev_019,2024-01-01 17:54:01,temperature,13,67.6,1030.45,0.1304,normal,82.7,v1.2.1
dev_031,2024-01-01 18:06:56,pressure,25,43.4,1007.32,2.2953,normal,54.3,v1.2.1
dev_016,2024-01-01 18:14:31,vibration,12,30.1,1002.8,1.2906,maintenance,100.0,v1.3.0
dev_019,2024-01-01 18:15:23,combined,26,66.0,1023.82,0.2781,normal,100.0,v1.2.1
dev_033,2024-01-01 18:32:45,temperature,29,54.8,1011.95,0.4532,normal,47.5,v1.2.1
dev_007,2024-01-01 18:37:22,pressure,26,56.6,1026.12,1.7449,normal,96.6,v1.3.0
dev_012,2024-01-01 18:41:01,humidity,16,61.5,1017.63,1.2268,normal,76.8,v1.3.0
dev_024,2024-01-01 18:51:29,humidity,27,62.2,1023.12,5.0305,normal,100.0,v1.2.1
dev_028,2024-01-01 18:52:05,humidity,27,63.1,1013.62,5.5577,normal,95.6,v1.2.1
dev_015,2024-01-01 18:55:20,temperature,16,14.8,1013.69,2.4643,normal,75.0,v2.0.0
dev_027,2024-01-01 19:04:18,temperature,30,32.3,1011.33,0.8238,normal,82.8,v1.3.0
dev_007,2024-01-01 19:46:21,temperature,22,27.8,1008.65,0.3546,normal,88.2,v1.3.0
dev_009,2024-01-01 19:58:45,temperature,24,44.3,1014.06,1.5791,normal,61.6,v1.2.1
dev_036,2024-01-01 20:02:22,combined,28,23.7,1000.34,3.2204,warning,59.9,v1.3.0
dev_037,2024-01-01 20:08:40,vibration,11,38.9,1026.72,3.6223,normal,59.4,v1.3.0
dev_001,2024-01-01 20:11:08,vibration,14,51.7,1012.4,5.5126,maintenance,68.0,v1.2.1
dev_001,2024-01-01 20:14:13,temperature,23,36.7,1013.09,0.5323,normal,65.7,v2.0.0
dev_042,2024-01-01 20:22:24,combined,28,57.0,998.93,0.1099,normal,61.6,v1.2.1
dev_033,2024-01-01 20:28:39,combined,21,65.9,1022.69,0.3889,normal,53.9,v1.3.0
dev_046,2024-01-01 20:35:19,pressure,21,59.3,1009.75,3.1419,normal,76.6,v2.0.0
dev_025,2024-01-01 20:41:51,vibration,25,67.5,1028.02,0.614,normal,69.5,v1.2.1
dev_027,2024-01-01 20:49:03,combined,18,50.9,986.51,3.9866,normal,62.9,v1.3.0
dev_036,2024-01-01 20:53:35,combined,13,57.3,993.75,4.1775,normal,74.3,v1.2.1
dev_031,2024-01-01 20:58:22,vibration,29,50.3,1010.54,0.7119,normal,95.3,v1.3.0
dev_012,2024-01-01 21:00:39,combined,20,75.2,1026.04,2.2608,normal,85.0,v1.2.1
dev_038,2024-01-01 21:16:51,pressure,19,45.5,1005.51,4.7852,warning,87.2,v1.2.1
dev_033,2024-01-01 21:17:05,pressure,17,68.0,1016.55,2.953,normal,64.6,v1.2.1
dev_022,2024-01-01 21:18:35,combined,19,38.0,1010.2,3.2667,normal,74.0,v2.0.0
dev_029,2024-01-01 21:29:46,combined,36,32.6,1024.66,1.6516,normal,57.6,v1.3.0
dev_011,2024-01-01 21:34:05,humidity,23,75.7,1028.19,1.2164,normal,90.3,v1.2.1
dev_029,2024-01-01 21:36:17,pressure,27,59.0,1030.82,4.2421,normal,84.6,v2.0.0
dev_050,2024-01-01 21:40:39,combined,26,62.6,1036.65,2.6802,normal,90.6,v1.2.1
dev_045,2024-01-01 21:41:59,vibration,35,65.5,1013.48,3.5888,normal,82.6,v1.2.1
dev_018,2024-01-01 21:43:37,humidity,13,49.8,1026.38,2.2639,normal,68.6,v1.2.1
dev_020,2024-01-01 21:59:51,combined,18,40.9,1007.81,0.8609,normal,85.5,v1.2.1
dev_025,2024-01-01 22:08:19,temperature,28,47.1,1011.25,1.4113,normal,67.8,v1.2.1
dev_040,2024-01-01 22:12:51,temperature,22,40.2,1008.89,17.1104,normal,69.0,v1.3.0
dev_002,2024-01-01 22:16:40,pressure,20,70.8,1021.25,2.4804,normal,64.9,v1.2.1
dev_033,2024-01-01 22:46:54,vibration,26,83.0,1001.64,3.238,normal,97.3,v1.2.1
dev_050,2024-01-01 22:47:08,combined,34,70.8,1005.34,6.1717,normal,97.5,v1.2.1
dev_003,2024-01-05 07:17:47,pressure,25,75.7,1003.86,0.2716,normal,76.1,v1.3.0
dev_016,2024-01-01 22:48:20,temperature,7,66.1,1000.53,1.5189,normal,100.0,v1.2.1
dev_023,2024-01-01 22:49:50,pressure,20,51.2,1016.18,0.7391,normal,53.4,v1.2.1
dev_048,2024-01-01 22:52:08,vibration,18,95.0,1000.05,2.9909,normal,97.1,v1.3.0
dev_010,2024-01-01 22:58:10,vibration,22,69.7,1008.62,0.8922,normal,75.8,v1.3.0
dev_038,2024-01-01 23:01:15,pressure,30,77.5,1020.36,2.6607,normal,100.0,v1.2.1
dev_017,2024-01-01 23:03:26,humidity,,,1032.41,,normal,70.8,v1.3.0
dev_011,2024-01-01 23:22:06,pressure,,,1011.45,,normal,100.0,v2.0.0
dev_043,2024-01-01 23:23:51,pressure,,,1010.48,,normal,100.0,v1.2.1
dev_027,2024-01-01 23:35:08,pressure,,,1003.32,,normal,100.0,v1.3.0
dev_026,2024-01-01 23:36:44,pressure,,,1004.12,,normal,83.8,v2.0.0
dev_049,2024-01-01 23:48:08,temperature,,,1023.51,,maintenance,95.0,v1.3.0
dev_005,2024-01-02 00:07:24,pressure,,,1015.09,,normal,85.8,v1.2.1
dev_033,2024-01-02 00:22:51,temperature,,,1027.96,,normal,100.0,v1.2.1
dev_024,2024-01-02 00:30:00,pressure,,,1021.86,,normal,75.2,v1.2.1
dev_038,2024-01-02 00:32:39,humidity,,,1017.63,,normal,97.8,v1.3.0
dev_028,2024-01-02 00:57:52,vibration,,,1005.26,,normal,76.9,v2.0.0
dev_014,2024-01-02 01:03:41,humidity,,,1006.97,,normal,98.0,v1.2.1
dev_005,2024-01-02 01:26:54,combined,,,996.97,,normal,41.3,v1.2.1
dev_026,2024-01-02 01:32:28,combined,,,1030.91,,warning,89.1,v1.3.0
dev_047,2024-01-02 01:37:29,temperature,,,1013.2,,normal,69.9,v1.3.0
dev_019,2024-01-02 01:50:14,temperature,,,999.14,,normal,87.4,v1.2.1
dev_045,2024-01-02 01:59:35,pressure,,,1012.22,,normal,98.4,v1.3.0
dev_005,2024-01-02 02:02:14,pressure,,,1024.03,,normal,71.5,v2.0.0
dev_041,2024-01-02 02:03:08,combined,,,1015.96,,normal,91.5,v1.2.1
dev_046,2024-01-02 02:26:15,combined,,,1031.32,,normal,70.0,v1.3.0
dev_015,2024-01-02 02:41:33,vibration,,,999.32,,normal,72.2,v1.3.0
dev_042,2024-01-02 02:48:20,vibration,,,997.94,,normal,98.5,v1.2.1
dev_024,2024-01-02 03:01:31,humidity,,,1017.34,,normal,100.0,v1.2.1
dev_008,2024-01-02 03:05:59,temperature,,,1004.22,,normal,54.9,v1.2.1
dev_026,2024-01-02 03:17:43,combined,,,1012.71,,normal,80.7,v1.2.1
dev_037,2024-01-13 02:34:50,humidity,,,1014.06,,normal,71.5,v1.2.1
dev_040,2024-01-02 03:44:55,temperature,,,986.17,,normal,98.3,v1.3.0
dev_038,2024-01-02 03:45:00,temperature,,,1015.58,,normal,75.8,v1.2.1
dev_044,2024-01-02 03:52:19,vibration,,,1007.15,,normal,65.8,v1.3.0
dev_032,2024-01-02 04:03:27,temperature,,,1021.16,,normal,85.0,v1.2.1
dev_033,2024-01-02 04:05:00,vibration,,,1013.76,,normal,85.9,v2.0.0
dev_047,2024-01-02 04:18:33,combined,,,994.72,,maintenance,71.5,v1.3.0
dev_035,2024-01-02 04:19:12,pressure,,,1019.19,,normal,59.2,v2.0.0
dev_004,2024-01-02 04:21:37,combined,,,1017.45,,normal,74.9,v1.2.1
dev_006,2024-01-02 04:23:38,temperature,,,1000.22,,normal,100.0,v2.0.0
dev_047,2024-01-02 04:28:13,vibration,,,1018.8,,normal,65.8,v1.2.1
dev_043,2024-01-02 04:31:09,vibration,,,1009.2,,normal,77.8,v1.3.0
dev_035,2024-01-02 04:35:26,vibration,,,1029.15,,warning,57.9,v1.2.1
dev_039,2024-01-02 04:44:47,vibration,,,1021.31,,normal,88.8,v1.2.1
dev_044,2024-01-02 05:03:25,temperature,,,1007.5,,normal,42.6,v1.2.1
dev_049,2024-01-02 05:07:36,vibration,,,1018.63,,normal,86.4,v1.2.1
dev_038,2024-01-02 05:13:17,temperature,,,1010.32,,normal,78.3,v1.2.1
dev_017,2024-01-02 05:17:44,temperature,,,1014.74,,normal,44.2,v1.3.0
dev_022,2024-01-02 05:26:13,combined,,,1007.47,,normal,100.0,v1.3.0
dev_032,2024-01-02 05:30:08,combined,,,1010.67,,normal,88.8,v1.2.1
dev_008,2024-01-02 05:40:24,temperature,,,994.75,,normal,65.1,v1.3.0
dev_016,2024-01-02 05:47:32,vibration,,,1001.72,,normal,78.3,v1.2.1
dev_028,2024-01-02 05:58:22,temperature,,,1018.85,,normal,56.4,v1.2.1
dev_011,2024-01-02 06:11:09,humidity,,,1028.95,,normal,60.2,v2.0.0
dev_039,2024-01-02 06:19:20,vibration,,,1005.48,,normal,64.6,v1.2.1
dev_010,2024-01-02 06:22:53,pressure,,,1013.57,,normal,90.8,v2.0.0
dev_044,2024-01-02 06:41:41,humidity,,,1027.35,,normal,90.3,v1.3.0
dev_019,2024-01-02 06:45:38,vibration,,,1025.85,,maintenance,87.9,v1.2.1
dev_006,2024-01-02 06:46:51,temperature,,,1014.17,,normal,81.8,v1.3.0
dev_015,2024-01-02 06:49:15,combined,,,1000.1,,normal,70.3,v1.2.1
dev_014,2024-01-02 06:55:51,humidity,,,1004.86,,normal,68.0,v1.2.1
dev_030,2024-01-02 07:03:21,vibration,,,1014.16,,normal,90.5,v1.2.1
dev_032,2024-01-02 07:11:27,vibration,,,1004.66,,normal,69.9,v1.3.0
dev_033,2024-01-02 07:12:05,combined,,,1021.52,,normal,100.0,v1.3.0
dev_031,2024-01-02 07:30:36,pressure,,,1003.7,,normal,79.3,v1.2.1
dev_027,2024-01-02 07:32:23,vibration,,,1017.49,,normal,59.6,v2.0.0
dev_019,2024-01-02 07:38:23,vibration,,,1002.51,,normal,62.2,v1.3.0
dev_040,2024-01-02 07:39:31,humidity,,,993.02,,normal,40.5,v1.3.0
dev_042,2024-01-02 07:44:04,pressure,,,1025.12,,normal,57.9,v1.2.1
dev_003,2024-01-02 08:21:59,pressure,,,1021.47,,normal,100.0,v1.2.1
dev_017,2024-01-02 08:26:27,humidity,,,1009.2,,normal,79.9,v1.2.1
dev_031,2024-01-30 12:04:58,vibration,,,1001.08,,normal,34.9,v1.2.1
dev_004,2024-01-02 08:48:59,vibration,,,1015.45,,error,78.0,v1.2.1
dev_036,2024-01-02 08:51:00,humidity,,,1028.47,,normal,49.5,v1.2.1
dev_039,2024-01-02 08:53:14,combined,,,1010.92,,normal,78.7,v1.3.0
dev_004,2024-01-02 09:10:48,combined,,,1001.27,,maintenance,100.0,v1.3.0
dev_036,2024-01-02 09:22:13,vibration,,,1016.62,,normal,68.1,v1.2.1
dev_031,2024-01-02 09:30:22,pressure,,,1018.19,,normal,56.9,v1.2.1
dev_041,2024-01-02 09:36:15,vibration,,,1006.72,,normal,91.5,v2.0.0
dev_019,2024-01-02 09:36:55,pressure,,,1022.75,,normal,68.0,v1.2.1
dev_035,2024-01-02 09:38:40,humidity,,,1023.06,,normal,70.4,v1.3.0
dev_003,2024-01-02 10:03:56,combined,,,1006.62,,normal,48.0,v1.2.1
dev_034,2024-01-02 10:04:20,vibration,,,1018.7,,normal,97.5,v1.3.0
dev_029,2024-01-02 10:06:03,vibration,,,1018.68,,warning,80.7,v1.2.1
dev_042,2024-01-02 10:10:06,pressure,,,1011.38,,normal,62.3,v1.3.0
dev_026,2024-01-02 10:18:44,temperature,,,1008.32,,normal,100.0,v1.3.0
dev_012,2024-01-02 10:32:31,temperature,,,1015.38,,warning,83.3,v1.2.1
dev_005,2024-01-09 01:26:33,temperature,,,1006.14,,normal,79.7,v1.2.1
dev_005,2024-01-02 10:59:07,combined,,,1009.74,,error,100.0,v1.2.1
dev_034,2024-01-02 11:02:07,combined,,,998.55,,normal,81.8,v1.2.1
dev_028,2024-01-02 11:14:19,pressure,,,1006.42,,normal,89.1,v1.2.1
dev_025,2024-01-02 11:14:50,combined,,,1009.75,,normal,97.5,v1.2.1
dev_038,2024-01-02 11:29:38,vibration,,,1020.89,,normal,57.8,v1.2.1
dev_009,2024-01-02 11:59:13,combined,,,1017.66,,normal,73.9,v1.2.1
dev_045,2024-01-02 12:05:16,pressure,,,1008.9,,normal,52.8,v1.2.1
dev_037,2024-01-02 12:18:45,humidity,,,1012.05,,normal,42.6,v1.3.0
dev_043,2024-01-02 12:20:22,vibration,,,1010.99,,normal,50.4,v2.0.0
dev_020,2024-01-29 11:33:14,temperature,,,1005.2,,normal,43.3,v1.2.1
dev_026,2024-01-02 12:21:35,combined,,,1007.94,,normal,63.9,v1.3.0
dev_030,2024-01-02 12:24:08,humidity,,,1010.61,,normal,84.8,v2.0.0
dev_049,2024-01-02 12:36:51,pressure,,,1014.52,,normal,73.1,v1.2.1
dev_049,2024-01-02 12:41:21,vibration,,,1021.15,,normal,95.5,v1.3.0
dev_044,2024-01-02 12:52:33,temperature,,,1002.79,,normal,100.0,v1.3.0
dev_041,2024-01-02 13:02:23,humidity,,,1037.0,,normal,56.9,v1.2.1
dev_033,2024-01-02 13:08:31,temperature,,,1008.24,,normal,69.3,v1.3.0
dev_006,2024-01-02 13:09:02,vibration,,,1007.91,,normal,45.3,v1.2.1
dev_013,2024-01-02 13:11:24,humidity,,,1004.4,,normal,44.6,v1.2.1
dev_003,2024-01-02 13:20:03,temperature,,,1005.51,,warning,69.8,v1.3.0
dev_040,2024-01-02 13:29:55,pressure,,,1007.95,,normal,53.5,v1.2.1
dev_009,2024-01-02 13:38:21,temperature,,,1004.27,,normal,85.1,v1.2.1
dev_012,2024-01-02 13:56:20,combined,,,1026.54,,normal,67.2,v1.3.0
dev_032,2024-01-02 13:57:58,temperature,,,1016.68,,normal,94.5,v1.2.1
dev_039,2024-01-02 14:00:55,humidity,,,999.08,,error,65.4,v1.3.0
dev_007,2024-01-02 14:05:47,combined,,,1030.82,,normal,100.0,v1.2.1
dev_003,2024-01-02 14:13:07,vibration,,,1015.89,,normal,83.0,v1.2.1
dev_012,2024-01-02 14:27:10,humidity,,,1011.73,,normal,100.0,v1.3.0
dev_049,2024-01-02 14:27:54,humidity,,,1018.63,,normal,78.6,v1.3.0
dev_024,2024-01-02 14:28:57,vibration,,,1010.78,,normal,79.0,v1.3.0
dev_037,2024-01-02 14:29:34,combined,,,1016.41,,error,71.9,v1.2.1
dev_021,2024-01-02 14:51:26,combined,,,1013.5,,normal,61.3,v2.0.0
dev_037,2024-01-02 15:38:35,temperature,,,1028.87,,normal,80.5,v2.0.0
dev_003,2024-01-02 15:43:54,vibration,,,1022.54,,normal,92.9,v2.0.0
dev_034,2024-01-02 15:45:27,humidity,,,1003.81,,normal,96.9,v1.2.1
dev_048,2024-01-02 15:45:48,pressure,,,989.33,,error,59.5,v2.0.0
dev_012,2024-01-02 15:54:40,pressure,,,1009.73,,warning,51.9,v1.2.1
dev_037,2024-01-02 15:57:24,combined,,,1009.82,,normal,73.5,v1.2.1
dev_021,2024-01-02 16:19:26,vibration,,,1007.19,,normal,93.0,v1.2.1
dev_017,2024-01-02 16:43:07,pressure,,,1004.19,,normal,56.4,v1.2.1
dev_020,2024-01-02 16:59:23,combined,,,1018.78,,normal,77.0,v1.3.0
dev_039,2024-01-02 17:22:33,humidity,,,1022.22,,normal,63.4,v2.0.0
dev_027,2024-01-02 17:24:32,humidity,,,1003.99,,normal,100.0,v1.3.0
dev_020,2024-01-02 17:26:27,humidity,,,1025.8,,normal,71.7,v1.2.1
dev_032,2024-01-02 17:31:17,humidity,,,1015.06,,normal,23.6,v1.2.1
dev_017,2024-01-02 17:34:18,combined,,,1021.04,,normal,60.5,v2.0.0
dev_029,2024-01-02 18:02:00,humidity,,,1008.21,,normal,88.5,v2.0.0
dev_020,2024-01-02 18:07:46,temperature,,,995.05,,normal,74.7,v1.3.0
dev_020,2024-01-02 18:12:35,combined,,,1008.09,,normal,85.9,v1.2.1
dev_028,2024-01-02 18:14:37,pressure,,,997.04,,normal,28.7,v1.3.0
dev_016,2024-01-02 18:20:41,humidity,,,1007.42,,normal,67.9,v1.2.1
dev_011,2024-01-02 18:34:36,temperature,,,1015.42,,normal,94.9,v1.3.0
dev_039,2024-01-23 04:30:57,pressure,,,1011.52,,normal,49.4,v1.2.1
dev_013,2024-01-02 18:41:46,pressure,,,1007.23,,normal,63.6,v1.3.0
dev_005,2024-01-02 18:56:20,temperature,,,1010.77,,normal,50.6,v1.2.1
dev_025,2024-01-02 19:06:11,combined,,,995.5,,normal,54.2,v1.2.1
dev_014,2024-01-02 19:40:04,vibration,,,1011.77,,normal,100.0,v1.2.1
