employee_id,q01_engagement,q02_engagement,q03_engagement,q04_engagement,q05_engagement,q06_engagement,q07_engagement,q08_engagement,q09_engagement,q10_engagement,q01_satisfaction,q02_satisfaction,q03_satisfaction,q04_satisfaction,q05_satisfaction,q06_satisfaction,q07_satisfaction,q08_satisfaction,q09_satisfaction,q10_satisfaction,q01_mgr_effectiveness,q02_mgr_effectiveness,q03_mgr_effectiveness,q04_mgr_effectiveness,q05_mgr_effectiveness,q01_additional,q02_additional,q03_additional,q04_additional,q05_additional,q06_additional,q07_additional,q08_additional,q09_additional,q10_additional,would_recommend,likely_to_stay,department,tenure_years,age_group,work_location,survey_date
EMP_00037,5,3,3,5,4,1,5,?,4,3,7,3,7,5,4,,2,7,4,4,10,7,7,4,6,3,2,3,3,4,3,4,2,5,4,Yes,4,Operations,0.2,25-34,Hybrid,2024-01-15 10:00:00
EMP_00038,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,No,6,Operations,6.5,18-24,Hybrid,2024-01-23
EMP_00039,4,4,6,4,3,5,3,5,3,3,3,5,,1,3,7,3,7,5,3,2,4,6,4,10,5,5,4,4,1,2,3,5,3,4,Maybe,4,Product,3.3,45-54,Hybrid,2024-01-15 10:00:00
EMP_00040,4,4,2,n/a,5,5,3,3,4,4,3,5,3,5,4,,,5,4,4,2,8,7,7,4,4,5,5,3,4,5,4,3,2,1,No,2,Legal,1.1,35-44,Remote,2024-02-11
EMP_00041,1,4,2,3,2,3,3,4,3,5,1,2,6,2,3,6,5,5,5,4,4,5,3,4,10,4,4,5,5,3,3,3,4,3,4,yes,5,Legal,0.3,35-44,Hybrid,2024-01-27
EMP_00042,2,3,4,6,NA,3,4,2,5,2,5,5,4,3,6,7,4,3,6,5,9,5,3,8,4,3,5,3,2,3,5,4,3,4,2,0,7,Operations,3.9,18-24,On-site,2024-01-15 10:00:00
EMP_00043,4,4,3,3,3,2,4,4,4,4,5,6,6,3,5,2,3,5,,5,9,4,4,10,4,2,5,3,4,2,2,3,1,4,5,no,5,Finance,1.0,45-54,On-site,2024-01-15 10:00:00
EMP_00044,2,3,4,3,4,5,5,4,2,4,,1,3,5,7,6,2,6,,3,7,6,10,7,2,4,5,2,5,2,5,5,3,4,3,no,7,Operations,1.4,35-44,Hybrid,2024-01-06
EMP_00045,4,5,5,4,3,5,3,3,4,Don't know,3,5,5,4,5,3,7,6,5,3,6,6,8,5,9,2,3,2,4,2,4,2,5,5,3,no,1,Finance,2.6,18-24,On-site,2024-01-16
EMP_00046,2,5,3,4,3,3,4,5,3,5,3,2,4,4,5,3,6,7,4,4,1,6,6,5,3,4,4,3,5,3,5,3,2,5,2,Maybe,7,HR,0.6,18-24,Remote,2024-01-14
EMP_00047,4,5,3,5,2,4,4,5,4,5,6,7,5,5,4,4,6,4,5,5,10,7,5,7,6,5,3,5,3,4,1,3,2,2,2,1,2,Engineering,4.6,25-34,Remote,2024-01-15 10:00:00
EMP_00048,5,3,5,4,4,2,1,5,4,5,3,4,7,2,2,,4,4,5,3,5,8,4,8,5,3,5,5,3,2,3,2,3,5,1,Yes,2,Sales,2.0,45-54,Hybrid,2024-01-12
EMP_00049,3,n/a,3,n/a,5,4,4,5,3,4,4,5,4,2,4,2,4,2,4,4,6,7,3,6,5,5,5,3,3,5,4,3,2,4,1,Maybe,5,Sales,4.6,35-44,On-site,2024-01-15 10:00:00
EMP_00050,5,5,3,3,2,5,5,3,2,7,4,5,1,3,4,3,7,4,,3,4,9,9,8,6,5,5,4,3,4,4,3,3,2,4,yes,4,Engineering,1.2,35-44,Remote,2024-02-11
EMP_00051,4,1,4,3,3,4,4,3,4,1,,1,2,5,3,1,6,3,4,5,7,3,6,5,5,3,4,4,5,5,4,4,3,3,3,Yes,2,Marketing,2.5,18-24,On-site,2024-02-11
EMP_00120,4,4,2,3,4,4,4,1,4,4,6,2,3,,2,5,2,4,7,5,6,5,8,8,8,4,2,3,4,4,4,5,4,2,2,1,7,HR,3.4,55+,Hybrid,2024-02-24
EMP_00053,3,5,2,3,5,?,7,3,4,3,,5,5,3,6,4,6,3,,5,4,10,4,10,7,4,3,4,4,2,4,4,2,2,3,no,1,Operations,3.1,18-24,On-site,2024-01-15 10:00:00
EMP_00054,3,Don't know,5,3,2,3,2,2,3,3,3,4,4,7,2,6,4,4,3,4,6,7,8,8,9,4,5,3,3,3,4,2,4,2,3,0,1,Finance,1.5,35-44,Remote,2024-01-15 10:00:00
EMP_00055,4,5,3,1,Don't know,4,3,3,3,3,4,2,4,4,5,5,6,4,2,4,6,8,6,6,6,4,4,4,4,2,3,3,3,5,3,no,6,Product,10.3,45-54,Remote,2024-01-03
EMP_00056,5,3,3,4,4,5,4,4,4,5,7,7,3,7,4,4,3,4,5,4,3,7,9,7,7,4,2,4,3,3,5,3,4,4,5,1,3,Finance,3.5,35-44,On-site,2024-02-17
EMP_00057,5,5,4,3,4,5,4,4,5,4,6,3,,6,4,5,7,5,4,1,7,9,10,7,3,3,3,4,2,2,2,3,1,5,2,Yes,3,Finance,3.1,25-34,Remote,2024-02-27
EMP_00058,4,3,4,4,4,3,3,NA,3,5,,5,2,3,4,4,3,3,,,10,8,4,10,10,3,2,3,3,1,3,2,2,3,5,Maybe,4,Operations,1.8,35-44,Hybrid,2024-02-02
EMP_00059,5,4,4,4,3,3,7,4,3,4,5,6,,5,,5,5,7,4,4,7,7,4,3,2,2,4,4,4,5,2,4,5,3,3,No,7,Legal,3.1,45-54,Remote,2024-01-15 10:00:00
EMP_00060,3,3,3,3,4,3,?,4,4,2,3,7,4,2,5,5,4,4,,6,10,4,8,5,4,4,3,3,2,4,3,3,1,3,1,Yes,5,Engineering,6.1,25-34,Remote,2024-01-15 10:00:00
EMP_00061,5,5,2,3,4,5,3,4,4,1,5,5,5,5,5,4,,4,4,4,5,6,2,9,10,1,5,2,4,2,3,5,2,5,4,Maybe,3,Finance,1.9,35-44,On-site,2024-01-15 10:00:00
EMP_00062,5,4,3,4,4,2,2,3,3,3,7,3,4,4,4,5,,3,5,4,6,6,7,1,4,3,3,5,1,3,5,3,3,3,4,yes,7,Sales,2.4,45-54,Hybrid,2024-02-08
EMP_00063,4,3,5,4,2,3,2,3,4,4,5,2,2,7,4,6,4,5,5,,4,4,4,7,8,4,4,3,3,4,3,5,3,5,4,Yes,3,Marketing,2.1,35-44,Hybrid,2024-01-15 10:00:00
EMP_00064,2,4,4,4,4,4,4,3,4,4,7,7,5,6,7,6,4,6,3,4,10,7,5,10,9,3,1,3,1,3,2,4,1,3,4,1,6,Finance,3.1,25-34,Hybrid,2024-01-18
EMP_00065,3,3,N/A,5,5,3,4,5,3,?,3,5,4,6,4,6,,7,3,4,8,2,9,8,10,3,4,3,4,4,3,3,1,4,4,1,4,Sales,4.8,18-24,Remote,2024-01-18
EMP_00066,3,4,3,4,4,6,2,1,3,N/A,4,4,3,4,,2,6,2,6,5,9,2,7,6,4,3,2,3,5,3,5,4,4,5,2,0,3,Operations,1.7,35-44,Remote,2024-01-28
EMP_00067,2,3,5,3,5,5,5,?,5,5,5,,7,4,3,7,5,1,,5,4,6,7,4,8,4,4,2,5,5,2,5,2,5,2,yes,5,HR,0.7,35-44,Remote,2024-02-09
EMP_00068,5,4,3,3,?,4,5,4,3,3,,5,5,7,4,5,3,4,2,7,3,7,3,4,10,4,2,2,3,3,2,5,3,2,4,Yes,2,Marketing,2.9,35-44,Remote,2024-01-04
EMP_00069,4,2,5,3,5,3,3,5,4,3,6,5,5,4,5,2,4,1,,5,4,10,2,9,3,4,3,1,4,3,5,3,4,3,2,Maybe,7,Sales,3.9,25-34,Remote,2024-02-13
EMP_00070,5,4,3,4,3,4,4,4,4,5,5,3,6,3,1,4,4,5,2,5,4,5,9,7,3,4,3,5,4,5,4,3,5,3,3,yes,3,Marketing,3.1,25-34,Remote,2024-01-20
EMP_00071,NA,5,3,6,3,5,5,4,3,4,5,2,,5,6,6,3,,6,5,8,10,3,9,9,3,4,3,4,5,5,5,2,4,4,1,5,Product,0.9,25-34,On-site,2024-02-15
EMP_00072,4,4,4,N/A,4,4,4,4,4,4,4,4,4,,4,4,4,4,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,2,HR,12.2,45-54,On-site,2024-01-15 10:00:00
EMP_00073,4,2,4,4,3,4,4,2,3,5,4,7,5,5,,6,4,,5,2,9,10,8,9,6,3,2,3,3,3,4,5,3,1,1,yes,7,Sales,1.3,18-24,On-site,2024-01-31
EMP_00074,2,3,4,3,4,4,4,4,5,3,3,4,2,7,7,6,4,7,,5,9,9,6,4,5,2,4,2,4,2,3,2,3,3,3,yes,3,Product,1.9,25-34,Hybrid,2024-01-15 10:00:00
EMP_00075,3,2,4,6,3,4,4,4,4,NA,7,,4,4,4,5,4,7,3,5,10,10,4,5,5,2,4,3,3,5,2,4,3,5,4,1,2,Engineering,0.7,45-54,Hybrid,2024-01-28
EMP_00076,2,3,3,5,4,2,3,3,3,Don't know,5,,5,7,4,7,5,1,4,5,7,6,5,5,7,4,5,4,3,1,5,4,5,1,2,Maybe,1,Engineering,5.7,35-44,On-site,2024-01-31
EMP_00077,4,5,N/A,3,2,4,2,4,n/a,4,6,6,3,3,4,6,6,5,4,4,4,7,6,8,5,3,3,4,3,3,3,2,2,4,1,0,5,Finance,20.6,45-54,Hybrid,2024-01-15 10:00:00
EMP_00078,2,3,3,1,3,5,4,3,4,3,3,6,5,5,7,3,7,5,2,5,9,7,7,10,3,3,5,4,4,4,4,4,3,5,4,Yes,6,Engineering,0.1,25-34,Remote,2024-01-15 10:00:00
EMP_00079,4,4,4,n/a,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Maybe,1,Marketing,5.8,45-54,Hybrid,2024-01-15 10:00:00
EMP_00080,2,4,5,4,3,Don't know,4,4,4,5,4,1,2,6,3,5,5,4,5,4,7,2,8,6,7,4,2,1,2,5,3,2,3,5,2,1,6,Operations,0.9,55+,On-site,2024-02-02
EMP_00081,4,N/A,5,4,5,4,4,4,NA,4,6,6,4,6,4,5,5,,5,6,5,6,10,6,8,4,3,2,3,3,5,4,4,3,2,No,2,Engineering,2.1,25-34,Remote,2024-02-27
EMP_00082,5,5,3,5,4,4,4,4,5,5,4,5,,2,5,,5,6,7,3,7,8,10,7,7,4,3,3,4,4,1,4,4,5,5,yes,1,Marketing,9.7,45-54,On-site,2024-01-15 10:00:00
EMP_00083,3,2,3,3,5,4,3,4,4,3,6,1,5,4,2,4,3,2,3,5,4,6,5,8,9,4,3,4,4,4,2,3,4,1,5,Maybe,4,Product,0.4,35-44,On-site,2024-02-14
EMP_00084,4,4,4,4,4,4,4,4,4,4,4,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,6,Product,3.9,35-44,On-site,2024-01-15 10:00:00
EMP_00085,2,4,3,4,4,3,2,3,4,4,6,6,,3,5,4,5,6,4,3,6,6,10,7,10,5,2,4,3,3,5,3,3,4,1,1,2,Engineering,0.6,45-54,On-site,2024-02-03
EMP_00086,5,3,5,3,3,5,5,4,5,4,5,2,4,5,3,4,3,4,6,,6,4,10,8,2,2,2,3,2,2,3,4,3,5,4,1,6,Engineering,4.1,35-44,Remote,2024-01-11
EMP_00087,4,0,4,4,1,3,4,3,4,3,3,6,2,6,3,,2,4,5,3,4,7,8,8,9,3,5,2,4,4,4,5,1,4,1,No,5,Engineering,2.6,25-34,Hybrid,2024-01-15 10:00:00
EMP_00088,3,3,4,4,4,4,2,4,3,4,3,7,4,7,7,7,5,6,3,4,5,8,10,8,4,2,3,1,3,4,4,4,3,1,5,yes,7,Legal,1.5,55+,Remote,2024-01-22
EMP_00089,?,4,5,2,2,NA,4,4,3,5,5,7,3,4,,1,4,6,4,7,1,9,10,7,8,3,3,4,3,3,4,4,5,2,2,1,3,HR,2.8,18-24,On-site,2024-02-18
EMP_00090,4,5,4,2,2,3,3,3,4,6,3,6,4,6,6,,5,4,6,2,9,5,10,2,3,1,4,2,2,4,5,4,5,5,1,Maybe,4,HR,6.8,45-54,On-site,2024-01-15 10:00:00
EMP_00091,3,3,5,4,3,5,3,2,2,Don't know,6,3,4,5,5,4,5,1,3,6,7,8,7,4,3,3,3,4,3,2,3,3,3,4,4,0,6,Sales,3.9,35-44,On-site,2024-01-15 10:00:00
EMP_00092,4,4,5,3,3,1,5,2,2,4,4,5,7,4,2,,5,4,5,7,5,10,9,6,5,3,2,5,2,4,3,1,2,5,2,no,4,Finance,10.5,45-54,On-site,2024-01-15 10:00:00
EMP_00093,5,5,4,4,5,3,4,3,5,4,7,,4,5,7,5,3,5,3,6,7,7,3,8,5,4,3,2,2,4,3,3,5,5,2,yes,3,Legal,6.4,55+,On-site,2024-01-21
EMP_00094,3,1,?,0,5,2,3,4,6,4,3,5,7,1,7,7,,,5,5,7,4,2,3,4,3,4,5,4,4,2,2,2,3,3,no,7,Sales,8.6,18-24,Remote,2024-01-14
EMP_00095,2,4,1,4,1,3,4,3,n/a,3,6,6,2,6,2,2,,4,6,4,2,8,5,5,9,4,4,1,3,4,3,4,3,4,3,Yes,6,Product,4.8,45-54,Hybrid,2024-01-15 10:00:00
EMP_00096,3,4,2,3,4,3,3,3,6,3,7,4,6,5,1,,,4,6,4,0,6,10,6,7,5,2,3,3,5,4,4,3,4,2,yes,7,Marketing,17.8,35-44,On-site,2024-01-15 10:00:00
EMP_00097,4,2,5,2,3,2,3,5,5,0,6,3,7,7,4,4,4,,6,6,7,8,7,6,4,5,4,3,3,3,4,3,4,5,4,no,4,Legal,5.5,35-44,Remote,2024-01-14
EMP_00098,2,3,3,3,3,1,4,4,5,3,4,3,3,3,,4,5,4,4,3,8,4,8,10,9,5,4,2,2,5,4,5,5,3,5,1,4,Sales,2.9,25-34,On-site,2024-01-01
EMP_00099,5,4,2,2,Don't know,4,5,4,4,5,3,1,3,6,7,6,2,7,6,,5,5,5,6,7,5,4,5,3,3,5,3,3,3,5,yes,5,Sales,1.0,25-34,Hybrid,2024-01-31
EMP_00100,3,2,2,1,NA,4,Don't know,5,3,4,5,4,5,4,6,4,5,,7,2,9,10,8,6,4,3,4,4,4,5,3,2,3,4,5,1,7,Operations,7.3,55+,On-site,2024-01-15 10:00:00
EMP_00101,3,5,4,3,4,3,4,3,4,3,5,5,4,4,4,5,2,4,4,,6,7,8,9,8,3,5,3,5,4,4,2,3,4,4,1,6,Marketing,0.2,35-44,Hybrid,2024-01-15 10:00:00
EMP_00102,4,4,3,3,3,5,2,2,3,4,,6,4,,5,4,6,4,6,3,7,1,7,8,10,4,3,3,3,4,3,2,1,4,4,yes,5,Finance,3.1,55+,On-site,2024-02-01
EMP_00103,3,1,5,3,4,3,3,3,4,4,4,6,3,5,4,6,4,4,6,3,6,4,7,9,9,3,3,3,3,4,5,2,4,2,3,Maybe,1,Marketing,3.9,25-34,Remote,2024-02-01
EMP_00104,3,4,3,3,4,3,3,4,5,4,4,3,7,7,,5,3,7,3,3,7,7,10,6,7,3,2,2,3,5,3,4,2,3,3,0,7,Legal,6.5,25-34,On-site,2024-02-06
EMP_00105,4,4,Don't know,4,4,4,4,4,4,4,4,4,,4,4,4,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,yes,7,Marketing,2.8,18-24,Hybrid,2024-01-15 10:00:00
EMP_00106,2,3,3,3,4,4,6,0,4,2,7,6,4,5,4,6,,7,5,5,2,8,5,8,8,2,3,2,3,5,4,2,1,4,4,1,5,HR,6.3,45-54,Remote,2024-02-22
EMP_00107,2,5,3,4,4,3,2,4,4,5,7,5,4,7,4,1,,4,4,6,9,9,10,6,10,4,2,3,2,4,3,4,3,5,5,1,3,HR,4.8,18-24,Remote,2024-01-15 10:00:00
EMP_00108,4,5,?,3,3,4,Don't know,3,3,3,3,3,4,4,7,3,5,6,5,6,8,6,5,5,5,2,2,3,4,5,4,3,4,3,1,0,4,Sales,9.8,18-24,Hybrid,2024-02-09
EMP_00109,2,4,4,5,4,5,4,?,4,2,2,5,7,4,,6,7,4,4,4,5,8,7,9,0,3,3,4,4,4,4,4,5,5,3,yes,7,Legal,1.1,18-24,Remote,2024-02-22
EMP_00110,4,2,3,3,4,4,4,4,3,4,3,5,3,3,,1,4,6,3,2,10,9,8,6,6,3,3,1,2,2,3,4,3,3,3,0,6,Operations,4.9,55+,Remote,2024-01-15 10:00:00
EMP_00111,3,4,4,N/A,3,4,3,4,3,4,5,2,3,6,6,2,4,5,6,6,9,10,6,6,7,4,3,3,3,5,3,3,5,5,2,yes,6,Product,5.8,18-24,Hybrid,2024-02-16
EMP_00112,4,4,3,4,3,3,4,4,4,3,7,4,7,3,4,5,5,,6,3,3,9,7,6,6,4,4,4,4,3,5,4,1,1,4,Maybe,6,Marketing,4.6,45-54,Hybrid,2024-01-15 10:00:00
EMP_00113,4,2,3,3,5,4,3,2,3,5,3,6,6,4,3,2,6,5,3,3,5,5,6,7,10,3,5,4,3,3,2,5,4,4,3,Maybe,7,HR,15.0,45-54,Remote,2024-02-27
EMP_00114,4,3,7,NA,3,4,5,4,4,3,4,4,,4,4,5,6,,5,4,3,5,9,2,6,3,5,5,3,4,5,5,2,4,1,no,6,Operations,10.0,18-24,On-site,2024-01-15 10:00:00
EMP_00115,2,4,1,5,2,?,2,5,1,2,,4,1,,4,,2,5,4,4,10,8,10,6,10,4,3,3,3,4,3,5,4,4,4,yes,2,Finance,2.1,55+,Hybrid,2024-02-13
EMP_00116,3,2,3,4,4,4,2,3,3,3,4,6,2,4,7,5,2,3,5,4,10,5,9,10,10,4,2,4,2,5,4,4,4,4,4,Maybe,6,HR,0.4,18-24,Remote,2024-01-15 10:00:00
EMP_00117,4,4,4,5,5,4,3,3,3,3,5,7,3,1,5,5,7,1,7,7,4,3,6,7,5,1,5,2,4,4,3,5,5,1,5,0,7,HR,3.3,55+,Remote,2024-01-15 10:00:00
EMP_00118,5,5,4,2,4,5,5,2,4,NA,5,7,5,4,2,4,4,3,7,4,10,1,0,2,7,1,3,2,5,2,4,4,2,2,2,0,3,Product,2.9,35-44,Hybrid,2024-01-15 10:00:00
EMP_00119,4,Don't know,4,3,Don't know,2,5,3,1,4,7,2,2,5,3,5,7,4,3,3,4,6,9,6,9,3,4,5,2,3,3,1,3,3,3,Maybe,4,Operations,5.6,18-24,Hybrid,2024-02-21
EMP_00120,1,4,2,3,3,4,0,5,3,Don't know,4,6,7,3,5,6,4,5,5,4,5,0,7,10,6,3,5,3,4,2,5,5,4,3,3,1,3,Operations,5.4,18-24,On-site,2024-01-15 10:00:00
EMP_00121,7,4,4,5,3,5,4,4,n/a,3,6,6,6,5,6,7,5,7,4,4,5,7,6,10,5,2,3,4,2,3,1,5,3,1,2,Yes,1,Product,9.4,35-44,Remote,2024-01-08
EMP_00122,5,5,2,4,4,4,4,3,5,4,4,6,3,1,5,7,3,4,4,5,5,7,5,10,10,3,3,5,4,5,4,3,3,4,5,0,3,Finance,2.7,45-54,On-site,2024-01-15 10:00:00
