shipment_id,order_date,ship_date,delivery_date,carrier,origin_city,destination_city,product_id,product_category,weight,quantity,shipping_cost,delivery_status,days_in_transit,on_time,damage_reported,tracking_number,customer_id,region,priority
SHP-269031,2023-12-03,2023-12-05,2023-12-18,fedex,Phoenix,Minneapolis,SKU-47509,Electronics,383.75,44,441.21,Delivered,13,1,False,1Z5296223764,CUST-51492,Northeast,High
SHP-842170,2024-02-08,2024-02-12,2024-02-10,FedEx,Atlanta,Detroit,SKU-27713,Clothing,101.45,82,581.17,in_transit,19,no,False,1Z8991871775,CUST-48157,West,standard
SHP-705613,2023-01-26,2023-01-30,2023-02-05,fedex,Atlanta,Boston,SKU-44318,Food,116.82,22,614.03,In Transit,6,0,False,1Z6362740959,CUST-52223,West,Low
SHP-218272,2023-06-08,2023-06-11,2023-06-19,FedEx,Miami,Portland,SKU-86113,Clothing,597.36,78,444.95,delivered,8,1,True,1Z9115688281,CUST-47677,South,High
SHP-579351,2022-02-18,2022-02-21,2022-02-28,United Parcel Service,Los Angeles,Denver,SKU-58006,Furniture,779.97,93,26.8,Pending,7,No,False,1Z7860659343,CUST-35027,South,URGENT
SHP-700049,2023-08-22,2023-08-25,2023-09-01,UPS,Dallas,Austin,SKU-30598,Medical,72.93,50,9.63,Delivered,7,no,False,1Z8190939338,CUST-70879,Northeast,High
SHP-527697,2022-03-25,2022-03-29,2022-04-10,UPS,Houston,Boston,SKU-73964,Medical,295.2,14,397.87,Delivered,12,yes,False,1Z4406477401,CUST-49429,Northeast,Low
SHP-245647,2024-06-11,2024-06-12,2024-06-29,USPS,Chicago,Detroit,SKU-36975,Auto,25.7,86,140.68,In Transit,17,no,,1Z7766175501,CUST-44058,South,standard
SHP-827005,2024-02-16,2024-02-17,2024-02-21,UPS,Chicago,Boston,SKU-39303,Medical,101.0,11,220.82,Delivered,4,yes,False,1Z5758178125,CUST-68732,West,High
SHP-765752,2024-01-21,2024-01-25,2024-02-02,FedEx,Houston,Detroit,SKU-81820,Furniture,88.03,72,682.75,Pending,8,Yes,False,1Z2286504332,CUST-67943,South,Low
SHP-875515,2022-10-26,2022-10-29,2022-11-15,dhl,Phoenix,Denver,SKU-51317,Medical,336.4,9,557.4,in_transit,17,0,False,1Z6768891398,CUST-99131,Southwest,Medium
SHP-333690,2022-02-15,2022-02-17,2022-02-24,Federal Express,Chicago,Boston,SKU-80616,Industrial,371.56,31,355.18,TRANSIT,7,Y,False,1Z9243620061,CUST-35974,South,Medium
SHP-960572,2022-12-23,2022-12-27,2023-01-06,UPS,Miami,Portland,SKU-65081,Auto,255.69,74,784.76,in_transit,10,No,False,1Z5490105684,CUST-46191,Northeast,Medium
SHP-519272,2023-03-15,2023-03-17,2023-04-01,UPS,Miami,Denver,SKU-52157,Furniture,399.19,82,531.92,Pending,15,no,False,1Z8042100147,CUST-16483,Northeast,Low
SHP-161206,2023-04-14,2023-04-16,2023-05-03,USPS,Phoenix,Boston,SKU-58893,Industrial,960.11,97,80.38,in_transit,17,yes,,1Z2638802135,CUST-85918,South,Low
SHP-302894,2023-03-22,2023-03-25,2023-03-31,United Parcel Service,New York,Las Vegas,SKU-41316,Industrial,649.59,73,704.66,Delivered,6,N,False,1Z9323393662,CUST-18346,Southwest,High
SHP-348500,2022-08-26,2022-08-28,2022-09-14,fedex,New York,Minneapolis,SKU-85330,Industrial,328.76,55,356.78,Returned,17,Y,False,1Z5673128855,CUST-61239,West,Standard
SHP-676782,2024-06-05,2024-06-08,2024-06-04,FedEx,Miami,Boston,SKU-16909,Industrial,8.16,17,229.49,delivered,17,Y,,1Z7037024751,CUST-74705,Northeast,Standard
SHP-888215,2023-04-10,2023-04-11,2023-04-16,usps,New York,Austin,SKU-94530,Industrial,856.54,17,429.46,Delivered,5,Yes,False,,CUST-71276,South,Standard
SHP-917483,2024-04-10,2024-04-12,2024-04-27,FedEx,Los Angeles,Denver,SKU-25172,Furniture,139.04,79,71.47,Delivered,15,N,False,,CUST-50796,Northeast,High
SHP-199603,2024-04-09,2024-04-13,2024-04-24,Federal Express,Los Angeles,Austin,SKU-63754,Clothing,792.74,48,786.25,Delivered,11,No,True,,CUST-74842,West,URGENT
SHP-641018,2024-04-07,2024-04-08,2024-04-16,ups,Atlanta,Detroit,SKU-97483,Clothing,345.19,85,52.61,Delivered,8,no,False,1Z5038625091,CUST-52504,West,Low
SHP-461905,2024-04-17,2024-04-21,2024-05-04,Federal Express,Los Angeles,Seattle,SKU-80127,Industrial,54.17,5,20.12,Delivered,13,N,False,1Z1737878654,CUST-11462,Midwest,Low
SHP-243669,2023-02-09,2023-02-10,2023-02-21,USPS,New York,Boston,SKU-73823,Auto,842.23,19,565.87,delivered,11,0,False,1Z8281605738,CUST-32332,Southwest,High
SHP-885609,2023-10-30,2023-10-31,2023-11-15,ups,Miami,Denver,SKU-95422,Auto,329.14,16,20.94,In Transit,15,0,False,1Z1421434574,CUST-80587,Southwest,Standard
SHP-445928,2022-06-22,2022-06-26,2022-07-10,FedEx,Chicago,Denver,SKU-51524,Industrial,547.47,99,393.06,In Transit,14,0,False,1Z6820446570,CUST-80994,Southwest,High
SHP-908620,2024-03-10,2024-03-11,2024-03-30,UPS,New York,Las Vegas,SKU-68331,Furniture,429.4,45,134.07,in_transit,19,0,False,1Z9632033971,CUST-36921,Northeast,Low
SHP-656063,2023-05-19,2023-05-20,2023-06-04,United Parcel Service,Los Angeles,Boston,SKU-85665,Furniture,122.61,20,238.83,Delivered,15,N,False,1Z5559720354,CUST-15735,Midwest,Medium
SHP-630752,2022-08-15,2022-08-17,2022-08-14,USPS,Chicago,Detroit,SKU-53883,Medical,260.13,97,314.8,delivered,15,0,True,1Z2129710844,CUST-35847,South,High
SHP-269445,2022-02-23,2022-02-25,2022-03-02,UPS,Houston,Detroit,SKU-39177,Clothing,224.17,50,660.59,Delivered,5,N,False,1Z2405346663,CUST-56914,South,standard
SHP-182842,2023-04-12,2023-04-14,2023-04-30,UPS,Dallas,Austin,SKU-18388,Industrial,771.66,63,277.97,In Transit,16,No,False,1Z6141040713,CUST-88519,Southwest,URGENT
SHP-278999,2023-02-02,2023-02-03,2023-02-10,dhl,Miami,Minneapolis,SKU-25705,Electronics,481.98,99,233.3,in_transit,7,Y,False,1Z3130662725,CUST-14167,Midwest,standard
SHP-276688,2022-10-24,2022-10-26,2022-11-14,FedEx,New York,Seattle,SKU-95527,Furniture,11.46,55,699.17,Delivered,19,0,False,1Z3003233454,CUST-44382,West,URGENT
SHP-782788,2023-04-06,2023-04-08,2023-04-28,fedex,Houston,Austin,SKU-47297,Electronics,137.75,71,597.25,Pending,20,1,True,1Z9816136856,CUST-26962,South,High
SHP-327465,2022-12-30,2023-01-01,2023-01-08,United Parcel Service,Chicago,Portland,SKU-94822,Auto,741.02,98,617.62,Delivered,7,Y,False,,CUST-51058,West,standard
SHP-332375,2022-12-11,2022-12-12,2022-12-19,DHL,Atlanta,Austin,SKU-48005,Furniture,369.57,37,254.52,Delivered,7,N,False,,CUST-70027,Midwest,Low
SHP-765327,2022-07-29,2022-08-01,2022-08-07,DHL,Dallas,Boston,SKU-32455,Industrial,982.25,41,484.5,In Transit,6,0,False,1Z6153613446,CUST-44754,West,URGENT
SHP-492912,2023-03-19,2023-03-22,2023-03-27,FedEx,Atlanta,Boston,SKU-56202,Electronics,404.58,84,550.67,Pending,5,no,True,1Z6827435897,CUST-42861,West,Low
SHP-378941,2022-05-13,2022-05-17,2022-05-25,Federal Express,Chicago,Detroit,SKU-16588,Electronics,393.14,74,786.55,Pending,8,yes,False,1Z1624033804,CUST-13367,Midwest,Standard
SHP-917920,2023-11-22,2023-11-25,2023-12-05,USPS,Atlanta,Austin,SKU-84375,Industrial,412.76,3,543.56,Delivered,10,no,False,1Z9056273326,CUST-10401,South,Low
SHP-789029,2022-10-15,2022-10-17,2022-11-02,DHL,Miami,Detroit,SKU-63548,Medical,522.41,42,471.83,Delivered,16,No,False,,CUST-68373,Midwest,Standard
SHP-573394,2023-06-04,2023-06-05,2023-06-21,UPS,Phoenix,Boston,SKU-85657,Food,245.99,54,91.02,Pending,16,N,False,1Z8736849415,CUST-43296,South,Standard
SHP-215437,2024-06-28,2024-06-29,2024-07-09,Federal Express,Phoenix,Boston,SKU-85975,Electronics,82.45,47,315.16,TRANSIT,10,yes,False,1Z5211379530,CUST-60485,South,Medium
SHP-243364,2023-08-20,2023-08-23,2023-08-27,usps,Chicago,Minneapolis,SKU-87095,Furniture,72.48,71,432.8,Delivered,4,no,False,,CUST-90207,West,High
SHP-387201,2024-06-25,2024-06-27,2024-07-17,UPS,Dallas,Seattle,SKU-57235,Food,1057.36,14,694.36,In Transit,20,no,False,1Z3544531946,CUST-75979,West,URGENT
SHP-124344,2022-06-28,2022-07-01,2022-07-10,UPS,Miami,Seattle,SKU-82133,Furniture,182.9,47,299.15,Delivered,9,no,True,1Z5151643715,CUST-34070,Midwest,Low
SHP-912147,2024-01-30,2024-02-02,2024-01-31,dhl,New York,Minneapolis,SKU-73995,Auto,101.27,11,117.03,delivered,5,Yes,,1Z3947862495,CUST-14490,Midwest,Low
SHP-819522,2023-02-06,2023-02-08,2023-02-12,UPS,Chicago,Las Vegas,SKU-80759,Food,194.95,98,167.15,Pending,4,N,,1Z7085956221,CUST-26166,South,Low
SHP-354118,2023-05-13,2023-05-15,2023-05-30,FedEx,Houston,Seattle,SKU-25412,Industrial,721.24,64,523.0,In Transit,15,1,False,1Z9904013368,CUST-44958,Northeast,High
SHP-119052,2023-07-18,2023-07-22,2023-07-28,DHL,Los Angeles,Detroit,SKU-20948,Electronics,6.36,91,125.67,Returned,6,1,False,1Z2623073196,CUST-51364,Northeast,High
SHP-170325,2023-03-18,2023-03-22,2023-04-10,UPS,Chicago,Seattle,SKU-11254,Food,356.7,71,563.72,Pending,19,0,False,1Z5356978279,CUST-49735,Midwest,High
SHP-698774,2023-07-03,2023-07-06,2023-07-26,FedEx,Chicago,Denver,SKU-40816,Industrial,955.9,79,19.52,Delivered,20,0,False,,CUST-81692,Midwest,Low
SHP-345071,2023-05-31,2023-06-01,2023-06-04,usps,Atlanta,Portland,SKU-23348,Furniture,212.16,59,568.63,Returned,3,No,False,1Z5543846085,CUST-87565,South,Standard
SHP-507596,2023-08-25,2023-08-29,2023-09-10,United Parcel Service,New York,Minneapolis,SKU-61393,Food,538.79,20,180.97,Delivered,12,no,False,,CUST-81898,Midwest,Medium
SHP-610335,2024-03-02,2024-03-06,2024-03-22,UPS,Atlanta,Seattle,SKU-93145,Industrial,42.81,65,686.49,Pending,16,0,False,1Z8986066595,CUST-27348,Midwest,standard
SHP-875915,2023-01-18,2023-01-19,2023-02-08,UPS,Atlanta,Denver,SKU-21446,Clothing,38.99,69,486.54,In Transit,20,0,False,1Z7871568293,CUST-73328,West,Medium
SHP-991012,2024-04-26,2024-04-29,2024-05-03,FedEx,Atlanta,Austin,SKU-32550,Medical,393.08,17,700.01,Delivered,4,No,False,,CUST-23213,Southwest,standard
SHP-275034,2022-09-25,2022-09-28,2022-10-16,UPS,Los Angeles,Las Vegas,SKU-10191,Medical,346.64,32,660.92,delivered,18,no,False,1Z1356376435,CUST-64094,South,Low
SHP-683015,2024-04-29,2024-05-02,2024-05-12,fedex,Phoenix,Las Vegas,SKU-33899,Food,365.78,80,407.69,returned,10,N,False,1Z2696609078,CUST-83025,Southwest,Medium
SHP-919479,2023-03-06,2023-03-07,2023-03-27,DHL,Los Angeles,Detroit,SKU-93777,Industrial,378.88,70,493.54,Delivered,20,N,True,1Z5151967554,CUST-73892,Northeast,Medium
SHP-416316,2023-01-09,2023-01-12,2023-01-30,usps,Phoenix,Portland,SKU-84924,Food,185.48,81,766.78,Delivered,18,yes,1,1Z3581301989,CUST-35561,West,standard
SHP-261422,2022-06-30,2022-07-04,2022-07-12,Federal Express,Miami,Minneapolis,SKU-58286,Furniture,363.88,75,80.25,DELIVERED,8,N,False,1Z2877723995,CUST-60907,West,High
SHP-225095,2023-01-07,2023-01-11,2023-01-26,USPS,Houston,Portland,SKU-37647,Food,205.45,3,493.26,Pending,15,yes,True,1Z8277326321,CUST-68482,West,URGENT
SHP-353615,2024-04-09,2024-04-11,2024-04-23,DHL,Dallas,Boston,SKU-47489,Food,15.61,21,328.11,delivered,12,Y,False,1Z5767216541,CUST-21384,Southwest,Standard
SHP-620558,2023-01-23,2023-01-26,2023-02-15,USPS,Chicago,Denver,SKU-66898,Electronics,102.21,7,529.8,in_transit,20,no,False,1Z9703995639,CUST-22533,Northeast,Medium
SHP-686661,2022-11-16,2022-11-19,2022-12-01,USPS,Los Angeles,Las Vegas,SKU-99566,Food,410.96,6,211.53,Delivered,12,no,False,,CUST-13661,Southwest,High
SHP-685942,2023-02-24,2023-02-25,2023-03-11,DHL,Houston,Seattle,SKU-30178,Medical,25.07,27,266.27,PENDING,14,N,False,1Z9947599749,CUST-46914,West,Standard
SHP-609008,2023-12-18,2023-12-19,2023-12-31,FedEx,Houston,Austin,SKU-10242,Furniture,257.2,88,794.21,Returned,12,Y,False,1Z4507599328,CUST-99683,Midwest,Standard
SHP-724384,2022-02-10,2022-02-12,2022-03-01,USPS,Houston,Boston,SKU-43706,Clothing,585.59,78,220.76,Returned,17,Y,False,1Z1657706343,CUST-83673,Northeast,URGENT
SHP-509961,2022-06-24,2022-06-25,2022-06-28,United Parcel Service,Dallas,Boston,SKU-91987,Food,169.66,99,197.43,Delivered,3,Yes,False,,CUST-62465,Southwest,Low
SHP-594380,2023-08-24,2023-08-27,2023-09-16,usps,Dallas,Minneapolis,SKU-50606,Food,316.11,78,757.84,In Transit,20,0,False,1Z4818107397,CUST-16372,West,Medium
SHP-774873,2023-05-13,2023-05-14,2023-05-27,United Parcel Service,Dallas,Austin,SKU-24807,Clothing,391.19,54,115.59,delivered,13,N,False,1Z3075654107,CUST-54141,Northeast,High
SHP-921412,2022-08-09,2022-08-13,2022-08-21,DHL,Chicago,Minneapolis,SKU-35459,Medical,467.5,33,541.93,DELIVERED,8,1,False,1Z5344799824,CUST-29147,South,Medium
SHP-278101,2022-04-18,2022-04-22,2022-05-07,DHL,Miami,Austin,SKU-92668,Auto,471.69,43,151.53,TRANSIT,15,Y,False,1Z9195829516,CUST-47988,Midwest,Standard
SHP-809275,2022-07-05,2022-07-08,2022-07-19,FedEx,Chicago,Portland,SKU-14675,Food,251.27,83,312.93,DELIVERED,11,0,False,1Z3981527597,CUST-58771,Northeast,High
SHP-464970,2023-01-01,2023-01-02,2023-01-21,FedEx,Phoenix,Seattle,SKU-42527,Medical,44.04,97,301.13,in_transit,19,N,False,1Z6486528663,CUST-31495,Northeast,Low
SHP-465660,2023-11-08,2023-11-10,2023-11-08,DHL,Los Angeles,Las Vegas,SKU-18287,Electronics,299.17,73,526.05,returned,7,No,False,1Z4226414395,CUST-50138,Northeast,Standard
SHP-932910,2022-09-02,2022-09-06,2022-09-23,USPS,Houston,Minneapolis,SKU-17031,Auto,682.57,75,635.3,Delivered,17,0,False,1Z9033961488,CUST-72327,West,Medium
SHP-973526,2023-02-28,2023-03-03,2023-03-10,USPS,Houston,Minneapolis,SKU-71289,Furniture,155.89,71,151.31,In Transit,7,Y,True,1Z7398117372,CUST-90702,Northeast,Medium
SHP-721533,2022-12-18,2022-12-21,2022-12-30,usps,Houston,Denver,SKU-65017,Medical,896.71,58,288.92,Pending,9,no,False,1Z5373424797,CUST-75090,Southwest,High
SHP-944329,2023-05-17,2023-05-19,2023-05-26,DHL,Atlanta,Austin,SKU-50761,Industrial,475.47,92,457.72,returned,7,N,False,1Z6546958362,CUST-24707,Northeast,standard
SHP-393548,2023-09-12,2023-09-13,2023-09-20,USPS,New York,Boston,SKU-22181,Industrial,160.72,84,796.87,returned,7,Yes,False,1Z1059475098,CUST-90095,West,URGENT
SHP-757366,2022-09-10,2022-09-11,2022-09-14,FedEx,Atlanta,Seattle,SKU-93039,Auto,306.16,94,57.55,Returned,3,N,False,1Z2580849761,CUST-72247,Northeast,standard
SHP-971152,2022-07-09,2022-07-13,2022-07-26,DHL,Houston,Detroit,SKU-35424,Auto,822.17,23,328.83,TRANSIT,13,yes,False,1Z7372147945,CUST-61555,South,High
SHP-830915,2022-10-23,2022-10-27,2022-11-02,dhl,Los Angeles,Detroit,SKU-93224,Furniture,120.84,43,480.4,Pending,6,0,False,1Z1244391667,CUST-94531,Midwest,High
SHP-103403,2024-06-12,2024-06-14,2024-07-03,FedEx,Miami,Detroit,SKU-52792,Industrial,874.51,27,24.7,TRANSIT,19,N,False,1Z3314318909,CUST-28099,Northeast,Standard
SHP-428503,2023-12-30,2024-01-02,2024-01-19,UPS,Miami,Seattle,SKU-47346,Auto,291.49,44,639.37,TRANSIT,17,no,False,1Z2900600454,CUST-79842,West,Medium
SHP-168717,2023-01-16,2023-01-18,2023-01-22,FedEx,Chicago,Denver,SKU-40363,Food,604.97,11,27.54,DELIVERED,4,no,False,1Z7482590013,CUST-63202,Southwest,standard
SHP-286871,2023-04-10,2023-04-13,2023-04-17,United Parcel Service,Chicago,Austin,SKU-50701,Food,489.62,17,619.16,Returned,4,no,False,1Z1611560663,CUST-95864,Southwest,standard
SHP-542461,2022-06-25,2022-06-28,2022-07-07,FedEx,Phoenix,Denver,SKU-73943,Industrial,246.97,11,229.16,In Transit,9,0,False,1Z6551675318,CUST-72092,Southwest,Standard
SHP-950647,2022-08-27,2022-08-28,2022-09-12,USPS,Phoenix,Denver,SKU-45131,Medical,70.16,41,357.24,Delivered,15,Y,False,,CUST-59014,Midwest,Low
SHP-138632,2022-01-08,2022-01-09,2022-01-22,usps,Houston,Detroit,SKU-42634,Food,263.41,44,168.88,DELIVERED,13,yes,False,1Z4133591507,CUST-38791,Northeast,standard
SHP-143616,2022-11-18,2022-11-21,2022-11-27,Federal Express,New York,Boston,SKU-32940,Electronics,203.16,84,512.52,in_transit,6,yes,0,1Z3417318673,CUST-91850,West,URGENT
SHP-702896,2023-04-04,2023-04-07,2023-04-12,DHL,Los Angeles,Boston,SKU-52044,Auto,149.09,86,83.59,in_transit,5,no,True,1Z1856559235,CUST-56364,West,Low
SHP-476195,2022-04-26,2022-04-27,2022-05-17,usps,Houston,Seattle,SKU-34928,Clothing,432.33,24,229.32,Del.,20,N,False,1Z8114624272,CUST-53231,Northeast,Low
SHP-695603,2023-04-05,2023-04-09,2023-04-25,usps,Los Angeles,Portland,SKU-16120,Industrial,830.37,90,212.84,delivered,16,1,False,1Z7002007401,CUST-71701,Southwest,Standard
SHP-874802,2022-07-14,2022-07-18,2022-08-03,FedEx,Chicago,Minneapolis,SKU-12799,Food,335.37,89,94.31,Delivered,16,No,False,1Z5235338373,CUST-65865,South,Standard
SHP-156992,2022-08-28,2022-08-31,2022-09-16,FedEx,Atlanta,Minneapolis,SKU-44628,Food,353.92,97,440.79,Returned,16,yes,False,1Z1898183595,CUST-26572,Midwest,Low
SHP-180176,2023-02-04,2023-02-05,2023-02-22,UPS,Phoenix,Denver,SKU-41129,Clothing,849.95,28,421.42,Delivered,17,0,False,1Z4578773862,CUST-63503,Northeast,standard
SHP-440898,2023-02-19,2023-02-21,2023-03-06,Federal Express,Dallas,Seattle,SKU-72862,Industrial,44.73,52,663.65,Delivered,13,0,False,,CUST-35590,West,High
SHP-326712,2022-07-07,2022-07-08,2022-07-12,usps,Houston,Las Vegas,SKU-66831,Medical,305.21,58,427.24,delivered,4,no,False,1Z5747347436,CUST-73571,Midwest,Low
SHP-507445,2024-03-21,2024-03-22,2024-03-27,DHL,New York,Minneapolis,SKU-69365,Medical,85.45,76,649.89,In Transit,5,yes,False,1Z1216927273,CUST-36582,West,Low
SHP-201973,2022-08-28,2022-08-29,2022-09-05,UPS,Houston,Denver,SKU-73782,Medical,948.91,74,378.08,In Transit,7,No,False,1Z6599756866,CUST-59612,Southwest,Medium
SHP-271249,2022-05-03,2022-05-05,2022-05-23,UPS,Phoenix,Minneapolis,SKU-99617,Electronics,719.76,6,89.21,Del.,18,No,False,1Z6093495733,CUST-58000,South,Medium
SHP-158918,2022-08-04,2022-08-05,2022-08-09,usps,New York,Las Vegas,SKU-15363,Clothing,531.25,21,316.88,DELIVERED,4,yes,1,1Z8079215641,CUST-19916,West,Standard
SHP-277089,2023-11-09,2023-11-11,2023-11-15,FedEx,Houston,Portland,SKU-91154,Clothing,932.64,78,213.31,delivered,4,no,False,1Z7719500663,CUST-93863,South,URGENT
SHP-332817,2022-03-13,2022-03-17,2022-04-06,Federal Express,Chicago,Las Vegas,SKU-87117,Auto,27.9,24,729.62,delivered,20,0,False,1Z9107367535,CUST-97016,Midwest,High
SHP-772836,2024-05-26,2024-05-29,2024-05-28,USPS,New York,Portland,SKU-62502,Electronics,6.83,73,233.09,In Transit,20,yes,True,1Z9323721056,CUST-48829,South,Low
SHP-169734,2024-05-25,2024-05-28,2024-06-15,FedEx,Dallas,Boston,SKU-57249,Clothing,137.13,10,659.92,D,18,N,False,1Z9553903709,CUST-85613,Southwest,URGENT
SHP-245255,2024-04-08,2024-04-12,2024-04-24,FedEx,Phoenix,Minneapolis,SKU-93261,Auto,131.92,58,452.18,Delivered,12,Yes,False,1Z7806404983,CUST-82396,West,Medium
SHP-221519,2023-09-16,2023-09-19,2023-10-03,UPS,Atlanta,Denver,SKU-36923,Clothing,452.54,89,725.23,Pending,14,N,False,1Z5291773756,CUST-71587,West,Standard
SHP-899551,2024-03-22,2024-03-23,2024-04-04,FedEx,Chicago,Detroit,SKU-11478,Furniture,66.91,16,213.02,DELIVERED,12,no,False,1Z7630060052,CUST-81524,Northeast,URGENT
SHP-609441,2022-05-29,2022-05-31,2022-06-13,DHL,Dallas,Boston,SKU-25215,Food,609.22,35,280.4,Delivered,13,N,False,1Z2558272250,CUST-90245,Northeast,Standard
SHP-967891,2023-02-11,2023-02-15,2023-02-24,UPS,Houston,Detroit,SKU-56297,Clothing,310.97,33,214.38,In Transit,9,no,False,1Z4099984322,CUST-34272,West,Low
SHP-155024,2023-05-16,2023-05-17,2023-06-02,FedEx,New York,Austin,SKU-25108,Furniture,258.42,42,433.41,Delivered,16,No,False,1Z5825749175,CUST-12306,West,URGENT
SHP-638012,2022-10-13,2022-10-14,2022-10-26,DHL,Houston,Las Vegas,SKU-59705,Clothing,203.5,75,759.31,Delivered,12,N,False,1Z4591153553,CUST-71111,Southwest,Standard
SHP-377700,2023-05-13,2023-05-16,2023-05-22,DHL,Atlanta,Denver,SKU-69014,Medical,812.03,90,56.98,Delivered,6,No,True,1Z1591913398,CUST-86525,West,Low
SHP-201900,2023-04-10,2023-04-14,2023-05-02,usps,New York,Austin,SKU-58470,Medical,850.78,88,342.87,in_transit,18,yes,False,1Z4912213472,CUST-13945,West,High
SHP-471964,2024-01-07,2024-01-08,2024-01-15,dhl,Houston,Boston,SKU-90577,Auto,146.59,84,570.28,Returned,7,1,False,1Z4710494052,CUST-18554,Southwest,URGENT
SHP-961259,2023-07-19,2023-07-22,2023-08-01,dhl,Los Angeles,Austin,SKU-52439,Clothing,47.86,68,265.23,In Transit,10,0,True,1Z6149400160,CUST-84307,Northeast,standard
SHP-746017,2023-04-04,2023-04-07,2023-04-12,FedEx,Dallas,Austin,SKU-28666,Food,174.75,95,107.47,Pending,5,0,False,1Z3411712116,CUST-28323,West,Standard
SHP-644650,2022-10-28,2022-11-01,2022-10-30,FedEx,Miami,Seattle,SKU-93047,Furniture,339.16,29,493.29,Pending,9,N,False,1Z9658694769,CUST-82056,Northeast,standard
SHP-317582,2022-07-28,2022-07-31,2022-08-15,USPS,Miami,Seattle,SKU-43989,Industrial,15.92,66,272.41,Pending,15,No,False,1Z3705954391,CUST-30115,West,Standard
SHP-318078,2023-01-16,2023-01-18,2023-02-06,fedex,Houston,Detroit,SKU-46309,Auto,189.03,18,785.21,Del.,19,1,False,1Z1346704351,CUST-84228,Midwest,Medium
SHP-923620,2023-10-10,2023-10-13,2023-10-16,ups,Dallas,Minneapolis,SKU-57010,Industrial,846.64,14,296.02,D,3,no,1,1Z6521740524,CUST-44227,Northeast,Medium
SHP-799391,2024-03-11,2024-03-14,2024-03-21,fedex,Dallas,Boston,SKU-19767,Clothing,600.19,81,336.18,Delivered,7,1,False,1Z1046212701,CUST-87988,Southwest,Medium
SHP-748510,2023-11-12,2023-11-14,2023-11-18,dhl,Chicago,Seattle,SKU-76551,Food,946.99,14,574.65,D,4,0,False,1Z7986592057,CUST-75258,West,standard
SHP-719830,2022-08-13,2022-08-17,2022-08-26,usps,Los Angeles,Portland,SKU-74794,Auto,62.47,5,41.62,Delivered,9,yes,False,1Z7969118178,CUST-89782,Northeast,Low
SHP-693879,2023-05-24,2023-05-25,2023-05-31,ups,Dallas,Portland,SKU-48436,Industrial,566.61,33,382.93,In Transit,6,no,,1Z3180869521,CUST-67877,Midwest,Medium
SHP-833284,2024-05-18,2024-05-19,2024-05-23,usps,Miami,Denver,SKU-76137,Medical,348.26,33,283.82,DELIVERED,4,Yes,False,1Z4444349235,CUST-81161,Southwest,URGENT
SHP-303520,2023-05-17,2023-05-20,2023-06-01,usps,Chicago,Austin,SKU-94631,Industrial,207.04,24,271.81,Delivered,12,no,False,,CUST-84914,Northeast,Standard
SHP-894434,2022-07-01,2022-07-05,2022-07-11,United Parcel Service,Chicago,Austin,SKU-81779,Food,225.97,1,133.28,In Transit,6,Yes,0,1Z5364541351,CUST-44129,Midwest,Low
