listing_id,address,city,zip_code,property_type,bedrooms,bathrooms,sqft,lot_size,year_built,garage,sale_price,list_price,days_on_market,hoa_monthly,school_rating,pool,sale_date
LST-80798,3486 Pine Ln,Denver,10391,Condominium,2.0,2.0,,0.785 acres,1940,0,$960K,"$948,619",276,304.52,3.0,0,2023-07-18
LST-80432,1215 Main Ln,AUSTIN,86478,Multi Family,4.0,5.0,3863 sqft,,2021,True,$749K,"$781,338",268,100.01,10.0,0,2020-04-12
LST-81764,2127 Maple St,"Nashville, TN",58667,Condo,3.0,2.5,"3,222 sq ft",1.103 acres,2015,FALSE,"$1,107,000","$1,073,885",139,328.08,1.0,Yes,2022-08-29
LST-80940,1766 Oak Blvd,Phoenix AZ,18991,TOWNHOUSE,4.0,5.0,3696 sqft,1.272 acres,2020,2,$333K,"$338,536",60,564.63,,N,08/18/2021
LST-81627,2633 Cedar Ave.,Austin,23650,Single Family,5.0,2.5,812,2.299 acres,1974,2,"$887,000","$908,554",175,646.55,10.0,No,11/22/2022
LST-81170,1825 Maple Ave,san jose,91239,,3.0,2.0,"4,200 sq ft",0.098 acres,2012,FALSE,"$979,000","$951,319",246,387.44,10.0,0,08/30/2021
LST-81700,3400 Main Blvd,San José,68423,CONDO,3.0,2.0,,2.257,1962,1,392000,"$397,557",269,530.08,9.0,1,02/27/2023
LST-81128,6175 Pine St,denver,82086,Townhouse,4.0,3.0,"3,263 sq ft","78,233 sq ft",1943,2,"$216,000","$211,795",297,541.83,10.0,,2021-06-06
LST-81417,5044 Main Rd,"Nashville, TN",75169,condo,4.0,3.0,865 sq ft,1.81,2012,N,1192000,"$1,309,123",270,,6.0,No,2023-05-16
LST-80744,5006 Pine Ave,San José,55435,Single-Family,2.0,1.0,4846 sqft,0.728 acres,1997,True,"$666,000","$677,377",148,622.51,1.0,Yes,07/23/2022
LST-80408,1295 Pine Blvd,SAN JOSE,18590,SFH,2.0,1.0,1129 SF,1.338 acres,1944,2,"$943,000","$920,063",135,7.58,10.0,No,2021-06-11
LST-81131,9229 Main Ln,denver,44973,SFH,4.0,3.5,3376 SF,1.794 acres,1972,,"$844,000","$877,567",101,,6.0,0,2020-08-18
LST-80701,7502 Pine St.,Charlotte,15744,,3.0,3.0,,1.224 acres,1983,,$967K,"$968,480",33,259.13,1.0,,12/17/2021
LST-80322,8401 Maple Ln,Charlotte NC,52235,,6.0,3.5,4578,"103,106 sq ft",2013,Y,"$852,000","$873,628",178,579.63,2.0,N,2021-09-18
LST-81214,5555 Maple Rd,San José,66763,condo,3.0,3.0,2068 SF,2.434 acres,1957,0,,"$953,146",237,634.43,,Yes,06/30/2021
LST-81211,144 Maple St.,San José,12463,TOWNHOUSE,2.0,4.0,3436,0.712 acres,1972,,,,173,225.22,9.0,1,12/11/2022
LST-80413,5693 Main St,raleigh,67157,single family,1.0,2.5,957 sqft,1.16 acres,1999,Yes,"$684,000","$740,350",84,351.93,10.0,No,2023-03-30
LST-80917,4818 Maple Ave,San José,2379,multifamily,2.0,2.5,1298 sqft,1.051,1981,N,,"$1,127,346",45,527.15,8.0,0,12/16/2022
LST-80677,156 Main Ln,san jose,18375,Condominium,6.0,4.5,"1,351 sq ft",,1967,False,$1093.0k,"$1,145,211",90,289.6,3.0,Y,07/13/2021
LST-80109,4876 Oak Ln,denver,32895,,2.0,1.5,4411 sqft,2.377 acres,2021,FALSE,,"$963,379",160,277.14,,0,2022-09-23
LST-81657,7118 Cedar Ave.,denver,18848,multifamily,6.0,5.0,1581,1.193,2004,2,803000,,88,,,,2023-06-21
LST-81449,1463 Pine Ln,phoenix,51898,multifamily,5.0,1.5,3734 sqft,"49,919 sq ft",2000,,1137000,"$1,135,408",182,379.21,9.0,Y,07/25/2023
LST-80654,3962 Elm Rd,Austin,83285,Condominium,5.0,3.5,"2,540 sq ft",0.241 acres,2000,2,"$1,221,000","$1,229,099",-55,,3.0,Y,2021-05-17
LST-81127,4444 Oak Rd,denver,59228,Multi Family,4.0,2.5,"1,292 sq ft","108,159 sq ft",2018,,"$939,000","$935,244",220,450.6,8.0,Y,11/05/2020
LST-80212,2483 Oak Blvd,DENVER,12213,Multi-Family,6.0,4.0,"3,171 sq ft",2.037 acres,2023,1,$257.0k,"$261,011",255,,9.0,Y,06/13/2023
LST-80065,3983 Oak Ln,San José,7360,CONDO,4.0,1.5,4398,0.653 acres,1947,No,$583K,"$562,273",278,,2.0,Yes,04/15/2023
LST-81674,9826 Pine Ave,Raleigh,46065,Condominium,3.0,2.5,"2,955 sq ft","108,725 sq ft",1968,2,476000,"$453,252",297,313.34,,1,07/17/2022
LST-80820,5647 Elm Rd,Nashville,35744,Multi-Family,2.0,2.5,"1,412 sq ft",0.184 acres,2003,yes,$834K,"$861,617",61,,9.0,Yes,03/13/2021
LST-81775,8338 Main St,Austin,59814,CONDO,6.0,2.0,5150 sqft,0.684 acres,2011,3,$1009.0k,"$991,671",93,588.89,,N,2020-10-02
LST-80817,7502 Pine Rd,denver,67000,,6.0,3.0,"4,752 sq ft","93,392 sq ft",1944,FALSE,"$757,000","$820,176",25,13.05,7.0,1,2022-10-04
LST-81132,7921 Main Ave.,nashville,31135,single family,5.0,3.0,,"38,463 sq ft",1957,Yes,,"$443,525",33,255.11,5.0,Yes,
LST-81483,2604 Pine St,phoenix,25950,condo,1.0,3.5,1645 sqft,,1998,True,"$862,000","$895,854",119,340.2,9.0,Yes,04/01/2021
LST-80029,8281 Elm Ln,Phoenix AZ,38583,single family,1.0,2.5,3316,1.466 acres,2014,Y,$998K,"$1,068,144",21,70.97,3.0,No,03/15/2020
LST-81433,1777 Elm Ln,charlotte,86303,,1.0,2.5,"3,670 sq ft",0.255 acres,2004,False,"$620,000","$614,269",245,277.67,6.0,Y,2020-06-20
LST-81036,3334 Maple St.,austin,72333,Single-Family,4.0,4.5,,,1991,,$300K,"$286,054",46,60.79,3.0,1,2020-09-24
LST-80495,7956 Elm Rd,Phoenix,98996,Multi Family,6.0,4.0,"4,352 sq ft",,1959,No,1221000,"$1,315,078",14,,,1,01/09/2020
LST-80218,3057 Cedar Ave.,phoenix,86013,Single Family,1.0,1.0,"3,416 sq ft",,1944,Y,"$1,144,000","$1,234,690",287,69.35,4.0,N,2020-03-16
LST-80618,1013 Maple Ave,Phoenix,99433,townhouse,5.0,2.5,"2,486 sq ft",,1993,FALSE,"$750,000","$833,873",225,345.55,2.0,1,2023-02-08
LST-81546,3688 Cedar Blvd,"Nashville, TN",87251,single family,4.0,1.0,3812 sqft,"100,580 sq ft",2006,Yes,969000,,-41,,9.0,No,2020-09-01
LST-81324,9144 Pine St.,denver,17589,Town House,3.0,3.5,4570 sqft,,1980,1,"$276,000",,194,159.22,6.0,Yes,08/20/2023
LST-80111,8438 Pine Ave,Charlotte NC,98685,CONDO,5.0,1.5,3577 sqft,,1950,False,$1238K,"$1,295,971",141,,8.0,Yes,2021-07-16
LST-80494,6962 Cedar Rd,Phoenix,57706,,3.0,4.0,"1,178 sq ft",,1972,,"$1,163,000","$1,270,840",52,218.51,8.0,No,2023-04-12
LST-81231,6021 Main Ave,SAN JOSE,36873,multifamily,5.0,1.0,2909 sqft,0.773 acres,2007,,$451K,"$482,777",176,317.19,5.0,1,10/17/2021
LST-80462,2104 Oak St.,AUSTIN,75102,Single-Family,2.0,3.0,"2,483 sq ft","63,858 sq ft",1972,,$1146K,"$1,110,352",208,179.62,,1,06/14/2021
LST-80289,510 Maple Rd,SAN JOSE,86986,townhouse,2.0,1.5,"3,327 sq ft",,1971,,834000,"$928,116",230,9.23,6.0,1,08/15/2022
LST-80188,7047 Maple St,Phoenix AZ,54461,Condo,4.0,4.0,4485 SF,0.722,2007,,"$296,000","$291,244",149,455.37,9.0,0,2020-08-28
LST-80591,8442 Pine Blvd,Phoenix,70547,TOWNHOUSE,1.0,2.0,"2,753 sq ft",0.37 acres,1961,Yes,,"$1,123,080",3,,9.0,No,05/18/2023
LST-81755,381 Cedar Rd,San Jose,73475,SFH,5.0,1.5,2557 SF,,1963,,"$915,000","$977,025",212,185.28,5.0,,07/26/2021
LST-80694,2858 Elm St,Nashville,28711,,2.0,3.5,"1,268 sq ft","12,893 sq ft",2001,No,,"$1,198,562",33,112.23,3.0,1,2020-01-01
LST-80530,3430 Pine Blvd,SAN JOSE,52549,Town House,3.0,4.0,1858 sqft,0.935 acres,2000,Y,"$230,000","$239,114",225,46.73,7.0,No,2020-02-25
LST-80173,7878 Elm Dr,SAN JOSE,39302,SFH,6.0,1.0,3442 SF,"105,066 sq ft",1977,No,$944K,"$1,053,058",23,608.15,8.0,Yes,
LST-80544,5910 Main Ave,Nashville,48793,Condominium,1.0,1.0,3999 sqft,1.693 acres,1955,,$283.0k,"$304,102",70,,2.0,,11/13/2020
LST-80381,645 Cedar St,raleigh,84776,Townhouse,3.0,4.5,"3,618 sq ft",0.335 acres,2016,1,$260K,"$266,079",294,141.08,4.0,Yes,10/26/2022
LST-81604,3846 Maple St.,Charlotte,98896,Multi Family,3.0,2.5,771 sqft,1.633 acres,1959,2,$1172K,"$1,276,263",57,,2.0,N,2021-11-15
LST-81232,7266 Elm St,Denver,63610,Town House,1.0,3.0,670 sq ft,"6,664 sq ft",2023,,"$685,000","$659,429",56,335.57,8.0,Y,07/18/2020
LST-81791,5704 Main Ave,denver,32243,multifamily,3.0,3.0,,1.08,1992,N,,"$916,037",231,,1.0,0,12/10/2020
LST-80745,2358 Maple Dr,nashville,85088,Town House,1.0,4.5,"2,900 sq ft","64,294 sq ft",1974,FALSE,,"$1,226,584",255,336.87,9.0,Y,04/23/2021
LST-81399,7212 Cedar Dr,Nashville,26232,Townhouse,3.0,4.0,,"3,310 sq ft",2020,3,1135000,"$1,135,860",211,383.16,2.0,,2021-03-30
LST-81226,5130 Main Ave.,nashville,31787,Condo,5.0,1.5,842 SF,"83,722 sq ft",1949,N,"$331,000","$332,672",219,3.54,5.0,,02/09/2021
LST-81373,4502 Oak St.,charlotte,54640,Condominium,4.0,2.5,1290 sqft,"87,512 sq ft",2012,,413000,"$422,836",76,60.02,8.0,No,01/05/2020
LST-80575,5006 Elm St,Phoenix AZ,79563,TOWNHOUSE,6.0,4.0,"4,617 sq ft",0.191 acres,1969,0,"$842,000","$939,471",69,,2.0,,2022-01-25
LST-81618,8681 Maple Ave,San Jose,65643,Single Family,1.0,1.0,5177,"97,661 sq ft",2012,2,304000,"$316,692",246,67.04,1.0,,2023-10-15
LST-80219,7901 Maple Ln,phoenix,78909,single family,2.0,3.0,680,"34,238 sq ft",1997,,,"$1,048,838",270,14.37,2.0,0,
LST-80414,996 Maple Ave.,Charlotte NC,18025,Condominium,2.0,3.0,"4,837 sq ft","29,620 sq ft",1975,0,$466K,"$444,618",141,,8.0,Yes,2022-04-12
LST-81319,5508 Cedar Dr,san jose,11016,Single Family,3.0,4.5,,0.527 acres,2023,1,909000,"$980,569",243,,4.0,Y,2022-08-20
LST-80712,9229 Oak Ave,"Nashville, TN",68549,single family,6.0,3.0,"4,324 sq ft",2.495,1970,N,$246K,"$234,884",148,,6.0,Y,04/28/2022
LST-80767,4538 Maple St,AUSTIN,39234,condo,5.0,5.0,1285 SF,,1954,TRUE,,"$331,074",137,628.14,4.0,1,2022-04-21
LST-80813,6434 Maple St,Nashville,74351,TOWNHOUSE,2.0,3.5,"3,143 sq ft",0.624 acres,2030,2,$562.0k,"$536,049",263,596.73,6.0,,2020-02-18
LST-81023,9811 Maple Ave.,Nashville,27988,,3.0,1.0,"3,401 sq ft",1.812 acres,2016,yes,$883.0k,,259,,9.0,Y,06/02/2022
LST-80415,3625 Elm St,raleigh,41451,Multi Family,2.0,2.0,,,1989,,"$1,184,000","$1,186,422",75,519.53,4.0,1,01/21/2022
LST-80254,5002 Pine Ln,AUSTIN,69657,,5.0,4.0,"3,916 sq ft",,1986,FALSE,$1146K,"$1,283,404",31,331.32,2.0,No,2020-01-30
LST-81175,8922 Cedar Blvd,San Jose,58444,single family,1.0,5.0,"4,367 sq ft",1.99 acres,1952,,518000,"$546,490",61,141.18,4.0,Yes,09/09/2021
LST-81236,1976 Elm Rd,"Nashville, TN",6356,TOWNHOUSE,1.0,3.0,"2,653 sq ft",1.689 acres,1981,Y,$238.0k,"$249,247",42,35.1,,Y,09/07/2021
LST-81252,2961 Oak Rd,phoenix,67235,Condo,6.0,4.5,4078,0.544 acres,2014,False,838000,"$931,669",268,,4.0,No,10/26/2023
LST-80210,5379 Oak St,san jose,84170,Multi Family,4.0,2.5,1728,"55,538 sq ft",1962,,$768K,"$771,904",180,242.24,8.0,,2023-01-20
LST-80497,4395 Main Ave.,Charlotte NC,66107,Townhouse,2.0,2.0,3452,,2020,0,"$286,000","$292,263",-11,,3.0,0,02/05/2023
LST-81383,6514 Pine Rd,San José,40448,Single Family,3.0,1.0,"2,352 sq ft",1.038 acres,1966,3,,"$776,629",92,,10.0,Y,09/06/2023
LST-81521,7766 Elm Ln,Nashville,46808,Single Family,6.0,1.0,1389,0.416 acres,1942,,$1245K,,101,140.85,2.0,No,2023-09-13
LST-81538,8062 Elm Blvd,phoenix,15027,Condominium,5.0,1.5,1285,1.357 acres,1999,,$975K,"$1,008,741",29,,4.0,0,2020-09-24
LST-81005,2898 Elm Blvd,San José,21768,single family,5.0,2.5,4911,0.296,1952,No,730000,,299,,7.0,Yes,2020-01-01
LST-80344,9002 Maple Blvd,San Jose,26811,townhouse,2.0,4.0,"4,751 sq ft",0.698 acres,2014,,,"$1,125,540",10,405.59,2.0,0,
LST-80342,8620 Main Dr,"Nashville, TN",51960,condo,3.0,1.0,927,,1953,,"$693,000","$745,293",147,156.74,3.0,Y,10/23/2022
LST-80305,6321 Elm Blvd,Nashville,29992,multifamily,5.0,5.0,938 sq ft,0.643 acres,1977,Yes,"$235,000","$248,443",271,483.24,3.0,Yes,2021-09-19
LST-81331,9530 Cedar Ln,Raleigh,45098,Single Family,5.0,1.0,"4,152 sq ft",,2016,yes,,"$305,253",289,,9.0,Yes,2021-03-19
LST-80554,7164 Cedar St,San José,88752,Single-Family,5.0,1.0,844 sqft,"41,774 sq ft",1964,yes,1034000,"$1,138,540",230,,,N,09/06/2021
LST-80135,2660 Maple Rd,San Jose,35367,Condo,2.0,1.0,793,,2012,,"$534,000","$559,785",291,,10.0,N,02/28/2023
LST-81325,3258 Elm Dr,DENVER,82255,Multi Family,3.0,3.5,1229 sqft,,1986,1,$668.0k,"$673,743",45,,5.0,Yes,2022-10-30
LST-81177,2583 Main Rd,Phoenix AZ,98285,townhouse,2.0,2.5,1149 sqft,0.769 acres,2019,,"$457,000","$511,179",298,263.93,9.0,1,07/14/2021
LST-80548,2830 Main Ave.,nashville,38941,Multi-Family,2.0,3.0,"1,388 sq ft",,1968,1,$833.0k,"$829,840",240,,7.0,N,11/13/2022
LST-80715,9977 Maple St,nashville,93143,Townhouse,5.0,1.5,"3,256 sq ft",,1996,False,$363.0k,,266,604.26,2.0,Y,2021-10-17
LST-80298,3241 Cedar St,Phoenix,19787,Single Family,4.0,4.5,1783 sqft,0.483 acres,1941,True,"$1,095,000",,63,,7.0,1,03/06/2023
LST-80070,8433 Elm Ave.,denver,98592,Multi Family,5.0,1.5,4879 sqft,"56,061 sq ft",1954,,"$1,190,000","$1,235,401",-10,399.11,2.0,Yes,08/29/2022
LST-80733,7647 Elm Ave.,Phoenix AZ,78368,SFH,6.0,3.5,"3,268 sq ft","42,950 sq ft",2030,FALSE,"$1,246,000","$1,229,897",118,616.87,,1,2022-02-05
LST-81378,5102 Elm Ave,charlotte,20232,multifamily,5.0,2.5,,"48,090 sq ft",1952,N,1021000,"$1,125,528",196,50.37,3.0,1,01/06/2021
LST-81497,4360 Pine Ave,AUSTIN,10633,,6.0,1.5,"4,669 sq ft","57,194 sq ft",1983,No,$741K,"$757,816",5,146.83,9.0,N,10/08/2022
LST-80785,864 Maple Blvd,"Nashville, TN",51611,Town House,6.0,5.0,1176 SF,"62,073 sq ft",1983,3,,"$372,690",298,,6.0,Y,2023-08-20
LST-80416,9414 Oak St,Raleigh,80777,CONDO,1.0,3.5,3124 sqft,"102,845 sq ft",2020,TRUE,,"$337,235",263,157.23,10.0,N,11/28/2022
LST-80599,8285 Main Dr,Nashville,78568,single family,6.0,1.5,"4,578 sq ft",0.33,1941,1,,"$1,102,664",234,357.37,6.0,Yes,2021-11-22
LST-81780,5631 Main Blvd,raleigh,78774,townhouse,2.0,3.0,959 sq ft,0.085 acres,1941,,"$994,000","$970,794",298,324.39,,N,01/06/2020
LST-81225,9363 Main Ln,DENVER,64656,Condo,1.0,5.0,"2,451 sq ft","35,152 sq ft",1954,Y,,"$1,195,988",284,247.77,1.0,,05/20/2020
LST-80670,6833 Elm St.,Charlotte NC,73494,Condominium,5.0,3.0,"5,182 sq ft",1.828,2005,FALSE,"$937,000","$926,366",260,,6.0,No,07/10/2022
LST-81234,6328 Elm Ln,Austin,28063,SFH,3.0,1.5,1186,"105,894 sq ft",1955,2,"$975,000","$1,005,138",193,558.67,,,02/21/2022
LST-81217,4108 Main St.,Charlotte NC,20284,TOWNHOUSE,6.0,1.5,"1,238 sq ft",1.146 acres,1951,N,$408.0k,,67,137.52,8.0,Yes,10/12/2023
LST-81206,8444 Elm Ln,Phoenix,87390,Single Family,4.0,5.0,"3,090 sq ft",0.147 acres,1964,,"$328,000","$361,820",104,217.76,3.0,N,11/17/2020
LST-80619,1169 Main Rd,Austin,77555,Multi Family,5.0,4.5,1981 sqft,,1985,2,,,19,602.19,5.0,0,12/03/2022
LST-81558,4237 Main St,"Nashville, TN",66596,multifamily,4.0,2.0,3527 sqft,"73,485 sq ft",1991,,$1088K,,252,,7.0,Y,11/14/2022
LST-80023,9771 Oak St,San Jose,98066,Town House,4.0,2.0,5160 sqft,0.245 acres,1987,,$775K,"$861,111",168,,9.0,0,12/09/2021
LST-81386,8762 Oak Blvd,nashville,39350,Multi Family,3.0,1.5,2838 sqft,,2009,N,"$1,187,000","$1,135,162",153,,4.0,1,2022-04-03
LST-80063,1275 Pine St.,San Jose,53099,,6.0,4.0,894,2.384,2023,1,,"$355,858",206,,,No,2020-08-11
LST-80607,4138 Maple St.,Charlotte,81323,Multi Family,4.0,1.0,766 sqft,2.289,1984,TRUE,,"$902,659",108,,6.0,No,02/06/2020
LST-81509,5681 Cedar St.,Charlotte NC,18137,multifamily,1.0,5.0,"1,748 sq ft",2.453 acres,1987,Yes,,,151,,8.0,1,01/28/2022
LST-80939,9760 Elm Blvd,Austin,33539,Condominium,3.0,4.5,"2,483 sq ft","108,377 sq ft",1950,TRUE,"$1,204,000","$1,198,000",143,,5.0,No,2022-05-13
LST-80678,3624 Cedar Ave.,nashville,64478,single family,4.0,3.0,"2,565 sq ft","63,118 sq ft",1943,TRUE,$1094K,"$1,214,846",184,,10.0,No,2020-10-07
LST-81675,6688 Elm Ave,raleigh,62074,SFH,1.0,5.0,"2,945 sq ft",2.065,1966,No,$1213.0k,"$1,261,715",-54,281.94,1.0,1,2020-10-28
LST-81249,275 Oak Ln,Raleigh,18218,Multi-Family,2.0,1.5,"1,213 sq ft",1.678 acres,2021,0,,"$604,882",122,,6.0,1,12/12/2022
LST-80480,956 Maple Rd,SAN JOSE,40347,Condominium,1.0,1.0,,,2009,2,"$851,000","$918,042",58,247.04,10.0,N,04/13/2020
LST-81091,127 Pine Ln,"Nashville, TN",15201,Town House,1.0,3.5,"1,243 sq ft",0.578 acres,1972,,,"$652,303",147,,3.0,No,2021-07-13
LST-81340,4491 Pine Rd,Phoenix AZ,79352,condo,3.0,4.5,1957 sqft,"89,733 sq ft",1940,No,1182000,"$1,129,915",-53,,4.0,,05/13/2020
LST-81781,4906 Elm Ave.,austin,95693,Single Family,1.0,3.0,885,"23,870 sq ft",2008,yes,,"$1,158,926",18,,2.0,N,
LST-81299,3331 Cedar Ave,Phoenix,95125,SFH,2.0,2.0,,,1950,,$534K,"$564,032",76,,2.0,Y,04/14/2023
LST-81571,787 Oak Ln,AUSTIN,78643,townhouse,3.0,3.0,,2.162 acres,2030,yes,,"$1,289,678",103,613.73,9.0,No,03/21/2023
LST-80270,6739 Oak Blvd,AUSTIN,34074,CONDO,6.0,3.0,"2,636 sq ft",,2004,3,851000,"$912,901",142,,2.0,No,2020-08-16
LST-81697,3345 Maple Ave.,charlotte,46666,Single Family,1.0,3.0,"2,399 sq ft",2.38,1995,Yes,$542K,"$584,218",56,,9.0,1,2023-03-31
LST-80361,1013 Maple St,Denver,67582,condo,4.0,3.5,"1,191 sq ft",1.1,2015,,"$715,000","$688,774",210,569.71,5.0,,2022-08-18
LST-81683,2670 Main Ln,Phoenix AZ,25538,condo,3.0,2.5,4331,0.611 acres,2012,TRUE,,,46,376.96,1.0,Yes,
LST-80907,8375 Main Rd,phoenix,52368,single family,6.0,4.0,"4,271 sq ft","108,246 sq ft",2014,,"$380,000",,163,146.32,3.0,0,
LST-80628,4100 Pine Blvd,Nashville,90473,Multi-Family,6.0,2.5,"5,119 sq ft",1.846 acres,1970,Yes,402000,"$424,459",155,305.96,3.0,No,03/06/2021
LST-80115,3510 Pine St.,denver,27606,SFH,4.0,1.5,"4,385 sq ft",0.458 acres,2012,True,"$331,000","$339,596",261,502.29,,1,03/10/2022
LST-80535,7842 Oak Ave,San José,31153,Multi Family,3.0,3.0,1052,,2030,Yes,"$1,068,000","$1,136,985",15,566.72,10.0,Yes,05/29/2020
LST-81281,1236 Maple Ave.,Raleigh,91439,condo,3.0,3.0,3234 sqft,2.287 acres,2014,0,,"$993,950",58,27.61,6.0,Y,2023-03-06
LST-81187,6094 Elm Ln,san jose,77130,Single Family,4.0,3.5,3828 sqft,0.783,2003,True,,"$1,060,205",199,8.48,7.0,,07/10/2020
LST-81770,8566 Elm Ln,san jose,19443,SFH,4.0,1.5,2140 SF,1.034 acres,2012,,"$195,000","$190,273",85,471.6,1.0,0,05/27/2021
LST-81173,387 Elm Dr,Phoenix AZ,37306,CONDO,4.0,2.5,,,2011,N,$1053K,"$1,102,852",122,486.89,4.0,Y,07/22/2020
LST-81669,8247 Main Dr,San José,41730,Town House,6.0,2.5,2099 SF,,1990,,$634.0k,"$630,838",126,,2.0,1,01/08/2020
LST-81526,4724 Cedar Dr,AUSTIN,62783,Townhouse,1.0,1.5,4344 sqft,"33,802 sq ft",1974,no,"$1,128,000","$1,188,295",161,30.8,5.0,No,01/30/2023
LST-80306,4766 Cedar Ave,DENVER,10683,Condo,3.0,2.0,"5,158 sq ft",,1966,,,"$1,012,368",66,647.67,7.0,Y,01/12/2021
LST-81103,1009 Main Ln,san jose,39711,single family,3.0,1.5,716 sqft,"46,173 sq ft",1940,TRUE,$824K,"$853,434",140,,1.0,Y,10/06/2022
LST-80881,1550 Elm Blvd,raleigh,17019,single family,5.0,3.0,"2,758 sq ft",2.234 acres,2002,3,,"$730,398",108,619.03,3.0,0,
