account_id,company_name,industry,plan,signup_date,churn_date,churned,mrr_usd,seats,monthly_active_users,usage_events,support_tickets_90d,nps_score,account_age_days,contract_type,region
ACC-10603,Company_603,ecommerce,PRO,06/15/2020,2022-02-04,1,$47.99,434,369.0,2.8K,17.0,1.0,1447,multi-year,latam
ACC-11598,Company_1598,ecommerce,professional,04/14/2022,,0,$93,367,179.0,"21,788 events",0.0,4.0,779,MONTHLY,EU
ACC-10059,Company_59,Tech,ENT,12/08/2022,,0,$30,24,23.0,14.8K,11.0,8.0,541,,APAC
ACC-11049,Company_1049,education,Free,2021-09-18,,0,186.74,2,,,24.0,3.0,987,ANNUAL,APAC
ACC-10069,Company_69,,start,01/06/2021,2027-05-29,1,$468,430,282.0,27719,18.0,8.0,1242,month-to-month,LATAM
ACC-10626,Company_626,Tech,pro,28/06/2022,,0,$29.82,412,,"33,521 events",18.0,,704,,US
ACC-11445,,saas,professional,21/03/2020,,0,"$1,049.40",453,496.0,20799,7.0,1.0,1533,Annual,Asia Pacific
ACC-11058,Company_1058,Software,free,2020-01-14,,0,4807.17,323,294.0,,3.0,,1600,Multi-Year,NA
ACC-10298,Company_298,fintech,,20/06/2020,,0,$1009,118,113.0,9.5K,18.0,,1442,yearly,Asia Pacific
ACC-11319,,saas,professional,2022-06-28,,0,31.6,207,226.0,,15.0,2.0,704,2-Year,EU
ACC-11176,Company_1176,Technology,pro,12/11/2022,,0,"$1,933.88",7,5.0,"46,220 events",14.0,3.0,538,ANNUAL,EU
ACC-10193,,healthcare,start,07/13/2021,,0,$203.75,164,163.0,9428,23.0,9.0,1054,Yearly,Americas
ACC-11211,,Retail,ENT,20/12/2020,,0,$31.52,232,119.0,,11.0,5.0,1259,Multi-Year,Latin America
ACC-10124,Company_124,TECH,starter,01/03/2021,,0,,483,421.0,"7,184 events",21.0,6.0,1188,annual,US
ACC-10976,Company_976,healthcare,Professional,2020-05-19,,0,$196,174,114.0,,15.0,10.0,1474,,emea
ACC-10987,Company_987,SaaS,ENT,06/09/2020,2027-03-06,1,$47.85,154,60.0,,12.0,,1364,Multi-Year,EU
ACC-11315,Company_1315,finance,Free Trial,2023-01-12,,0,$53,408,298.0,"49,245 events",4.0,7.0,506,month-to-month,US
ACC-10247,Company_247,Health,Enterprise,04/06/2023,,0,97.23,122,60.0,"13,931 events",4.0,9.0,422,monthly,apac
ACC-10099,Company_99,education,professional,2021-02-27,2022-03-24,1,485.42,262,246.0,"41,434 events",22.0,7.0,1190,Monthly,Europe
ACC-10353,Company_353,Healthcare,enterprise,05/03/2023,,0,"$5,476.68",486,430.0,,4.0,9.0,454,multi-year,emea
ACC-10530,Company_530,Retail,start,26/09/2021,2021-12-29,1,$536.51,240,222.0,"46,261 events",6.0,8.0,979,,NA
ACC-11187,Company_1187,Tech,Pro,19/02/2023,,0,28.1,403,301.0,"47,641 events",17.0,1.0,468,monthly,latam
ACC-11091,Company_1091,Retail,Enterprise,18/03/2021,,0,$208.62,114,50.0,9.3K,18.0,4.0,1171,Monthly,latam
ACC-10755,Company_755,SaaS,Starter Plan,2020-10-28,2021-10-16,1,$29,315,,,17.0,6.0,1312,month-to-month,Latin America
ACC-11587,Company_1587,fintech,Enterprise,04/11/2021,,0,$48,223,127.0,"17,790 events",10.0,7.0,940,Annual,latam
ACC-10712,Company_712,,Ent,04/30/2021,2022-09-29,1,"$1,890.49",246,,4.6K,10.0,,1128,Multi-Year,latam
ACC-10345,Company_345,Healthcare,freemium,2022-06-05,,,480.82,137,60.0,30.2K,0.7419251796036955,7.0,727,Yearly,North America
ACC-11308,Company_1308,tech,ENTERPRISE,2022-09-21,,0,,173,88.0,41368,20.0,8.0,619,multi-year,US
ACC-11073,Company_1073,E-Commerce,Prof,2022-04-11,,0,$52.85,419,220.0,,7.0,,782,Monthly,emea
ACC-11408,Company_1408,,enterprise,10/02/2022,2024-05-23,1,,142,77.0,42.5K,15.0,4.0,608,Yearly,North America
ACC-10651,Company_651,healthcare,FREE,09/25/2020,,0,,180,180.0,"36,748 events",16.0,9.0,1345,multi-year,APAC
ACC-10721,Company_721,Technology,Free,08/08/2021,,0,"$2,116.62",10,7.0,"26,568 events",1.0,2.0,1028,Yearly,EU
ACC-10588,Company_588,E-Commerce,,2021-10-25,,0,$4545,184,72.0,"34,042 events",14.0,7.0,950,Yearly,Latin America
ACC-11083,Company_1083,Healthcare,pro,06/02/2020,,0,$524,388,,,11.0,3.0,1460,month-to-month,EU
ACC-10405,Company_405,Health,ENT,08/04/2021,,0,$5128,140,106.0,"42,614 events",2.0,4.0,1032,month-to-month,Latin America
ACC-10621,Company_621,TECH,Ent,2022-03-23,,0,$31,354,136.0,31.5K,23.0,1.0,801,Annual,EU
ACC-10324,Company_324,,professional,02/02/2021,2026-11-09,1,"$4,646.02",241,117.0,48188,12.0,9.0,1215,Monthly,NA
ACC-10914,Company_914,Finance,ENTERPRISE,26/11/2022,2024-08-21,1,28.29,362,,"8,029 events",20.0,1.0,553,Multi-Year,
ACC-11578,Company_1578,saas,Free,07/18/2021,,0,$202.76,304,132.0,4.3K,4.0,3.0,1049,monthly,APAC
ACC-11325,Company_1325,fintech,freemium,2020-11-01,,0,$44.82,331,296.0,"27,356 events",11.0,10.0,1308,multi-year,EU
ACC-11521,Company_1521,EdTech,free,16/12/2022,,0,$30,43,27.0,"1,352 events",3.0,8.0,533,Annual,latam
ACC-10672,Company_672,TECH,ENTERPRISE,07/22/2020,,0,$1038,450,231.0,"24,938 events",4.0,8.0,1410,annual,APAC
ACC-11269,Company_1269,,Enterprise,01/03/2021,2022-01-12,1,$992.91,3,1.0,22.0K,7.0,10.0,1245,MONTHLY,EU
ACC-10576,Company_576,tech,pro,2020-12-19,2021-11-27,1,,189,205.0,35.2K,15.0,2.0,1260,Annual,Latin America
ACC-11540,Company_1540,EdTech,starter,2021-08-14,,0,$537,191,106.0,"6,497 events",24.0,-5.0,1022,Monthly,emea
ACC-10237,Company_237,Software,Ent,2022-04-09,,0,$469.58,141,143.0,,24.0,3.0,784,Multi-Year,apac
ACC-10049,Company_49,finance,Free,11/14/2021,,0,$179.74,59,37.0,3.4K,15.0,8.0,930,Monthly,US
ACC-11138,Company_1138,EdTech,pro,02/21/2020,,0,$499.08,171,,"25,913 events",18.0,0.0,1562,multi-year,EU
ACC-11329,Company_1329,E-Commerce,Free Trial,2021-08-31,2022-01-30,1,"$4,864.89",43,31.0,48239,22.0,10.0,1005,Multi-Year,LATAM
ACC-10764,Company_764,FinTech,Prof,2020-07-06,,0,$209.27,143,132.0,22.1K,20.0,4.0,-196,Multi-Year,Latin America
ACC-10414,,Technology,Enterprise,21/03/2023,,0,,447,478.0,6.0K,23.0,10.0,438,multi-year,NA
ACC-11137,,saas,Enterprise,04/04/2023,,0,$47.6,93,33.0,41179,5.0,5.0,424,Monthly,Asia Pacific
ACC-10766,Company_766,EdTech,Enterprise,2022-05-12,2023-06-17,1,$49.57,370,390.0,559,20.0,2.0,751,annual,
ACC-10398,Company_398,tech,ENT,11/27/2021,,0,$509.73,204,130.0,,13.0,5.0,917,ANNUAL,US
ACC-10952,Company_952,saas,freemium,2020-05-24,2022-04-14,1,$1.82K,11,9.0,45.5K,0.6390718857077902,0.0,1469,Monthly,
ACC-11581,Company_1581,healthcare,start,2021-10-06,,0,$539.11,363,212.0,,21.0,2.0,-68,Multi-Year,Asia Pacific
ACC-10670,Company_670,education,ENT,2021-04-11,2021-10-16,1,,232,83.0,28682,0.5627080711368813,7.0,-18,2-Year,Asia Pacific
ACC-10429,Company_429,Healthcare,Prof,05/06/2020,,0,$196.77,295,301.0,49789,15.0,2.0,1457,monthly,
ACC-10135,Company_135,Education,FREE,06/27/2022,2023-02-05,1,$953.75,381,266.0,10.7K,21.0,10.0,705,Monthly,US
ACC-11209,Company_1209,retail,start,18/01/2021,2021-03-14,1,$193,118,46.0,,20.0,0.0,1230,multi-year,EU
ACC-10886,Company_886,E-Commerce,Free Trial,2020-01-17,,0,"$1,896.43",470,,167 events,16.0,2.0,1597,MONTHLY,APAC
ACC-10482,Company_482,Education,Free,01/03/2021,,0,$471.87,471,141.0,,11.0,6.0,1188,2-Year,EMEA
ACC-10720,Company_720,education,freemium,2021-12-10,2027-02-23,1,"$2,061.10",359,134.0,32211,13.0,1.0,904,Monthly,Americas
ACC-11159,Company_1159,ecommerce,Pro,2021-02-16,,0,$188.54,251,171.0,22.7K,5.0,7.0,1201,Annual,Europe
ACC-11517,Company_1517,Healthcare,Prof,03/27/2021,2022-02-02,1,$45.59,133,54.0,20500,22.0,10.0,1162,month-to-month,Latin America
ACC-10073,Company_73,TECH,Prof,05/14/2022,,0,"$2,011.40",150,162.0,10.5K,6.0,9.0,749,multi-year,Latin America
ACC-10109,Company_109,finance,Starter Plan,30/01/2022,,0,$1017,415,441.0,"8,532 events",11.0,4.0,853,Yearly,Europe
ACC-10451,Company_451,,Enterprise,01/08/2022,,FALSE,$30.41,462,269.0,"39,768 events",2.0,8.0,670,annual,Latin America
ACC-11292,Company_1292,E-Commerce,professional,04/12/2022,,0,$4679,347,376.0,"30,342 events",3.0,5.0,-65,2-Year,US
ACC-10583,Company_583,retail,Free,2021-09-02,,0,,229,88.0,22.4K,19.0,5.0,1003,Multi-Year,LATAM
ACC-11338,Company_1338,finance,Prof,2021-11-04,2022-03-13,1,$50.05,254,122.0,22058,9.0,5.0,940,Yearly,latam
ACC-11116,Company_1116,saas,Free,03/06/2022,,0,945.96,120,68.0,"43,956 events",11.0,2.0,729,monthly,North America
ACC-10240,Company_240,Software,Enterprise,08/17/2021,,0,$47,222,202.0,"47,150 events",2.0,6.0,1019,month-to-month,Americas
ACC-11140,Company_1140,edtech,Pro,01/31/2023,,Yes,,48,32.0,48107,22.0,9.0,487,ANNUAL,EU
ACC-10051,Company_51,tech,pro,08/09/2022,,0,$909.67,90,58.0,40966,13.0,6.0,662,,APAC
ACC-10076,Company_76,Retail,Free Trial,17/01/2023,2025-01-11,1,$1010,404,331.0,32.2K,24.0,1.0,501,Monthly,emea
ACC-11398,Company_1398,fintech,PRO,10/22/2020,,0,"$5,454.11",94,100.0,,10.0,8.0,1318,,EMEA
ACC-10316,Company_316,Software,,02/05/2020,,0,$94.16,19,8.0,,0.0,7.0,-5,Monthly,Asia Pacific
ACC-10162,Company_162,retail,FREE,07/10/2021,,No,$26.81,325,125.0,"11,770 events",0.0,7.0,968,month-to-month,apac
ACC-10331,Company_331,retail,Enterprise,10/16/2022,,0,"$4,573.27",149,141.0,"42,430 events",5.0,5.0,594,2-Year,Latin America
ACC-11251,Company_1251,retail,Pro,05/04/2020,,0,$48.48,16,10.0,49.5K,3.0,1.0,1489,Multi-Year,latam
ACC-11444,Company_1444,Retail,Enterprise,07/01/2022,,0,$27.85,140,97.0,37.1K,22.0,,701,monthly,EU
ACC-10123,Company_123,E-Commerce,starter,2022-06-09,,0,$27.18,47,31.0,,22.0,,723,monthly,North America
ACC-11131,Company_1131,Healthcare,free,06/25/2022,,0,$198.40,83,52.0,"31,963 events",11.0,5.0,707,annual,EMEA
ACC-10168,Company_168,SaaS,ENT,29/01/2022,2023-02-14,1,$536.80,222,218.0,"15,619 events",0.0,,854,annual,EU
ACC-10679,Company_679,fintech,Ent,29/04/2021,,0,$90.34,157,86.0,"29,431 events",1.0,6.0,1129,Monthly,APAC
ACC-11379,Company_1379,fintech,Free,2021-07-18,,0,$185.47,471,312.0,"6,418 events",8.0,8.0,1049,Monthly,Asia Pacific
ACC-10602,Company_602,Health,Pro,10/03/2021,,FALSE,$209.47,488,307.0,2.1K,21.0,8.0,1179,multi-year,Americas
ACC-11563,Company_1563,finance,Ent,2022-03-11,,0,"$2,062.09",89,40.0,26539,23.0,2.0,813,,US
ACC-10261,Company_261,finance,Pro,2022-05-30,,0,"$1,984.13",287,175.0,25427,0.07556737891905758,9.0,-116,MONTHLY,North America
ACC-11405,Company_1405,education,Starter,2021-06-07,,0,$100,122,85.0,11100,11.0,1.0,1090,multi-year,apac
ACC-10560,Company_560,finance,Enterprise,11/02/2021,,0,$28.92,176,169.0,22359,1.0,5.0,1206,yearly,
ACC-11419,Company_1419,SaaS,,10/07/2022,,0,$90.91,245,186.0,24707,0.0,1.0,603,Annual,NA
ACC-11573,Company_1573,tech,ENTERPRISE,2022-05-11,2023-10-11,1,$29.93,345,330.0,21500,16.0,,752,annual,LATAM
ACC-10067,Company_67,Retail,Ent,05/15/2021,2021-09-18,1,$1864,216,78.0,18115,14.0,8.0,1113,Multi-Year,EU
ACC-10427,Company_427,Education,,30/11/2020,,0,$203.28,188,190.0,36507,3.0,0.0,1279,Annual,EMEA
ACC-11227,Company_1227,fintech,Free,02/09/2023,,Yes,94.87,392,402.0,29594,9.0,10.0,478,2-Year,Asia Pacific
ACC-10141,Company_141,Software,FREE,28/02/2021,2022-02-15,1,1800.65,130,126.0,17923,4.0,5.0,1189,Monthly,Latin America
ACC-10332,Company_332,Health,Prof,02/24/2022,2022-06-17,1,$5.40K,439,,303,13.0,8.0,828,yearly,EMEA
ACC-10774,Company_774,EdTech,ENTERPRISE,20/06/2022,,0,$4547,365,287.0,,16.0,15.0,712,month-to-month,APAC
ACC-11027,Company_1027,Health,FREE,2023-03-16,,0,184.76,464,490.0,"39,478 events",0.4202843901154805,,443,multi-year,EU
ACC-11192,Company_1192,Healthcare,enterprise,2021-05-12,,0,,101,109.0,3744,15.0,,1116,2-Year,Europe
ACC-10591,,Education,FREE,18/01/2020,,0,$1063,308,218.0,"38,118 events",5.0,,1596,monthly,Europe
ACC-11318,Company_1318,finance,PRO,02/24/2022,,0,,159,152.0,"4,059 events",18.0,8.0,828,Multi-Year,apac
ACC-11163,Company_1163,EdTech,start,09/26/2022,,0,$485.03,10,5.0,"8,220 events",17.0,,614,ANNUAL,Europe
ACC-10899,Company_899,,professional,02/07/2020,,0,"$1,055.71",162,100.0,"23,565 events",11.0,2.0,1576,MONTHLY,APAC
ACC-10669,Company_669,Health,ENTERPRISE,04/03/2022,,0,$198,56,27.0,"40,715 events",4.0,1.0,790,,North America
ACC-10806,Company_806,finance,professional,01/04/2020,,0,$51.28,309,180.0,14760,0.0,7.0,1522,annual,latam
ACC-10861,Company_861,FinTech,ENTERPRISE,11/09/2022,,0,$108.37,111,80.0,,12.0,4.0,570,Monthly,
ACC-11560,Company_1560,finance,free,14/11/2022,,0,26.62,429,261.0,,9.0,3.0,565,month-to-month,latam
ACC-10184,Company_184,SaaS,,03/09/2020,,0,$5.35K,462,457.0,26074,11.0,8.0,1545,MONTHLY,Latin America
ACC-11107,Company_1107,Education,FREE,01/11/2023,2024-09-02,1,"$4,940.03",486,184.0,"46,849 events",14.0,9.0,507,multi-year,North America
ACC-10453,Company_453,finance,Free Trial,23/02/2022,2023-08-24,1,$48.55,109,84.0,"46,821 events",5.0,4.0,829,Annual,US
ACC-10422,Company_422,,pro,2020-01-20,,0,$940,340,364.0,,6.0,7.0,1594,ANNUAL,US
ACC-11217,Company_1217,finance,start,12/02/2021,,0,,456,289.0,31.0K,24.0,6.0,1205,ANNUAL,Americas
ACC-11450,Company_1450,Education,enterprise,02/09/2023,,0,$938.94,336,338.0,"6,107 events",10.0,1.0,478,monthly,apac
ACC-11009,Company_1009,Software,,11/02/2021,,0,,467,261.0,"37,637 events",9.0,3.0,1206,ANNUAL,APAC
ACC-11200,Company_1200,Retail,Professional,05/01/2022,,0,$489,120,107.0,"31,584 events",7.0,4.0,878,MONTHLY,Americas
ACC-10486,Company_486,,,2020-03-03,,0,28.46,382,299.0,"46,251 events",22.0,7.0,1551,monthly,LATAM
ACC-11356,Company_1356,TECH,PRO,2022-08-03,2024-03-01,1,$91,15,16.0,"25,949 events",20.0,8.0,668,month-to-month,North America
ACC-11505,Company_1505,healthcare,ENTERPRISE,10/26/2022,,0,492.0,433,175.0,,2.0,3.0,584,yearly,EMEA
ACC-10408,Company_408,Health,Free,03/31/2020,2021-03-16,1,$505.5,251,85.0,33607,0.20608846623729307,,1523,yearly,EU
ACC-10350,Company_350,FinTech,Ent,04/08/2021,,,30.57,50,15.0,27813,5.0,9.0,1032,yearly,North America
ACC-11093,Company_1093,,ENTERPRISE,22/07/2021,,0,$26.97,228,122.0,"49,854 events",2.0,15.0,1045,Multi-Year,Americas
ACC-10874,Company_874,EdTech,professional,12/03/2020,2021-04-03,1,939.25,455,250.0,,0.2781565182020118,,1542,yearly,North America
ACC-10481,Company_481,fintech,professional,2020-10-01,2021-05-21,1,$47.53,367,315.0,,8.0,5.0,1339,Yearly,Europe
ACC-10754,,SaaS,Pro,21/09/2022,2023-04-24,1,51.57,147,93.0,"12,283 events",5.0,,619,Multi-Year,APAC
ACC-10270,Company_270,retail,PRO,2020-08-23,,0,,66,54.0,47725,1.0,1.0,-20,,
ACC-11178,Company_1178,healthcare,Starter Plan,07/22/2020,,0,2000.25,206,176.0,"44,482 events",15.0,,1410,monthly,NA
ACC-11415,Company_1415,Education,professional,20/06/2020,,0,,260,214.0,,14.0,10.0,1442,Annual,Asia Pacific
ACC-10420,Company_420,SaaS,freemium,02/15/2023,2023-07-04,1,$27.42,494,408.0,30.1K,2.0,6.0,472,month-to-month,APAC
ACC-10243,Company_243,ecommerce,FREE,2022-04-16,,0,,377,191.0,"44,409 events",16.0,8.0,777,2-Year,apac
ACC-10917,Company_917,Healthcare,pro,2021-10-06,2023-10-03,1,,418,283.0,,23.0,6.0,969,MONTHLY,Europe
ACC-10832,Company_832,Tech,starter,24/06/2021,,0,,63,40.0,47980,7.0,2.0,1073,Multi-Year,emea
ACC-10780,Company_780,retail,STARTER,11/13/2022,,0,$214.56,121,59.0,"6,654 events",21.0,-5.0,566,monthly,EMEA
ACC-10383,,edtech,start,2020-08-27,,0,$185.63,369,235.0,"47,963 events",4.0,,1374,monthly,LATAM
