id,age,workclass,education,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income,housing,n_household_members,savings_usd,broadband_access,employment_status,commute_time_min,county_fips,rent_usd
17,39,Private,Prof-school,Widowed,Armed-Forces,Wife,White,Male,0,2841,36,United-States,<=50K,Rent,3,3772,no,Employed,38,13402,2530
18,65,Self-emp-not-inc,Assoc-voc,Never-married,Exec-managerial,Unmarried,White,Male,9977,0,58,Mexico,>50K,Own,7,0,no,Student,74,27231,0
19,26,Private,HS-grad,Separated,Protective-serv,Not-in-family,White,Female,0,0,41,United-States,56716,Rent,4,0,No,Unemployed,11,27457,0
20,79,Self-emp-not-inc,Some-college,Single,Priv-house-serv,Own-child,White,Male,0,0,3,Philippines,>50K,Own,3,0,Y,Unemployed,70,27616,3121
21,27,Private,Bachelors,M,Other-service,Own-child,White,Male,0,0,9,South,14691,Rent,1,0,Y,Unemployed,40,09415,914
22,45,Private,12th,Single,Sales,Other-relative,White,Male,0,0,18,United-States,>50K,Mortgage,5,2792,N,Employed,70,56212,0
23,46,Private,1st-4th,M,Prof-specialty,Own-child,White,Male,0,0,45,United-States,57618,Own,6,30323,No,Self-employed,7,56672,2833
24,57,Private,HS-grad,M,Protective-serv,Husband,White,Male,0,0,3,United-States,16875,Rent,2,49271,Yes,Retired,11,55666,3403
25,17,Private,Bachelors,Married-AF-spouse,Protective-serv,Not-in-family,White,Male,0,0,51,United-States,24061,Own,1,763,N,Retired,74,01248,0
26,67,Private,Preschool,M,Sales,Not-in-family,White,Male,0,0,99,United-States,74969,Rent,3,0,N,Student,59,45098,3392
27,47,Private,12th,Married-civ-spouse,Sales,Wife,White,Male,0,0,40,United-States,55921,Own,4,1586,Yes,Retired,14,50473,2686
28,66,Private,1st-4th,Never-married,Machine-op-inspct,Wife,White,Male,0,0,99,United-States,>50K,Own,5,0,Yes,Self-employed,70,04655,3052
29,61,Federal-gov,MASTERS,Divorced,Machine-op-inspct,Other-relative,White,Male,0,0,53,United-States,>50K,Own,1,0,N,Self-employed,44,25632,0
30,81,Private,MS,Never-married,,Other-relative,White,Female,0,0,16,United-States,106586,Own,5,0,Y,Self-employed,39,27648,609
31,48,Private,Prof-school,Married,Machine-op-inspct,Other-relative,White,Female,0,0,11,United-States,108726,Rent,4,849,No,Student,82,44830,1312
32,56,Self-emp-not-inc,HS-grad,Divorced,Priv-house-serv,Other-relative,White,Male,74637,0,24,United-States,14169,Rent,4,38066,Y,Employed,28,13225,1029
33,69,Self-emp-inc,12th,Never-married,Priv-house-serv,Husband,White,Male,0,0,52,United-States,35056,Rent,2,115,Y,Retired,48,11078,0
34,19,Private,1st-4th,M,Craft-repair,Wife,White,Male,0,0,62,United-States,<=50K,Mortgage,2,16718,no,Retired,106,29582,2501
35,18,Private,11th,Married-civ-spouse,Prof-specialty,Own-child,White,Male,0,0,45,United-States,<=50K,Rent,7,212,yes,Employed,81,38753,2706
36,26,Private,9th,Married-civ-spouse,Farming-fishing,Not-in-family,White,Male,0,0,25,United-States,<=50K,Mortgage,7,0,No,Retired,114,32713,0
37,88,Private,Assoc-acdm,M,Prof-specialty,Not-in-family,White,Male,0,0,36,United-States,40484,Own,1,0,Yes,Employed,108,28193,0
38,48,Private,MASTERS,Married,,Wife,White,Male,81446,0,4,United-States,13987,Own,1,1054,N,Employed,44,51249,1429
39,18,Private,Doctorate,Married,Prof-specialty,Unmarried,White,Female,0,0,33,United-States,<=50K,Rent,6,0,Y,Unemployed,90,33706,2806
40,33,Private,Assoc-acdm,Never-married,Protective-serv,Wife,White,Male,0,0,42,United-States,>50K,Mortgage,6,174,Yes,Retired,87,45059,0
41,31,Private,Doctor,Separated,Adm-clerical,Husband,Black,Male,0,0,45,United-States,99261,Own,1,1478,No,Employed,106,53242,0
42,85,Private,9th,Married-civ-spouse,Tech-support,Not-in-family,White,Female,0,0,6,United-States,>50K,Own,1,0,N,Employed,37,01156,2663
43,28,Private,Masters,Widowed,Handlers-cleaners,Own-child,White,Male,0,0,15,Puerto-Rico,<=50K,Mortgage,7,55295,N,Employed,85,12596,1062
44,70,Private,PhD,Married-AF-spouse,Farming-fishing,Not-in-family,White,Male,0,0,28,United-States,44056,Mortgage,2,26752,Y,Unemployed,14,18475,890
45,82,Private,12th,Never-married,Craft-repair,Husband,White,Male,0,0,42,United-States,<=50K,Own,5,2038,yes,Retired,13,35766,1212
46,62,Private,7th-8th,Never-married,Transport-moving,Own-child,White,Female,0,0,24,United-States,<=50K,Rent,4,12371,Y,Employed,65,25154,0
47,27,Private,PhD,Married-civ-spouse,Craft-repair,Own-child,White,Male,0,0,19,United-States,50025,Rent,2,128,Yes,Student,111,40342,0
48,62,Without-pay,7th-8th,S,Sales,Not-in-family,White,Male,0,0,25,United-States,19566,Own,3,0,N,Retired,69,20380,0
49,70,Private,Assoc-voc,Married,Armed-Forces,Wife,Black,Male,0,0,38,United-States,<=50K,Rent,7,12412,No,Unemployed,77,50561,3270
50,55,Private,Assoc-acdm,Married-civ-spouse,Armed-Forces,Unmarried,White,Female,0,0,19,United-States,38872,Mortgage,6,0,yes,Self-employed,77,54760,921
51,44,Private,10th,Married-AF-spouse,Armed-Forces,Not-in-family,White,Male,0,0,57,United-States,<=50K,Mortgage,1,1054,yes,Student,61,27807,0
52,32,Never-worked,Assoc-voc,Widowed,Prof-specialty,Husband,White,Female,48940,0,25,United-States,43492,Rent,5,0,Y,Retired,99,26049,0
53,70,Private,1st-4th,Divorced,Exec-managerial,Husband,White,Male,0,0,54,United-States,<=50K,Rent,2,382,Yes,Unemployed,29,29124,0
54,43,Private,9th,Married,Prof-specialty,Other-relative,Black,Male,0,0,40,United-States,11395,Own,2,321,No,Unemployed,24,05004,3203
55,72,Local-gov,HS-grad,Separated,Handlers-cleaners,Other-relative,White,Female,0,0,2,United-States,31268,Mortgage,4,850,No,Self-employed,77,43225,0
56,68,State-gov,Masters,Never-married,Craft-repair,Own-child,White,Male,0,0,46,United-States,63677,Rent,1,960,no,Self-employed,46,43578,0
57,47,Local-gov,7th-8th,Single,Armed-Forces,Own-child,White,Female,0,0,56,United-States,<=50K,Rent,6,5533,Yes,Employed,100,29073,3868
58,27,Private,9th,Married-civ-spouse,Handlers-cleaners,Unmarried,White,Male,0,0,45,El-Salvador,>50K,Rent,4,166,Yes,Self-employed,64,50689,2480
59,53,Federal-gov,H.S.,Married-civ-spouse,Other-service,Other-relative,White,Female,0,0,12,Mexico,35904,Own,1,1237,no,Unemployed,10,21384,3710
60,72,Federal-gov,12th,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,30,United-States,<=50K,Mortgage,4,0,yes,Unemployed,115,52678,0
61,85,Private,10th,Never-married,Sales,Other-relative,White,Male,0,0,13,United-States,>50K,Mortgage,6,1830,no,Self-employed,9,25564,3351
62,24,Private,Some-college,Never-married,Protective-serv,Wife,White,Female,0,0,57,United-States,44810,Rent,4,532,N,Self-employed,43,36460,0
63,44,Local-gov,1st-4th,Never-married,Handlers-cleaners,Husband,Black,Male,0,0,14,India,>50K,Own,7,175,yes,Self-employed,32,24196,2899
64,26,Without-pay,GED,M,Other-service,Own-child,White,Female,0,0,29,United-States,>50K,Mortgage,3,1187,no,Retired,88,29483,0
65,63,Private,9th,Married-civ-spouse,Transport-moving,Own-child,White,Male,0,0,9,United-States,>50K,Mortgage,3,0,No,Employed,41,44026,0
66,35,Private,Doctorate,Married-civ-spouse,Adm-clerical,Other-relative,Black,Female,0,0,21,United-States,<=50K,Rent,5,0,yes,Retired,30,18015,1388
67,17,Private,10th,Married-civ-spouse,Machine-op-inspct,Not-in-family,White,Female,0,0,26,United-States,21237,Mortgage,4,5207,no,Student,86,33355,0
68,88,Private,HS-grad,Never-married,Other-service,Own-child,White,Female,0,0,18,United-States,<=50K,Own,3,2165,N,Unemployed,24,19485,0
69,31,Private,9th,M,Tech-support,Unmarried,White,Female,0,0,25,United-States,<=50K,Rent,6,0,N,Employed,4,37330,3618
70,37,Private,Doctorate,Married-civ-spouse,Protective-serv,Own-child,White,Male,0,0,99,United-States,<=50K,Mortgage,1,15199,Yes,Self-employed,57,21140,3035
71,57,Private,Prof-school,Never-married,Armed-Forces,Wife,White,Female,2762,0,37,United-States,>50K,Rent,3,2719,Yes,Retired,86,51627,877
72,78,Private,10th,Never-married,Priv-house-serv,Wife,White,Male,0,0,31,United-States,>50K,Rent,2,0,yes,Employed,22,37062,0
73,28,Private,Assoc-voc,Div.,Exec-managerial,Not-in-family,White,Male,0,0,29,United-States,<=50K,Rent,7,609,yes,Unemployed,81,27235,2595
74,30,Private,12th,Never-married,Priv-house-serv,Unmarried,White,Male,0,0,6,United-States,12942,Other,1,455,yes,Retired,51,49817,1089
75,89,Private,Assoc-acdm,Married-AF-spouse,Handlers-cleaners,Not-in-family,Black,Male,0,0,48,United-States,45700,Rent,6,3531,No,Unemployed,54,53169,0
76,26,Self-emp-inc,10th,Never-married,Priv-house-serv,Husband,White,Male,0,0,43,United-States,<=50K,Own,6,0,No,Student,14,36382,0
77,62,Private,12th,Married-civ-spouse,Machine-op-inspct,Other-relative,White,Male,0,0,34,India,<=50K,Own,6,612,Yes,Retired,59,50466,0
78,27,Self-emp-inc,9th,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,0,36,United-States,>50K,Own,6,329,Y,Self-employed,52,43814,0
79,35,Private,Doctor,Married-civ-spouse,Farming-fishing,Not-in-family,White,Male,0,0,40,United-States,107166,Own,3,0,no,Unemployed,79,42364,0
80,61,Private,HS-grad,Married-civ-spouse,Armed-Forces,Husband,White,Male,0,0,44,United-States,118639,Own,4,0,No,Employed,83,33707,1661
81,74,Private,Preschool,M,Tech-support,Unmarried,White,Female,0,0,51,Mexico,>50K,Mortgage,5,3897,Y,Self-employed,14,21781,1906
82,62,Private,Preschool,Widowed,Armed-Forces,Husband,White,Male,0,0,21,United-States,15843,Own,1,7376,N,Retired,9,11447,0
83,74,Private,Prof-school,Never-married,Armed-Forces,Unmarried,White,Female,0,0,2,United-States,309684,Rent,7,7362,no,Retired,73,01331,1472
84,40,Federal-gov,4yr degree,Never-married,Sales,Other-relative,White,Male,0,0,45,United-States,<=50K,Own,7,580,no,Retired,13,34536,0
85,69,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,45,United-States,<=50K,Mortgage,1,18923,No,Self-employed,44,47834,0
86,26,Private,Some-college,Married-civ-spouse,Other-service,Not-in-family,White,Female,0,0,17,United-States,>50K,Rent,1,260,Yes,Retired,45,33177,3839
87,35,Local-gov,Doctorate,Divorced,Tech-support,Other-relative,White,Male,0,0,47,United-States,<=50K,Mortgage,3,84,No,Employed,36,10160,0
88,99,State-gov,Bachelors,M,Exec-managerial,Own-child,Black,Male,0,0,60,United-States,17086,Own,7,4742,no,Unemployed,113,35338,0
89,22,Private,HS-grad,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,26,United-States,32140,Own,5,766,No,Unemployed,54,03244,456
90,35,Private,Some-college,S,Adm-clerical,Unmarried,White,Male,0,0,38,United-States,<=50K,Own,5,4376,Y,Employed,36,32015,3291
91,72,Private,Some-college,Never-married,Sales,Unmarried,Black,Male,8192,0,12,United-States,>50K,Own,6,18431,no,Retired,50,45439,769
92,49,Self-emp-inc,Assoc-voc,Married-civ-spouse,Farming-fishing,Not-in-family,White,Male,0,0,27,United-States,>50K,Own,7,0,N,Self-employed,81,29795,401
93,99,Private,Some-college,Widowed,Armed-Forces,Wife,White,Female,0,0,20,South,24211,Own,5,25604,yes,Employed,70,50591,0
94,48,Self-emp-not-inc,M.S.,M,Exec-managerial,Own-child,White,Male,0,0,54,United-States,>50K,Other,2,367,N,Employed,64,47290,0
95,89,Private,12th,Sep.,Sales,Other-relative,White,Male,0,0,99,United-States,19733,Rent,5,124,Yes,Student,36,32501,0
96,89,Private,Bachelors,Divorced,Prof-specialty,Unmarried,White,Male,0,0,59,United-States,>50K,Mortgage,6,3683,N,Student,88,24665,0
97,47,Private,10th,Married-civ-spouse,Farming-fishing,Not-in-family,White,Male,0,0,3,United-States,16598,Rent,5,3329,Y,Student,1,49487,0
98,84,Private,7th-8th,Never-married,Tech-support,Not-in-family,White,Male,86486,0,42,United-States,14653,Rent,3,3846,No,Student,30,41028,2716
99,79,Self-emp-inc,9th,Married-civ-spouse,Adm-clerical,Not-in-family,Black,Male,0,0,8,United-States,>50K,Mortgage,4,11168,Y,Employed,53,44120,0
100,34,Never-worked,Preschool,Divorced,Priv-house-serv,Husband,White,Male,0,0,31,United-States,>50K,Rent,3,0,yes,Student,20,25425,0
101,99,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,46,United-States,>50K,Mortgage,3,6589,Yes,Employed,116,11559,562
102,60,Private,Doctorate,Married-civ-spouse,Transport-moving,Wife,Asian-Pac-Islander,Male,0,0,110,Cuba,<=50K,Other,6,0,No,Retired,79,35698,0
103,99,Private,11th,Never-married,Adm-clerical,Husband,White,Female,0,3573,16,United-States,47783,Mortgage,1,259,no,Unemployed,59,18256,2319
104,78,Private,Preschool,Sep.,Armed-Forces,Not-in-family,White,Male,0,838,99,United-States,<=50K,Own,6,1352,Yes,Student,25,36686,2721
105,66,State-gov,11th,S,Handlers-cleaners,Unmarried,White,Male,0,0,44,Mexico,>50K,Rent,4,1261,No,Unemployed,84,25203,0
106,65,Federal-gov,Assoc-acdm,Separated,Craft-repair,Unmarried,White,Male,0,0,52,United-States,<=50K,Own,6,3897,No,Student,43,32725,0
107,69,Private,Preschool,Married-civ-spouse,,Own-child,Other,Male,0,0,54,United-States,>50K,Rent,7,470,yes,Self-employed,34,56071,0
108,84,Private,5th-6th,M,Sales,Husband,White,Male,0,0,30,United-States,8246,Mortgage,6,695,N,Student,79,24075,1605
109,26,Private,GED,Widowed,Farming-fishing,Not-in-family,White,Female,0,0,21,United-States,213272,Mortgage,5,2559,No,Employed,4,53208,0
110,47,Private,11th,M,Machine-op-inspct,Wife,White,Male,0,0,60,United-States,<=50K,Mortgage,6,2066,Yes,Student,67,42361,3435
111,66,Private,Doctor,Married-civ-spouse,Prof-specialty,Own-child,Black,Female,0,0,47,United-States,17620,Own,7,0,Yes,Self-employed,30,36766,1371
112,85,Private,Prof-school,M,Exec-managerial,Husband,Black,Female,73584,0,26,United-States,19568,Rent,4,0,No,Unemployed,56,43328,3958
113,52,Self-emp-inc,Masters,Sep.,Handlers-cleaners,Wife,White,Male,0,0,46,United-States,<=50K,Own,5,0,Yes,Retired,25,27365,0
114,73,Private,HS-grad,M,Other-service,Other-relative,Asian-Pac-Islander,Male,0,0,52,United-States,<=50K,Own,5,5261,Yes,Employed,77,20220,0
115,58,Private,Some-college,Married-civ-spouse,,Other-relative,Asian-Pac-Islander,Male,0,0,12,Mexico,<=50K,Own,3,6415,No,Self-employed,89,38212,0
116,18,Private,Doctorate,Married-civ-spouse,Transport-moving,Wife,White,Female,0,0,60,United-States,<=50K,Own,2,0,Y,Student,114,25127,2575
117,37,Private,Doctorate,Never-married,Other-service,Husband,White,Female,0,0,18,United-States,>50K,Other,6,0,yes,Retired,93,52633,0
118,39,Private,5th-6th,S,Exec-managerial,Unmarried,White,Male,0,0,4,United-States,<=50K,Own,4,0,Y,Self-employed,64,17640,3717
119,26,Private,Some-college,Never-married,Machine-op-inspct,Not-in-family,White,Male,1181,0,14,United-States,5874,Mortgage,7,0,yes,Retired,101,09003,0
120,49,Private,Prof-school,Never-married,Prof-specialty,Unmarried,Black,Male,0,0,10,United-States,<=50K,Own,6,0,Y,Self-employed,52,17433,996
121,62,Private,Prof-school,Never-married,Priv-house-serv,Own-child,Black,Female,0,0,26,United-States,<=50K,Rent,7,307,yes,Employed,42,32724,2422
122,61,Self-emp-inc,7th-8th,Married-civ-spouse,Priv-house-serv,Husband,White,Male,0,0,39,United-States,<=50K,Rent,7,2195,Y,Retired,79,09497,3286
123,26,Private,Doctorate,Never-married,Armed-Forces,Other-relative,White,Male,0,0,8,United-States,71528,Mortgage,2,20805,N,Employed,42,47175,709
124,59,Federal-gov,9th,Never-married,Other-service,Wife,White,Male,0,0,28,United-States,>50K,Own,7,15708,Yes,Unemployed,45,20375,0
125,99,Federal-gov,Doctor,Divorced,Priv-house-serv,Unmarried,Asian-Pac-Islander,Female,0,0,58,United-States,<=50K,Rent,1,4507,No,Student,88,24338,3716
126,89,Self-emp-inc,11th,Never-married,Machine-op-inspct,Husband,White,Female,0,0,42,United-States,<=50K,Rent,2,9544,N,Unemployed,17,27758,0
127,21,Private,5th-6th,Separated,Craft-repair,Own-child,Black,Male,0,0,18,United-States,7112,Own,1,1825,Y,Employed,4,9211,0
128,53,Private,PhD,Divorced,Armed-Forces,Unmarried,White,Male,0,1930,24,United-States,<=50K,Mortgage,5,1184,No,Employed,79,21104,0
129,58,Private,Graduate,Never-married,Tech-support,Wife,White,Female,0,0,20,United-States,>50K,Mortgage,6,2829,Y,Retired,7,11335,2846
130,24,Self-emp-inc,Masters,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,78546,0,51,United-States,<=50K,Rent,5,259221,no,Unemployed,47,33684,0
131,22,Private,Doctorate,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,30,United-States,10493,Own,2,641,No,Unemployed,109,42741,766
132,40,Self-emp-not-inc,M.S.,Never-married,Armed-Forces,Husband,White,Female,0,0,33,United-States,>50K,Mortgage,3,899,No,Retired,94,41687,2809
133,35,Private,1st-4th,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,48,United-States,110085,Mortgage,3,3052,Yes,Self-employed,60,43586,0
134,31,Private,9th,Married-AF-spouse,Prof-specialty,Wife,White,Male,0,0,25,United-States,>50K,Own,6,0,N,Employed,47,04384,0
135,63,Private,1st-4th,Divorced,Transport-moving,Wife,White,Male,0,0,24,United-States,32007,Own,3,0,yes,Employed,109,46477,0
136,68,Private,Some-college,Married,Transport-moving,Unmarried,White,Male,0,0,56,United-States,18222,Rent,6,1954,No,Student,69,04505,2603
137,79,Private,9th,S,Protective-serv,Wife,White,Female,0,0,11,United-States,12972,Own,7,58001,No,Employed,75,16690,0
138,73,Self-emp-not-inc,Assoc-acdm,Never-married,Farming-fishing,Wife,White,Male,0,0,28,Mexico,89970,Mortgage,1,0,No,Self-employed,34,19005,1361
139,61,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,White,Female,0,0,6,United-States,<=50K,Rent,7,2356,N,Student,36,52790,0
140,80,Private,5th-6th,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,27,United-States,<=50K,Mortgage,2,363,Y,Self-employed,29,17468,2348
141,50,Private,HS-grad,Married-civ-spouse,Exec-managerial,Own-child,White,Female,0,0,57,United-States,82192,Rent,6,61460,yes,Student,87,16760,3587
142,38,Private,10th,Married-civ-spouse,Transport-moving,Unmarried,White,Female,0,0,10,United-States,16916,Rent,4,0,Y,Employed,12,33472,2936
143,72,Never-worked,11th,Married,Handlers-cleaners,Not-in-family,White,Male,0,0,90,United-States,52400,Mortgage,7,4570,No,Self-employed,111,07458,0
144,27,Private,10th,Never-married,Other-service,Wife,White,Male,0,1873,3,United-States,21620,Rent,2,0,yes,Unemployed,97,06535,0
145,29,Private,Prof-school,Married-civ-spouse,Machine-op-inspct,Husband,White,Female,0,0,41,Germany,7682,Rent,1,4643,yes,Student,15,34306,0
146,42,Private,Doctorate,Never-married,Machine-op-inspct,Unmarried,White,Male,0,0,39,United-States,<=50K,Rent,7,0,no,Self-employed,97,47337,0
147,61,Private,5th-6th,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,64,United-States,>50K,Rent,4,1819,N,Retired,95,53089,0
148,21,Private,PhD,Divorced,Machine-op-inspct,Own-child,White,Male,0,0,13,United-States,<=50K,Mortgage,4,0,Yes,Employed,41,15783,0
149,24,Self-emp-not-inc,7th-8th,Married-civ-spouse,Exec-managerial,Unmarried,White,Male,0,0,17,United-States,<=50K,Other,7,9065,yes,Self-employed,74,13426,0
150,62,Private,7th-8th,Never-married,Priv-house-serv,Unmarried,White,Male,0,0,10,Mexico,<=50K,Mortgage,7,0,N,Unemployed,76,12166,973
151,75,Private,Preschool,Married-civ-spouse,Protective-serv,Unmarried,White,Male,0,0,52,United-States,554148,Own,2,3298,yes,Employed,17,18185,1232
152,24,Private,Assoc-acdm,Married-civ-spouse,,Wife,White,Female,0,0,35,United-States,26917,Own,2,0,Yes,Employed,22,16538,3657
153,84,Never-worked,GED,Married-civ-spouse,Craft-repair,Unmarried,White,Female,0,0,19,United-States,109933,Mortgage,2,0,N,Retired,51,56040,2722
154,78,Private,Assoc-acdm,Never-married,Priv-house-serv,Other-relative,White,Male,0,0,21,United-States,12981,Rent,5,7066,yes,Unemployed,43,45329,3016
155,86,Private,1st-4th,Married-civ-spouse,Transport-moving,Unmarried,Black,Female,0,0,6,United-States,59240,Mortgage,2,4397,Yes,Student,8,47064,3991
156,75,Self-emp-not-inc,Prof-school,Never-married,Tech-support,Other-relative,White,Female,0,0,20,United-States,109321,Mortgage,6,4779,No,Retired,19,56234,0
157,57,State-gov,1st-4th,Never-married,Protective-serv,Other-relative,White,Female,0,0,23,United-States,153770,Mortgage,3,3334,No,Unemployed,103,05773,2794
158,50,Without-pay,Prof-school,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,20,United-States,8262,Mortgage,6,76,Yes,Retired,96,36256,0
159,73,Private,Some-college,Married-civ-spouse,Protective-serv,Not-in-family,White,Male,0,0,99,United-States,<=50K,Rent,7,11403,No,Unemployed,58,49077,1493
160,70,Private,Assoc-acdm,Married-civ-spouse,Prof-specialty,Own-child,White,Female,0,0,6,Cuba,47779,Mortgage,6,3668,no,Self-employed,72,15473,0
161,87,Self-emp-not-inc,Prof-school,D,Protective-serv,Own-child,White,Female,3736,0,59,United-States,>50K,Mortgage,5,40722,No,Retired,77,30837,0
162,33,Private,Ph.D.,Never-married,Protective-serv,Wife,Asian-Pac-Islander,Male,0,0,28,United-States,<=50K,Own,2,0,Y,Self-employed,77,16128,3066
163,80,Private,Prof-school,Div.,,Not-in-family,Other,Female,0,0,8,United-States,<=50K,Mortgage,2,17984,N,Employed,89,55241,3008
164,37,Private,10th,Married,Exec-managerial,Not-in-family,White,Male,0,0,2,Cuba,83785,Own,3,11424,no,Retired,1,24303,2554
165,24,Private,Assoc-voc,S,Armed-Forces,Other-relative,White,Female,0,0,22,United-States,12606,Other,2,0,N,Student,112,30700,937
166,27,Private,HS-grad,Married-civ-spouse,Other-service,Own-child,White,Female,0,0,40,United-States,10129,Own,6,0,yes,Retired,21,15620,449
167,31,Private,Masters,Married-civ-spouse,Handlers-cleaners,Wife,Black,Male,0,3740,9,South,>50K,Rent,4,0,no,Retired,46,42383,0
168,62,Private,11th,Divorced,,Other-relative,White,Male,0,0,59,United-States,42867,Own,1,0,Y,Self-employed,71,19095,0
169,43,Private,12th,Never-married,Sales,Husband,White,Male,0,0,38,United-States,>50K,Rent,6,1568,Y,Retired,58,38175,0
170,55,Private,Preschool,Never-married,Machine-op-inspct,Other-relative,White,Male,0,0,50,United-States,<=50K,Mortgage,6,9822,yes,Unemployed,55,14489,0
171,74,Private,BS,Married-civ-spouse,Armed-Forces,Own-child,White,Male,0,0,41,United-States,28190,Mortgage,6,1506,Y,Unemployed,6,07351,761
172,31,Private,Preschool,Married-civ-spouse,Farming-fishing,Other-relative,White,Male,0,0,8,Mexico,57990,Mortgage,1,38798,N,Student,86,47330,692
173,58,Private,7th-8th,Widowed,Sales,Unmarried,Black,Female,0,0,52,United-States,>50K,Own,4,1318,No,Unemployed,109,24162,2557
174,21,Private,Preschool,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,23,United-States,18717,Mortgage,4,1937,Y,Unemployed,36,06024,0
175,28,Private,BS,Single,,Unmarried,White,Male,0,0,5,United-States,>50K,Own,6,20349,No,Unemployed,17,03062,0
176,34,Private,Some-college,Divorced,Priv-house-serv,Unmarried,White,Female,0,0,10,United-States,41333,Mortgage,1,61166,No,Retired,119,02616,0
177,72,Private,10th,M,Prof-specialty,Husband,White,Male,0,0,23,United-States,18832,Rent,2,3344,No,Employed,31,51014,0
178,50,Self-emp-not-inc,10th,Never-married,Handlers-cleaners,Own-child,White,Female,0,0,37,United-States,13490,Rent,4,0,no,Unemployed,74,04726,0
179,89,Private,10th,Married-civ-spouse,Craft-repair,Unmarried,White,Male,0,0,59,El-Salvador,<=50K,Own,2,0,Yes,Self-employed,114,22199,0
180,33,Private,11th,M,Armed-Forces,Own-child,White,Male,0,0,27,United-States,<=50K,Own,3,684,Yes,Employed,21,15306,1342
181,37,Without-pay,HS-grad,Married-civ-spouse,Armed-Forces,Wife,White,Male,0,0,27,Mexico,93657,Own,7,486,yes,Self-employed,42,52702,3868
182,39,Self-emp-not-inc,MS,Div.,Craft-repair,Own-child,White,Male,0,0,10,United-States,29290,Rent,4,406,Y,Student,42,06688,0
183,38,Private,Bachelor,Divorced,Adm-clerical,Own-child,White,Male,35838,0,8,United-States,<=50K,Mortgage,6,0,yes,Employed,60,36796,1733
184,27,Self-emp-not-inc,4yr degree,Never-married,Other-service,Not-in-family,White,Male,0,0,22,India,31894,Mortgage,4,3172,no,Student,7,22742,0
