campaign_id,campaign_name,channel,objective,start_date,end_date,budget_usd,actual_spend_usd,impressions,clicks,conversions,ctr,revenue_generated,roi_pct,target_audience
CMP-5440,Campaign_440,Google Ads,traffic,10/21/2022,17-Dec-2022,$44963,$44963,2597058,160440,21779,6.18%,4154131.45,9138.98,all
CMP-5411,Campaign_411,ig,Engagement,06/07/2023,2023-07-15,$34084,$34084,515245,27916,2026,0.0542,324816.55,852.99,25-34
CMP-5218,Campaign_218,ig,Traffic,09-Jun-2022,28-Jul-2022,,,1308681,36969,3518,0.0282,461423.38,899.08,45-54
CMP-5522,Campaign_522,GOOGLE,Traffic,06/11/2023,03/21/2023,"46,833.81","46,833.81",301688,30607,5238,,1694522.53,3518.16,
CMP-5613,Campaign_613,GOOGLE,engagement,05-Apr-2023,20-Apr-2023,,,412312,14099,3187,,711772.04,32197.63,45-54
CMP-5275,Campaign_275,organic,CONVERSIONS,08-May-2022,2022-08-02,,,4642631,415357,100031,0.0895,30643921.58,-163.41392001287903,"18-24,25-34"
CMP-5756,Campaign_756,SEO,Traffic,03-Sep-2022,29-Sep-2022,"$31,299.14","$31,299.14",4268236,212919,20596,,3644956.53,11545.55,45-54
CMP-5604,Campaign_604,organic,Traffic,22-Mar-2021,01/05/2021,$17904,$17904,4181035,480485,37173,11.49%,9875263.52,55055.48,18-24
CMP-5703,Campaign_703,instagram,AWARENESS,07-Dec-2021,2022-01-18,"45,921.38","45,921.38",1682403,15180,487,0.009,111354.22,142.49,45-54
CMP-5745,Campaign_745,TIKTOK,Awareness,29-Apr-2021,03/14/2021,$12090,$12090,1508004,11070,675,,232536.48,1823.33,all
CMP-5363,Campaign_363,Email Marketing,Conversions,06/05/2023,07/15/2023,"44,681.98","44,681.98",3397788,344397,79192,,2394418.24,5258.8,25-34
CMP-5578,,,CONVERSIONS,18-Jun-2021,2021-09-14,,,4375624,46395,7067,1.06%,1182400.69,16638.57,"18-24,25-34"
CMP-5107,Campaign_107,GOOGLE,traffic,14-Apr-2023,06/14/2023,13313.21,13313.21,4244067,115123,15005,0.0271,2208899.66,16491.79,all
CMP-5468,Campaign_468,fb,Engagement,13-Aug-2021,22-Aug-2021,"$43,784.92","$43,784.92",1872687,208441,31785,11.13%,2820653.7,6342.07,45-54
CMP-5539,,Google Ads,Brand Awareness,2022-06-12,06/25/2022,"$47,689.76","$47,689.76",3354407,60790,5052,1.81%,357469.3,649.57,35-44
CMP-5192,Campaign_192,fb,CONVERSIONS,2022-02-19,2022-05-05,$34823,$34823,3455390,348935,28197,0.101,,4598.98,ALL
CMP-5467,Campaign_467,facebook,conversions,11/22/2021,2022-01-17,$27515,$27515,2184252,228318,38573,0.1045,12190968.61,44206.8,
CMP-5312,Campaign_312,IG,Traffic,31-Jan-2023,24-Feb-2023,"$16,671.26","$16,671.26",4379559,435789,67896,0.0995,16519024.21,-283.3927986396073,18-24
CMP-5444,Campaign_444,Google,conversions,11/21/2022,02/16/2023,$30689,$30689,2948926,107059,25221,,727994.57,2272.19,
CMP-5506,,Google Ads,Conversions,13-Oct-2021,11/27/2021,"$26,010.67","$26,010.67",2123251,204051,20305,,5668015.84,21691.12,18-24
CMP-5139,Campaign_139,organic,conversions,09/03/2021,09/10/2021,"$37,153.49","$37,153.49",963359,12078,169,0.0125,,-4.77,55+
CMP-5141,Campaign_141,Organic,ENGAGEMENT,19-Jun-2022,2022-07-19,"21,290.10","21,290.10",999723,76902,16830,,4083679.63,19081.12,ALL
CMP-5239,,Instagram,engagement,30-Dec-2021,02/02/2022,"$47,573.50","$47,573.50",3585445,231109,12822,6.45%,1473009.86,2996.28,All
CMP-5311,Campaign_311,organic,Awareness,02-Oct-2021,2021-11-11,7398.82,7398.82,2209797,240664,58211,0.1089,14908844.66,201403.01,35-44
CMP-5807,Campaign_807,Email,Traffic,03/08/2021,04/29/2021,"$27,696.91","$27,696.91",1246755,109204,7984,8.76%,2353934.81,8398.91,ALL
CMP-5044,Campaign_44,google,CONVERSIONS,31-Aug-2021,09-Sep-2021,"$39,426.26","$39,426.26",4229954,103979,14785,2.46%,3393892.38,8508.2,all
CMP-5250,Campaign_250,Organic,TRAFFIC,11/04/2022,01/03/2023,$23660,$23660,1196980,107021,2022,,,1126.53,35-44
CMP-5542,Campaign_542,organic,TRAFFIC,10/12/2022,02-Nov-2022,13779.44,13779.44,2718224,179407,5618,0.066,1167752.48,8374.6,All
CMP-5757,Campaign_757,Organic,Engagement,01/15/2022,04/08/2022,"26,443.94","26,443.94",2049826,236018,12021,,2013299.1,7513.46,45-54
CMP-5890,Campaign_890,Email Marketing,Engagement,2022-08-07,2022-09-19,"$15,146.36","$15,146.36",4750395,526798,11525,11.09%,3877103.06,25497.59,all
CMP-5826,Campaign_826,fb,engagement,16-Mar-2022,2022-05-23,$18941,$18941,0,0,0,,0.0,-100.0,55+
CMP-5247,Campaign_247,Facebook,,2022-01-19,2022-02-20,"$14,727.48","$14,727.48",4301164,201017,25905,4.67%,2933565.33,19818.99,
CMP-5292,Campaign_292,Google Ads,Engagement,08/30/2022,06-Nov-2022,"$24,140.70","$24,140.70",3422146,137176,15781,4.01%,5347558.09,22051.63,ALL
CMP-5802,Campaign_802,google,conversions,2022-06-21,07/10/2022,9096.41,9096.41,32838,2455,295,7.48%,19435.11,113.66,All
CMP-5589,Campaign_589,linkedin,,2021-01-03,2021-02-06,"$32,044.51","$32,044.51",4061483,107742,26024,,3382814.99,10456.61,All
CMP-5814,Campaign_814,Facebook,Traffic,2023-04-07,21-Jun-2023,"$33,150.12","$33,150.12",3092889,110285,16253,,3073784.27,9172.32,55+
CMP-5323,Campaign_323,TIKTOK,engagement,02/04/2022,29-Apr-2022,"7,764.03","7,764.03",1598925,77437,1208,4.84%,212525.49,2637.31,All
CMP-5375,,TikTok,Brand Awareness,30-Dec-2022,11/14/2022,$36112,$36112,969783,-112265,5602,11.58%,1304112.15,3511.32,45-54
CMP-5858,Campaign_858,EMAIL,engagement,2023-05-14,2023-08-09,"49,540.71","49,540.71",1910502,31312,5901,1.64%,1985663.72,-274.21988584416385,55+
CMP-5841,Campaign_841,SEO,awareness,19-Dec-2021,26-Dec-2021,"$35,553.80","$35,553.80",2802391,177965,25761,,7442342.95,20832.62,All
CMP-5259,Campaign_259,Organic,engagement,01/27/2022,2022-03-13,$23457,$23457,2711321,214388,27967,0.0791,8811131.82,37462.94,45-54
CMP-5060,,FB,conversions,03-Jul-2021,09/21/2021,33780.2,33780.2,1651557,142507,20867,,1851966.17,5382.4,all
CMP-5209,Campaign_209,seo,engagement,15-Aug-2021,09-Sep-2021,"37,838.36","37,838.36",1660612,87987,19331,5.3%,3464026.24,9054.8,"18-24,25-34"
CMP-5750,,Google,ENGAGEMENT,2021-10-27,2022-01-21,,,376261,26631,5111,0.0708,411450.25,1615.21,55+
CMP-5417,Campaign_417,linkedin,engagement,2022-10-28,03-Dec-2022,$32641,$32641,301927,27469,5352,9.1%,532750.91,1532.16,ALL
CMP-5086,Campaign_86,organic,,07-Sep-2021,09-Oct-2021,"$3,739.90","$3,739.90",2700857,-206772,9597,7.66%,1178906.1,31422.4,all
CMP-5066,Campaign_66,FB,Brand Awareness,12-Jul-2021,09-Aug-2021,$18794,$18794,1496363,175931,19789,0.1176,5110072.08,27090.22,"18-24,25-34"
CMP-5331,Campaign_331,LI,,01/14/2023,03/10/2023,$8099,$8099,4567211,110729,8549,2.42%,,7577.94,All
CMP-5110,Campaign_110,LI,TRAFFIC,10/08/2021,12/17/2021,47006.12,47006.12,4570404,373350,42703,8.17%,11564067.29,24501.2,
CMP-5174,Campaign_174,SEO,TRAFFIC,2022-11-17,04-Dec-2022,43437.57,43437.57,3327543,156695,28156,0.0471,2798773.39,6343.21,35-44
CMP-5893,Campaign_893,Google Ads,Engagement,11/25/2022,31-Jan-2023,"33,405.44","33,405.44",627408,7738,882,,272574.92,715.96,55+
CMP-5227,Campaign_227,facebook,CONVERSIONS,2022-12-04,2023-02-21,"$42,614.36","$42,614.36",4404260,122175,22445,,1895255.24,4347.46,ALL
CMP-5852,Campaign_852,linkedin,Traffic,26-Feb-2022,2022-01-22,"$10,881.74","$10,881.74",1524112,42543,2588,,601324.2,5425.99,25-34
CMP-5747,Campaign_747,email,Awareness,02/24/2023,28-Apr-2023,"$29,159.22","$29,159.22",2797335,319613,39243,11.43%,5097821.28,17382.71,45-54
CMP-5381,Campaign_381,SEO,AWARENESS,27-Dec-2022,2023-01-12,"$21,635.62","$21,635.62",2533536,278973,49317,,13093232.78,60417.02,25-34
CMP-5265,Campaign_265,GOOGLE,ENGAGEMENT,2023-05-10,31-May-2023,30405.0,30405.0,4620813,335926,12618,7.27%,2663288.39,8659.38,all
CMP-5575,Campaign_575,google,traffic,17-Feb-2022,07-Mar-2022,$15535,$15535,2314547,229957,32962,9.94%,4731351.63,30355.78,35-44
CMP-5136,Campaign_136,linkedin,traffic,2021-03-03,2021-04-29,"$21,912.80","$21,912.80",4381537,178112,23224,0.0407,945113.9,4213.07,All
CMP-5394,Campaign_394,Instagram,Brand Awareness,01/12/2023,2023-02-09,$12763,$12763,2056686,79508,2043,3.87%,396833.91,3009.26,ALL
CMP-5076,,SEO,CONVERSIONS,06/01/2022,04-Jul-2022,"$40,515.86","$40,515.86",4465196,402959,41348,9.02%,7796324.38,19142.65,All
CMP-5137,Campaign_137,linkedin,conversions,2023-01-17,2023-03-16,"$8,384.67","$8,384.67",2975032,109037,23944,0.0367,7872463.77,93791.16,
CMP-5165,Campaign_165,Facebook,ENGAGEMENT,2021-08-04,21-Sep-2021,"9,926.27","9,926.27",2930987,227990,20387,7.78%,3254469.98,32686.43,25-34
CMP-5570,,Instagram,Conversions,10/02/2022,01-Dec-2022,"$4,936.68","$4,936.68",2638559,284597,11293,,665758.57,13385.96,35-44
CMP-5453,,TikTok,engagement,2023-03-03,28-Apr-2023,$37641,$37641,2186640,99761,13855,,2508210.05,6563.42,
CMP-5333,Campaign_333,IG,conversions,02-Apr-2022,04/30/2022,"16,473.53","16,473.53",3849932,-163539,4478,,1306089.36,7828.41,25-34
CMP-5497,Campaign_497,organic,Engagement,03/15/2022,07-May-2022,"$41,262.42","$41,262.42",2050672,182657,31540,0.0891,6528204.25,15721.19,All
CMP-5457,Campaign_457,ig,engagement,27-Dec-2022,11-Jan-2023,,,3952063,383360,95487,,19824729.98,48151.74,All
CMP-5266,Campaign_266,Google Ads,Conversions,29-Apr-2023,29-Jun-2023,"13,060.77","13,060.77",1128030,107103,16669,9.49%,5459672.46,41702.07,All
CMP-5060,,FB,conversions,03-Jul-2021,09/21/2021,33780.2,33780.2,1651557,142507,20867,,1851966.17,5382.4,all
CMP-5631,,EMAIL,ENGAGEMENT,15-May-2021,07/15/2021,,,4743666,153988,2571,3.25%,,1287.16,
CMP-5351,Campaign_351,Google,Brand Awareness,10/03/2022,10/28/2022,"$26,767.96","$26,767.96",4942553,569313,31774,,4437225.21,16476.63,45-54
CMP-5660,,TIKTOK,awareness,05/20/2022,27-May-2022,"$42,074.27","$42,074.27",1971092,215192,9073,0.1092,2427427.02,5669.39,
CMP-5208,,Instagram,traffic,09/12/2022,11/12/2022,"$16,692.44","$16,692.44",3283731,231875,6341,7.06%,,8152.85,55+
CMP-5298,Campaign_298,ig,awareness,2023-03-29,05/16/2023,"30,617.32","30,617.32",1377830,28094,4149,0.0204,835829.43,2629.92,All
CMP-5198,Campaign_198,IG,,10/29/2021,2021-11-25,"$47,727.10","$47,727.10",992268,30907,5454,3.11%,441525.64,825.1,18-24
CMP-5827,Campaign_827,fb,Traffic,06-Aug-2021,2021-10-15,"$47,561.72","$47,561.72",3038243,268318,31445,8.83%,10073421.48,21079.68,18-24
CMP-5549,Campaign_549,LI,Brand Awareness,2022-05-21,2022-07-02,$16764,$16764,0,0,0,,0.0,-100.0,35-44
CMP-5559,Campaign_559,ig,traffic,2022-02-02,2022-02-24,"6,735.32","6,735.32",3640309,176335,29290,,5530503.98,82011.97,25-34
CMP-5620,Campaign_620,SEO,Brand Awareness,29-Aug-2022,28-Oct-2022,,,0,0,0,,0.0,-100.0,"18-24,25-34"
CMP-5673,Campaign_673,email,awareness,10-Dec-2022,09-Mar-2023,"$47,279.44","$47,279.44",0,0,0,,0.0,-100.0,all
CMP-5454,Campaign_454,seo,Engagement,2022-12-17,2023-02-10,$30851,$30851,3804669,19873,345,0.0052,32178.63,4.3,55+
CMP-5096,Campaign_96,Instagram,Conversions,02/22/2023,13-Apr-2023,$29977,$29977,2482934,76150,7856,0.0307,2138000.24,7032.05,
CMP-5596,Campaign_596,organic,AWARENESS,04/23/2022,12-May-2022,"15,238.62","15,238.62",0,0,0,,0.0,-100.0,ALL
CMP-5120,Campaign_120,facebook,traffic,09-Jun-2021,2021-09-03,"28,876.22","28,876.22",1409575,50030,8855,,2694279.19,9230.44,25-34
CMP-5889,Campaign_889,organic,ENGAGEMENT,01/01/2023,22-Mar-2023,$40021,$40021,4458593,453789,112888,,35004721.12,87366.8,All
CMP-5370,Campaign_370,instagram,,15-Aug-2021,09/19/2021,,,4217474,265086,50879,6.29%,,193351.4,55+
CMP-5666,Campaign_666,LinkedIn,TRAFFIC,05/14/2022,08/07/2022,$8725,$8725,3864324,402275,66018,0.1041,17670989.27,202426.56,45-54
CMP-5495,Campaign_495,e-mail,engagement,2023-02-22,2023-04-26,24226.68,24226.68,2127148,166727,22536,,6240916.45,25660.51,All
CMP-5286,Campaign_286,Instagram,engagement,07/20/2021,2021-08-02,"13,442.88","13,442.88",0,0,0,,0.0,-100.0,"18-24,25-34"
CMP-5078,Campaign_78,Email Marketing,CONVERSIONS,2022-12-23,03/14/2023,"$27,669.94","$27,669.94",2408544,109236,4108,,343593.49,1141.76,"18-24,25-34"
CMP-5716,Campaign_716,linkedin,CONVERSIONS,04/17/2022,30-May-2022,$31429,$31429,0,0,0,,0.0,-100.0,All
CMP-5231,Campaign_231,fb,awareness,11-Sep-2021,12/01/2021,1899.92,1899.92,3770147,145651,12084,3.86%,1616673.36,84991.65,55+
CMP-5525,Campaign_525,EMAIL,Engagement,11/17/2021,2022-01-14,$12938,$12938,39438,3504,861,8.88%,216566.38,1573.87,ALL
CMP-5462,Campaign_462,SEO,Conversions,04/10/2023,06/23/2023,"31,801.26","31,801.26",110419,6727,1616,,70961.47,123.14,25-34
CMP-5588,Campaign_588,Google Ads,ENGAGEMENT,05/24/2021,2021-07-01,"$5,170.06","$5,170.06",3349114,235705,53265,,3031846.82,58542.39,18-24
CMP-5512,Campaign_512,LI,ENGAGEMENT,27-May-2022,06/19/2022,,,1781102,18803,2177,0.0106,103794.37,478.5,"18-24,25-34"
CMP-5213,,EMAIL,,08/04/2021,24-Sep-2021,,,582675,40900,4170,0.0702,1013477.21,2310.88,35-44
CMP-5065,Campaign_65,LI,traffic,2022-09-24,12/14/2022,"$36,062.58","$36,062.58",3045773,315402,59514,10.36%,,43608.46,35-44
CMP-5823,Campaign_823,IG,Conversions,2023-02-02,2023-03-27,22094.4,22094.4,2706530,181852,4242,,1440961.25,6421.84,35-44
CMP-5211,Campaign_211,google,Traffic,08/07/2021,15-Aug-2021,$46121,$46121,803863,7769,1239,0.97%,384916.74,734.58,18-24
CMP-5894,,Google,CONVERSIONS,2022-08-23,2022-09-10,"10,722.70","10,722.70",1023656,85756,970,,189967.65,1671.64,ALL
CMP-5327,,Google Ads,TRAFFIC,2022-02-04,11-Apr-2022,"$11,768.65","$11,768.65",3983088,125419,20562,3.15%,,35319.16,All
CMP-5629,Campaign_629,instagram,AWARENESS,2022-07-26,2022-09-18,"1,114.13","1,114.13",2178885,225498,29844,0.1035,1108593.29,99403.05,45-54
CMP-5244,Campaign_244,seo,ENGAGEMENT,03-Mar-2023,03/18/2023,$19072,$19072,1830020,75891,11874,0.0415,,14734.28,all
CMP-5516,,,,04/03/2023,24-Jun-2023,$2057,$2057,2332711,31258,2923,1.34%,,36623.89,18-24
CMP-5049,,EMAIL,Awareness,03/23/2021,2021-05-28,,,1241183,81573,10953,,1920152.66,5216.03,25-34
CMP-5665,,EMAIL,Engagement,2021-03-12,05/11/2021,"19,308.57","19,308.57",1347048,131449,16679,0.0976,3666477.57,18888.86,ALL
CMP-5518,Campaign_518,FB,Conversions,2022-04-21,15-Jun-2022,"$47,004.89","$47,004.89",2345624,89735,20455,3.83%,4208527.51,8853.38,
CMP-5213,,EMAIL,,08/04/2021,24-Sep-2021,,,582675,40900,4170,0.0702,1013477.21,2310.88,35-44
CMP-5338,Campaign_338,facebook,Brand Awareness,09/03/2022,2022-11-23,$37037,$37037,2708778,178560,16946,,3770687.45,10080.76,All
CMP-5427,Campaign_427,Meta,traffic,02-Sep-2021,2021-10-30,567.25,567.25,1898177,196329,24490,10.34%,2124397.27,374408.11,all
CMP-5751,,EMAIL,,09/15/2021,10/03/2021,"9,224.07","9,224.07",3820372,397899,66219,10.42%,16693611.38,180878.8,45-54
CMP-5581,Campaign_581,FB,engagement,09-Jan-2023,2023-04-08,"22,299.08","22,299.08",741894,20628,4274,,149109.22,568.68,18-24
CMP-5033,Campaign_33,Email Marketing,traffic,10/22/2021,11/01/2021,1945.04,1945.04,3505738,270664,42698,,8926264.99,-224.6977086280122,all
CMP-5031,Campaign_31,SEO,,11/13/2022,22-Aug-2022,"30,748.39","30,748.39",2191030,154906,29384,7.07%,2393911.6,7685.49,"18-24,25-34"
CMP-5682,Campaign_682,TIKTOK,awareness,2021-03-21,03-May-2021,"$20,963.81","$20,963.81",4128509,374934,57409,9.08%,3119952.6,-302.70224302330655,all
CMP-5416,Campaign_416,GOOGLE,Conversions,12/05/2022,06-Jan-2023,"$18,955.50","$18,955.50",3624479,164033,27123,0.0453,832760.1,4293.24,
CMP-5535,Campaign_535,IG,Brand Awareness,06/12/2023,10-Aug-2023,"22,193.14","22,193.14",3672756,170875,23130,,1492575.88,-241.41437172222976,ALL
CMP-5412,Campaign_412,e-mail,awareness,2023-04-19,21-May-2023,"14,969.69","14,969.69",4544365,449807,45327,0.099,12847638.71,85724.35,18-24
CMP-5109,Campaign_109,Facebook,Engagement,05/26/2021,2021-07-24,$11295,$11295,3709392,107491,4993,,332760.28,2846.2,45-54
CMP-5077,Campaign_77,GOOGLE,Brand Awareness,10/20/2021,06-Nov-2021,"18,626.50","18,626.50",4649568,544697,117765,11.72%,19236669.7,103175.82,ALL
CMP-5433,,organic,CONVERSIONS,27-Apr-2021,07/07/2021,"$20,788.25","$20,788.25",4744939,314543,33548,6.63%,1760634.61,8369.37,
CMP-5635,Campaign_635,SEO,CONVERSIONS,28-Jan-2022,2022-02-28,"$31,670.67","$31,670.67",4068052,440334,13733,10.82%,1765432.18,5474.34,ALL
CMP-5082,Campaign_82,EMAIL,Traffic,08/30/2022,08-Nov-2022,$41912,$41912,1377423,91707,8738,6.66%,267451.14,538.12,45-54
CMP-5787,Campaign_787,Email Marketing,Brand Awareness,07/04/2021,2021-09-13,"$30,104.74","$30,104.74",2233355,40309,5285,0.018,1214435.42,3934.03,45-54
CMP-5768,Campaign_768,IG,AWARENESS,2021-05-14,2021-06-20,"$33,621.55","$33,621.55",3959769,43507,4416,1.1%,1214718.53,3512.92,
CMP-5439,Campaign_439,,AWARENESS,11/07/2022,2022-11-19,"16,916.94","16,916.94",1112348,131749,12964,11.84%,,6956.07,all
CMP-5736,Campaign_736,FB,Engagement,20-Nov-2021,10-Feb-2022,"$22,436.10","$22,436.10",4354804,342673,69631,7.87%,11971640.04,53258.83,25-34
CMP-5260,Campaign_260,Google Ads,,29-Jul-2022,25-Oct-2022,$49878,$49878,3488136,357819,29553,10.26%,2439530.64,4791.03,55+
CMP-5319,Campaign_319,Google,Engagement,12-Apr-2021,06/09/2021,"$18,125.26","$18,125.26",723583,66657,4752,9.21%,403734.5,2127.47,18-24
CMP-5390,Campaign_390,FB,,03/03/2022,12-Mar-2022,,,2464679,67928,8169,0.0276,1536116.24,3103.93,
CMP-5005,Campaign_5,e-mail,TRAFFIC,12-Mar-2023,28-May-2023,"$8,780.80","$8,780.80",3768840,326466,51239,,4928373.66,56026.7,All
CMP-5054,Campaign_54,Email Marketing,CONVERSIONS,19-Sep-2022,18-Nov-2022,$9518,$9518,4920344,494259,110227,,23971427.22,251762.61,35-44
CMP-5408,Campaign_408,Google,engagement,26-Jun-2022,2022-08-31,$25649,$25649,4977883,33296,5954,0.67%,775987.19,2925.46,35-44
CMP-5477,Campaign_477,organic,Brand Awareness,2021-07-05,2021-08-30,$7824,$7824,1878731,85925,4351,0.0457,465024.92,5843.31,55+
CMP-5332,Campaign_332,Instagram,Traffic,2023-02-26,04/27/2023,$26261,$26261,3368631,213090,24958,6.33%,3569213.21,13491.5,ALL
CMP-5377,,instagram,TRAFFIC,2022-11-22,12/02/2022,31524.71,31524.71,3177752,53435,5676,,1567908.0,4873.58,35-44
CMP-5097,Campaign_97,tiktok,ENGAGEMENT,04-Mar-2022,21-Mar-2022,$9833,$9833,21932,1352,140,6.16%,14019.38,42.57,45-54
CMP-5210,Campaign_210,Email Marketing,AWARENESS,24-Jul-2021,15-Jun-2021,"$27,389.01","$27,389.01",3609519,208515,42353,,,31787.51,35-44
CMP-5804,Campaign_804,TikTok,ENGAGEMENT,2022-12-07,12/27/2022,30425.56,30425.56,20439,1692,86,0.0828,25663.16,-15.65,all
