shipment_id,order_id,origin_city,origin_state,dest_city,dest_state,carrier,ship_date,delivery_date,delivery_days,weight_kg,length_cm,width_cm,height_cm,shipping_cost_usd,delivery_status,tracking_number,priority,insurance_value,damage_reported
SHP-50027,ORD-17462,Madison,NJ,Reading,PA,USPS,2024-01-10,2024-01-18,8,30.71,83.6,77.8,15.0,72.32,Delivered,1ZP48XBI5GKY5W8O87,Economy,2824.65,No
SHP-50028,ORD-53958,Fairview,NJ,Allentown,PA,Amazon Logistics,2025-03-29,2025-04-12,14,5.36,7.8,70.8,30.2,24.14,In Transit,1ZSPBWQ2J45UJNBTE6,Standard,2285.06,No
SHP-50029,ORD-16955,Rochester,NY,Houston,TX,USPS,2024-04-12,2024-04-22,10,78.38,146.0,95.3,42.3,71.73,Delivered,1ZSR8OAAWN6BXV5V4I,Express,3948.2,Yes
SHP-50030,ORD-46337,Erie,PA,Raleigh,NC,OnTrac,2025-09-25,2025-09-30,5,70.49,178.7,75.3,7.9,139.25,Delivered,1Z5U861LSESG6P9E5B,Economy,2957.66,Yes
SHP-50031,ORD-42616,Tampa,FL,San Antonio,TX,Old Dominion,2024-09-24,2024-09-29,5,25.78,194.8,10.0,43.9,55.46,Delivered,1ZEGHHMXWP5CCHBWAD,Overnight,1891.66,No
SHP-50032,ORD-10658,MI City,MI,Toledo,OH,XPO Logistics,2023-10-11,2023-10-17,6,11.3,190.1,18.8,28.3,35.43,Delivered,1ZSNHXYK2K8V59MRJ0,Standard,3070.78,No
SHP-50033,ORD-32937,Springfield,IL,MI City,MI,OnTrac,2023-09-30,2023-10-06,6,36.16,5.9,30.0,56.3,46.79,Delivered,1ZJLGECR6JBGHW5BRR,Economy,1108.87,No
SHP-50034,ORD-53343,Houston,TX,Worcester,MA,USPS,2022-09-23,2022-09-25,2,0.74,81.4,90.5,51.7,5.89,Returned,1Z9PBY0K2TSBBJE2U4,Express,3947.37,No
SHP-50035,ORD-17701,Macon,GA,San Diego,CA,USPS,2023-06-17,2023-06-22,5,104.32,56.9,71.5,17.2,223.82,Delayed,1ZED27YNWHDBB9YNJN,Standard,729.06,No
SHP-50036,ORD-14328,Miami,FL,Cincinnati,OH,USPS,2025-05-11,2025-05-22,11,22.42,142.3,15.1,23.9,22.24,Delivered,1Z3YLU6O3UJ1OUU8R0,Express,1759.79,No
SHP-50037,ORD-25691,Springfield,MA,Seattle,WA,Amazon Logistics,2023-10-12,2023-10-17,5,136.59,41.3,18.7,42.8,384.66,Delivered,1ZSK5N7VS112VF2W5O,Economy,3578.57,No
SHP-50038,ORD-27435,San Francisco,CA,Worcester,MA,Old Dominion,2022-03-16,2022-03-27,11,49.13,119.3,51.7,75.5,66.55,Returned,1Z6XEHD4YAZ2FBEO5M,Standard,4744.96,No
SHP-50039,ORD-54468,Riverside,AZ,Syracuse,NY,XPO Logistics,2024-09-08,2024-09-11,3,12.71,22.0,90.0,24.2,16.3,In Transit,1ZLXVO6EYKZ47BVZN3,Economy,2014.07,No
SHP-50040,ORD-58867,NJ City,NJ,Bellevue,WA,FedEx,2024-07-13,2024-07-15,2,141.32,109.6,96.4,36.5,280.82,Returned,1ZGTEV5RZOYF5ZHJJN,Standard,2763.61,No
SHP-50041,ORD-49509,Cincinnati,OH,Pittsburgh,PA,UPS,2022-08-08,2022-08-15,7,95.96,183.6,8.9,32.0,62.26,In Transit,1ZWA4LDUGFRWEQQQFB,Express,1746.52,No
SHP-50042,ORD-26204,Orlando,FL,Springfield,AZ,Old Dominion,2022-08-13,2022-08-22,9,16.39,16.2,67.3,57.6,50.81,Delivered,1ZHNNRXQKGBYH5OAR5,Economy,1634.86,Yes
SHP-50043,ORD-33197,Philadelphia,PA,Columbus,OH,UPS,2025-05-05,2025-05-18,13,26.47,174.4,81.5,7.1,26.47,In Transit,1ZL7BAXK2AGA8ZD4NV,Economy,3821.76,No
SHP-50044,ORD-25794,Fairview,AZ,Sacramento,CA,Amazon Logistics,2025-02-09,2025-02-19,10,46.91,138.6,73.7,49.1,128.15,Delayed,1ZG9B0NVWL99HMOAEH,Overnight,1270.79,No
SHP-50045,ORD-38323,Peoria,IL,Riverside,MI,USPS,2022-11-14,2022-11-28,14,102.96,29.5,90.8,45.7,277.95,In Transit,1ZEOZVK2FCVKOLW943,Standard,4041.09,No
SHP-50046,ORD-25973,AZ City,AZ,Cambridge,MA,Old Dominion,2025-07-11,2025-07-16,5,138.62,198.0,97.1,52.6,83.93,Delivered,1ZM7SITM1BDSFMMAIE,Overnight,4882.14,Yes
SHP-50047,ORD-29618,Columbus,OH,Cleveland,OH,FedEx,2024-05-31,2024-06-12,12,29.57,161.0,21.6,16.6,56.33,Delivered,1ZW7AN4BSDIHG3JOT2,Overnight,3592.28,No
SHP-50048,ORD-47341,Augusta,GA,Erie,PA,Amazon Logistics,2023-09-09,2023-09-11,2,94.48,179.8,53.4,16.2,81.69,Delivered,1ZN7KQ7BCS1A45L3BW,Overnight,4105.32,No
SHP-50049,ORD-32546,Wilmington,NC,Fairview,NJ,DHL,2024-05-04,2024-05-10,6,112.17,135.1,44.4,17.2,265.42,Delivered,1ZR0OEZ58WM5Y93GJ2,Express,1402.14,No
SHP-50050,ORD-29496,Madison,NJ,Fort Worth,TX,Old Dominion,2024-02-05,2024-02-14,9,76.65,162.8,56.0,68.0,85.25,Delivered,1ZDS4ZM8Q68AKR36F5,Standard,878.91,Yes
SHP-50051,ORD-41079,Tampa,FL,VA City,VA,USPS,2025-11-25,2025-12-06,11,79.52,66.8,44.7,47.0,60.34,Delivered,1ZBSHM3FOVQBWW9AIU,Overnight,2564.91,No
SHP-50052,ORD-33984,Rochester,NY,Pittsburgh,PA,FedEx,2023-09-28,2023-10-03,5,106.78,36.6,12.5,65.4,162.9,Returned,1ZZCM4IHZQ8S1KAM28,Economy,4084.14,No
SHP-50053,ORD-31639,Austin,TX,Raleigh,NC,FedEx,2022-08-01,2022-08-12,11,54.88,21.3,27.4,29.3,95.78,Delivered,1Z5BROUQY7TML0O3E3,Overnight,4859.94,No
SHP-50054,ORD-42694,Riverside,VA,Reading,PA,Amazon Logistics,2024-12-07,2024-12-12,5,97.66,32.5,57.9,47.6,292.12,Delayed,1Z1L4PLISHV1AW5YQP,Overnight,3642.33,No
SHP-50055,ORD-35900,Los Angeles,CA,Cleveland,OH,Old Dominion,2025-10-21,2025-10-23,2,12.86,28.5,28.4,36.4,30.04,Out for Delivery,1ZKMHALG77BAA1VDQ0,Overnight,1474.61,No
SHP-50056,ORD-50494,Columbus,OH,Fairview,AZ,DHL,2023-12-15,2023-12-18,3,130.65,152.7,40.1,24.4,152.05,Delivered,1ZST3NL12L2DIUFGW4,Standard,2715.37,No
SHP-50057,ORD-23080,Macon,GA,Houston,TX,DHL,2022-05-29,2022-06-03,5,3.59,69.7,65.1,67.7,13.32,In Transit,1ZEXM7KPQGBPP86I9V,Express,1528.81,Yes
SHP-50058,ORD-52581,Springfield,MI,San Jose,CA,USPS,2025-04-13,2025-04-26,13,146.14,31.3,46.7,64.5,360.1,Returned,1Z3T3H4RIQGIO9OZWC,Standard,568.28,No
SHP-50059,ORD-24497,Fairview,VA,San Francisco,CA,DHL,2022-06-09,2022-06-23,14,113.49,80.9,57.7,37.6,154.16,In Transit,1ZMMQV4813XG7266KX,Economy,555.79,No
SHP-50060,ORD-11372,Spokane,WA,Macon,GA,DHL,2022-07-07,2022-07-20,13,21.13,53.4,7.8,20.0,23.8,Delivered,1ZUF2J6T7I0RVFXTAQ,Overnight,4097.4,No
SHP-50061,ORD-32300,Fairview,AZ,Springfield,NJ,USPS,2025-09-28,2025-10-06,8,35.86,87.2,11.5,59.3,91.12,In Transit,1Z05O8HY30TTJ35BB9,Express,1599.99,No
SHP-50062,ORD-43323,Reading,PA,Cleveland,OH,USPS,2025-04-14,2025-04-18,4,55.63,60.6,82.0,65.2,166.97,Delivered,1Z55TALLK3F0TDYJGO,Economy,4401.98,No
SHP-50063,ORD-11603,Vancouver,WA,Madison,VA,UPS,2023-05-11,2023-05-15,4,17.61,92.1,23.3,45.3,53.91,In Transit,1ZUX9106SYIB1QETQ7,Overnight,3858.69,Yes
SHP-50064,ORD-49020,Los Angeles,CA,Akron,OH,DHL,2025-04-05,2025-04-06,1,131.45,142.6,41.4,30.2,360.9,Delivered,1Z06GXXQH3O0QGJ1EF,Standard,2734.5,No
SHP-50065,ORD-48377,Toledo,OH,Cambridge,MA,OnTrac,2023-09-26,2023-10-07,11,3.01,17.9,90.2,5.3,19.64,Delayed,1ZB6A5719GU5459YPE,Overnight,4809.55,No
SHP-50066,ORD-18856,Madison,VA,Athens,GA,Old Dominion,2022-12-13,2022-12-20,7,109.26,150.9,31.8,30.8,137.85,Delivered,1ZAVHV3US63NLLIXO8,Standard,2606.49,No
SHP-50067,ORD-52146,Allentown,PA,Riverside,NJ,USPS,2024-04-06,2024-04-18,12,139.71,147.9,6.1,20.3,115.64,Delayed,1ZA27K6YWO2C235W2T,Economy,92.24,No
SHP-50068,ORD-36946,Madison,VA,Toledo,OH,Amazon Logistics,2024-01-30,2024-02-12,13,27.16,195.0,81.2,61.2,51.65,Delivered,1Z2JPJRO9E8KF7BUJC,Standard,3083.87,No
SHP-50069,ORD-27500,Athens,GA,Springfield,MA,XPO Logistics,2025-05-14,2025-05-24,10,37.25,96.6,92.7,42.7,82.76,Delayed,1Z7GTEP1MO31PCTN97,Economy,831.16,No
SHP-50070,ORD-38458,San Jose,CA,Riverside,AZ,USPS,2023-01-06,2023-01-08,2,40.65,110.9,49.3,49.0,85.43,Returned,1Z9HHYYX71NMP95YO4,Overnight,4851.02,No
SHP-50071,ORD-26731,Fairview,VA,Erie,PA,FedEx,2025-09-30,2025-10-14,14,137.84,115.1,68.4,72.5,255.79,Delivered,1Z1OBRI4HKEOWHJY96,Express,3028.8,No
SHP-50072,ORD-41748,Boston,MA,Fort Worth,TX,OnTrac,2024-07-27,2024-08-03,7,41.39,7.8,50.6,79.8,70.52,Delivered,1ZTNGZMPDKFSB1JBDU,Standard,135.32,Yes
SHP-50073,ORD-58629,Dallas,TX,VA City,VA,Amazon Logistics,2022-03-09,2022-03-23,14,69.51,193.7,59.2,43.0,192.22,Delivered,1Z7IOBBPRI83RML494,Standard,2921.54,No
SHP-50074,ORD-50998,Fort Lauderdale,FL,Pittsburgh,PA,XPO Logistics,2022-11-07,2022-11-13,6,23.01,16.6,81.3,15.0,66.6,In Transit,1ZRH8OZYDHECTXM8KN,Economy,3529.54,No
SHP-50075,ORD-55759,Orlando,FL,Springfield,IL,XPO Logistics,2025-04-09,2025-04-18,9,130.0,96.3,45.5,59.9,396.17,Out for Delivery,1ZHZZ4WI15VDDAVF4K,Economy,4539.3,Yes
SHP-50076,ORD-53331,Raleigh,NC,Vancouver,WA,XPO Logistics,2022-06-23,2022-07-03,10,114.5,63.0,75.2,67.6,247.63,Delivered,1ZGB8IACBN2LM1TYB0,Express,1017.79,No
SHP-50077,ORD-20801,Springfield,MA,Rochester,NY,UPS,2024-10-30,2024-11-10,11,141.07,40.2,34.8,55.9,170.71,Delivered,1ZF65AL2YSSAPZSUJL,Standard,4519.8,Yes
SHP-50078,ORD-20494,Fairview,VA,Los Angeles,CA,Amazon Logistics,2024-04-29,2024-05-03,4,99.39,58.2,30.3,45.1,267.67,In Transit,1ZEI9I9LJBSFEXOETJ,Economy,2619.02,No
SHP-50079,ORD-36267,Fort Lauderdale,FL,Atlanta,GA,OnTrac,2025-10-31,2025-11-10,10,73.99,137.2,62.7,38.6,128.55,Delivered,1ZMCG0VIVVBW8138LA,Standard,1563.58,No
SHP-50080,ORD-48337,Naperville,IL,New York,NY,OnTrac,2023-09-02,2023-09-14,12,85.31,112.0,15.7,56.8,250.1,Delivered,1ZOBMYJA6PPYLF3R8C,Express,4163.53,No
SHP-50081,ORD-35075,Syracuse,NY,Cleveland,OH,Old Dominion,2025-03-16,2025-03-22,6,54.83,162.4,18.2,27.7,105.92,Out for Delivery,1ZEEI3U1XS5OJEORLD,Standard,2433.65,No
SHP-50082,ORD-28668,Dallas,TX,Lowell,MA,Old Dominion,2023-03-08,2023-03-12,4,132.5,9.0,83.4,36.1,89.38,In Transit,1ZK3T0POSJ0ODH1X4T,Economy,2696.69,Yes
SHP-50083,ORD-24204,Savannah,GA,Springfield,MA,DHL,2022-07-04,2022-07-16,12,44.5,148.9,33.9,62.6,62.86,Delivered,1Z7UCI9HEULRAIA6NT,Standard,1126.43,Yes
SHP-50084,ORD-19675,Madison,NJ,Fort Lauderdale,FL,UPS,2023-06-14,2023-06-18,4,149.37,182.5,71.8,11.6,448.06,Delivered,1Z3EWARAF0Q3QN6WCS,Express,229.64,Yes
SHP-50085,ORD-29482,Cleveland,OH,Naperville,IL,XPO Logistics,2023-11-21,2023-11-29,8,116.92,123.0,42.3,52.6,162.99,Delivered,1ZWTJS9MB9SKF09PHS,Economy,1795.49,Yes
SHP-50086,ORD-19444,Durham,NC,Naperville,IL,XPO Logistics,2022-08-20,2022-08-26,6,57.11,32.4,25.4,46.4,127.02,Delayed,1Z1B24VL7WH0AZ0O43,Overnight,432.11,No
SHP-50087,ORD-37566,Fairview,NJ,Rochester,NY,FedEx,2025-04-10,2025-04-13,3,55.84,123.0,88.1,21.3,56.86,Out for Delivery,1Z07RN9IPN66AK3FWT,Economy,739.75,No
SHP-50088,ORD-54939,Boston,MA,Athens,GA,DHL,2022-09-20,2022-09-30,10,31.06,183.7,64.1,21.4,69.93,Out for Delivery,1ZIVRGA7G13ALBHBXX,Standard,361.39,No
SHP-50089,ORD-14171,Fort Worth,TX,Raleigh,NC,DHL,2025-07-28,2025-08-01,4,17.82,60.9,36.9,38.1,57.1,Returned,1Z3I2J4G45XOQ8FWBY,Overnight,3391.83,Yes
SHP-50090,ORD-38928,Miami,FL,Springfield,AZ,FedEx,2022-09-10,2022-09-23,13,126.38,161.5,64.0,6.1,158.79,Delayed,1ZHJWCJ7H0W9XMPLZG,Economy,4081.0,Yes
SHP-50091,ORD-58089,VA City,VA,NJ City,NJ,XPO Logistics,2024-10-09,2024-10-17,8,10.79,128.7,64.6,43.4,11.57,Delivered,1ZUFY5RYY02VLLKFCZ,Overnight,4346.51,No
SHP-50092,ORD-17955,Athens,GA,Riverside,VA,Old Dominion,2025-04-23,2025-04-30,7,113.86,38.9,83.1,68.5,176.06,Delivered,1ZKLDX6DCKY0HJLZE3,Overnight,4960.96,No
SHP-50093,ORD-36894,Fairview,AZ,Madison,AZ,USPS,2024-06-28,2024-07-12,14,44.25,142.2,8.3,41.5,128.13,Delayed,1ZZ5MMHJMZZPIYJU2V,Standard,1467.99,No
SHP-50094,ORD-16102,Sacramento,CA,Vancouver,WA,UPS,2024-08-11,2024-08-13,2,28.53,109.7,34.5,31.3,48.93,Delivered,1ZT31SV9D0CTNZCILR,Standard,2160.04,No
SHP-50095,ORD-43815,Cambridge,MA,Toledo,OH,DHL,2022-03-30,2022-03-31,1,125.33,148.7,84.8,42.8,161.46,Delivered,1Z7HACQB0FFZEA56L3,Overnight,2637.15,Yes
SHP-50096,ORD-18918,Cleveland,OH,Rochester,NY,DHL,2025-10-12,2025-10-23,11,43.89,21.7,84.5,27.8,60.58,Out for Delivery,1ZE876Q52H0U8KZRUJ,Economy,3559.72,No
SHP-50097,ORD-16072,Buffalo,NY,Vancouver,WA,USPS,2022-04-12,2022-04-21,9,122.42,192.7,77.7,70.5,126.51,Delivered,1ZGYQTAASMIATQMJ06,Express,4563.05,No
SHP-50098,ORD-49856,Durham,NC,Madison,AZ,UPS,2022-01-23,2022-01-25,2,67.24,22.6,18.4,79.5,149.95,Delivered,1ZK0X58R7UPR6OOCFO,Express,3063.44,No
SHP-50099,ORD-29120,Fairview,MI,Lowell,MA,DHL,2025-07-02,2025-07-06,4,127.01,170.3,63.1,36.8,351.96,Delayed,1ZWW6EF8P1GCKRDL8O,Overnight,4706.12,No
SHP-50100,ORD-11927,Akron,OH,Rochester,NY,Old Dominion,2025-10-19,2025-10-28,9,28.29,54.5,7.7,19.6,47.41,Delivered,1Z8PYL3ASK2AQ18I97,Express,2737.65,Yes
SHP-50101,ORD-54071,Chicago,IL,Peoria,IL,OnTrac,2024-01-24,2024-02-05,12,48.94,96.4,25.2,35.6,65.61,Out for Delivery,1ZSFX8XL45EX5GRATL,Overnight,137.27,No
SHP-50102,ORD-39827,Worcester,MA,Tampa,FL,USPS,2025-03-31,2025-04-11,11,35.13,94.7,20.4,51.6,40.26,Delayed,1ZJNPXKHA4BUUOREL0,Economy,2402.26,No
SHP-50103,ORD-22256,Sacramento,CA,AZ City,AZ,OnTrac,2025-10-24,2025-10-25,1,0.86,27.0,34.6,7.3,13.64,Out for Delivery,1ZE0B82VBITLF4U6J8,Economy,1869.24,No
SHP-50104,ORD-41402,Madison,VA,Riverside,AZ,Old Dominion,2024-05-02,2024-05-14,12,138.83,165.5,53.9,49.1,338.48,In Transit,1ZN6DRDTL7FE9AETKX,Standard,1458.73,No
SHP-50105,ORD-29952,Madison,VA,New York,NY,Amazon Logistics,2024-07-02,2024-07-05,3,144.58,147.1,68.3,15.1,246.82,Delivered,1ZMCU5DGTLFL0DWGRK,Express,2910.33,Yes
SHP-50106,ORD-59533,Buffalo,NY,Riverside,AZ,Amazon Logistics,2023-06-08,2023-06-22,14,111.4,187.3,34.3,60.8,223.9,Out for Delivery,1ZSOXADO5JEO1ID9J3,Standard,218.91,No
SHP-50107,ORD-14882,Rochester,NY,Riverside,NJ,FedEx,2025-09-22,2025-10-04,12,6.04,88.6,24.3,45.4,22.5,Delivered,1ZZNBA9LX7810DSKFZ,Express,2726.48,No
SHP-50108,ORD-35906,Fort Lauderdale,FL,NJ City,NJ,UPS,2023-05-20,2023-05-27,7,94.34,15.0,75.1,20.5,252.8,Delivered,1Z35ZDVZPFKZVV5554,Economy,4320.16,No
SHP-50109,ORD-58543,Tacoma,WA,Savannah,GA,USPS,2024-06-10,2024-06-18,8,57.95,65.3,65.9,36.3,106.35,Delivered,1ZSTQXI1IUB3952OCR,Express,3090.6,No
SHP-50110,ORD-34167,Tacoma,WA,Springfield,MI,Amazon Logistics,2024-10-10,2024-10-23,13,83.14,5.4,53.2,31.8,73.12,Delivered,1ZLH3CIOIWWA94OITZ,Standard,2583.97,No
SHP-50111,ORD-17364,Dallas,TX,San Jose,CA,DHL,2023-12-21,2023-12-26,5,141.67,44.9,39.5,39.6,413.27,Delivered,1ZM335IZB5O5Q7VRKK,Economy,2725.79,No
SHP-50112,ORD-33048,Springfield,MA,Austin,TX,OnTrac,2025-07-31,2025-08-02,2,40.14,117.3,90.1,40.0,108.37,Delayed,1ZDUB8NM9HR9G1BESS,Standard,3821.77,No
SHP-50113,ORD-47661,Macon,GA,New York,NY,XPO Logistics,2022-03-05,2022-03-12,7,67.53,151.1,14.3,78.7,96.43,Delivered,1ZE4PWE8Z8AJTSTWKD,Overnight,2027.55,No
SHP-50114,ORD-28091,AZ City,AZ,Athens,GA,OnTrac,2022-12-04,2022-12-06,2,145.29,196.4,60.6,14.4,220.99,Delayed,1ZJ8XW4H8NHI0D8YCP,Economy,3609.65,No
SHP-50115,ORD-28896,Springfield,VA,Cleveland,OH,OnTrac,2022-08-01,2022-08-04,3,42.8,140.0,36.2,44.3,131.26,Delivered,1Z6H2OD4LDFZF0EKMD,Standard,2959.16,No
SHP-50116,ORD-35180,Fairview,VA,Jacksonville,FL,USPS,2024-07-03,2024-07-06,3,75.91,62.1,57.0,22.4,205.5,In Transit,1ZC4TOZQIJV5M2SHIY,Overnight,1802.67,Yes
SHP-50117,ORD-16789,Reading,PA,Austin,TX,DHL,2025-05-20,2025-05-23,3,14.17,76.1,86.9,60.0,52.09,Delivered,1ZOVFD1SARTQHBE23M,Overnight,1351.08,No
SHP-50118,ORD-40858,Syracuse,NY,Toledo,OH,XPO Logistics,2024-02-13,2024-02-27,14,37.11,55.0,11.9,67.3,102.03,Delayed,1Z55E5KWF9GC1GTPV1,Standard,945.9,No
SHP-50119,ORD-46982,Fairview,AZ,Tacoma,WA,OnTrac,2024-08-03,2024-08-12,9,32.23,86.5,83.2,21.0,68.38,Delayed,1ZJMZO7N1CN4Y2DNBN,Express,4586.73,Yes
SHP-50120,ORD-56674,Fort Worth,TX,Madison,VA,OnTrac,2025-03-13,2025-03-26,13,67.49,95.5,52.4,24.8,86.06,Delivered,1Z6D63NIKRUR39N7KB,Overnight,3005.83,No
SHP-50121,ORD-48196,Springfield,NJ,Wilmington,NC,USPS,2024-09-04,2024-09-11,7,76.11,47.7,76.9,48.2,103.19,In Transit,1ZCIR0U6IZ8RSF8PE7,Economy,986.57,No
SHP-50122,ORD-32481,Athens,GA,Pittsburgh,PA,USPS,2022-02-06,2022-02-16,10,54.31,6.0,67.5,34.7,56.77,Delivered,1ZDGA6D6BJ8RCC1593,Overnight,1005.15,No
SHP-50123,ORD-50971,Madison,AZ,Springfield,VA,Old Dominion,2025-05-21,2025-05-23,2,48.46,111.4,10.3,18.0,98.27,Delivered,1ZIIHXIX5I6IZ51WUF,Overnight,4148.13,No
SHP-50124,ORD-56294,Sacramento,CA,Fairview,NJ,OnTrac,2024-07-08,2024-07-13,5,137.68,161.2,71.4,19.7,273.68,Delivered,1ZGZ9EDELJ66N5SPRK,Express,2435.42,No
SHP-50125,ORD-51825,VA City,VA,Philadelphia,PA,Amazon Logistics,2025-05-25,2025-06-01,7,5.24,31.5,31.6,34.6,15.02,Delivered,1ZBM28O545LME5NJT0,Express,2785.62,No
SHP-50126,ORD-59005,MI City,MI,Springfield,MI,UPS,2024-04-24,2024-04-28,4,102.31,128.0,58.8,41.0,295.91,Delivered,1ZN0ND24YOUS9Q2QPO,Express,450.3,No
