company_id,company_name,plan,mrr_usd,usage_events,account_age_days,region,industry,contract_months,signup_date,churn_date,churned,nps_score,support_tickets,last_login_date,seats
CO-6057,Forge Cloud,Professional,268.96,7493,1550,Latin America,Government,1,2021-10-03,,False,-86,43,2022-12-01,306
CO-6058,Nova Labs,Professional,193.26,28442,1453,Asia Pacific,Finance,3,2022-01-08,,False,99,10,2023-07-24,19
CO-6059,Spark Cloud,Professional,113.77,14365,801,Europe,Retail,12,2023-10-22,,False,-6,50,2024-02-21,247
CO-6060,Forge Analytics,Professional,115.76,35358,426,Latin America,Healthcare,6,2024-10-31,2026-10-10,True,67,7,2025-11-18,386
CO-6061,Nimbus AI,Starter,78.05,35468,1786,Latin America,Government,6,2021-02-09,,False,-53,16,2023-12-28,167
CO-6062,Nova Analytics,Professional,123.8,28356,1380,Asia Pacific,Technology,6,2022-03-22,,False,12,4,2023-11-11,333
CO-6063,Apex AI,Starter,88.78,10193,1658,Asia Pacific,Education,6,2021-06-17,,False,-42,32,2022-07-11,332
CO-6064,Forge Digital,Free,0.0,43867,1570,North America,Education,1,2021-09-13,,False,-13,50,2023-12-23,356
CO-6065,Zenith Analytics,Professional,401.6,9866,1114,Latin America,Manufacturing,24,2022-12-13,,False,54,21,2025-11-08,47
CO-6066,Nimbus Corp,Professional,166.17,44706,464,North America,Finance,3,2024-09-23,,False,-2,27,2025-03-07,53
CO-6067,Wave Inc,Professional,371.14,28568,1896,Latin America,Consulting,24,2020-10-22,,False,37,11,2025-05-14,408
CO-6068,Nova Systems,Professional,177.31,11081,282,Europe,Government,3,2025-03-24,,False,-77,30,2025-04-17,448
CO-6069,Zenith Systems,Enterprise,3801.2,16981,2014,Latin America,Finance,3,2020-06-26,2021-03-28,True,-41,21,2021-08-10,102
CO-6070,Zenith Analytics,Enterprise,3864.04,8467,955,Middle East,Non-profit,3,2023-05-21,2025-05-15,True,-27,36,2024-11-25,165
CO-6071,Apex Tech,Professional,317.46,40827,1364,Middle East,Healthcare,6,2022-04-07,,False,29,38,2023-08-07,25
CO-6072,Wave Corp,Starter,77.33,13409,1621,Middle East,Manufacturing,3,2021-07-24,,False,28,37,2025-09-19,195
CO-6073,Vertex AI,Starter,68.48,45958,319,North America,Retail,3,2025-02-15,,False,-31,14,2025-08-23,117
CO-6074,Apex Digital,Professional,255.78,31406,1502,Europe,Technology,3,2021-11-20,,False,-57,31,2024-02-12,118
CO-6075,Nova Labs,Starter,61.28,49057,1102,Middle East,Finance,12,2022-12-25,,False,-96,19,2023-06-08,333
CO-6076,Vertex Cloud,Professional,402.18,2994,749,Europe,Non-profit,24,2023-12-13,2024-08-26,True,53,38,2024-03-19,210
CO-6077,Zenith Labs,Starter,71.03,39169,1264,North America,Technology,12,2022-07-16,,False,-55,1,2025-01-10,126
CO-6078,Pulse Corp,Enterprise,1787.96,37636,472,Middle East,Government,12,2024-09-15,,False,17,15,2024-10-03,352
CO-6079,Vertex Systems,Enterprise,2328.61,42126,1639,Middle East,Government,24,2021-07-06,,False,57,37,2024-08-24,313
CO-6080,Pulse Labs,Starter,75.77,40465,1338,North America,Media,6,2022-05-03,2024-01-09,True,73,23,2025-11-11,335
CO-6081,Nimbus Corp,Professional,455.74,16687,1378,Middle East,Education,12,2022-03-24,,False,-29,48,2025-06-17,162
CO-6082,Zenith AI,Enterprise,2187.29,46565,1343,North America,Consulting,12,2022-04-28,,False,79,45,2022-08-22,480
CO-6083,Forge Digital,Professional,351.61,38308,1793,Europe,Manufacturing,1,2021-02-02,,False,78,44,2022-06-22,436
CO-6084,Wave Tech,Starter,60.96,1659,1422,Latin America,Retail,12,2022-02-08,,False,70,34,2025-02-14,210
CO-6085,Wave Solutions,Enterprise,3773.24,2316,1411,Asia Pacific,Government,24,2022-02-19,,False,11,18,2022-07-09,280
CO-6086,Spark Labs,Starter,47.19,49332,1559,Europe,Retail,12,2021-09-24,2023-12-01,True,11,26,2023-04-12,218
CO-6087,Wave Cloud,Professional,384.52,9118,992,Asia Pacific,Retail,24,2023-04-14,2024-08-12,True,23,26,2023-08-29,83
CO-6088,Nova Labs,Enterprise,1568.64,42531,1216,North America,Healthcare,6,2022-09-02,,False,-96,8,2023-02-14,125
CO-6089,Pulse Analytics,Professional,132.05,23984,1557,Europe,Retail,6,2021-09-26,,False,-92,18,2023-11-14,142
CO-6090,Spark Cloud,Free,0.0,32035,1943,Middle East,Media,24,2020-09-05,2022-05-02,True,-77,17,2022-07-05,229
CO-6091,Pulse AI,Professional,440.47,11955,1605,Middle East,Education,12,2021-08-09,,False,-83,31,2025-04-22,275
CO-6092,Spark Labs,Professional,407.46,13339,1552,Latin America,Non-profit,1,2021-10-01,,False,-72,16,2023-01-30,98
CO-6093,Forge Corp,Professional,231.94,19880,2072,Asia Pacific,Education,24,2020-04-29,,False,50,21,2024-01-21,76
CO-6094,Nova Labs,Professional,227.91,17404,1100,Middle East,Non-profit,3,2022-12-27,,False,75,38,2023-09-24,68
CO-6095,Spark Digital,Professional,151.5,30757,472,Asia Pacific,Media,12,2024-09-15,,False,-34,35,2025-12-24,371
CO-6096,Wave Analytics,Enterprise,2498.41,46710,532,Europe,Manufacturing,24,2024-07-17,,False,-21,7,2024-08-25,422
CO-6097,Wave Analytics,Starter,85.13,46498,1230,Asia Pacific,Consulting,12,2022-08-19,,False,-12,6,2025-11-25,98
CO-6098,Forge Corp,Starter,86.3,7326,2120,North America,Manufacturing,3,2020-03-12,,False,35,23,2024-02-14,393
CO-6099,Nimbus Corp,Starter,31.87,42759,1080,Latin America,Education,1,2023-01-16,,False,48,11,2025-09-11,135
CO-6100,Forge Systems,Starter,53.77,9475,1655,Europe,Finance,3,2021-06-20,2021-10-06,True,80,36,2024-04-17,32
CO-6101,Acme Corp,Professional,297.69,32188,2068,Asia Pacific,Media,1,2020-05-03,2021-09-06,True,59,13,2021-02-24,100
CO-6102,Nimbus AI,Professional,198.8,34285,1835,Latin America,Finance,24,2020-12-22,,False,88,41,2022-09-09,228
CO-6103,Wave Cloud,Professional,465.78,24459,1159,Asia Pacific,Education,3,2022-10-29,,False,-40,8,2024-08-30,373
CO-6104,Acme Systems,Professional,162.49,34888,958,Latin America,Education,24,2023-05-18,,False,-72,14,2023-11-22,338
CO-6105,Wave Labs,Enterprise,4663.68,18923,602,Asia Pacific,Retail,24,2024-05-08,,False,66,28,2024-07-20,134
CO-6106,Pulse Labs,Professional,477.88,38050,1536,Europe,Manufacturing,6,2021-10-17,,False,-87,11,2025-03-29,222
CO-6107,Pulse Solutions,Starter,39.02,17280,519,North America,Education,6,2024-07-30,,False,-37,48,2025-12-29,250
CO-6108,Zenith Digital,Enterprise,1515.34,45132,1111,Asia Pacific,Technology,3,2022-12-16,,False,-11,4,2023-11-04,122
CO-6109,Apex Digital,Starter,53.11,18242,767,Middle East,Non-profit,24,2023-11-25,,False,19,6,2024-12-13,318
CO-6110,Spark Solutions,Professional,345.62,48840,1659,North America,Education,6,2021-06-16,2021-10-21,True,-97,27,2021-08-18,43
CO-6111,Apex Solutions,Professional,422.13,32640,732,Europe,Consulting,1,2023-12-30,,False,55,26,2024-12-03,32
CO-6112,Spark Solutions,Professional,265.38,19118,1968,Middle East,Finance,3,2020-08-11,,False,-97,9,2022-03-30,496
CO-6113,Pulse Tech,Professional,246.02,37831,1645,Europe,Manufacturing,24,2021-06-30,,False,-8,9,2021-09-02,68
CO-6114,Wave Cloud,Professional,447.54,31665,1945,North America,Consulting,24,2020-09-03,,False,-55,5,2022-01-31,70
CO-6115,Wave AI,Professional,126.98,6073,809,Latin America,Retail,1,2023-10-14,,False,-90,14,2024-09-18,10
CO-6116,Pulse AI,Free,0.0,38734,1757,Latin America,Technology,3,2021-03-10,2022-11-06,True,-16,48,2025-12-12,54
CO-6117,Wave Analytics,Enterprise,2178.97,45191,1198,Latin America,Education,3,2022-09-20,,False,-83,46,2024-08-14,107
CO-6118,Zenith Systems,Professional,346.06,37986,1966,Middle East,Government,1,2020-08-13,,False,-8,2,2022-05-21,448
CO-6119,Wave Labs,Professional,409.47,40502,2123,Latin America,Consulting,1,2020-03-09,,False,22,33,2024-11-20,116
CO-6120,Apex Corp,Professional,257.82,47815,569,North America,Retail,12,2024-06-10,,False,61,29,2025-02-13,330
CO-6121,Acme Corp,Starter,33.29,16465,335,Latin America,Technology,12,2025-01-30,,False,67,0,2025-03-26,50
CO-6122,Nova Analytics,Starter,96.02,10274,1142,Europe,Technology,1,2022-11-15,,False,10,43,2025-05-23,318
CO-6123,Pulse Solutions,Professional,433.43,34837,1167,Middle East,Consulting,1,2022-10-21,,False,95,3,2025-08-12,337
CO-6124,Vertex Corp,Professional,447.21,23390,1369,Europe,Non-profit,1,2022-04-02,,False,17,20,2024-08-27,146
CO-6125,Spark Tech,Starter,31.01,38088,545,Latin America,Consulting,24,2024-07-04,2025-06-18,True,35,34,2024-12-27,176
CO-6126,Pulse Analytics,Professional,333.85,44657,754,Europe,Education,1,2023-12-08,,False,-42,35,2024-07-18,61
CO-6127,Nova Digital,Enterprise,1492.99,18165,929,Asia Pacific,Media,24,2023-06-16,2023-08-11,True,-76,10,2024-06-25,369
CO-6128,Wave Solutions,Professional,347.06,44357,1652,Middle East,Technology,6,2021-06-23,2023-01-30,True,-46,32,2024-11-18,348
CO-6129,Pulse Analytics,Professional,157.09,5364,985,North America,Non-profit,6,2023-04-21,,False,16,43,2023-11-21,253
CO-6130,Spark AI,Professional,336.04,5706,1532,Latin America,Consulting,24,2021-10-21,2023-09-30,True,100,16,2023-06-17,112
CO-6131,Apex Tech,Enterprise,3461.13,2519,980,Asia Pacific,Healthcare,24,2023-04-26,,False,-58,10,2023-08-07,144
CO-6132,Wave Systems,Professional,104.89,25646,794,Asia Pacific,Education,3,2023-10-29,,False,-39,50,2025-11-05,326
CO-6133,Apex Corp,Starter,58.28,6555,1264,North America,Media,12,2022-07-16,,False,-15,40,2023-06-27,346
CO-6134,Nimbus Cloud,Enterprise,661.98,40605,1928,Europe,Education,12,2020-09-20,2022-06-21,True,-87,29,2024-08-08,426
CO-6135,Spark Solutions,Professional,439.31,37167,1771,Europe,Manufacturing,12,2021-02-24,,False,-70,10,2023-09-02,276
CO-6136,Wave Inc,Starter,70.01,3259,1690,North America,Non-profit,3,2021-05-16,2021-09-26,True,-90,46,2022-09-25,367
CO-6137,Acme Digital,Professional,496.95,38983,1071,Europe,Non-profit,1,2023-01-25,2025-01-15,True,74,15,2025-07-22,196
CO-6138,Apex Analytics,Free,0.0,40476,1983,Latin America,Healthcare,12,2020-07-27,,False,-75,33,2024-12-22,166
CO-6139,Nova Solutions,Professional,161.72,21585,1176,Middle East,Healthcare,24,2022-10-12,,False,100,2,2025-06-09,266
CO-6140,Wave Inc,Professional,231.14,2033,1591,Europe,Healthcare,1,2021-08-23,,False,42,10,2021-11-27,225
CO-6141,Apex Cloud,Professional,197.79,32569,1399,Asia Pacific,Manufacturing,12,2022-03-03,,False,-46,19,2022-04-04,452
CO-6142,Apex Corp,Free,0.0,33087,2153,Asia Pacific,Education,24,2020-02-08,2020-03-25,True,51,41,2023-01-31,389
CO-6143,Apex Corp,Starter,59.78,30155,2027,Middle East,Manufacturing,3,2020-06-13,,False,-50,36,2023-05-05,177
CO-6144,Pulse Analytics,Professional,308.54,46424,1722,Latin America,Manufacturing,12,2021-04-14,,False,0,14,2021-09-13,332
CO-6145,Acme Tech,Professional,184.06,47973,1882,North America,Retail,1,2020-11-05,,False,92,9,2021-06-08,431
CO-6146,Wave AI,Professional,392.72,36315,388,Middle East,Manufacturing,24,2024-12-08,,False,73,20,2025-10-13,215
CO-6147,Pulse Solutions,Starter,60.96,33747,2060,Latin America,Media,1,2020-05-11,,False,56,9,2023-07-01,360
CO-6148,Pulse Analytics,Enterprise,3986.02,47783,1960,Middle East,Manufacturing,12,2020-08-19,2021-03-16,True,-66,9,2025-02-22,314
CO-6149,Acme Inc,Starter,52.19,43063,296,Asia Pacific,Retail,12,2025-03-10,2026-06-08,True,60,50,2025-03-17,455
CO-6150,Wave Systems,Professional,381.53,18454,1477,Europe,Technology,3,2021-12-15,,False,63,48,2022-03-13,108
CO-6151,Apex Labs,Professional,242.87,4289,1580,Middle East,Healthcare,6,2021-09-03,,False,16,46,2023-05-21,292
CO-6152,Nova Corp,Starter,94.76,41104,1945,North America,Consulting,1,2020-09-03,,False,82,45,2020-09-05,27
CO-6153,Spark Labs,Free,0.0,29089,1238,North America,Healthcare,6,2022-08-11,,False,-83,11,2022-09-26,185
CO-6154,Vertex Tech,Professional,423.45,32258,653,Asia Pacific,Media,24,2024-03-18,,False,-7,38,2025-11-03,222
CO-6155,Apex Digital,Starter,63.64,8960,1530,Europe,Technology,6,2021-10-23,,False,-52,19,2024-10-11,123
CO-6156,Forge Systems,Starter,67.52,39916,2154,North America,Consulting,3,2020-02-07,,False,-96,23,2023-05-25,389
CO-6157,Vertex Systems,Professional,157.0,29221,760,Middle East,Healthcare,24,2023-12-02,,False,46,1,2024-07-13,486
CO-6158,Nimbus Tech,Starter,49.43,37726,328,Europe,Government,1,2025-02-06,,False,17,44,2025-11-19,409
CO-6159,Apex Systems,Enterprise,1747.8,1978,1909,Middle East,Education,6,2020-10-09,,False,-26,17,2025-10-29,17
CO-6160,Acme AI,Professional,490.13,32599,2017,Middle East,Manufacturing,12,2020-06-23,2022-07-07,True,-79,42,2024-09-12,394
CO-6161,Forge AI,Starter,39.73,17230,1227,Asia Pacific,Non-profit,1,2022-08-22,,False,-83,24,2024-08-31,213
CO-6162,Vertex Inc,Professional,490.47,11330,528,Latin America,Technology,24,2024-07-21,,False,-70,1,2025-10-29,195
CO-6163,Acme Analytics,Starter,45.15,8634,1545,Europe,Media,12,2021-10-08,,False,77,10,2023-08-23,118
CO-6164,Apex Analytics,Professional,122.23,31182,2123,Asia Pacific,Government,1,2020-03-09,,False,-9,41,2023-08-13,273
CO-6165,Pulse Labs,Professional,481.87,24602,1237,Middle East,Retail,6,2022-08-12,2024-06-24,True,-75,29,2022-10-28,132
CO-6166,Zenith Inc,Professional,171.54,9269,1074,Europe,Consulting,24,2023-01-22,2024-07-25,True,-14,7,2024-02-08,406
CO-6167,Nova Analytics,Starter,66.19,5407,1745,Middle East,Manufacturing,6,2021-03-22,,False,27,28,2025-07-12,500
CO-6168,Nova Inc,Starter,82.27,32998,446,Europe,Education,24,2024-10-11,,False,-31,13,2025-05-27,184
CO-6169,Wave Analytics,Professional,113.77,5120,1896,Latin America,Manufacturing,1,2020-10-22,,False,-36,2,2025-03-09,410
CO-6170,Vertex Cloud,Professional,448.99,40488,426,Asia Pacific,Government,24,2024-10-31,,False,-44,43,2025-07-23,422
CO-6171,Nova Cloud,Enterprise,1657.89,42405,1890,Latin America,Government,24,2020-10-28,,False,-20,11,2022-10-14,197
CO-6172,Nimbus Tech,Starter,45.85,12427,1898,Latin America,Finance,3,2020-10-20,2021-11-03,True,-80,20,2025-10-29,256
CO-6173,Apex Analytics,Enterprise,697.33,360,970,Middle East,Healthcare,3,2023-05-06,,False,4,6,2023-07-30,62
CO-6174,Nova Tech,Enterprise,1419.34,6854,1714,Latin America,Technology,1,2021-04-22,,False,-35,48,2022-02-09,12
CO-6175,Spark Digital,Starter,44.82,29225,1658,Latin America,Finance,3,2021-06-17,,False,85,44,2025-04-20,67
CO-6176,Acme Corp,Starter,93.57,4206,1397,Latin America,Retail,1,2022-03-05,,False,-86,48,2022-05-05,270
CO-6177,Apex Labs,Free,0.0,10790,1434,Middle East,Government,6,2022-01-27,2023-03-16,True,11,40,2023-07-25,46
CO-6178,Zenith Systems,Starter,89.99,15105,766,North America,Healthcare,1,2023-11-26,2024-11-09,True,69,13,2024-03-27,163
CO-6179,Zenith Digital,Professional,340.82,4321,580,Asia Pacific,Consulting,6,2024-05-30,2024-11-20,True,24,45,2025-09-21,201
CO-6180,Apex Digital,Professional,417.24,44025,631,North America,Retail,12,2024-04-09,,False,-53,18,2025-01-24,20
CO-6181,Wave Solutions,Professional,268.91,12269,743,Latin America,Healthcare,6,2023-12-19,,False,-38,6,2024-08-09,17
CO-6182,Wave Inc,Free,0.0,46878,297,Asia Pacific,Consulting,1,2025-03-09,2026-04-03,True,-54,37,2025-03-22,266
CO-6183,Spark AI,Professional,478.99,17798,1104,Middle East,Retail,1,2022-12-23,,False,38,32,2024-11-19,485
CO-6184,Wave Solutions,Starter,58.85,31458,1403,North America,Finance,6,2022-02-27,,False,-34,18,2025-07-12,120
CO-6185,Wave Corp,Starter,38.34,11267,258,Latin America,Finance,12,2025-04-17,,False,-81,21,2025-10-20,280
CO-6186,Nimbus Digital,Professional,418.17,5906,952,Middle East,Manufacturing,1,2023-05-24,,False,-53,7,2023-09-18,239
CO-6187,Wave Analytics,Enterprise,766.0,17515,569,Asia Pacific,Manufacturing,24,2024-06-10,,False,-27,1,2024-08-03,205
CO-6188,Pulse Labs,Starter,55.19,19685,1905,Asia Pacific,Manufacturing,6,2020-10-13,,False,-63,11,2021-05-16,26
CO-6189,Nova Tech,Enterprise,1782.02,8079,2151,North America,Retail,6,2020-02-10,,False,54,39,2023-07-10,250
CO-6190,Acme Inc,Starter,91.11,36163,1665,Latin America,Non-profit,1,2021-06-10,,False,68,44,2025-06-11,13
CO-6191,Zenith Inc,Starter,96.43,20132,357,Europe,Consulting,3,2025-01-08,,False,28,12,2025-09-21,441
CO-6192,Zenith Labs,Enterprise,1094.94,14611,1518,Middle East,Government,1,2021-11-04,,False,-45,31,2025-07-07,162
CO-6193,Apex Inc,Free,0.0,38375,1263,Middle East,Technology,24,2022-07-17,,False,28,42,2023-06-18,50
CO-6194,Pulse Systems,Free,0.0,44946,549,Latin America,Retail,12,2024-06-30,,False,30,39,2025-08-18,94
CO-6195,Zenith Systems,Professional,115.96,37888,808,Asia Pacific,Technology,24,2023-10-15,2025-07-24,True,98,12,2024-01-17,393
CO-6196,Vertex Analytics,Enterprise,3755.98,15724,605,Asia Pacific,Consulting,24,2024-05-05,,False,-59,31,2025-04-04,103
CO-6197,Nimbus Corp,Starter,38.21,43182,1019,Asia Pacific,Retail,24,2023-03-18,,False,52,17,2023-12-09,145
CO-6198,Apex Corp,Enterprise,3733.24,34417,956,North America,Education,24,2023-05-20,,False,-83,0,2024-09-16,309
CO-6199,Vertex AI,Enterprise,4662.85,15208,483,Latin America,Education,1,2024-09-04,,False,54,39,2025-02-03,381
CO-6200,Nova Digital,Professional,353.89,18076,1584,Europe,Media,12,2021-08-30,,False,-72,3,2023-09-14,457
CO-6201,Nimbus Solutions,Professional,103.34,6467,1213,Europe,Retail,6,2022-09-05,,False,75,19,2023-02-14,345
CO-6202,Pulse Systems,Professional,233.03,31104,1009,North America,Consulting,12,2023-03-28,2023-11-18,True,-53,29,2025-01-17,204
CO-6203,Wave Corp,Professional,285.44,7226,1225,Europe,Retail,1,2022-08-24,,False,-14,24,2024-03-21,55
CO-6204,Forge Analytics,Free,0.0,26144,782,Europe,Government,1,2023-11-10,2024-09-21,True,72,2,2025-05-10,140
CO-6205,Nimbus AI,Professional,380.72,47488,1636,North America,Consulting,24,2021-07-09,,False,69,44,2025-10-05,8
CO-6206,Wave Cloud,Professional,128.16,20391,1451,Europe,Consulting,3,2022-01-10,,False,-76,6,2024-03-04,301
CO-6207,Vertex Corp,Starter,43.49,32034,2068,Latin America,Education,12,2020-05-03,,False,28,45,2020-12-01,484
CO-6208,Nova Labs,Enterprise,1413.68,26767,949,North America,Healthcare,3,2023-05-27,2025-04-11,True,31,42,2025-12-13,463
CO-6209,Forge Inc,Professional,329.86,3854,826,Latin America,Finance,12,2023-09-27,,False,24,19,2024-08-05,391
CO-6210,Spark AI,Professional,276.52,27035,773,Middle East,Healthcare,6,2023-11-19,,False,53,20,2024-10-13,226
CO-6211,Zenith AI,Enterprise,3290.64,33570,369,Latin America,Media,12,2024-12-27,,False,-51,47,2025-03-20,18
CO-6212,Acme Corp,Starter,69.64,6353,570,Middle East,Technology,3,2024-06-09,,False,-62,1,2025-07-08,418
CO-6213,Vertex Tech,Starter,79.87,32850,1406,Asia Pacific,Non-profit,12,2022-02-24,,False,46,16,2025-04-26,460
CO-6214,Wave Tech,Free,0.0,47510,2108,Asia Pacific,Non-profit,24,2020-03-24,2020-11-29,True,94,29,2020-07-27,216
CO-6215,Acme AI,Starter,56.06,13865,2018,Europe,Retail,12,2020-06-22,2022-02-26,True,-69,26,2023-05-16,227
