station_id,date,temp_celsius,temp_fahrenheit,humidity_pct,precipitation_inches,wind_speed_kmh,wind_direction,pressure_hpa,visibility_km,conditions,uv_index
WX-6,2023-01-12,-14.7,5.5,31,0.37,5.5,NE,998.3,8.2,Rain,5
WX-6,2023-01-12,-20.2,-4.4,53,0.25,18.4,N,1022.6,10.4,Partly Cloudy,8
WX-2,2023-01-12,3.6,38.5,37,0.21,18.0,E,1000.1,14.2,Cloudy,3
WX-8,2023-01-13,-20.0,-4.0,51,0.1,9.6,S,1013.3,12.6,Cloudy,1
WX-3,2023-01-13,-13.1,8.4,92,0,17.7,N,1021.0,4.9,Cloudy,7
WX-2,2023-01-13,-17.7,0.1,45,0,7.6,S,998.2,11.7,Partly Cloudy,6
WX-9,2023-01-13,-6.7,19.9,80,0.51,19.4,SE,1006.2,12.4,Drizzle,5
WX-9,2023-01-14,-7.0,19.4,45,0.77,10.6,SW,1011.4,4.2,Drizzle,1
WX-1,2023-01-14,-13.1,8.4,75,0.48,27.3,N,1014.4,8.9,Cloudy,11
WX-10,2023-01-14,-8.9,16.0,59,0.23,15.3,NE,1023.6,10.3,Fog,5
WX-1,2023-01-14,-10.4,13.3,100,0.96,19.8,SE,1023.9,13.6,Snow,5
WX-3,2023-01-14,-10.3,13.5,46,0,23.0,S,1009.0,14.6,Cloudy,1
WX-4,2023-01-15,-13.6,7.5,28,0.1,27.2,E,1015.5,14.7,Thunderstorm,0
WX-1,2023-01-15,-6.5,20.3,49,0.03,15.4,S,1004.0,8.4,Thunderstorm,8
WX-2,2023-01-15,-15.0,5.0,99,0.54,32.2,N,1026.0,13.1,Thunderstorm,8
WX-9,2023-01-16,-11.6,11.1,37,0.47,7.4,NW,1002.2,13.6,Rain,4
WX-8,2023-01-16,-12.3,9.9,58,0,29.0,NE,1008.4,8.7,Rain,7
WX-10,2023-01-16,-10.1,13.8,69,0.17,25.6,NE,1004.1,12.4,Cloudy,7
WX-4,2023-01-16,-11.5,11.3,48,0,7.9,NW,1007.3,7.0,Thunderstorm,7
WX-6,2023-01-17,-8.6,16.5,60,0.24,17.6,SW,1008.5,9.6,Rain,7
WX-4,2023-01-17,-10.0,14.0,81,0.71,18.8,SW,1004.4,15.8,Rain,0
WX-1,2023-01-17,-8.4,16.9,83,0.4,11.4,SE,1016.4,7.6,Thunderstorm,6
WX-3,2023-01-17,-11.7,10.9,93,0.2,10.6,SE,1019.7,11.7,Thunderstorm,9
WX-4,2023-01-18,-7.7,18.1,43,0,21.8,W,1002.4,10.7,Rain,8
WX-7,2023-01-18,-7.0,19.4,55,0.32,1.2,NW,989.7,16.9,Drizzle,11
WX-6,2023-01-18,-7.5,18.5,51,0.01,5.1,SE,1014.6,6.0,Haze,2
WX-8,2023-01-19,-12.7,9.1,96,0.22,4.6,N,1014.5,5.1,Drizzle,2
WX-6,2023-01-19,-11.2,11.8,27,0,23.1,N,1013.0,11.2,Haze,3
WX-8,2023-01-19,-14.6,5.7,59,0,0,SW,1023.2,0.5,Rain,4
WX-3,2023-01-19,-17.0,1.4,40,0.24,28.6,W,1010.3,5.6,Cloudy,6
WX-10,2023-01-19,-15.0,5.0,54,0.14,13.3,SE,1007.1,4.0,Snow,4
WX-4,2023-01-20,-9.7,14.5,16,0,16.5,S,1019.2,14.5,Windy,7
WX-6,2023-01-20,-4.6,23.7,27,0,16.8,S,1015.8,10.5,Snow,1
WX-5,2023-01-20,-14.8,5.4,13,0.08,17.3,N,1003.0,15.5,Haze,3
WX-6,2023-01-20,-7.2,19.0,24,0.08,15.6,SE,1007.7,6.9,Windy,8
WX-5,2023-01-21,-14.1,6.6,75,0,2.3,SW,1019.5,13.2,Cloudy,10
WX-1,2023-01-21,-2.7,27.1,41,0,16.7,N,996.7,10.3,Clear,4
WX-3,2023-01-21,-10.8,12.6,31,0.28,25.7,NE,993.2,10.6,Cloudy,0
WX-2,2023-01-21,-9.4,15.1,58,0,12.6,E,1017.0,9.7,Windy,9
WX-8,2023-01-21,-13.8,7.2,89,0,7.1,NW,1017.2,9.1,Clear,7
WX-4,2023-01-22,-0.0,32.0,13,0,0.3,S,1023.7,3.4,Haze,5
WX-7,2023-01-22,-6.5,20.3,19,0.15,22.4,NE,994.2,8.6,Windy,8
WX-1,2023-01-22,-10.3,13.5,29,0.53,6.6,NE,1013.4,7.9,Cloudy,2
WX-1,2023-01-23,-17.7,0.1,42,0.43,15.6,S,993.9,9.5,Partly Cloudy,5
WX-10,2023-01-23,-13.2,8.2,12,0.13,10.3,E,1015.9,3.3,Partly Cloudy,0
WX-3,2023-01-23,-11.6,11.1,58,0.39,17.6,NE,1023.9,11.1,Cloudy,6
WX-6,2023-01-23,-9.6,14.7,35,0.25,20.0,SW,1022.4,16.2,Thunderstorm,6
WX-3,2023-01-24,-10.9,12.4,68,0,16.7,NE,1012.1,14.6,Snow,4
WX-4,2023-01-24,-13.6,7.5,83,0,11.7,W,1013.0,4.8,Rain,6
WX-7,2023-01-24,-5.9,21.4,36,0.71,20.0,SW,1015.6,9.9,Haze,6
WX-4,2023-01-25,-10.5,13.1,24,0,30.4,S,1007.6,17.4,Fog,9
WX-9,2023-01-25,-4.3,24.3,51,0.4,9.6,N,1004.3,6.1,Haze,4
WX-8,2023-01-25,-1.9,28.6,11,0.3,14.6,SE,1014.6,13.0,Rain,0
WX-8,2023-01-25,-13.1,8.4,86,0.18,31.5,W,1005.8,6.5,Drizzle,5
WX-1,2023-01-26,-3.5,25.7,87,0.49,8.6,NW,1018.9,12.2,Clear,6
WX-4,2023-01-26,-8.9,16.0,78,0,19.4,S,1020.3,6.5,Thunderstorm,4
WX-5,2023-01-26,-14.8,5.4,17,0.15,9.6,NE,1016.2,8.9,Haze,0
WX-3,2023-01-26,-10.1,13.8,41,0,16.2,SE,1015.4,15.6,Clear,1
WX-8,2023-01-26,-6.9,19.6,29,0.05,10.0,N,1018.9,5.1,Fog,11
WX-5,2023-01-27,-6.2,20.8,50,0.48,25.4,W,1019.9,7.4,Partly Cloudy,9
WX-3,2023-01-27,-11.4,11.5,44,0.11,15.3,NW,988.2,5.2,Clear,10
WX-8,2023-01-27,-16.3,2.7,48,0.5,10.2,NW,1008.1,6.3,Cloudy,6
WX-10,2023-01-27,-5.8,21.6,97,0,17.9,E,1011.9,5.4,Cloudy,6
WX-1,2023-01-28,-14.8,5.4,36,0.18,15.7,S,1006.9,8.0,Snow,10
WX-3,2023-01-28,-7.6,18.3,49,0.29,17.3,SW,1006.5,9.6,Snow,5
WX-2,2023-01-28,-2.9,26.8,71,0.19,4.0,S,1015.5,4.6,Partly Cloudy,10
WX-4,2023-01-28,-3.1,26.4,83,0,14.8,S,1025.5,7.4,Partly Cloudy,1
WX-2,2023-01-29,-8.5,16.7,82,0.43,6.5,SE,998.8,9.4,Haze,1
WX-3,2023-01-29,-6.9,19.6,43,0,16.5,SE,1018.6,14.9,Windy,2
WX-8,2023-01-29,-11.3,11.7,30,0.27,10.6,SW,1015.6,6.0,Partly Cloudy,7
WX-5,2023-01-29,-14.8,5.4,51,0.15,16.5,N,1019.4,4.4,Cloudy,8
WX-2,2023-01-29,-11.4,11.5,11,0.13,32.0,NE,1021.1,5.2,Haze,11
WX-9,2023-01-30,-9.5,14.9,71,0,6.0,SW,1011.9,0.5,Rain,11
WX-9,2023-01-30,-10.2,13.6,17,0,12.6,SE,1004.5,19.8,Clear,5
WX-10,2023-01-30,-6.2,20.8,64,0,26.0,W,1018.1,14.6,Thunderstorm,5
WX-8,2023-01-31,-3.8,25.2,12,0,9.3,N,1018.6,9.3,Cloudy,3
WX-2,2023-01-31,-11.2,11.8,74,0.28,14.5,S,1003.6,7.7,Windy,2
WX-8,2023-01-31,-12.5,9.5,68,0,18.6,NW,1021.3,12.3,Haze,6
WX-1,2023-01-31,-11.1,12.0,49,0,21.5,NW,1028.9,10.0,Haze,3
WX-5,2023-02-01,-11.3,11.7,25,0,19.2,SW,1012.2,12.4,Clear,9
WX-8,2023-02-01,-8.4,16.9,24,0.53,15.3,SE,1011.2,9.0,Partly Cloudy,8
WX-1,2023-02-01,-8.7,16.3,65,0.31,6.9,E,1017.7,5.5,Snow,11
WX-6,2023-02-01,-15.1,4.8,26,0.12,10.9,NE,1020.8,10.5,Rain,7
WX-7,2023-02-01,-8.6,16.5,87,0,4.3,NW,1022.5,9.1,Partly Cloudy,8
WX-2,2023-02-02,-12.8,9.0,18,0,32.9,NE,1011.6,8.2,Haze,4
WX-6,2023-02-02,-12.6,9.3,35,0.31,29.1,W,1013.5,0.5,Windy,4
WX-9,2023-02-02,-19.6,-3.3,10,0.36,16.3,S,1006.3,10.8,Thunderstorm,1
WX-3,2023-02-02,-8.9,16.0,57,0.23,11.6,NW,1008.4,14.7,Thunderstorm,1
WX-10,2023-02-02,-7.7,18.1,42,0.19,6.3,SW,1015.6,1.8,Partly Cloudy,1
WX-1,2023-02-03,-9.5,14.9,40,0,8.4,S,1003.9,13.2,Rain,8
WX-2,2023-02-03,-6.2,20.8,10,0,2.4,NE,1029.6,10.6,Snow,6
WX-7,2023-02-03,-9.5,14.9,66,0.6,11.5,NW,1021.7,5.2,Haze,5
WX-9,2023-02-03,1.1,34.0,40,0,44.3,W,1009.0,16.4,Haze,7
WX-3,2023-02-04,-10.0,14.0,66,0.33,17.1,N,1010.6,12.1,Clear,4
WX-9,2023-02-04,-7.8,18.0,97,0.13,18.0,S,1015.7,9.3,Thunderstorm,3
WX-3,2023-02-04,-11.4,11.5,55,0.33,7.0,SE,1013.8,8.3,Thunderstorm,6
WX-6,2023-02-04,-9.9,14.2,89,0,12.6,SW,1002.1,7.2,Fog,4
WX-8,2023-02-04,-9.6,14.7,10,0,9.4,W,1003.9,3.8,Drizzle,10
WX-3,2023-02-05,-2.8,27.0,37,0.57,19.8,E,993.7,4.8,Snow,6
WX-3,2023-02-05,-7.9,17.8,86,0.34,14.1,SE,1024.6,12.6,Thunderstorm,1
WX-9,2023-02-05,-7.8,18.0,55,0.29,22.0,W,1014.8,15.6,Cloudy,2
WX-7,2023-02-05,-9.1,15.6,37,0.46,14.4,SE,1002.8,18.3,Windy,6
WX-3,2023-02-06,-6.0,21.2,48,0,4.5,NE,1019.3,8.4,Clear,11
WX-10,2023-02-06,-14.7,5.5,48,0.42,18.4,NW,1031.1,4.8,Windy,2
WX-2,2023-02-06,-10.5,13.1,81,0.2,0,SE,1016.4,10.3,Fog,10
WX-2,2023-02-06,-4.2,24.4,87,0.11,25.1,NW,1018.2,10.8,Cloudy,6
WX-7,2023-02-06,-12.8,9.0,24,0,18.9,N,1003.4,7.5,Fog,7
WX-2,2023-02-07,-4.9,23.2,77,0,24.5,NW,1007.7,12.3,Thunderstorm,9
WX-8,2023-02-07,-11.7,10.9,18,0,19.4,S,1016.7,6.2,Rain,3
WX-6,2023-02-07,-9.1,15.6,57,0.51,19.2,SE,1009.7,5.0,Thunderstorm,9
WX-10,2023-02-08,-12.3,9.9,85,0.66,19.1,N,1000.4,9.8,Cloudy,11
WX-8,2023-02-08,-8.1,17.4,55,0.38,15.6,NE,1034.9,11.3,Cloudy,4
WX-3,2023-02-08,-4.2,24.4,82,0.19,7.7,NW,1016.0,13.4,Clear,3
WX-9,2023-02-08,-10.8,12.6,80,0.4,8.3,S,1005.8,9.7,Drizzle,11
WX-1,2023-02-09,-6.4,20.5,47,0.34,20.4,NW,1017.3,16.1,Snow,0
WX-9,2023-02-09,-9.0,15.8,64,0.17,16.7,NW,1023.6,8.6,Rain,7
WX-3,2023-02-09,-7.6,18.3,41,0.08,18.1,S,1010.3,7.3,Rain,6
WX-2,2023-02-09,-14.1,6.6,33,0.21,22.8,SW,1032.5,6.5,Haze,11
WX-7,2023-02-09,-12.8,9.0,85,0.57,13.5,S,1000.9,11.7,Fog,6
WX-1,2023-02-10,-10.4,13.3,89,0,15.1,NW,1030.4,9.7,Drizzle,2
WX-2,2023-02-10,-9.3,15.3,42,0.52,15.6,W,1008.5,12.6,Clear,1
WX-9,2023-02-10,2.6,36.7,34,0.4,12.1,SW,1023.6,5.6,Snow,10
WX-6,2023-02-10,-15.5,4.1,82,0.22,15.6,NW,1002.7,8.7,Windy,5
WX-5,2023-02-11,-13.5,7.7,74,0.91,0,W,1015.0,8.5,Cloudy,10
WX-8,2023-02-11,-11.0,12.2,31,0,22.2,S,1009.9,8.7,Cloudy,6
WX-4,2023-02-11,-4.0,24.8,47,0.07,20.3,NW,1014.3,8.4,Windy,6
WX-3,2023-02-11,-15.4,4.3,98,0.14,17.7,W,1021.8,9.0,Partly Cloudy,7
WX-2,2023-02-11,1.8,35.2,19,0.33,18.8,SW,1010.0,6.9,Thunderstorm,3
WX-10,2023-02-12,0.3,32.5,37,0.45,12.4,SE,1008.6,13.8,Windy,8
WX-7,2023-02-12,-7.7,18.1,33,0,7.6,NW,1009.1,9.3,Rain,1
WX-7,2023-02-12,-6.4,20.5,85,0.31,0.6,S,1015.1,8.2,Thunderstorm,0
WX-4,2023-02-12,-9.3,15.3,72,0.03,18.6,E,1027.0,12.1,Snow,10
WX-7,2023-02-13,-4.4,24.1,89,0,18.9,E,994.9,0.5,Rain,1
WX-5,2023-02-13,4.2,39.6,65,0,8.4,N,1014.2,13.8,Drizzle,4
WX-9,2023-02-13,-8.1,17.4,81,0.33,0.2,SW,1007.7,8.8,Windy,1
WX-4,2023-02-13,-8.8,16.2,63,0.49,16.9,SW,1015.7,8.6,Rain,3
WX-5,2023-02-14,-15.0,5.0,34,0,21.1,N,1028.5,5.6,Haze,1
WX-7,2023-02-14,-5.4,22.3,49,0,9.0,W,1012.3,7.0,Drizzle,2
WX-2,2023-02-14,-12.9,8.8,38,0,12.4,N,1015.0,20.5,Partly Cloudy,4
WX-10,2023-02-14,-3.3,26.1,89,0.25,1.5,NW,1012.0,6.1,Rain,9
WX-9,2023-02-15,-6.0,21.2,64,0.42,22.5,NE,1017.5,7.7,Cloudy,1
WX-4,2023-02-15,-2.6,27.3,100,0.11,15.2,SW,1021.8,4.4,Haze,11
WX-8,2023-02-15,-8.3,17.1,81,0,8.3,SW,1016.1,0.5,Haze,8
WX-3,2023-02-15,-9.5,14.9,37,0,8.0,NE,1012.6,10.8,Clear,3
WX-3,2023-02-16,-14.5,5.9,96,0,20.9,NE,1017.3,13.9,Snow,5
WX-2,2023-02-16,-9.9,14.2,63,0.42,5.1,N,1012.7,8.8,Snow,6
WX-5,2023-02-16,-3.9,25.0,46,0.18,23.7,NE,1003.4,12.8,Fog,7
WX-6,2023-02-16,-16.0,3.2,92,0,34.4,NE,1016.9,8.7,Clear,0
WX-3,2023-02-17,12.3,54.1,91,0.18,17.2,N,998.8,5.7,Thunderstorm,2
WX-8,2023-02-17,-6.3,20.7,61,0,21.7,NW,999.4,9.8,Windy,5
WX-10,2023-02-17,-17.2,1.0,40,0.31,8.4,E,1024.9,6.7,Haze,1
WX-6,2023-02-17,-1.1,30.0,19,0.25,11.8,N,1046.5,11.7,Partly Cloudy,11
WX-5,2023-02-17,-6.0,21.2,41,0.21,16.9,W,1019.4,2.5,Rain,10
WX-10,2023-02-18,-10.4,13.3,87,0.39,27.8,N,1006.1,12.1,Partly Cloudy,0
WX-7,2023-02-18,-2.2,28.0,19,0,20.5,SE,1008.4,17.7,Windy,4
WX-9,2023-02-18,-11.9,10.6,88,0,22.1,N,1008.8,8.3,Thunderstorm,4
WX-1,2023-02-18,-11.5,11.3,31,0.54,2.7,SE,1001.4,11.2,Thunderstorm,5
WX-8,2023-02-18,-8.7,16.3,26,0,22.8,SE,1009.3,4.1,Fog,9
WX-7,2023-02-19,-4.2,24.4,32,0,25.4,N,1005.7,13.1,Windy,3
WX-6,2023-02-19,-8.8,16.2,78,0.14,23.0,SE,1009.2,8.3,Clear,5
WX-6,2023-02-19,-3.7,25.3,77,0.34,9.4,N,997.3,23.3,Haze,1
WX-6,2023-02-19,-15.1,4.8,68,0.24,20.6,NE,1002.0,9.0,Haze,4
WX-5,2023-02-20,-6.6,20.1,24,0,7.6,SE,1005.8,7.7,Drizzle,11
WX-6,2023-02-20,0.6,33.1,24,0.47,12.8,SE,1009.0,19.1,Cloudy,0
WX-1,2023-02-20,-5.1,22.8,33,0.14,15.9,NE,1014.8,0.5,Haze,7
WX-7,2023-02-20,-0.6,30.9,46,0.44,32.0,SE,991.9,11.6,Snow,4
WX-8,2023-02-20,-11.9,10.6,73,0,13.2,W,1002.4,5.2,Windy,7
WX-10,2023-02-21,-9.3,15.3,18,0.14,21.4,NE,1019.7,3.3,Cloudy,4
WX-2,2023-02-21,-4.2,24.4,70,0.45,5.9,NE,1036.3,10.4,Snow,3
WX-8,2023-02-21,-6.2,20.8,88,0,5.1,S,1009.6,14.7,Rain,3
WX-8,2023-02-21,-8.7,16.3,95,0.75,12.4,NE,1016.8,14.4,Windy,1
WX-4,2023-02-22,-16.4,2.5,44,0.12,0,S,1012.7,11.0,Rain,0
WX-1,2023-02-22,-9.2,15.4,55,0.42,21.0,SW,1004.3,12.4,Snow,6
WX-3,2023-02-22,-10.3,13.5,51,0.51,27.3,NE,1008.9,9.9,Thunderstorm,5
WX-2,2023-02-22,-11.4,11.5,66,0.02,14.0,NW,1015.5,9.5,Rain,0
WX-7,2023-02-22,-4.5,23.9,82,0.42,22.1,NE,1004.9,14.6,Drizzle,1
WX-10,2023-02-22,-14.8,5.4,76,0.12,21.4,SW,1002.7,5.8,Fog,5
WX-7,2023-02-22,-10.7,12.7,16,0.3,7.6,N,1010.7,5.1,Partly Cloudy,11
WX-3,2023-02-23,-11.7,10.9,22,0.06,13.0,W,998.7,13.2,Haze,1
WX-3,2023-02-23,-13.6,7.5,94,0.1,5.2,SW,1008.4,3.1,Clear,10
WX-1,2023-02-23,-15.0,5.0,53,0.23,10.3,SE,1030.3,14.2,Snow,0
WX-1,2023-02-23,-10.5,13.1,89,0,20.5,NW,1004.9,14.0,Haze,1
WX-7,2023-02-24,-12.9,8.8,27,0.06,12.8,NW,1038.5,9.5,Haze,5
WX-1,2023-02-24,-17.2,1.0,86,0.65,14.6,N,1018.4,11.1,Partly Cloudy,7
WX-7,2023-02-24,-6.6,20.1,36,0.29,13.1,N,1015.8,9.6,Thunderstorm,0
WX-4,2023-02-25,-10.7,12.7,79,0.12,3.3,W,1017.5,8.9,Fog,10
WX-8,2023-02-25,-2.2,28.0,17,0.18,9.7,W,1001.7,5.8,Cloudy,10
WX-7,2023-02-25,-7.9,17.8,31,0,22.3,E,1004.7,11.9,Partly Cloudy,1
WX-7,2023-02-25,-12.1,10.2,53,0.43,20.3,S,1015.4,8.3,Partly Cloudy,9
WX-6,2023-02-26,-2.0,28.4,40,0.41,20.4,SW,1004.3,8.2,Cloudy,9
WX-10,2023-02-26,-8.9,16.0,51,0,37.4,N,1003.1,13.8,Rain,3
WX-6,2023-02-26,2.7,36.9,12,0,15.1,NW,1013.6,5.9,Snow,0
WX-3,2023-02-26,-11.2,11.8,77,0.33,5.6,N,1011.7,13.5,Drizzle,8
WX-3,2023-02-27,-7.6,18.3,85,0.16,12.3,W,1016.8,11.9,Clear,1
WX-6,2023-02-27,-8.8,16.2,30,0.11,14.9,S,1014.2,7.8,Haze,9
WX-8,2023-02-27,-7.9,17.8,26,0.25,10.5,S,1021.0,12.4,Windy,6
WX-1,2023-02-28,-10.1,13.8,63,1.01,31.2,SE,1013.2,7.7,Windy,7
WX-2,2023-02-28,-3.6,25.5,36,0.38,0.6,NE,1029.4,12.6,Rain,0
WX-6,2023-02-28,-6.4,20.5,82,0.12,11.8,N,1015.8,13.7,Partly Cloudy,7
WX-9,2023-02-28,1.5,34.7,47,0.04,15.3,SE,1014.3,11.9,Windy,6
WX-2,2023-03-01,-5.8,21.6,99,0.37,13.4,W,1011.7,8.5,Drizzle,4
WX-8,2023-03-01,-13.7,7.3,73,0.14,4.6,NE,1000.3,12.5,Snow,10
WX-10,2023-03-01,3.7,38.7,69,0,15.2,NW,1028.3,12.6,Cloudy,6
WX-1,2023-03-01,3.2,37.8,77,0.03,21.8,S,1015.1,12.1,Clear,11
WX-5,2023-03-01,1.0,33.8,59,0,9.6,NW,1013.8,14.3,Drizzle,8
WX-10,2023-03-02,-2.4,27.7,75,0.5,7.6,NW,1020.4,7.4,Fog,11
WX-1,2023-03-02,0.3,32.5,63,0.56,18.7,W,1030.0,10.8,Haze,3
WX-7,2023-03-02,-3.8,25.2,36,0.59,27.1,S,1021.5,9.0,Windy,1
WX-10,2023-03-02,-4.8,23.4,58,0,10.4,NW,1004.0,13.9,Partly Cloudy,4
WX-10,2023-03-03,9.2,48.6,14,0.17,0.2,S,1008.0,8.5,Windy,6
WX-4,2023-03-03,9.6,49.3,85,0,13.1,NW,1013.6,10.9,Cloudy,11
WX-10,2023-03-03,3.9,39.0,70,0,12.3,NW,1012.4,9.4,Drizzle,7
WX-2,2023-03-03,-7.3,18.9,89,0.2,14.0,N,1023.4,3.8,Snow,11
WX-6,2023-03-03,-11.2,11.8,82,0,16.7,S,1014.2,13.3,Thunderstorm,7
WX-9,2023-03-04,0.4,32.7,22,0,27.3,S,1038.2,5.6,Thunderstorm,8
WX-6,2023-03-04,-3.6,25.5,45,0,16.4,N,1018.2,16.3,Fog,4
WX-2,2023-03-04,-4.6,23.7,16,0.17,8.9,NE,1017.2,13.1,Haze,4
WX-9,2023-03-04,2.3,36.1,92,0.08,23.9,E,1020.7,9.8,Thunderstorm,0
WX-4,2023-03-04,-5.4,22.3,57,0.28,9.9,NW,1001.0,8.8,Clear,3
WX-7,2023-03-05,0.7,33.3,41,0,14.6,E,1024.7,9.8,Windy,6
WX-1,2023-03-05,8.2,46.8,13,0.34,11.2,NW,1006.6,15.3,Fog,11
WX-7,2023-03-05,-9.5,14.9,56,0,25.3,SE,1015.7,8.5,Drizzle,7
WX-3,2023-03-05,-3.7,25.3,50,0.31,27.3,SW,1009.8,6.2,Fog,5
WX-9,2023-03-06,-0.8,30.6,74,0.47,28.1,NE,1035.1,13.0,Snow,3
WX-4,2023-03-06,-3.6,25.5,59,0,27.0,NE,1000.9,12.1,Drizzle,2
WX-6,2023-03-06,-0.4,31.3,98,0,15.0,N,997.2,14.3,Drizzle,0
WX-4,2023-03-06,-6.3,20.7,98,0,18.2,NE,1016.1,12.5,Drizzle,4
WX-3,2023-03-06,-7.0,19.4,62,0.19,23.5,E,1011.4,19.8,Windy,5
WX-9,2023-03-07,-5.9,21.4,92,0.31,24.3,E,1006.8,5.3,Snow,4
WX-1,2023-03-07,-0.2,31.6,16,0.23,18.0,NE,1014.2,8.3,Fog,8
