post_id,platform,post_date,post_type,content_category,likes,comments,shares,impressions,reach,engagement_rate,follower_count,hashtag_count,sentiment,link_clicks,video_views
POST-80018,TikTok,2024-12-21,Reel,Entertainment,37427,1245,640,823394,681076,4.77,347944,25,Negative,158,404576
POST-80019,TikTok,2025-07-28,Live,Behind the Scenes,40446,1815,1912,566244,289060,7.8,338956,22,Neutral,782,45562
POST-80020,LinkedIn,2023-02-25,Reel,Educational,21696,2000,954,216960,200910,11.36,1098652,29,Positive,72,0
POST-80021,Twitter,2025-07-17,Text,Promotional,8226,115,237,222102,192116,3.86,4398979,8,Neutral,19,0
POST-80022,TikTok,2023-03-25,Story,News,21085,1964,183,210850,199013,11.02,2344515,9,Neutral,383,73877
POST-80023,Facebook,2023-07-24,Video,Promotional,9189,299,247,156213,141882,6.23,2930217,23,Positive,43,0
POST-80024,TikTok,2025-09-08,Video,Educational,33391,440,1292,801384,725905,4.38,1010555,16,Negative,42,477279
POST-80025,Instagram,2023-08-23,Carousel,Promotional,20773,1799,1022,332368,224156,7.1,4754219,16,Neutral,68,291202
POST-80026,Facebook,2023-09-06,Carousel,News,30167,1426,1120,452505,393087,7.23,3497751,10,Negative,284,0
POST-80027,Twitter,2024-05-18,Story,User Generated,44722,3511,1099,849718,677861,5.81,1961284,20,Neutral,210,0
POST-80028,Twitter,2023-05-27,Story,User Generated,13754,1325,343,288834,209735,5.34,3598950,9,Neutral,268,0
POST-80029,YouTube,2024-03-01,Carousel,Tutorial,25132,828,575,603168,461481,4.4,2349730,29,Negative,80,30970
POST-80030,Instagram,2025-03-15,Video,Behind the Scenes,26608,133,960,718416,618618,3.86,1173551,2,Positive,275,157372
POST-80031,Instagram,2024-09-01,Carousel,Product Launch,31179,326,355,841833,662226,3.78,4108697,1,Positive,485,39013
POST-80032,Twitter,2024-05-31,Reel,Product Launch,42206,1295,1855,1181768,610021,3.84,2152277,6,Neutral,487,0
POST-80033,Twitter,2024-04-19,Video,Entertainment,44398,4024,1484,399582,370937,12.49,2465586,10,Positive,461,0
POST-80034,YouTube,2023-01-30,Story,Tutorial,34348,938,902,721308,648691,5.02,1303980,9,Positive,68,65220
POST-80035,TikTok,2025-07-02,Live,User Generated,15058,690,100,301160,229407,5.26,4595680,13,Positive,183,387153
POST-80036,TikTok,2025-07-23,Reel,Promotional,22934,63,552,114670,108795,20.54,2139074,27,Positive,130,181781
POST-80037,Instagram,2025-08-24,Reel,Product Launch,44900,3470,2048,808200,528020,6.24,1440696,20,Positive,2,167366
POST-80038,YouTube,2023-08-18,Live,Product Launch,5709,452,106,39963,23527,15.68,1351089,12,Positive,23,241464
POST-80039,YouTube,2025-09-28,Reel,Educational,5192,95,134,46728,25007,11.6,781669,9,Positive,90,491083
POST-80040,Facebook,2023-02-13,Story,Behind the Scenes,45318,3155,1710,770406,506039,6.51,4356280,25,Positive,497,0
POST-80041,LinkedIn,2023-11-26,Text,Entertainment,13542,231,185,325008,256235,4.29,4154158,5,Neutral,109,0
POST-80042,Instagram,2024-08-15,Video,News,8808,144,54,237816,144895,3.79,3116754,27,Positive,116,83624
POST-80043,TikTok,2024-12-12,Video,Educational,32435,294,583,324350,268475,10.27,1885498,26,Negative,252,80662
POST-80044,Facebook,2025-08-23,Carousel,Promotional,48476,3593,2398,824092,650178,6.61,3296,25,Neutral,966,0
POST-80045,TikTok,2024-12-02,Carousel,News,49617,4005,11,942723,882516,5.69,109029,13,Neutral,863,330279
POST-80046,YouTube,2024-12-09,Text,Behind the Scenes,8309,272,249,66472,54233,13.28,989068,9,Negative,105,165315
POST-80047,LinkedIn,2025-10-05,Video,News,2459,186,40,63934,55833,4.2,4509519,19,Positive,37,0
POST-80048,Instagram,2024-08-16,Story,News,31456,255,628,566208,339830,5.71,4540163,0,Positive,536,281391
POST-80049,YouTube,2023-04-04,Carousel,User Generated,32501,1016,1245,812525,641701,4.28,4274761,8,Neutral,76,95008
POST-80050,Instagram,2023-08-23,Story,Promotional,11808,713,261,129888,87916,9.84,321135,1,Positive,146,488973
POST-80051,Twitter,2025-02-14,Live,Tutorial,12947,1238,56,64735,51111,22.0,1923144,27,Positive,201,0
POST-80052,TikTok,2025-05-11,Live,Entertainment,4081,409,109,24486,17391,18.78,4151976,29,Neutral,15,248156
POST-80053,Instagram,2023-05-07,Story,News,2606,133,89,28666,27084,9.87,4892829,23,Positive,54,267955
POST-80054,TikTok,2024-12-10,Reel,Product Launch,16384,1574,363,180224,93014,10.17,2901066,29,Positive,186,30990
POST-80055,Instagram,2024-05-15,Video,Promotional,11332,550,246,169980,155878,7.13,2480288,12,Neutral,151,424478
POST-80056,TikTok,2025-09-10,Video,Educational,18555,727,186,352545,231491,5.52,1478817,27,Negative,206,226893
POST-80057,TikTok,2025-10-20,Reel,Product Launch,43201,1441,1160,1209628,1003856,3.79,130816,3,Positive,533,409092
POST-80058,TikTok,2024-09-02,Image,Tutorial,26022,1215,624,676572,484168,4.12,399306,1,Positive,228,113418
POST-80059,YouTube,2025-04-23,Story,User Generated,8632,466,187,207168,117643,4.48,2265939,4,Positive,76,491296
POST-80060,Twitter,2025-10-28,Image,Behind the Scenes,44852,560,704,1166152,935149,3.95,2121346,10,Positive,637,0
POST-80061,Twitter,2025-05-31,Live,News,37096,2922,264,185480,103991,21.72,597451,25,Neutral,711,0
POST-80062,Instagram,2023-11-24,Video,Behind the Scenes,16109,370,337,451052,356147,3.73,4302919,24,Positive,258,423245
POST-80063,Twitter,2023-05-07,Story,Behind the Scenes,42541,459,1202,808279,649944,5.47,3105107,13,Positive,366,0
POST-80064,TikTok,2025-10-31,Text,User Generated,16765,307,57,469420,283025,3.65,2476399,24,Positive,258,485023
POST-80065,Facebook,2023-09-22,Image,Promotional,10667,383,289,106670,69825,10.63,3761842,10,Neutral,56,0
POST-80066,YouTube,2024-03-08,Live,Tutorial,40248,1063,514,201240,174612,20.78,4611946,6,Negative,256,150095
POST-80067,Instagram,2023-01-08,Video,Tutorial,396,11,6,11880,6813,3.48,3576966,21,Negative,6,400144
POST-80068,YouTube,2024-06-29,Carousel,Entertainment,13127,968,563,315048,213613,4.65,4350617,26,Positive,127,372130
POST-80069,LinkedIn,2024-01-28,Image,Product Launch,15320,614,354,76600,41078,21.26,150369,14,Positive,161,0
POST-80070,TikTok,2025-08-10,Story,News,43136,3385,783,1121536,699869,4.22,4439696,23,Negative,170,455213
POST-80071,Twitter,2025-02-05,Live,Behind the Scenes,40521,2713,1705,243126,208574,18.48,457505,14,Positive,582,0
POST-80072,Instagram,2025-06-07,Text,Behind the Scenes,43950,3096,282,791100,661792,5.98,2285581,22,Negative,149,48449
POST-80073,Instagram,2024-01-27,Text,Educational,6359,569,211,114462,89794,6.24,4120568,5,Positive,73,442316
POST-80074,LinkedIn,2024-12-04,Text,User Generated,45413,4090,2182,1226151,869061,4.22,4587856,6,Positive,869,0
POST-80075,TikTok,2025-08-26,Video,Educational,13220,1188,440,356940,212678,4.16,3629163,5,Negative,230,98672
POST-80076,Facebook,2025-08-30,Text,Entertainment,49868,3038,732,648284,555466,8.27,3998730,30,Neutral,620,0
POST-80077,YouTube,2024-11-24,Image,Entertainment,30260,2144,1282,756500,477304,4.45,4867070,30,Positive,484,77800
POST-80078,Instagram,2025-09-12,Story,Tutorial,47038,2499,1286,1317064,1065917,3.86,3405421,22,Positive,661,25626
POST-80079,LinkedIn,2024-06-22,Video,Educational,45327,2533,2093,770559,492774,6.48,626067,20,Neutral,901,0
POST-80080,Instagram,2023-05-18,Carousel,Tutorial,36555,3595,1582,1023540,747193,4.08,2307215,15,Positive,279,143602
POST-80081,Twitter,2025-04-17,Live,Tutorial,17759,810,850,106554,79027,18.22,4724643,2,Negative,110,0
POST-80082,Facebook,2024-03-20,Live,Behind the Scenes,39370,2711,946,196850,112424,21.86,4289968,5,Neutral,83,0
POST-80083,Facebook,2025-10-23,Live,Educational,13222,993,117,211552,137306,6.77,464615,25,Negative,157,0
POST-80084,YouTube,2024-08-10,Story,Entertainment,17973,332,345,251622,156278,7.41,1388423,19,Positive,265,79631
POST-80085,Instagram,2023-07-06,Image,Educational,2721,212,2,35373,30333,8.3,2010095,17,Neutral,9,448364
POST-80086,YouTube,2025-10-14,Image,Educational,33628,2126,831,538048,483386,6.8,4380247,1,Neutral,166,376088
POST-80087,Twitter,2025-08-09,Story,Tutorial,47355,4666,2278,710325,360758,7.64,1994564,15,Neutral,104,0
POST-80088,Facebook,2025-10-14,Video,Promotional,37057,3369,1193,963482,604729,4.32,2796475,25,Negative,731,0
POST-80089,YouTube,2023-09-07,Carousel,Promotional,20639,1388,680,536614,397958,4.23,1678248,26,Neutral,68,160995
POST-80090,Facebook,2024-11-05,Carousel,User Generated,6477,50,2,148971,78430,4.38,39573,16,Neutral,27,0
POST-80091,Instagram,2023-09-19,Reel,Behind the Scenes,29703,1357,221,801981,520945,3.9,902939,20,Positive,102,498790
POST-80092,Instagram,2023-07-05,Live,News,49458,1525,1837,692412,404181,7.63,4527471,22,Neutral,188,354904
POST-80093,Instagram,2025-06-10,Live,Entertainment,498,0,22,9960,6574,5.22,2989737,22,Positive,8,221747
POST-80094,YouTube,2023-10-13,Story,Entertainment,43678,1607,1277,567814,289039,8.2,1149678,27,Positive,219,201279
POST-80095,Instagram,2023-02-21,Story,Entertainment,32653,1180,804,555101,423441,6.24,2703749,21,Neutral,317,432528
POST-80096,LinkedIn,2024-09-08,Reel,News,19953,735,987,319248,230025,6.79,2276387,25,Positive,190,0
POST-80097,Facebook,2023-02-06,Video,User Generated,4265,238,149,76770,69177,6.06,781071,25,Neutral,11,0
POST-80098,YouTube,2025-03-23,Text,Entertainment,34366,1449,1255,171830,157043,21.57,1121335,11,Neutral,634,344740
POST-80099,TikTok,2023-05-25,Live,News,17242,241,82,172420,146147,10.19,3976968,18,Positive,226,268374
POST-80100,Facebook,2024-05-07,Reel,Promotional,31920,2753,225,446880,313674,7.81,3390197,27,Positive,170,0
POST-80101,TikTok,2023-09-04,Text,User Generated,3244,124,158,42172,24015,8.36,1012650,2,Negative,62,317778
POST-80102,TikTok,2024-03-09,Text,Tutorial,10808,121,394,97272,54733,11.64,3130866,28,Neutral,202,402010
POST-80103,YouTube,2024-04-23,Image,Product Launch,11184,980,312,246048,140719,5.07,3820753,2,Neutral,95,115662
POST-80104,Instagram,2024-06-26,Image,Product Launch,42952,4259,888,472472,401802,10.18,527786,10,Positive,27,98601
POST-80105,LinkedIn,2024-04-04,Image,Educational,31386,2740,671,596334,527681,5.84,766272,26,Positive,209,0
POST-80106,Instagram,2023-09-06,Text,Behind the Scenes,26656,135,97,346528,232486,7.76,1281129,10,Positive,346,272936
POST-80107,TikTok,2024-10-30,Carousel,News,34511,634,167,690220,655241,5.12,448666,25,Neutral,549,40805
POST-80108,Twitter,2025-01-23,Image,Behind the Scenes,7065,365,116,169560,99140,4.45,3924678,15,Negative,32,0
POST-80109,YouTube,2025-11-16,Reel,Entertainment,21642,1888,949,584334,381308,4.19,58094,20,Positive,250,68576
POST-80110,LinkedIn,2023-07-05,Live,Entertainment,27482,1716,1196,577122,487078,5.27,3111534,24,Negative,488,0
POST-80111,Instagram,2023-04-28,Story,Behind the Scenes,43223,408,972,432230,359149,10.32,911415,19,Neutral,274,327670
POST-80112,TikTok,2023-01-07,Video,Educational,6592,158,310,112064,78507,6.3,657996,1,Neutral,69,3859
POST-80113,YouTube,2024-01-31,Image,Product Launch,21256,1201,154,318840,189178,7.09,3704891,1,Positive,376,43518
POST-80114,Twitter,2025-01-10,Text,News,37538,1467,24,938450,561592,4.16,2272287,9,Positive,38,0
POST-80115,Facebook,2023-08-27,Video,Product Launch,19691,1503,268,196910,153301,10.9,3567669,11,Positive,242,0
POST-80116,Facebook,2025-05-17,Live,User Generated,3966,147,61,71388,49415,5.85,1040701,21,Positive,64,0
POST-80117,Twitter,2024-08-17,Carousel,Promotional,3814,351,146,76280,40418,5.65,4284840,29,Positive,72,0
POST-80118,Instagram,2024-05-31,Image,Entertainment,35289,1668,579,846936,721255,4.43,967501,19,Neutral,370,126953
POST-80119,LinkedIn,2025-12-14,Live,Entertainment,45881,2355,406,229405,120744,21.2,3574757,20,Neutral,491,0
POST-80120,Facebook,2024-02-21,Story,Behind the Scenes,39920,1897,305,918160,481550,4.59,3368564,6,Negative,190,0
POST-80121,Facebook,2024-03-23,Carousel,Educational,23030,984,674,414540,383381,5.96,4206575,7,Negative,49,0
POST-80122,Instagram,2023-01-09,Text,Educational,28990,2269,124,840710,494140,3.73,1977205,10,Positive,406,479030
POST-80123,TikTok,2024-02-26,Story,Promotional,6914,690,178,82968,63556,9.38,3364107,23,Neutral,141,450027
POST-80124,Twitter,2023-07-15,Text,Promotional,13362,1343,279,146982,96991,10.19,3859149,14,Positive,123,0
POST-80125,YouTube,2024-07-31,Story,Tutorial,13671,466,641,382788,302087,3.86,3213938,9,Neutral,265,365176
POST-80126,YouTube,2025-02-08,Story,Tutorial,39994,174,1477,439934,348135,9.47,2828569,26,Neutral,493,233385
POST-80127,Instagram,2024-01-03,Reel,Behind the Scenes,27164,2315,965,760592,500646,4.0,1996126,9,Negative,220,437518
POST-80128,YouTube,2023-03-12,Story,User Generated,38646,3074,1731,309168,259740,14.05,4197135,8,Neutral,443,188489
POST-80129,TikTok,2025-09-04,Carousel,Promotional,9302,157,353,55812,45383,17.58,718066,25,Neutral,152,400387
POST-80130,TikTok,2025-10-15,Story,Behind the Scenes,22930,406,671,366880,192878,6.54,4952260,23,Positive,210,394535
POST-80131,Instagram,2023-08-12,Text,Product Launch,41615,706,276,1165220,1083684,3.66,1401575,17,Neutral,19,409506
POST-80132,Twitter,2025-05-31,Reel,Entertainment,13790,222,238,234430,168890,6.08,283124,2,Positive,35,0
POST-80133,Facebook,2023-09-02,Story,Promotional,26459,235,325,158754,79979,17.02,4028013,20,Positive,207,0
POST-80134,Twitter,2023-12-06,Reel,News,11955,388,399,358650,288195,3.55,280462,4,Neutral,120,0
POST-80135,LinkedIn,2023-10-13,Live,Product Launch,41633,2831,1994,874293,722145,5.31,1748107,6,Negative,218,0
POST-80136,Facebook,2025-11-16,Carousel,News,23313,2255,249,582825,324016,4.43,1314372,3,Neutral,346,0
POST-80137,LinkedIn,2025-04-25,Story,Promotional,47325,1753,336,709875,503181,6.96,4400829,18,Positive,221,0
POST-80138,YouTube,2024-07-07,Live,News,3442,192,58,48188,44420,7.66,4574294,29,Negative,11,239193
POST-80139,LinkedIn,2023-03-16,Reel,Promotional,9282,661,108,176358,114385,5.7,1295040,2,Positive,94,0
POST-80140,Facebook,2025-04-07,Reel,News,32362,188,717,485430,424962,6.85,3100624,14,Positive,581,0
POST-80141,Twitter,2023-12-06,Carousel,Product Launch,34979,1735,1668,384769,311329,9.98,572786,15,Positive,224,0
POST-80142,Facebook,2025-02-21,Image,Entertainment,5333,235,43,31998,25742,17.54,1633747,17,Positive,80,0
POST-80143,TikTok,2024-03-08,Live,Educational,36915,1114,1246,959790,551086,4.09,1029681,14,Neutral,161,402476
POST-80144,LinkedIn,2025-02-04,Story,Entertainment,21834,1215,722,414846,359093,5.73,1350370,24,Positive,221,0
POST-80145,Instagram,2024-02-18,Carousel,Tutorial,25641,902,646,615384,463723,4.42,3795576,29,Neutral,353,336012
POST-80146,Twitter,2025-11-20,Carousel,Educational,14714,1032,423,132426,66941,12.21,2229138,29,Positive,226,0
POST-80147,Instagram,2023-02-25,Live,Tutorial,46319,3696,236,416871,279644,12.05,852268,13,Positive,715,238541
POST-80148,LinkedIn,2023-06-28,Live,Behind the Scenes,9425,794,358,273325,190852,3.87,1482678,13,Positive,152,0
POST-80149,Twitter,2024-03-24,Live,Entertainment,26690,275,454,640560,376792,4.28,3371248,4,Negative,78,0
POST-80150,Instagram,2024-01-09,Reel,News,48855,4711,492,244275,145336,22.13,4165157,17,Positive,211,270395
POST-80151,Facebook,2023-07-16,Video,Educational,18150,970,88,326700,277701,5.88,450015,16,Neutral,210,0
POST-80152,Instagram,2024-12-26,Image,Tutorial,36156,1448,807,614652,321900,6.25,1759091,13,Neutral,43,347997
POST-80153,Facebook,2023-06-05,Story,Product Launch,6328,402,161,101248,60380,6.81,3822375,22,Neutral,61,0
POST-80154,LinkedIn,2023-04-09,Video,News,14800,465,481,444000,251811,3.55,3771223,28,Positive,83,0
POST-80155,YouTube,2025-08-13,Reel,Promotional,12681,575,556,329706,181123,4.19,2237030,6,Neutral,7,284136
POST-80156,Instagram,2025-02-19,Image,Educational,48206,1560,1842,1156944,722907,4.46,3502118,10,Negative,752,439241
POST-80157,Instagram,2023-10-22,Video,Entertainment,39610,3268,733,237660,184079,18.35,3487719,29,Neutral,649,433085
POST-80158,TikTok,2024-07-15,Live,Behind the Scenes,12833,518,195,269493,177243,5.03,4763269,11,Positive,189,1789
POST-80159,LinkedIn,2025-04-12,Text,Behind the Scenes,19399,1447,680,310384,208326,6.94,586076,4,Positive,221,0
POST-80160,Facebook,2023-07-06,Carousel,Behind the Scenes,18427,667,490,331686,186319,5.9,1459929,12,Negative,357,0
POST-80161,Instagram,2025-04-01,Reel,Educational,46157,2330,14,415413,351123,11.68,2338106,9,Positive,648,2934
POST-80162,TikTok,2023-05-31,Reel,Tutorial,19538,786,336,332146,193301,6.22,3089229,13,Positive,81,353672
POST-80163,Facebook,2025-11-15,Story,Educational,19188,1741,877,268632,191143,8.12,3609024,6,Positive,325,0
POST-80164,YouTube,2024-11-13,Reel,News,19016,575,282,266224,181211,7.46,3631171,19,Negative,65,191081
POST-80165,Facebook,2024-11-10,Live,Promotional,10446,747,19,52230,28846,21.47,4457066,29,Positive,28,0
POST-80166,Twitter,2023-11-03,Live,Product Launch,5681,369,134,164749,132643,3.75,3748172,5,Positive,35,0
POST-80167,TikTok,2023-01-31,Live,Tutorial,38715,3311,374,967875,775336,4.38,1677810,22,Negative,234,372877
POST-80168,LinkedIn,2023-01-16,Image,User Generated,34248,306,1035,958944,561501,3.71,3924416,26,Positive,313,0
POST-80169,Twitter,2025-09-11,Video,Behind the Scenes,22526,1206,356,135156,76239,17.82,4994657,9,Positive,425,0
POST-80170,Instagram,2023-11-12,Text,News,22139,504,1034,398502,295790,5.94,2244085,8,Positive,287,16768
POST-80171,YouTube,2025-11-19,Carousel,Educational,7896,371,266,197400,184897,4.32,4648365,5,Negative,55,244167
POST-80172,Twitter,2025-09-17,Text,Entertainment,18543,398,789,537747,274351,3.67,3687943,30,Positive,80,0
POST-80173,Instagram,2023-06-21,Carousel,Educational,5385,456,237,26925,20492,22.57,2009161,2,Positive,74,65435
POST-80174,Instagram,2023-03-09,Text,News,22613,289,1016,407034,306895,5.88,18976,23,Neutral,88,254745
POST-80175,Twitter,2025-01-17,Live,Behind the Scenes,7114,132,230,64026,58941,11.68,2660954,21,Positive,66,0
POST-80176,Twitter,2023-05-26,Carousel,Entertainment,26949,937,203,242541,182765,11.58,1388925,5,Neutral,500,0
POST-80177,YouTube,2025-10-30,Story,Educational,32984,2365,1510,692664,552024,5.32,1616868,27,Positive,81,292345
POST-80178,TikTok,2023-12-10,Carousel,Educational,26050,1077,1180,494950,431734,5.72,2101591,15,Positive,500,190736
POST-80179,TikTok,2025-04-14,Live,Product Launch,14306,732,611,171672,105331,9.12,2489989,8,Positive,112,289488
POST-80180,Twitter,2024-11-20,Story,Educational,25506,1155,374,586638,469775,4.61,1092602,23,Negative,468,0
POST-80181,Facebook,2024-07-30,Text,News,8383,786,353,134128,97063,7.1,3360846,11,Neutral,156,0
POST-80182,Twitter,2023-06-08,Live,Promotional,34867,1156,384,627606,388123,5.8,4865417,24,Neutral,8,0
POST-80183,TikTok,2023-01-02,Text,Entertainment,48646,2881,2424,340522,172193,15.84,3071646,15,Positive,466,137849
POST-80184,YouTube,2023-10-09,Image,User Generated,952,74,51,25704,21569,4.19,215388,5,Positive,21,96944
POST-80185,YouTube,2024-08-16,Image,User Generated,38376,167,1142,191880,139622,20.68,87313,25,Positive,583,191643
POST-80186,Facebook,2024-09-20,Image,Promotional,33031,2862,175,231217,134946,15.6,886151,23,Positive,291,0
POST-80187,YouTube,2023-04-08,Image,Educational,26100,2137,892,261000,171686,11.16,506550,25,Positive,21,40666
POST-80188,Facebook,2024-05-25,Text,Product Launch,22078,2117,522,463638,371506,5.33,3960928,19,Positive,176,0
POST-80189,Facebook,2025-09-04,Reel,Promotional,17352,65,521,485856,346719,3.69,1875833,26,Negative,5,0
POST-80190,Instagram,2023-09-16,Image,Promotional,47486,2820,971,1187150,694444,4.32,227223,5,Positive,390,90977
POST-80191,LinkedIn,2025-12-22,Image,Tutorial,1122,19,10,15708,10373,7.33,1045238,5,Neutral,14,0
POST-80192,YouTube,2023-03-28,Story,News,24695,330,824,666765,349864,3.88,2852137,15,Positive,97,96291
POST-80193,Facebook,2024-05-04,Image,Product Launch,43460,1027,405,825740,614987,5.44,4381976,25,Negative,837,0
POST-80194,TikTok,2023-03-25,Story,Educational,7309,75,328,124253,78941,6.21,2863594,30,Negative,8,238382
POST-80195,Facebook,2025-10-02,Image,Product Launch,31781,532,28,699182,353567,4.63,750753,13,Positive,403,0
POST-80196,TikTok,2025-04-22,Live,Tutorial,15496,884,22,387400,322384,4.23,2878010,5,Positive,202,325873
POST-80197,Twitter,2024-06-17,Live,User Generated,8881,805,3,97691,91396,9.92,1016788,29,Neutral,138,0
POST-80198,LinkedIn,2023-07-25,Image,Tutorial,26538,1005,40,344994,295118,8.0,2522956,29,Neutral,226,0
POST-80199,Instagram,2024-03-31,Text,Product Launch,41223,3611,1031,535899,269707,8.56,4732288,21,Positive,43,181046
POST-80200,YouTube,2024-06-07,Live,Tutorial,8339,748,388,150102,100989,6.31,502368,16,Positive,117,338671
POST-80201,Instagram,2023-03-17,Carousel,Promotional,5918,492,55,76934,45315,8.4,1311129,11,Neutral,116,75504
POST-80202,Instagram,2025-03-10,Story,User Generated,27919,722,882,474623,375173,6.22,2027161,27,Positive,324,439772
POST-80203,Twitter,2023-11-20,Reel,Behind the Scenes,42032,2086,2069,252192,149347,18.31,38884,5,Neutral,786,0
POST-80204,Twitter,2023-03-17,Live,User Generated,10952,901,242,219040,122671,5.52,366213,20,Positive,179,0
POST-80205,Facebook,2025-10-18,Text,Promotional,27005,81,943,324060,218097,8.65,2699242,4,Positive,53,0
POST-80206,TikTok,2024-01-11,Carousel,Behind the Scenes,40811,540,2012,326488,230098,13.28,4593954,28,Positive,685,17272
POST-80207,YouTube,2023-12-04,Video,News,36778,2690,844,220668,153630,18.27,2219003,23,Positive,319,246695
POST-80208,Instagram,2023-08-28,Carousel,Behind the Scenes,39168,1829,1106,313344,240547,13.44,713946,11,Neutral,634,396603
POST-80209,Twitter,2023-07-07,Carousel,Tutorial,39583,1206,145,356247,336630,11.49,4928589,4,Positive,376,0
POST-80210,Twitter,2025-06-07,Carousel,User Generated,22707,1213,340,317898,235412,7.63,1844055,21,Positive,201,0
POST-80211,Instagram,2025-10-29,Video,Behind the Scenes,17401,1075,331,278416,156743,6.75,4271624,8,Positive,192,94384
POST-80212,Facebook,2023-03-13,Text,Promotional,19897,272,280,378043,269583,5.41,2053963,14,Neutral,123,0
POST-80213,Twitter,2025-07-22,Image,Behind the Scenes,41279,3612,638,1238370,679955,3.68,3873085,14,Positive,90,0
POST-80214,Twitter,2024-12-13,Carousel,News,26790,131,250,294690,197176,9.22,3109619,11,Positive,197,0
POST-80215,Instagram,2025-04-09,Video,Behind the Scenes,44114,708,1542,308798,173919,15.01,3277984,18,Neutral,579,408986
POST-80216,Facebook,2024-01-20,Story,Product Launch,5254,415,67,26270,24013,21.83,1997207,3,Neutral,72,0
POST-80217,Twitter,2025-01-29,Image,User Generated,29022,1313,385,319242,290815,9.62,2338356,4,Negative,425,0
POST-80218,YouTube,2023-08-04,Carousel,Tutorial,40134,1424,1344,722412,498154,5.94,875849,24,Positive,181,423406
POST-80219,LinkedIn,2024-08-29,Live,Product Launch,15399,920,194,415773,331610,3.97,2513808,6,Neutral,76,0
POST-80220,Twitter,2024-02-03,Live,Entertainment,12619,1142,589,201904,128525,7.11,3256531,12,Positive,113,0
POST-80221,YouTube,2023-04-26,Live,Behind the Scenes,24199,983,119,580776,329051,4.36,4720144,30,Positive,464,315092
POST-80222,Twitter,2025-12-30,Carousel,News,7303,319,172,36515,32222,21.34,4699694,5,Neutral,52,0
POST-80223,YouTube,2025-05-07,Carousel,News,29500,363,1159,767000,386119,4.04,4413564,2,Positive,204,77821
POST-80224,Facebook,2025-09-26,Story,User Generated,28371,780,962,624162,505784,4.82,1059730,18,Positive,38,0
POST-80225,LinkedIn,2025-05-28,Image,News,1140,121,24,21660,17968,5.93,4678193,13,Positive,7,0
POST-80226,TikTok,2023-12-29,Text,Tutorial,46600,2642,367,652400,443276,7.6,2058302,19,Positive,373,327004
POST-80227,YouTube,2025-10-30,Video,Entertainment,40719,199,1619,1180851,975045,3.6,2972504,30,Neutral,319,249702
POST-80228,LinkedIn,2025-09-20,Video,Promotional,23581,2184,679,141486,88590,18.69,2586316,29,Negative,73,0
POST-80229,TikTok,2025-03-15,Story,Educational,47455,853,932,949100,727700,5.19,264932,16,Positive,391,55679
POST-80230,Twitter,2025-02-03,Live,News,18120,502,351,253680,174138,7.48,2506171,10,Negative,132,0
POST-80231,LinkedIn,2025-12-22,Story,User Generated,40148,1620,1917,642368,344113,6.8,2552771,12,Neutral,769,0
POST-80232,Twitter,2024-08-01,Text,User Generated,1594,63,61,47820,45085,3.59,908793,1,Positive,17,0
