order_id,order_date,customer_id,product_name,num_items,order_value_usd,shipping_cost,is_returning_customer,product_tags,country,promo_code,payment_method,delivery_status
ECO-20041,2024-02-04,CUST-7902,Monitor Stand,2,168.36,0.0,True,electronics|office|gadgets,NZ,,Apple Pay,Delivered
ECO-20042,2025-11-16,CUST-3868,Desk Pad,8,646.75,0.0,True,accessories|electronics,IE,SUMMER25,PayPal,Delivered
ECO-20043,2024-08-07,CUST-2025,Mouse Pad,7,250.28,0.0,True,ergonomic,MX,FLASH20,Debit Card,Delivered
ECO-20044,2024-11-01,CUST-9386,Mechanical Keyboard,4,310.27,0.0,True,office|accessories|electronics,SG,,Debit Card,Shipped
ECO-20045,2025-02-20,CUST-8851,Bluetooth Adapter,8,178.14,0.0,False,productivity,NO,,Debit Card,Delivered
ECO-20046,2024-03-05,CUST-5209,Screen Cleaner,7,203.82,0.0,False,gadgets|tech,DK,,Credit Card,Delivered
ECO-20047,2023-04-09,CUST-1277,Desk Pad,6,462.94,0.0,True,gadgets|office|tech,CA,HOLIDAY30,Google Pay,Returned
ECO-20048,2025-12-05,CUST-3788,Cable Organizer,5,683.22,0.0,False,home|ergonomic,DK,SUMMER25,Google Pay,Processing
ECO-20049,2025-06-16,CUST-7077,Smart Plug,3,265.64,0.0,False,gadgets|productivity|home,FR,HOLIDAY30,Credit Card,Delivered
ECO-20050,2024-01-02,CUST-8581,Desk Pad,3,60.01,5.83,True,home,NZ,HOLIDAY30,PayPal,Cancelled
ECO-20051,2023-06-17,CUST-6376,Ring Light,8,96.12,0.0,False,gadgets|productivity,DE,SAVE10,PayPal,Returned
ECO-20052,2025-10-13,CUST-7409,LED Strip,3,249.69,0.0,True,accessories,JP,,PayPal,Processing
ECO-20053,2025-06-08,CUST-5026,Microphone,2,237.1,0.0,False,office|accessories|productivity,NO,,Credit Card,Delivered
ECO-20054,2023-08-04,CUST-1769,Headphone Hook,8,604.17,0.0,False,productivity,SE,,PayPal,Processing
ECO-20055,2023-07-03,CUST-9822,Wireless Mouse,6,685.39,0.0,False,tech|productivity|gadgets,ES,,PayPal,Returned
ECO-20056,2023-02-10,CUST-2307,Wireless Mouse,2,54.12,2.8,True,accessories|productivity|home,SG,SAVE10,PayPal,Processing
ECO-20057,2024-12-16,CUST-7989,Mechanical Keyboard,2,88.14,0.0,True,gadgets|productivity|home,DE,HOLIDAY30,Credit Card,Delivered
ECO-20058,2024-08-03,CUST-3222,Cable Organizer,6,111.24,0.0,True,ergonomic|office|electronics,CA,WELCOME15,Google Pay,Cancelled
ECO-20059,2024-02-26,CUST-3291,Bluetooth Adapter,7,812.38,0.0,True,gadgets,NZ,FLASH20,Google Pay,Delivered
ECO-20060,2024-03-04,CUST-1988,Wireless Mouse,6,263.28,0.0,False,gadgets|productivity|electronics,CA,WELCOME15,Debit Card,Cancelled
ECO-20061,2024-05-19,CUST-7321,Screen Cleaner,2,202.19,0.0,True,ergonomic|home|office,IT,WELCOME15,Credit Card,Delivered
ECO-20062,2025-02-16,CUST-1697,Webcam,5,222.27,0.0,True,ergonomic|office,KR,,PayPal,Returned
ECO-20063,2025-02-13,CUST-5833,Desk Lamp,7,74.59,8.37,True,home|accessories,CA,FLASH20,Credit Card,Delivered
ECO-20064,2023-08-03,CUST-6297,Ergonomic Chair,8,1153.97,0.0,False,home|electronics|accessories,UK,WELCOME15,Credit Card,Delivered
ECO-20065,2024-01-22,CUST-1135,Phone Stand,1,28.95,3.42,True,productivity|office,SE,,Google Pay,Delivered
ECO-20066,2024-06-23,CUST-8426,USB Hub,5,523.5,0.0,True,gadgets|productivity|office,US,FLASH20,Google Pay,Delivered
ECO-20067,2025-05-06,CUST-1058,Ring Light,8,530.39,0.0,True,home,DK,HOLIDAY30,Apple Pay,Shipped
ECO-20068,2024-10-17,CUST-4885,Mouse Pad,6,153.98,0.0,False,ergonomic,DE,SUMMER25,Debit Card,Delivered
ECO-20069,2023-02-13,CUST-2963,USB Hub,7,859.92,0.0,False,tech|office,MX,,Google Pay,Delivered
ECO-20070,2025-11-04,CUST-8698,Bluetooth Adapter,8,310.21,0.0,False,electronics|gadgets|office,JP,FLASH20,Debit Card,Cancelled
ECO-20071,2025-07-09,CUST-2544,Laptop Sleeve,1,126.12,0.0,True,tech|home|ergonomic,IT,,Google Pay,Returned
ECO-20072,2023-02-17,CUST-7486,Webcam,3,258.88,0.0,False,accessories|tech,IN,,PayPal,Delivered
ECO-20073,2023-06-24,CUST-6834,Bluetooth Adapter,1,111.38,0.0,False,tech,IN,SAVE10,Credit Card,Delivered
ECO-20074,2023-04-26,CUST-5458,USB Hub,8,852.2,0.0,True,home,IT,,Google Pay,Delivered
ECO-20075,2023-05-02,CUST-6071,USB Hub,8,880.34,0.0,True,home,IE,SUMMER25,Credit Card,Cancelled
ECO-20076,2023-11-06,CUST-7666,Ergonomic Chair,7,1033.3,0.0,True,gadgets,CA,SUMMER25,Debit Card,Delivered
ECO-20077,2024-01-15,CUST-4505,Desk Lamp,5,59.79,6.27,False,office,IE,,Credit Card,Delivered
ECO-20078,2024-09-17,CUST-2625,Screen Cleaner,7,585.32,0.0,True,ergonomic,US,,Google Pay,Returned
ECO-20079,2025-07-07,CUST-1575,Mechanical Keyboard,3,53.56,6.09,False,productivity,SE,,Credit Card,Processing
ECO-20080,2024-02-07,CUST-1510,Wireless Mouse,7,1009.27,0.0,False,ergonomic|home,ES,,Credit Card,Delivered
ECO-20081,2025-10-10,CUST-1201,Wireless Mouse,4,116.47,0.0,False,ergonomic,CA,,Credit Card,Cancelled
ECO-20082,2023-12-18,CUST-7236,Ring Light,3,69.28,3.35,True,ergonomic|tech|gadgets,NL,SUMMER25,PayPal,Delivered
ECO-20083,2023-09-03,CUST-5159,Mouse Pad,1,122.6,0.0,False,productivity|ergonomic|tech,SG,,Google Pay,Delivered
ECO-20084,2023-05-21,CUST-8451,Phone Stand,8,1014.34,0.0,False,productivity,UK,,PayPal,Shipped
ECO-20085,2024-08-23,CUST-3362,Monitor Stand,3,107.14,0.0,False,accessories,ES,,PayPal,Shipped
ECO-20086,2023-06-18,CUST-1278,Ring Light,3,430.83,0.0,False,ergonomic|productivity,SG,,Apple Pay,Delivered
ECO-20087,2024-03-02,CUST-6785,Mouse Pad,3,206.68,0.0,True,accessories,SG,FLASH20,Credit Card,Cancelled
ECO-20088,2024-09-06,CUST-3194,Phone Stand,1,145.87,0.0,False,gadgets|home|productivity,IT,,Apple Pay,Delivered
ECO-20089,2023-09-27,CUST-6237,Desk Pad,2,49.76,4.48,True,productivity,IE,FLASH20,Debit Card,Returned
ECO-20090,2024-06-06,CUST-9416,Portable SSD,8,702.72,0.0,True,ergonomic,NL,,Credit Card,Shipped
ECO-20091,2024-09-30,CUST-9375,Laptop Sleeve,8,369.88,0.0,False,office|home|tech,NO,,Apple Pay,Shipped
ECO-20092,2023-09-25,CUST-1714,Mechanical Keyboard,2,142.41,0.0,False,electronics|ergonomic|home,FR,,Debit Card,Delivered
ECO-20093,2024-07-24,CUST-5430,Bluetooth Adapter,5,406.9,0.0,True,accessories|tech|office,NO,HOLIDAY30,Apple Pay,Processing
ECO-20094,2024-07-15,CUST-1159,Desk Lamp,7,253.74,0.0,True,electronics,SG,,Credit Card,Processing
ECO-20095,2024-11-04,CUST-4568,Wireless Mouse,1,133.01,0.0,True,tech,IE,HOLIDAY30,Apple Pay,Delivered
ECO-20096,2024-08-20,CUST-2822,Microphone,7,514.37,0.0,True,office,DE,SAVE10,Credit Card,Returned
ECO-20097,2023-01-06,CUST-2512,Screen Cleaner,1,91.15,0.0,True,accessories,SG,,Apple Pay,Cancelled
ECO-20098,2023-04-02,CUST-6518,Cable Organizer,7,78.73,0.0,True,productivity|electronics|accessories,NL,,Credit Card,Delivered
ECO-20099,2023-02-17,CUST-5080,Portable SSD,5,529.01,0.0,True,electronics,KR,,Credit Card,Delivered
ECO-20100,2024-10-13,CUST-7051,Phone Stand,2,205.4,0.0,False,accessories|productivity|home,MX,,Credit Card,Delivered
ECO-20101,2024-06-16,CUST-4918,Phone Stand,1,19.58,0.95,False,tech|electronics,ES,FLASH20,Google Pay,Shipped
ECO-20102,2024-08-03,CUST-8076,Bluetooth Adapter,5,654.26,0.0,True,tech|ergonomic|productivity,IE,,Debit Card,Delivered
ECO-20103,2023-10-13,CUST-3493,Webcam,2,212.84,0.0,True,ergonomic|home|accessories,US,,Apple Pay,Delivered
ECO-20104,2023-03-10,CUST-2147,Smart Plug,6,480.67,0.0,False,gadgets|office|electronics,BR,WELCOME15,PayPal,Returned
ECO-20105,2024-09-30,CUST-4641,Headphone Hook,3,429.43,0.0,False,tech,MX,,PayPal,Delivered
ECO-20106,2023-10-13,CUST-2903,Portable SSD,6,150.03,0.0,True,accessories|productivity|gadgets,ES,WELCOME15,Google Pay,Delivered
ECO-20107,2024-08-10,CUST-1519,Mechanical Keyboard,7,182.13,0.0,False,accessories|office|tech,IN,FLASH20,Apple Pay,Delivered
ECO-20108,2023-04-21,CUST-3348,Bluetooth Adapter,2,55.78,2.89,True,office,AU,,PayPal,Returned
ECO-20109,2023-05-21,CUST-1481,Phone Stand,6,135.24,0.0,False,ergonomic,SE,FLASH20,Debit Card,Delivered
ECO-20110,2024-06-13,CUST-1753,Cable Organizer,5,317.28,0.0,True,ergonomic,SE,,Debit Card,Returned
ECO-20111,2023-02-21,CUST-6454,Laptop Sleeve,2,194.17,0.0,True,ergonomic|gadgets,JP,SAVE10,Apple Pay,Delivered
ECO-20112,2024-06-15,CUST-7911,Monitor Stand,4,235.84,0.0,False,accessories|office,ES,,PayPal,Cancelled
ECO-20113,2024-01-11,CUST-1062,LED Strip,7,514.0,0.0,False,productivity|accessories,NL,,PayPal,Shipped
ECO-20114,2023-06-06,CUST-7697,Desk Pad,8,1069.94,0.0,False,home|productivity|ergonomic,MX,SUMMER25,Apple Pay,Delivered
ECO-20115,2023-11-23,CUST-6924,Wireless Mouse,1,99.48,0.0,True,office|productivity,NZ,SAVE10,Google Pay,Cancelled
ECO-20116,2024-09-09,CUST-6131,Phone Stand,3,82.73,0.0,True,tech|accessories,SE,FLASH20,Google Pay,Delivered
ECO-20117,2023-08-15,CUST-8091,Phone Stand,3,66.49,6.73,False,gadgets,IN,,Credit Card,Returned
ECO-20118,2024-07-20,CUST-2440,USB Hub,5,499.97,0.0,True,ergonomic|productivity|office,IE,HOLIDAY30,Credit Card,Delivered
ECO-20119,2025-08-07,CUST-4825,Cable Organizer,4,41.41,3.73,True,home|ergonomic,NZ,,Credit Card,Shipped
ECO-20120,2025-05-09,CUST-7638,Phone Stand,1,149.03,0.0,True,office|productivity,DE,,PayPal,Delivered
ECO-20121,2023-11-26,CUST-5570,Monitor Stand,6,321.24,0.0,True,tech,DE,FLASH20,Credit Card,Shipped
ECO-20122,2025-12-17,CUST-9137,Webcam,7,74.11,8.53,True,productivity|tech|ergonomic,JP,,Credit Card,Delivered
ECO-20123,2023-08-04,CUST-1810,Monitor Stand,8,696.85,0.0,True,tech|ergonomic,JP,SAVE10,Apple Pay,Delivered
ECO-20124,2024-05-07,CUST-9132,USB Hub,2,230.06,0.0,False,productivity|tech|gadgets,DE,FLASH20,PayPal,Processing
ECO-20125,2023-04-15,CUST-5667,Bluetooth Adapter,5,118.97,0.0,False,tech|gadgets,DE,,PayPal,Cancelled
ECO-20126,2024-11-28,CUST-3713,USB Hub,4,229.11,0.0,True,accessories|home,NZ,SUMMER25,Google Pay,Delivered
ECO-20127,2025-08-23,CUST-1921,Laptop Sleeve,3,357.34,0.0,False,productivity,DE,FLASH20,Credit Card,Delivered
ECO-20128,2025-08-20,CUST-4322,Microphone,3,84.51,0.0,False,ergonomic|electronics,DE,HOLIDAY30,PayPal,Cancelled
ECO-20129,2024-11-24,CUST-2737,Wireless Mouse,4,62.58,6.82,True,tech|gadgets,IE,WELCOME15,Debit Card,Cancelled
ECO-20130,2025-10-22,CUST-5803,Ergonomic Chair,1,12.06,1.07,True,productivity,AU,,Credit Card,Returned
ECO-20131,2023-03-19,CUST-7265,Desk Pad,7,660.42,0.0,False,home|electronics,SG,,Apple Pay,Cancelled
ECO-20132,2024-12-31,CUST-2939,Laptop Sleeve,2,142.34,0.0,False,accessories|tech|ergonomic,UK,,Apple Pay,Shipped
ECO-20133,2023-10-25,CUST-8869,Wireless Mouse,7,141.25,0.0,True,gadgets,UK,HOLIDAY30,Debit Card,Delivered
ECO-20134,2024-07-31,CUST-2843,Microphone,4,433.58,0.0,True,accessories|ergonomic|home,MX,HOLIDAY30,Credit Card,Delivered
ECO-20135,2023-02-18,CUST-7964,Microphone,1,52.2,2.07,True,gadgets,BR,,PayPal,Delivered
ECO-20136,2025-01-24,CUST-6975,Desk Pad,2,125.58,0.0,False,home|electronics|gadgets,BR,,Google Pay,Processing
ECO-20137,2024-04-21,CUST-2531,Wireless Mouse,5,434.97,0.0,False,office,IN,SUMMER25,Apple Pay,Shipped
ECO-20138,2023-11-15,CUST-7954,USB Hub,8,646.23,0.0,False,electronics|home,ES,WELCOME15,Credit Card,Delivered
ECO-20139,2023-06-06,CUST-6398,USB Hub,8,1096.52,0.0,True,gadgets,NO,SUMMER25,Google Pay,Delivered
ECO-20140,2024-11-30,CUST-7166,Mechanical Keyboard,6,278.06,0.0,False,electronics,NL,,PayPal,Shipped
ECO-20141,2024-08-22,CUST-7058,Phone Stand,7,813.21,0.0,False,ergonomic|office,UK,WELCOME15,Credit Card,Cancelled
ECO-20142,2023-07-28,CUST-9192,Bluetooth Adapter,1,74.5,2.64,True,productivity|ergonomic,IN,SUMMER25,Google Pay,Delivered
ECO-20143,2025-09-12,CUST-6028,Laptop Sleeve,1,40.31,2.97,True,ergonomic,MX,,Debit Card,Processing
ECO-20144,2025-07-29,CUST-3654,Ring Light,3,191.0,0.0,True,home|productivity,NL,HOLIDAY30,Apple Pay,Delivered
ECO-20145,2025-07-12,CUST-5919,Mechanical Keyboard,3,263.1,0.0,False,productivity|accessories,FR,,Apple Pay,Returned
ECO-20146,2024-02-28,CUST-2107,Ergonomic Chair,3,230.86,0.0,False,productivity,SG,FLASH20,PayPal,Processing
ECO-20147,2023-09-14,CUST-8065,LED Strip,4,540.15,0.0,False,tech|electronics|gadgets,US,SAVE10,Google Pay,Returned
ECO-20148,2024-04-23,CUST-7070,Laptop Sleeve,3,54.16,3.26,False,gadgets,US,HOLIDAY30,Google Pay,Delivered
ECO-20149,2025-08-29,CUST-2373,Mouse Pad,4,363.52,0.0,False,home|productivity,US,WELCOME15,PayPal,Processing
ECO-20150,2025-04-22,CUST-8760,LED Strip,8,144.71,0.0,False,gadgets|accessories,IN,,Apple Pay,Delivered
ECO-20151,2023-02-26,CUST-9633,Phone Stand,4,505.46,0.0,True,ergonomic,JP,FLASH20,PayPal,Cancelled
ECO-20152,2024-02-27,CUST-3412,Smart Plug,3,55.05,2.52,True,office,KR,WELCOME15,Apple Pay,Returned
ECO-20153,2023-09-05,CUST-3693,Mechanical Keyboard,8,199.4,0.0,False,gadgets,DE,SAVE10,Debit Card,Returned
ECO-20154,2024-04-21,CUST-7960,Ring Light,1,62.47,7.16,True,accessories,AU,,PayPal,Returned
ECO-20155,2023-01-29,CUST-5360,Desk Lamp,2,299.13,0.0,False,ergonomic|productivity,CA,,Apple Pay,Delivered
ECO-20156,2023-05-27,CUST-1316,Ergonomic Chair,8,600.3,0.0,True,electronics|ergonomic,UK,WELCOME15,Credit Card,Delivered
ECO-20157,2024-08-19,CUST-7770,Bluetooth Adapter,4,156.86,0.0,True,home|electronics,NO,,Credit Card,Cancelled
ECO-20158,2023-11-24,CUST-8098,Laptop Sleeve,5,597.76,0.0,True,electronics|home|tech,NL,WELCOME15,Debit Card,Delivered
ECO-20159,2023-11-17,CUST-6325,USB Hub,6,577.26,0.0,True,electronics|office|ergonomic,AU,SUMMER25,PayPal,Delivered
ECO-20160,2023-11-24,CUST-4640,Headphone Hook,2,250.23,0.0,True,productivity|tech,FR,FLASH20,Apple Pay,Cancelled
ECO-20161,2025-03-20,CUST-8432,Desk Lamp,6,752.21,0.0,False,electronics|home,SG,SAVE10,Google Pay,Processing
ECO-20162,2023-02-17,CUST-9284,Desk Pad,8,889.52,0.0,False,tech|electronics,SG,WELCOME15,Apple Pay,Delivered
ECO-20163,2023-12-14,CUST-2692,Ring Light,1,86.39,0.0,True,tech|office|productivity,CA,WELCOME15,Debit Card,Delivered
ECO-20164,2023-03-08,CUST-1566,Ring Light,5,231.33,0.0,True,accessories,IT,,PayPal,Delivered
ECO-20165,2023-12-21,CUST-5008,Headphone Hook,1,144.04,0.0,True,accessories,IT,WELCOME15,Debit Card,Delivered
ECO-20166,2023-08-21,CUST-5647,Mouse Pad,4,594.01,0.0,True,productivity,NO,HOLIDAY30,Google Pay,Shipped
ECO-20167,2024-03-02,CUST-5023,Ergonomic Chair,4,462.83,0.0,True,electronics|ergonomic,AU,FLASH20,PayPal,Delivered
ECO-20168,2023-02-24,CUST-9820,Laptop Sleeve,6,534.04,0.0,True,home,IN,,PayPal,Delivered
ECO-20169,2025-06-28,CUST-7435,Mouse Pad,6,691.14,0.0,True,office,FR,,Apple Pay,Returned
ECO-20170,2024-02-10,CUST-6062,Ring Light,2,154.71,0.0,False,accessories|tech,US,FLASH20,PayPal,Shipped
ECO-20171,2023-07-10,CUST-6601,Microphone,4,544.94,0.0,True,accessories|office|electronics,KR,,PayPal,Delivered
ECO-20172,2025-09-13,CUST-7566,Webcam,6,254.98,0.0,False,ergonomic|accessories,FR,HOLIDAY30,Apple Pay,Shipped
ECO-20173,2025-02-23,CUST-3324,Wireless Mouse,2,271.24,0.0,False,ergonomic,BR,,Credit Card,Delivered
ECO-20174,2025-12-27,CUST-3251,Phone Stand,5,270.78,0.0,True,accessories,DE,,Debit Card,Delivered
ECO-20175,2024-11-10,CUST-4438,Webcam,6,68.34,2.63,True,office|accessories|ergonomic,UK,HOLIDAY30,Apple Pay,Cancelled
ECO-20176,2025-08-02,CUST-3078,Headphone Hook,3,139.59,0.0,False,accessories,CA,HOLIDAY30,Google Pay,Delivered
ECO-20177,2024-06-04,CUST-9842,USB Hub,6,648.35,0.0,True,tech|accessories|home,SG,SUMMER25,Credit Card,Returned
ECO-20178,2025-10-06,CUST-4248,Ergonomic Chair,7,882.92,0.0,True,productivity,IT,,Debit Card,Delivered
ECO-20179,2023-12-06,CUST-9894,Cable Organizer,6,452.51,0.0,False,tech|home,ES,HOLIDAY30,Debit Card,Delivered
ECO-20180,2023-12-18,CUST-8828,Webcam,6,647.56,0.0,False,tech,NZ,SAVE10,Apple Pay,Cancelled
ECO-20181,2023-09-14,CUST-4550,Mouse Pad,3,182.21,0.0,False,productivity,AU,HOLIDAY30,PayPal,Delivered
ECO-20182,2024-01-11,CUST-4004,Headphone Hook,6,67.24,2.66,False,home,KR,,Google Pay,Returned
ECO-20183,2024-01-22,CUST-1208,Monitor Stand,5,666.57,0.0,True,electronics,IN,,Debit Card,Delivered
ECO-20184,2023-01-24,CUST-7840,Screen Cleaner,1,94.77,0.0,True,ergonomic|tech|office,SE,FLASH20,Credit Card,Shipped
ECO-20185,2024-12-02,CUST-6919,Portable SSD,1,144.8,0.0,True,office,SG,SAVE10,Credit Card,Delivered
ECO-20186,2024-04-19,CUST-4598,Laptop Sleeve,2,33.97,3.34,False,accessories,FR,,Debit Card,Cancelled
ECO-20187,2023-07-11,CUST-4640,Screen Cleaner,2,285.9,0.0,True,tech|electronics|ergonomic,NZ,,Apple Pay,Cancelled
ECO-20188,2023-03-18,CUST-7557,USB Hub,6,395.98,0.0,False,ergonomic,SE,,Apple Pay,Shipped
ECO-20189,2024-03-23,CUST-4739,Bluetooth Adapter,6,68.67,5.6,True,home,SE,,Apple Pay,Returned
ECO-20190,2023-10-28,CUST-4368,Ergonomic Chair,4,417.05,0.0,False,tech,DK,SAVE10,Debit Card,Delivered
ECO-20191,2025-06-10,CUST-4277,USB Hub,5,146.05,0.0,False,home|productivity,MX,,PayPal,Cancelled
ECO-20192,2024-01-01,CUST-7362,LED Strip,8,606.25,0.0,False,productivity|ergonomic,UK,FLASH20,PayPal,Shipped
ECO-20193,2024-08-21,CUST-1737,Phone Stand,3,291.94,0.0,False,ergonomic,ES,WELCOME15,Credit Card,Cancelled
ECO-20194,2023-02-10,CUST-9100,Microphone,2,254.05,0.0,True,home,AU,,PayPal,Shipped
ECO-20195,2024-03-24,CUST-5379,Monitor Stand,8,424.57,0.0,False,electronics,IN,WELCOME15,Apple Pay,Processing
ECO-20196,2024-02-07,CUST-8350,Ring Light,7,631.15,0.0,True,gadgets,MX,HOLIDAY30,Debit Card,Delivered
ECO-20197,2025-02-14,CUST-1679,Phone Stand,3,205.57,0.0,False,electronics,NZ,FLASH20,Debit Card,Delivered
ECO-20198,2023-01-25,CUST-4721,LED Strip,1,93.39,0.0,False,gadgets|electronics|ergonomic,IN,,Credit Card,Returned
ECO-20199,2024-07-24,CUST-1262,Mechanical Keyboard,4,219.92,0.0,True,office|accessories,SE,,Debit Card,Cancelled
ECO-20200,2025-04-20,CUST-8464,LED Strip,2,102.21,0.0,False,electronics|ergonomic,UK,FLASH20,Apple Pay,Delivered
ECO-20201,2025-07-13,CUST-5200,Portable SSD,6,797.92,0.0,False,productivity,BR,FLASH20,Google Pay,Delivered
ECO-20202,2025-01-23,CUST-2427,LED Strip,5,667.59,0.0,False,tech|ergonomic|office,KR,SUMMER25,PayPal,Delivered
ECO-20203,2023-01-23,CUST-8445,Desk Pad,5,284.17,0.0,False,home,BR,WELCOME15,Apple Pay,Returned
ECO-20204,2023-03-10,CUST-4733,Laptop Sleeve,6,815.52,0.0,False,productivity|home,NZ,,PayPal,Delivered
ECO-20205,2025-03-22,CUST-4456,Wireless Mouse,8,801.97,0.0,False,office|home,FR,,PayPal,Returned
ECO-20206,2025-04-20,CUST-5607,Monitor Stand,8,1100.57,0.0,True,ergonomic|home|gadgets,NZ,FLASH20,Debit Card,Delivered
ECO-20207,2025-10-25,CUST-1764,Screen Cleaner,6,628.05,0.0,False,productivity,JP,SAVE10,PayPal,Cancelled
ECO-20208,2025-03-29,CUST-6159,Mouse Pad,1,113.86,0.0,True,home|ergonomic|office,FR,,Apple Pay,Delivered
