respondent_id,department,job_level,tenure_years,engagement_score,satisfaction_score,manager_score,worklife_balance,growth_opportunity,recognition,compensation_fairness,team_collaboration,overall_recommend,response_date,attrition_risk
RESP-30074,Product,Manager,8.2,3.24,3.75,3.37,3.18,4.04,3.28,3.42,3.13,8,2024-10-07,Low
RESP-30075,Customer Support,Manager,4.0,3.54,3.53,3.01,2.42,3.56,4.58,2.6,3.65,2,2023-05-09,Low
RESP-30076,Legal,Individual Contributor,16.5,2.62,3.64,3.0,3.3,2.71,3.66,3.7,3.49,1,2023-12-27,Medium
RESP-30077,Product,Individual Contributor,18.4,4.47,2.71,3.59,2.02,3.18,3.67,3.07,2.56,9,2025-10-12,Low
RESP-30078,Product,Director,17.4,4.38,4.96,2.81,2.19,3.1,3.71,1.87,3.32,6,2023-07-06,Low
RESP-30079,Engineering,Team Lead,3.5,3.69,5,3.62,4.18,1.96,3.33,2.77,4.51,6,2025-10-11,Low
RESP-30080,Operations,Director,19.5,2.79,2.69,4.61,4.4,3.02,4.99,2.99,4.27,3,2024-11-04,Medium
RESP-30081,Engineering,Manager,18.1,4.39,3.11,3.2,3.93,2.73,4.75,3.63,4.3,3,2023-07-10,Low
RESP-30082,Finance,Manager,0.9,3.06,2.9,3.29,3.46,3.32,3.62,2.74,4.41,2,2023-02-17,Medium
RESP-30083,Design,Manager,15.6,3.04,3.73,3.92,3.26,1.92,5,2.64,2.9,5,2025-09-24,Medium
RESP-30084,Customer Support,Team Lead,19.1,5,3.06,4.03,3.64,4.69,4.68,3.07,4.39,7,2024-08-02,Low
RESP-30085,Legal,Director,5.1,4.27,2.62,4.18,2.86,2.99,2.53,2.2,3.39,5,2023-11-23,Low
RESP-30086,Legal,Team Lead,8.8,3.96,4.5,3.87,3.99,4.14,3.05,4.64,3.97,10,2024-10-02,Low
RESP-30087,Operations,Senior IC,16.4,4.4,3.4,4.33,1.37,2.78,3.31,3.6,3.13,2,2023-06-24,Low
RESP-30088,Product,Director,3.5,3.44,3.71,3.58,3.77,2.1,5,3.66,3.21,1,2024-08-17,Low
RESP-30089,Finance,Director,6.2,4.15,3.67,3.35,1.84,3.74,2.74,2.67,3.98,7,2023-09-19,Low
RESP-30090,Marketing,Manager,0.9,3.92,4.66,2.9,3.51,2.84,1.34,3.37,3.95,1,2024-12-12,Low
RESP-30091,Customer Support,Manager,15.1,2.46,2.46,2.75,3.28,3.11,4.14,2.65,4.2,9,2024-06-02,High
RESP-30092,Legal,Director,9.7,3.95,4.7,3.34,4.52,3.47,3.25,2.58,3.98,1,2024-12-17,Low
RESP-30093,Operations,Individual Contributor,1.7,3.67,4.88,3.24,3.51,2.1,2.34,4.46,4.02,1,2025-01-21,Low
RESP-30094,Finance,VP,6.9,3.35,2.79,3.28,3.82,3.71,3.04,2.36,3.39,2,2024-04-09,Low
RESP-30095,Engineering,Team Lead,15.5,3.37,4.48,3.64,4.33,2.99,2.51,2.55,2.78,1,2023-03-07,Low
RESP-30096,Finance,Individual Contributor,18.3,2.77,3.25,4.97,2.92,2.67,3.14,3.93,4.62,1,2024-11-07,Medium
RESP-30097,Engineering,Director,0.6,2.25,3.93,3.42,3.01,2.95,1.01,2.08,4.28,5,2023-09-23,Medium
RESP-30098,Finance,Individual Contributor,18.8,4.66,5,4.19,3.16,2.16,3.39,1.11,3.71,9,2025-06-09,Low
RESP-30099,Legal,Individual Contributor,8.4,2.19,4.8,3.39,3.67,2.51,2.46,3.85,3.52,8,2024-09-02,Medium
RESP-30100,Marketing,Senior IC,1.8,3.58,2.23,3.12,2.88,3.7,4.4,2.23,3.45,3,2023-06-02,Low
RESP-30101,HR,Team Lead,10.9,3.58,3.62,3.81,3.37,2.5,5,3.63,3.62,6,2024-09-03,Low
RESP-30102,HR,Manager,2.0,4.8,4.42,3.33,3.14,2.4,4.13,4.23,3.34,8,2023-03-11,Low
RESP-30103,Customer Support,Team Lead,14.1,4.42,3.62,3.06,4.62,3.6,3.66,1.69,3.94,7,2024-11-10,Low
RESP-30104,Design,Senior IC,19.5,2.09,3.62,4.29,3.11,2.88,1.56,3.13,3.29,4,2023-10-16,Medium
RESP-30105,Marketing,VP,11.5,3.69,3.41,4.13,3.99,2.9,4.65,2.18,2.47,5,2024-01-01,Low
RESP-30106,Product,Director,16.9,3.68,4.67,4.4,3.37,2.49,3.73,2.89,3.3,6,2023-11-21,Low
RESP-30107,Customer Support,Individual Contributor,18.0,4.07,4.06,1.85,3.63,2.34,3.35,4.85,3.91,6,2025-10-26,Low
RESP-30108,Marketing,Senior IC,4.4,3.95,4.89,3.35,4.41,2.95,3.05,2.69,4.0,6,2024-10-26,Low
RESP-30109,Engineering,VP,9.7,3.48,3.61,3.74,3.3,3.85,3.36,4.94,4.38,10,2025-05-05,Low
RESP-30110,Design,Director,3.2,3.64,4.37,2.74,2.97,3.36,3.37,4.35,3.3,2,2025-12-01,Low
RESP-30111,Design,Senior IC,15.1,4.09,3.94,3.58,3.27,4.21,4.51,1.57,2.75,4,2024-09-13,Low
RESP-30112,Design,Manager,16.2,2.81,3.2,2.58,1.9,4.76,3.76,3.91,2.91,8,2025-08-17,Medium
RESP-30113,Legal,Senior IC,13.6,3.71,2.36,3.75,5,3.16,2.46,2.3,4.64,1,2025-06-18,Low
RESP-30114,Customer Support,Manager,1.8,2.7,4.21,3.5,4.05,3.51,3.49,2.84,4.05,3,2023-03-21,Medium
RESP-30115,Finance,Team Lead,5.1,4.03,1.3,2.02,2.86,2.65,4.05,1.58,2.59,9,2023-12-03,Low
RESP-30116,HR,Individual Contributor,17.7,2.78,3.43,3.34,2.47,3.57,3.84,2.84,3.77,3,2025-08-14,Medium
RESP-30117,Legal,Director,6.5,2.71,4.5,4.19,3.23,4.55,4.02,4.06,3.09,3,2023-06-08,Medium
RESP-30118,Engineering,Individual Contributor,2.5,3.95,2.0,4.3,2.52,3.82,4.05,2.68,4.6,1,2024-09-17,Low
RESP-30119,Marketing,Director,3.5,1.65,2.48,3.85,4.71,1.89,3.31,3.96,3.27,9,2023-03-11,High
RESP-30120,Design,Director,7.7,3.01,3.53,2.88,1.4,3.77,2.47,3.23,3.44,8,2024-03-19,Medium
RESP-30121,Engineering,Senior IC,2.3,4.34,3.91,4.4,3.81,2.37,3.55,2.28,4.02,1,2025-04-23,Low
RESP-30122,Product,Senior IC,4.7,2.37,2.47,3.41,2.19,2.55,4.59,2.2,3.09,4,2023-12-15,High
RESP-30123,Operations,Senior IC,1.9,3.5,3.72,3.76,2.01,1.81,3.96,3.26,3.29,6,2024-04-12,Low
RESP-30124,Customer Support,Team Lead,6.4,3.85,3.16,3.61,2.54,3.06,2.29,3.23,3.57,8,2023-03-07,Low
RESP-30125,Sales,Individual Contributor,8.2,2.48,2.67,3.54,3.16,2.44,4.83,1.48,3.03,3,2023-02-20,Medium
RESP-30126,Finance,Team Lead,2.6,2.53,3.49,3.89,3.45,2.77,2.76,4.34,2.71,4,2025-10-19,Medium
RESP-30127,Sales,Manager,5.3,3.92,3.21,3.93,4.54,2.39,3.28,2.32,3.51,9,2024-03-01,Low
RESP-30128,Sales,Senior IC,2.7,3.98,3.23,3.13,3.22,3.13,3.47,2.03,2.94,5,2025-10-29,Low
RESP-30129,Product,Senior IC,17.8,3.16,4.57,5,2.83,4.7,3.06,2.89,3.67,8,2023-01-11,Medium
RESP-30130,Customer Support,Team Lead,7.3,3.53,1.96,4.7,2.79,2.63,1.9,3.34,3.66,9,2025-01-21,Low
RESP-30131,Finance,Senior IC,5.3,3.63,2.2,3.29,3.73,1.33,3.05,5,4.16,8,2023-04-23,Low
RESP-30132,Operations,Team Lead,6.1,3.88,3.17,3.86,1.98,2.74,3.5,3.17,3.14,2,2025-03-21,Low
RESP-30133,Finance,VP,2.7,1.65,4.15,3.35,2.74,4.07,3.75,1.69,4.0,3,2025-09-02,Medium
RESP-30134,Product,Individual Contributor,15.4,3.61,2.55,2.64,4.51,2.79,2.76,4.65,2.55,5,2024-01-12,Low
RESP-30135,Product,Manager,17.1,4.46,2.58,4.42,2.36,2.29,4.53,3.56,3.9,6,2025-04-21,Low
RESP-30136,Legal,Senior IC,13.6,2.63,3.34,4.02,3.7,2.71,4.51,3.66,2.89,5,2024-03-27,Medium
RESP-30137,Marketing,Senior IC,16.7,4.21,3.5,3.09,3.6,2.59,3.51,2.0,4.18,9,2023-07-24,Low
RESP-30138,Engineering,Senior IC,7.9,3.39,3.44,3.6,4.82,2.6,2.52,5,2.72,5,2025-07-10,Low
RESP-30139,Operations,Individual Contributor,4.8,3.46,4.64,3.52,2.89,3.57,3.22,4.99,2.31,6,2023-09-27,Low
RESP-30140,Finance,Senior IC,14.6,2.96,4.23,2.62,1.98,3.16,2.83,3.3,4.08,4,2023-02-04,Medium
RESP-30141,Marketing,Director,17.9,4.31,3.94,4.02,4.24,1.98,2.79,4.22,3.77,2,2025-09-11,Low
RESP-30142,Finance,VP,1.5,3.11,3.6,2.91,3.13,2.92,3.37,3.64,2.78,4,2025-04-06,Medium
RESP-30143,Marketing,Team Lead,7.3,3.82,2.86,2.24,3.48,2.74,3.23,4.51,5,9,2023-12-27,Low
RESP-30144,Finance,Manager,16.3,3.95,3.0,3.7,1.6,4.4,4.16,2.81,3.09,9,2023-08-04,Low
RESP-30145,Operations,Team Lead,4.4,4.15,2.31,4.8,1.59,3.93,3.99,3.18,2.91,2,2023-05-27,Low
RESP-30146,Sales,Team Lead,10.3,4.2,3.81,4.43,2.06,4.56,3.04,4.87,2.58,1,2025-07-06,Low
RESP-30147,Operations,Manager,13.9,3.41,3.54,3.85,2.18,3.01,2.59,2.78,3.36,5,2025-05-28,Low
RESP-30148,Finance,Manager,6.8,5,4.54,3.47,4.88,3.13,1,3.72,2.63,10,2024-03-23,Low
RESP-30149,Design,Manager,8.0,4.06,4.3,2.38,3.05,3.47,4.17,3.03,3.34,1,2025-04-26,Low
RESP-30150,Sales,VP,13.8,3.43,3.49,2.19,3.1,2.38,3.09,2.78,3.75,9,2024-04-17,Low
RESP-30151,Sales,Team Lead,10.3,3.29,2.16,3.61,3.25,2.9,3.41,1.28,2.75,8,2024-05-26,Low
RESP-30152,Design,Manager,4.7,3.23,3.64,3.32,1.43,3.96,2.75,3.74,3.86,9,2023-05-05,Low
RESP-30153,Product,Director,12.0,4.44,3.12,4.58,3.27,4.07,5,3.44,3.42,2,2025-02-21,Low
RESP-30154,Operations,Manager,1.2,3.92,3.53,2.42,2.74,3.43,2.56,2.68,3.24,8,2025-01-18,Low
RESP-30155,Sales,Manager,8.1,2.92,4.43,2.67,2.37,3.51,2.62,1.72,2.7,7,2023-11-26,Medium
RESP-30156,Marketing,Individual Contributor,13.7,3.24,3.86,3.41,5,2.61,2.11,2.5,4.23,6,2024-12-31,Low
RESP-30157,Design,Director,11.8,3.91,2.85,3.71,4.04,2.73,3.11,4.31,2.71,4,2025-10-19,Low
RESP-30158,Operations,Director,15.5,3.81,3.44,2.63,4.16,3.5,2.15,2.8,3.43,6,2025-03-24,Low
RESP-30159,Finance,Manager,15.7,3.11,3.06,3.97,2.1,1.44,5,2.44,4.02,9,2025-01-04,Medium
RESP-30160,Customer Support,Team Lead,11.2,2.55,3.84,4.51,3.22,2.86,2.75,5,2.76,5,2023-09-23,Medium
RESP-30161,HR,VP,1.9,4.39,3.16,3.07,4.16,3.68,2.08,2.46,2.59,3,2025-11-20,Low
RESP-30162,Sales,Director,9.3,4.8,2.28,4.18,3.57,2.44,2.35,3.38,4.64,2,2024-11-19,Low
RESP-30163,Operations,Senior IC,19.2,3.65,2.31,3.1,2.67,3.76,2.82,3.51,2.7,6,2023-02-16,Low
RESP-30164,Sales,VP,16.0,3.62,4.0,3.14,1.08,3.92,4.83,4.43,3.81,5,2025-05-21,Low
RESP-30165,Product,VP,8.2,2.91,4.31,2.81,3.53,4.77,2.87,3.23,2.9,6,2023-08-22,Medium
RESP-30166,Design,VP,12.1,3.76,4.1,3.38,3.52,3.63,3.66,2.2,3.68,4,2025-01-23,Low
RESP-30167,Product,Manager,5.9,3.02,3.32,2.49,2.76,3.66,3.89,1,3.76,9,2025-03-02,Medium
RESP-30168,HR,Team Lead,3.6,3.31,3.73,5,2.62,4.74,2.12,3.52,2.78,9,2023-04-28,Low
RESP-30169,Operations,VP,16.8,2.77,1.73,5,3.3,3.64,4.05,3.68,3.16,2,2024-03-02,Medium
RESP-30170,Finance,Director,5.3,4.8,4.08,2.76,4.52,4.47,3.55,3.08,2.68,7,2023-12-27,Low
RESP-30171,Engineering,Manager,11.5,4.17,3.88,3.67,3.28,3.32,2.41,3.38,4.39,6,2023-05-07,Low
RESP-30172,Engineering,Director,1.7,3.27,2.88,3.62,3.36,2.96,3.68,2.56,4.61,2,2023-07-16,Low
RESP-30173,Engineering,Senior IC,8.1,3.3,3.62,3.48,4.61,2.86,3.55,4.42,2.18,9,2025-05-11,Low
RESP-30174,HR,VP,4.5,3.92,3.8,3.53,2.64,2.55,2.92,1.85,4.39,9,2025-05-07,Low
RESP-30175,Product,VP,4.6,3.84,4.11,3.58,3.73,2.1,1.98,1,2.95,6,2023-06-05,Low
RESP-30176,Legal,Senior IC,12.7,2.24,4.05,3.47,4.95,2.44,3.46,3.63,2.82,7,2024-11-20,Medium
RESP-30177,Legal,Senior IC,9.5,2.07,5,3.14,4.75,3.03,3.9,1.79,2.55,3,2025-06-30,Medium
RESP-30178,Marketing,Senior IC,2.0,5,3.78,3.47,3.75,3.16,3.56,3.36,3.13,7,2023-10-03,Low
RESP-30179,Customer Support,Senior IC,13.4,4.1,3.63,3.25,3.38,3.29,3.04,3.54,1.9,9,2024-05-25,Low
RESP-30180,HR,Manager,11.6,3.45,2.62,4.05,3.72,3.42,4.68,1.31,3.4,9,2023-05-18,Low
RESP-30181,Marketing,Senior IC,4.6,2.55,2.63,3.16,3.76,4.65,3.52,5,3.13,2,2025-10-13,Medium
RESP-30182,Customer Support,Director,18.8,3.22,3.4,3.21,3.24,4.53,4.02,4.34,3.0,1,2024-02-04,Low
RESP-30183,Marketing,Individual Contributor,8.2,4.16,3.18,4.61,2.51,3.5,3.16,4.43,3.97,4,2023-01-08,Low
RESP-30184,HR,Director,10.4,3.74,3.06,4.22,3.6,3.59,4.01,2.2,3.87,4,2024-02-12,Low
RESP-30185,Legal,Senior IC,16.8,2.04,4.86,3.16,2.85,3.28,3.52,2.53,3.6,1,2025-01-09,Medium
RESP-30186,Product,Senior IC,5.9,2.22,3.62,3.62,4.11,3.99,3.82,2.89,5,5,2025-06-28,Medium
RESP-30187,Design,Team Lead,19.5,3.34,4.63,3.23,3.31,5,4.61,1.13,3.99,9,2023-01-13,Low
RESP-30188,Marketing,Team Lead,4.4,2.66,1.77,3.69,2.89,3.38,3.46,3.08,2.44,3,2023-10-03,Medium
RESP-30189,Product,Individual Contributor,5.0,4.86,3.24,3.7,2.83,4.08,3.17,2.67,3.52,1,2025-03-04,Low
RESP-30190,Product,Senior IC,7.8,3.67,2.05,3.39,5,2.49,3.96,3.27,2.27,8,2025-11-28,Low
RESP-30191,Marketing,VP,1.7,4.48,3.44,3.82,2.93,2.87,3.73,3.25,3.09,8,2025-02-17,Low
RESP-30192,Design,Senior IC,2.6,3.44,2.67,4.51,3.31,3.19,3.42,2.38,3.37,2,2025-08-19,Low
RESP-30193,Engineering,Director,12.5,2.62,3.78,3.27,2.45,3.1,3.76,4.04,3.91,9,2025-08-24,Medium
RESP-30194,Design,Senior IC,8.8,3.36,2.72,3.94,2.8,3.54,2.51,5,3.46,5,2023-06-11,Low
RESP-30195,Engineering,Team Lead,11.7,2.27,3.49,4.74,2.85,3.23,4.08,2.81,2.59,4,2024-09-19,Medium
RESP-30196,Customer Support,Manager,2.9,2.86,2.81,4.35,2.73,4.09,4.65,3.18,2.91,7,2025-05-05,Medium
RESP-30197,Sales,Senior IC,4.5,2.77,3.67,3.1,1.92,2.78,2.06,1.67,3.68,6,2025-11-04,Medium
RESP-30198,HR,Director,13.0,4.51,2.23,2.98,3.28,4.49,4.92,3.29,4.97,10,2024-12-07,Low
RESP-30199,Finance,Manager,3.6,2.78,4.37,3.14,2.67,2.56,4.69,3.54,4.07,10,2025-06-05,Medium
RESP-30200,Product,Director,17.9,2.92,2.59,4.15,3.4,4.05,5,3.03,3.51,5,2025-07-08,Medium
RESP-30201,Finance,Individual Contributor,5.8,4.67,2.61,4.09,2.45,3.47,3.17,2.69,3.31,4,2024-01-07,Low
RESP-30202,Operations,Team Lead,18.7,2.87,4.56,4.08,5,4.18,1.5,4.05,2.75,3,2023-11-20,Medium
RESP-30203,Legal,Individual Contributor,3.6,4.08,3.23,3.92,3.73,3.34,3.99,5,4.32,4,2024-02-25,Low
RESP-30204,Sales,Director,19.6,4.09,2.02,5,3.25,3.67,3.43,2.85,3.29,2,2024-04-11,Low
RESP-30205,Legal,Director,13.0,2.92,3.15,4.11,2.0,3.12,4.78,3.23,4.07,10,2023-06-15,Medium
RESP-30206,Design,Senior IC,7.8,2.81,4.97,2.5,3.75,2.18,3.32,2.56,4.81,10,2023-10-11,Medium
RESP-30207,Customer Support,Manager,2.8,3.27,3.6,3.89,2.58,3.14,2.13,4.36,3.3,2,2023-07-06,Low
RESP-30208,Customer Support,Manager,0.6,2.45,4.17,4.1,2.82,2.89,3.55,1.97,3.24,5,2024-01-23,Medium
RESP-30209,Product,Senior IC,15.0,4.85,4.34,4.12,2.92,4.52,2.24,2.23,3.49,1,2023-09-04,Low
RESP-30210,Sales,VP,5.2,3.48,4.8,4.35,4.26,4.04,4.01,4.3,3.04,4,2024-04-16,Low
RESP-30211,Sales,Individual Contributor,6.7,3.34,4.82,3.97,3.02,3.77,1.82,1,3.99,7,2023-11-22,Low
RESP-30212,Finance,Team Lead,8.4,3.76,1,3.75,3.96,3.88,3.36,1,2.3,4,2024-03-23,Low
RESP-30213,HR,Team Lead,7.0,2.73,3.55,3.69,2.77,4.18,2.72,2.15,4.12,9,2024-05-26,Medium
RESP-30214,Operations,Manager,10.1,4.98,2.43,3.67,4.45,3.08,2.52,2.03,4.49,5,2024-04-02,Low
RESP-30215,Operations,Team Lead,10.2,3.91,3.9,3.3,3.36,3.97,2.69,4.28,4.07,10,2025-11-30,Low
