trip_id,pickup_datetime,dropoff_datetime,pickup_lat,pickup_lon,dropoff_lat,dropoff_lon,passenger_count,trip_distance_miles,fare_amount,tip_amount,total_amount,payment_type,trip_duration_min
TRIP-400033,2025-07-20 19:58:13,2025-07-20 20:38:13,40.707997,-73.941685,40.746604,-74.014682,4,7.72,30.7,7.16,37.86,Cash,40.5
TRIP-400034,2024-05-19 21:56:19,2024-05-19 22:25:19,40.770252,-74.003312,40.740034,-73.914035,3,8.3,32.09,6.75,38.84,Credit Card,29.2
TRIP-400035,2025-05-04 18:13:36,2025-05-04 18:47:36,40.752466,-73.902756,40.847202,-74.007671,1,12.85,51.7,5.14,56.84,Credit Card,34.3
TRIP-400036,2024-07-16 01:42:37,2024-07-16 02:44:37,40.65352,-74.008247,40.753923,-73.972767,5,10.4,35.82,4.07,39.89,Cash,62.3
TRIP-400037,2025-03-24 14:48:51,2025-03-24 16:01:51,40.697119,-73.905265,40.774243,-73.958474,1,10.08,35.09,10.26,45.35,Credit Card,73.8
TRIP-400038,2025-05-02 19:28:58,2025-05-02 20:16:58,40.742768,-74.00375,40.684555,-73.989461,6,5.57,28.2,5.58,33.78,Cash,48.8
TRIP-400039,2025-09-22 01:46:15,2025-09-22 02:21:15,40.815398,-73.938306,40.841173,-73.980124,3,5.59,27.21,6.14,33.35,Mobile,35.6
TRIP-400040,2025-02-07 18:40:57,2025-02-07 19:58:57,40.778791,-73.917883,40.655175,-73.900179,1,11.0,40.45,10.42,50.87,Cash,78.5
TRIP-400041,2024-12-04 14:29:14,2024-12-04 14:47:14,40.683425,-73.964432,40.708564,-73.919399,6,5.23,17.54,3.63,21.17,Mobile,18.1
TRIP-400042,2024-03-02 21:04:17,2024-03-02 21:13:17,40.749172,-74.012849,40.747225,-73.978301,5,2.77,10.19,1.45,11.64,Credit Card,9.9
TRIP-400043,2025-05-06 12:40:21,2025-05-06 12:54:21,40.651397,-73.95225,40.682795,-73.942703,5,4.18,16.45,4.18,20.63,Mobile,14.5
TRIP-400044,2025-07-02 12:02:04,2025-07-02 12:25:04,40.841906,-73.963623,40.800981,-73.946878,5,5.04,23.23,4.56,27.79,Credit Card,23.2
TRIP-400045,2024-01-24 12:35:39,2024-01-24 12:54:39,40.709186,-73.960615,40.688966,-73.944421,2,3.06,15.6,0.07,15.67,Credit Card,19.9
TRIP-400046,2024-07-18 17:24:56,2024-07-18 17:55:56,40.789506,-74.004259,40.673513,-73.965809,1,10.9,34.26,5.29,39.55,Credit Card,31.2
TRIP-400047,2024-05-21 13:58:05,2024-05-21 14:09:05,40.817324,-73.955048,40.791075,-73.929693,6,3.91,16.49,1.14,17.63,Debit Card,11.2
TRIP-400048,2025-07-24 09:01:11,2025-07-24 10:15:11,40.665132,-74.011586,40.718307,-73.944771,6,8.61,37.41,7.84,45.25,Credit Card,74.2
TRIP-400049,2024-05-10 10:37:07,2024-05-10 11:05:07,40.679162,-74.006696,40.697477,-73.934749,4,6.95,22.26,2.23,24.49,Cash,28.4
TRIP-400050,2024-01-15 19:48:38,2024-01-15 20:31:38,40.654104,-73.969095,40.755331,-73.983157,1,9.42,34.17,9.55,43.72,Cash,43.5
TRIP-400051,2025-01-25 11:04:34,2025-01-25 11:39:34,40.79293,-74.0145,40.769035,-73.958091,1,5.27,21.15,0.73,21.88,Credit Card,35.4
TRIP-400052,2025-10-07 13:05:29,2025-10-07 13:48:29,40.813197,-73.951404,40.733615,-73.919005,6,9.09,36.77,9.11,45.88,Mobile,43.5
TRIP-400053,2024-03-24 16:53:30,2024-03-24 17:11:30,40.698438,-74.019645,40.702054,-73.977455,5,2.88,13.71,3.05,16.76,Credit Card,18.2
TRIP-400054,2024-04-22 22:42:29,2024-04-22 23:16:29,40.848389,-73.905783,40.830152,-73.949767,3,3.79,13.57,3.49,17.06,Mobile,34.3
TRIP-400055,2025-11-18 09:35:57,2025-11-18 10:16:57,40.692889,-73.998912,40.840984,-73.916503,4,16.34,60.28,9.08,69.36,Debit Card,41.5
TRIP-400056,2025-07-31 03:06:05,2025-07-31 03:40:05,40.825294,-74.00222,40.705646,-73.949936,6,12.25,44.26,9.87,54.13,Credit Card,34.9
TRIP-400057,2025-03-23 00:39:33,2025-03-23 01:14:33,40.715187,-73.982422,40.775367,-74.019224,3,7.99,25.23,1.6,26.83,Credit Card,35.5
TRIP-400058,2024-08-29 04:44:10,2024-08-29 05:12:10,40.726838,-74.018529,40.721483,-73.951598,5,5.02,16.31,4.37,20.68,Debit Card,28.0
TRIP-400059,2024-01-31 00:25:15,2024-01-31 00:39:15,40.798184,-73.909168,40.76633,-73.972482,3,5.9,17.15,4.66,21.81,Credit Card,14.6
TRIP-400060,2024-02-29 11:30:31,2024-02-29 12:32:31,40.741495,-73.944567,40.789897,-74.017815,4,7.89,29.28,6.51,35.79,Cash,62.2
TRIP-400061,2025-02-20 03:54:28,2025-02-20 05:24:28,40.770005,-73.944229,40.67071,-74.006058,6,11.42,36.84,2.23,39.07,Mobile,90.8
TRIP-400062,2024-04-06 07:03:04,2024-04-06 08:21:04,40.655648,-73.979728,40.753988,-73.93402,3,9.91,38.16,4.2,42.36,Mobile,78.3
TRIP-400063,2025-11-21 00:09:11,2025-11-21 00:37:11,40.754476,-73.933094,40.777407,-73.906147,3,4.32,20.95,3.21,24.16,Cash,28.4
TRIP-400064,2025-09-22 17:10:38,2025-09-22 19:05:38,40.84015,-74.002529,40.665724,-73.945018,1,16.15,70.74,0.44,71.18,Debit Card,115.5
TRIP-400065,2024-03-06 02:21:02,2024-03-06 03:09:02,40.660013,-74.004061,40.741994,-73.963629,1,8.39,26.22,0.69,26.91,Credit Card,48.7
TRIP-400066,2025-10-06 09:57:48,2025-10-06 10:32:48,40.7703,-73.992868,40.824292,-73.927741,2,8.03,27.53,7.46,34.99,Credit Card,35.2
TRIP-400067,2025-05-01 05:53:05,2025-05-01 06:20:05,40.686463,-73.977074,40.820199,-73.970348,3,10.19,40.23,9.9,50.13,Debit Card,27.5
TRIP-400068,2025-12-11 13:42:26,2025-12-11 14:27:26,40.767418,-73.956349,40.655322,-73.911841,5,10.73,46.63,3.33,49.96,Cash,45.0
TRIP-400069,2024-12-19 09:01:03,2024-12-19 09:44:03,40.748859,-73.966071,40.835922,-73.933279,1,9.03,28.7,6.81,35.51,Mobile,43.9
TRIP-400070,2024-08-06 10:22:04,2024-08-06 10:38:04,40.828352,-73.998762,40.827737,-73.98552,5,1.31,7.95,0.53,8.48,Cash,16.1
TRIP-400071,2025-08-06 15:45:14,2025-08-06 16:47:14,40.810042,-73.924852,40.654699,-73.910096,2,12.89,46.53,6.49,53.02,Debit Card,62.9
TRIP-400072,2024-05-16 20:37:48,2024-05-16 20:46:48,40.683616,-73.926942,40.687663,-73.919542,1,1.49,8.23,0.02,8.25,Cash,9.6
TRIP-400073,2024-12-28 07:23:23,2024-12-28 07:43:23,40.775822,-73.919477,40.782202,-74.00601,1,5.88,20.94,3.02,23.96,Mobile,20.9
TRIP-400074,2024-07-27 10:53:55,2024-07-27 11:45:55,40.765026,-74.019105,40.700433,-73.96511,4,8.14,40.12,6.49,46.61,Debit Card,52.0
TRIP-400075,2024-07-17 05:57:51,2024-07-17 06:12:51,40.709388,-73.946548,40.712796,-73.977926,5,2.78,15.12,3.54,18.66,Credit Card,15.7
TRIP-400076,2024-03-05 08:58:31,2024-03-05 09:41:31,40.821661,-73.943045,40.754383,-73.983794,5,7.23,33.6,1.24,34.84,Mobile,43.6
TRIP-400077,2025-11-06 21:10:50,2025-11-06 21:49:50,40.723983,-73.937744,40.768578,-73.930499,6,5.13,22.09,3.53,25.62,Credit Card,39.3
TRIP-400078,2025-03-11 00:10:28,2025-03-11 00:58:28,40.84722,-73.987499,40.736572,-73.993511,4,8.17,25.29,1.69,26.98,Cash,48.7
TRIP-400079,2025-05-20 04:23:12,2025-05-20 05:20:12,40.789838,-73.949907,40.717511,-73.965625,3,7.02,35.02,7.72,42.74,Cash,57.1
TRIP-400080,2024-04-11 12:15:44,2024-04-11 13:19:44,40.744488,-73.95289,40.819524,-73.993773,5,8.9,34.73,1.57,36.3,Mobile,64.1
TRIP-400081,2024-05-31 21:45:37,2024-05-31 22:02:37,40.652335,-73.971465,40.670859,-73.981226,4,2.57,12.48,3.3,15.78,Cash,17.2
TRIP-400082,2025-09-07 00:30:42,2025-09-07 00:44:42,40.737349,-73.957508,40.729186,-73.951783,4,2.26,10.33,2.72,13.05,Debit Card,14.6
TRIP-400083,2025-02-04 08:22:42,2025-02-04 08:55:42,40.652429,-73.913055,40.665747,-73.980931,6,5.03,23.76,3.68,27.44,Credit Card,33.3
TRIP-400084,2024-10-27 10:07:35,2024-10-27 10:30:35,40.833047,-73.974352,40.833832,-73.962978,2,2.27,12.69,2.7,15.39,Cash,23.9
TRIP-400085,2025-06-10 07:44:27,2025-06-10 08:34:27,40.771627,-73.973657,40.663583,-73.929839,2,10.45,41.38,5.01,46.39,Debit Card,50.8
TRIP-400086,2024-08-26 13:05:08,2024-08-26 13:47:08,40.742905,-73.952943,40.670068,-74.009825,4,8.25,36.84,5.81,42.65,Cash,42.8
TRIP-400087,2025-01-07 18:03:43,2025-01-07 18:22:43,40.669381,-74.014654,40.66756,-73.92518,4,4.98,15.66,2.82,18.48,Debit Card,19.9
TRIP-400088,2024-09-26 05:49:00,2024-09-26 06:12:00,40.777033,-73.958803,40.755694,-73.913784,6,5.09,16.76,4.19,20.95,Mobile,23.7
TRIP-400089,2024-10-12 08:37:56,2024-10-12 09:27:56,40.750952,-74.016474,40.799872,-73.982101,4,6.6,24.76,6.5,31.26,Debit Card,50.8
TRIP-400090,2024-12-21 04:15:47,2024-12-21 05:00:47,40.759768,-73.932839,40.726136,-73.997254,1,6.7,27.03,5.11,32.14,Cash,45.9
TRIP-400091,2025-09-01 00:19:30,2025-09-01 00:58:30,40.839171,-73.96315,40.842151,-73.902086,6,5.23,21.65,4.6,26.25,Credit Card,39.7
TRIP-400092,2024-03-25 19:06:38,2024-03-25 19:45:38,40.677276,-73.927417,40.747401,-73.92618,4,5.11,16.64,3.95,20.59,Mobile,39.0
TRIP-400093,2024-01-04 18:25:32,2024-01-04 19:10:32,40.813368,-73.959215,40.742748,-73.947356,5,6.28,22.28,4.49,26.77,Cash,45.1
TRIP-400094,2025-05-14 12:39:06,2025-05-14 13:47:06,40.682671,-73.9059,40.780712,-73.954263,2,11.25,34.58,0.12,34.7,Mobile,68.3
TRIP-400095,2025-01-11 19:57:41,2025-01-11 21:13:41,40.657734,-73.979958,40.764151,-73.952999,5,9.08,39.67,7.65,47.32,Mobile,76.7
TRIP-400096,2025-05-06 12:56:44,2025-05-06 13:17:44,40.714342,-74.00842,40.704274,-73.913375,4,5.98,21.46,5.56,27.02,Cash,21.2
TRIP-400097,2024-12-05 05:18:59,2024-12-05 06:08:59,40.732904,-73.921701,40.739548,-73.99167,3,5.51,28.4,2.02,30.42,Debit Card,50.2
TRIP-400098,2024-05-27 03:05:55,2024-05-27 03:49:55,40.778419,-73.982944,40.706141,-73.947236,6,7.6,37.22,7.27,44.49,Credit Card,44.8
TRIP-400099,2024-07-26 19:18:36,2024-07-26 20:40:36,40.840786,-73.989722,40.695327,-73.92181,5,15.16,59.05,13.06,72.11,Mobile,82.3
TRIP-400100,2024-12-03 02:51:48,2024-12-03 03:09:48,40.655135,-73.952162,40.660639,-74.006952,6,4.71,14.4,0.91,15.31,Credit Card,18.0
TRIP-400101,2025-05-06 01:36:14,2025-05-06 02:27:14,40.778454,-73.902592,40.836833,-73.940718,4,7.78,37.38,1.97,39.35,Debit Card,51.2
TRIP-400102,2024-11-24 00:23:25,2024-11-24 00:37:25,40.761135,-73.922598,40.774361,-73.914307,4,2.69,14.05,1.01,15.06,Credit Card,14.7
TRIP-400103,2024-11-05 01:52:19,2024-11-05 02:20:19,40.736519,-73.998313,40.814725,-73.976934,2,8.3,34.97,5.03,40.0,Mobile,28.7
TRIP-400104,2025-09-25 07:40:15,2025-09-25 08:02:15,40.841023,-73.906844,40.827578,-74.001479,4,6.76,26.41,3.38,29.79,Credit Card,22.9
TRIP-400105,2025-07-06 09:35:45,2025-07-06 11:22:45,40.667554,-73.974457,40.822318,-74.010817,2,14.21,63.19,17.82,81.01,Credit Card,107.4
TRIP-400106,2024-09-27 09:21:55,2024-09-27 10:16:55,40.650116,-73.928978,40.84873,-73.982271,5,17.15,47.72,8.27,55.99,Credit Card,55.3
TRIP-400107,2024-11-19 00:51:42,2024-11-19 02:33:42,40.818784,-73.974682,40.650814,-74.00167,1,13.67,45.3,6.14,51.44,Cash,102.3
TRIP-400108,2025-02-01 05:50:33,2025-02-01 06:12:33,40.849761,-73.995945,40.825632,-74.004215,1,3.95,20.17,3.64,23.81,Credit Card,22.9
TRIP-400109,2025-10-13 05:18:18,2025-10-13 06:22:18,40.818949,-74.004631,40.734718,-73.94259,6,10.82,45.21,3.49,48.7,Mobile,64.6
TRIP-400110,2024-10-04 23:09:49,2024-10-04 23:47:49,40.682706,-73.95704,40.71466,-74.017776,5,6.77,29.82,2.5,32.32,Cash,38.9
TRIP-400111,2025-01-27 05:25:36,2025-01-27 05:58:36,40.652396,-73.922054,40.7003,-73.911248,3,4.23,16.84,1.4,18.24,Credit Card,33.3
TRIP-400112,2025-03-28 08:02:29,2025-03-28 08:57:29,40.798443,-73.937173,40.847229,-73.972092,2,6.72,30.37,8.6,38.97,Mobile,55.2
TRIP-400113,2024-02-26 05:42:49,2024-02-26 07:50:49,40.831876,-73.915013,40.693163,-73.998773,6,14.93,52.28,0.83,53.11,Credit Card,128.1
TRIP-400114,2025-11-24 12:36:28,2025-11-24 13:00:28,40.693413,-73.902978,40.708994,-73.920063,4,2.17,12.59,2.01,14.6,Debit Card,24.9
TRIP-400115,2025-06-28 04:54:38,2025-06-28 05:07:38,40.744331,-73.956018,40.741212,-73.976802,4,1.61,8.39,2.51,10.9,Cash,13.0
TRIP-400116,2024-04-27 23:09:37,2024-04-27 23:41:37,40.759163,-73.972756,40.815376,-74.004898,5,7.45,26.07,4.96,31.03,Mobile,32.3
TRIP-400117,2024-08-01 08:09:07,2024-08-01 09:28:07,40.714522,-74.01568,40.798639,-73.968695,4,8.76,31.92,4.35,36.27,Debit Card,79.0
TRIP-400118,2025-06-17 12:26:31,2025-06-17 13:41:31,40.846185,-74.008442,40.760559,-73.938171,3,10.23,39.54,11.64,51.18,Mobile,75.5
TRIP-400119,2025-10-16 13:42:18,2025-10-16 14:05:18,40.726145,-73.946251,40.658442,-73.965116,2,6.64,27.73,5.34,33.07,Debit Card,23.7
TRIP-400120,2025-04-27 19:28:50,2025-04-27 19:58:50,40.689081,-74.007095,40.730138,-74.012268,5,4.7,21.84,2.55,24.39,Cash,30.1
TRIP-400121,2025-08-14 21:08:12,2025-08-14 21:35:12,40.68386,-73.90594,40.698201,-73.914815,6,3.13,14.85,0.51,15.36,Credit Card,27.5
TRIP-400122,2024-10-26 11:58:53,2024-10-26 13:05:53,40.654961,-73.910934,40.761029,-73.986073,6,12.37,43.07,11.28,54.35,Credit Card,67.0
TRIP-400123,2024-01-24 08:25:40,2024-01-24 08:36:40,40.792062,-73.915826,40.74757,-73.924956,1,4.04,17.07,3.0,20.07,Mobile,11.6
TRIP-400124,2024-10-28 03:08:16,2024-10-28 04:38:16,40.658222,-73.937061,40.815587,-73.993199,4,14.57,68.71,9.35,78.06,Credit Card,90.7
TRIP-400125,2025-05-20 00:19:42,2025-05-20 01:45:42,40.8401,-73.926964,40.714452,-73.986768,6,12.18,55.27,13.86,69.13,Cash,86.9
TRIP-400126,2025-09-04 04:31:19,2025-09-04 05:24:19,40.671527,-73.967879,40.69596,-74.005769,5,5.47,19.37,1.18,20.55,Debit Card,53.0
TRIP-400127,2024-03-26 07:34:39,2024-03-26 07:58:39,40.761759,-73.921659,40.734296,-73.982767,5,5.89,19.65,3.87,23.52,Mobile,24.9
TRIP-400128,2025-10-31 17:38:12,2025-10-31 18:02:12,40.822467,-73.977368,40.747882,-73.977735,1,6.88,19.73,5.68,25.41,Debit Card,24.1
TRIP-400129,2025-05-15 12:14:06,2025-05-15 12:48:06,40.777569,-73.957253,40.816984,-73.999578,1,5.16,20.48,0.33,20.81,Mobile,34.8
TRIP-400130,2024-12-13 04:16:38,2024-12-13 04:56:38,40.68163,-74.017532,40.713019,-73.957658,5,7.17,32.0,1.23,33.23,Credit Card,40.3
TRIP-400131,2025-01-04 22:31:13,2025-01-04 23:12:13,40.680338,-73.954694,40.801601,-73.911901,3,10.97,38.46,2.4,40.86,Cash,41.1
TRIP-400132,2025-01-18 20:09:22,2025-01-18 20:39:22,40.74337,-73.953659,40.778594,-73.905172,6,6.16,27.57,3.44,31.01,Debit Card,30.1
TRIP-400133,2024-03-03 07:05:50,2024-03-03 08:14:50,40.779456,-73.930281,40.657973,-73.928584,4,8.96,39.24,8.5,47.74,Mobile,69.8
TRIP-400134,2024-08-02 05:20:33,2024-08-02 06:23:33,40.77353,-73.947634,40.830612,-74.008676,2,7.85,36.3,1.74,38.04,Debit Card,63.0
TRIP-400135,2024-10-03 04:34:35,2024-10-03 05:16:35,40.702972,-73.904588,40.772427,-73.942096,3,7.67,25.27,4.12,29.39,Cash,42.7
TRIP-400136,2024-04-08 15:17:53,2024-04-08 15:57:53,40.730731,-73.927651,40.750668,-73.99555,3,6.63,25.75,3.68,29.43,Debit Card,40.3
TRIP-400137,2025-07-25 03:03:06,2025-07-25 03:30:06,40.698935,-73.981717,40.669003,-74.002991,5,4.32,20.96,0.69,21.65,Mobile,27.6
TRIP-400138,2025-03-27 10:12:50,2025-03-27 10:38:50,40.750527,-74.011632,40.700275,-73.901518,4,10.64,33.5,7.25,40.75,Credit Card,26.9
TRIP-400139,2025-05-30 07:09:10,2025-05-30 07:58:10,40.794912,-74.011754,40.755811,-73.964965,6,6.73,26.84,1.41,28.25,Mobile,49.8
TRIP-400140,2025-01-23 06:31:35,2025-01-23 07:05:35,40.800812,-73.955806,40.711985,-74.015712,5,10.24,27.29,2.96,30.25,Debit Card,34.5
TRIP-400141,2024-03-26 06:46:32,2024-03-26 07:05:32,40.796753,-73.964163,40.804197,-73.922472,2,3.6,16.84,3.02,19.86,Credit Card,19.9
TRIP-400142,2024-06-12 01:02:10,2024-06-12 02:01:10,40.728486,-73.982525,40.660702,-73.930644,1,8.52,41.52,10.29,51.81,Cash,59.5
TRIP-400143,2024-02-06 14:28:55,2024-02-06 14:52:55,40.774198,-73.95369,40.835683,-73.960349,1,5.31,18.57,0.3,18.87,Mobile,24.7
TRIP-400144,2024-01-31 03:27:45,2024-01-31 04:14:45,40.657288,-73.947985,40.786487,-74.003779,2,12.97,40.41,1.53,41.94,Mobile,47.2
TRIP-400145,2024-04-08 20:28:37,2024-04-08 20:54:37,40.78936,-73.917921,40.722783,-73.93104,2,6.1,19.77,1.7,21.47,Credit Card,26.0
TRIP-400146,2024-07-04 21:26:07,2024-07-04 22:38:07,40.681423,-74.006634,40.778605,-73.932565,6,11.38,45.28,5.16,50.44,Mobile,72.3
TRIP-400147,2025-01-23 04:51:39,2025-01-23 05:23:39,40.840157,-73.941353,40.683746,-73.930465,4,12.93,46.83,13.6,60.43,Cash,32.6
TRIP-400148,2024-05-25 15:35:56,2024-05-25 16:14:56,40.844907,-73.919932,40.735654,-73.980286,1,11.07,44.19,10.88,55.07,Credit Card,39.9
TRIP-400149,2024-10-23 17:11:54,2024-10-23 17:38:54,40.800233,-73.942927,40.750266,-73.901299,5,6.14,21.16,3.0,24.16,Mobile,27.3
TRIP-400150,2024-04-09 00:02:15,2024-04-09 00:18:15,40.79264,-73.927068,40.834322,-73.940127,4,5.44,24.36,5.95,30.31,Cash,16.9
TRIP-400151,2025-10-09 13:42:13,2025-10-09 14:05:13,40.675263,-74.015216,40.752049,-73.989546,1,8.42,28.89,2.99,31.88,Credit Card,23.2
TRIP-400152,2025-06-11 03:49:40,2025-06-11 05:35:40,40.796319,-73.912292,40.651666,-74.014997,1,16.6,55.06,12.61,67.67,Cash,106.5
TRIP-400153,2024-11-18 17:55:39,2024-11-18 18:27:39,40.828283,-73.980151,40.791947,-73.91852,1,7.61,32.99,6.18,39.17,Credit Card,32.9
TRIP-400154,2025-01-02 11:14:32,2025-01-02 12:15:32,40.764447,-74.013686,40.716102,-73.90591,4,10.1,45.31,9.22,54.53,Debit Card,61.9
TRIP-400155,2025-11-10 19:38:11,2025-11-10 20:15:11,40.793628,-74.001871,40.811002,-73.940744,4,6.3,19.34,0.62,19.96,Mobile,37.9
TRIP-400156,2025-02-26 23:58:16,2025-02-27 00:27:16,40.76225,-73.946775,40.718336,-74.001268,4,7.0,27.16,0.42,27.58,Debit Card,29.9
TRIP-400157,2024-09-04 19:57:33,2024-09-04 21:27:33,40.845657,-73.969986,40.661832,-73.932013,6,16.18,62.33,3.28,65.61,Debit Card,90.7
TRIP-400158,2025-11-11 15:54:12,2025-11-11 16:52:12,40.726858,-74.016426,40.80848,-73.993062,1,7.4,34.84,7.54,42.38,Credit Card,58.9
TRIP-400159,2025-07-06 11:32:55,2025-07-06 12:05:55,40.747455,-73.939032,40.755073,-74.019997,1,6.73,20.89,0.25,21.14,Credit Card,33.7
TRIP-400160,2024-11-26 17:40:03,2024-11-26 18:06:03,40.651462,-74.011214,40.651246,-73.91338,6,6.04,21.21,3.91,25.12,Credit Card,26.2
TRIP-400161,2024-05-23 01:41:06,2024-05-23 02:32:06,40.809473,-73.952033,40.71859,-73.989049,1,9.04,30.03,5.32,35.35,Cash,51.6
TRIP-400162,2024-08-15 05:48:18,2024-08-15 06:27:18,40.814469,-73.916131,40.703687,-74.004674,1,13.09,52.14,2.84,54.98,Cash,39.2
TRIP-400163,2025-05-15 06:51:55,2025-05-15 07:37:55,40.849004,-73.91688,40.67284,-73.994073,6,17.82,63.46,11.88,75.34,Cash,46.1
TRIP-400164,2024-11-03 17:24:38,2024-11-03 17:57:38,40.776758,-73.918674,40.673908,-73.943653,6,8.98,31.94,3.46,35.4,Debit Card,33.4
