person_id,age,workclass,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income_bracket,state,county_fips,household_size,housing_type,health_insurance,veteran_status,disability_status
CEN-70036,40,Private,Masters,14,Married-civ-spouse,Other-service,Wife,White,Male,0,0,68,United-States,<=50K,WA,48830,4,With Family,No,No,No
CEN-70037,62,Federal-gov,Doctorate,16,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,22,United-States,<=50K,WI,03455,4,Rent,Yes,No,No
CEN-70038,74,Private,Some-college,10,Married-civ-spouse,Farming-fishing,Unmarried,Other,Male,0,0,43,India,>50K,CA,40867,3,With Family,Yes,No,No
CEN-70039,49,Private,Masters,14,Separated,Exec-managerial,Own-child,Asian-Pac-Islander,Male,0,0,25,United-States,<=50K,CO,48619,6,With Family,No,No,No
CEN-70040,50,State-gov,11th,7,Never-married,Other-service,Unmarried,White,Male,0,0,50,United-States,<=50K,FL,05034,4,Own,Yes,Yes,No
CEN-70041,51,State-gov,10th,6,Married-civ-spouse,Adm-clerical,Own-child,Black,Female,0,0,57,Jamaica,<=50K,AZ,50341,3,Rent,Yes,No,No
CEN-70042,53,Self-emp-inc,Bachelors,13,Married-civ-spouse,Farming-fishing,Husband,White,Female,0,0,36,United-States,<=50K,MN,50641,5,With Family,No,No,No
CEN-70043,85,Private,Assoc-acdm,12,Never-married,Craft-repair,Wife,White,Female,0,0,36,United-States,<=50K,CA,21036,7,Own,Yes,No,No
CEN-70044,58,Self-emp-not-inc,11th,7,Divorced,Craft-repair,Wife,White,Male,0,0,50,United-States,<=50K,WA,21481,4,With Family,Yes,No,Yes
CEN-70045,26,Self-emp-not-inc,Bachelors,13,Never-married,Adm-clerical,Other-relative,White,Male,0,0,42,United-States,<=50K,IN,13340,2,Other,Yes,No,No
CEN-70046,84,Federal-gov,10th,6,Separated,Tech-support,Not-in-family,Amer-Indian-Eskimo,Female,0,0,42,United-States,<=50K,LA,12560,4,Own,Yes,No,Yes
CEN-70047,67,Federal-gov,Bachelors,13,Married-civ-spouse,Other-service,Not-in-family,White,Female,0,0,40,United-States,<=50K,SC,48351,6,Rent,No,No,No
CEN-70048,18,Local-gov,11th,7,Separated,Craft-repair,Wife,White,Female,3877,0,35,United-States,<=50K,OK,17780,4,Rent,Yes,Yes,No
CEN-70049,88,Federal-gov,Assoc-voc,11,Never-married,Adm-clerical,Unmarried,Black,Female,0,0,38,United-States,<=50K,GA,44682,7,Own,Yes,Yes,No
CEN-70050,32,Federal-gov,HS-grad,9,Never-married,Other-service,Husband,White,Male,0,0,31,United-States,<=50K,OH,31431,7,Rent,Yes,Yes,No
CEN-70051,24,Self-emp-inc,Assoc-voc,11,Divorced,Machine-op-inspct,Unmarried,White,Female,0,0,53,United-States,<=50K,OK,30439,3,Rent,Yes,No,No
CEN-70052,35,Self-emp-inc,HS-grad,9,Never-married,Adm-clerical,Wife,White,Female,0,0,49,United-States,<=50K,IN,30889,4,With Family,Yes,Yes,No
CEN-70053,32,Self-emp-not-inc,10th,6,Separated,Tech-support,Own-child,Other,Male,0,0,43,United-States,<=50K,NJ,13524,5,Rent,Yes,No,No
CEN-70054,19,Private,11th,7,Married-civ-spouse,Other-service,Other-relative,Black,Female,0,0,36,United-States,<=50K,UT,55703,5,Own,Yes,No,No
CEN-70055,38,Federal-gov,Assoc-acdm,12,Divorced,Prof-specialty,Wife,White,Male,0,0,35,United-States,<=50K,CO,24172,7,With Family,No,No,No
CEN-70056,40,Local-gov,Bachelors,13,Divorced,Craft-repair,Own-child,White,Male,0,0,54,United-States,>50K,TX,28654,6,Other,Yes,Yes,No
CEN-70057,17,Self-emp-inc,10th,6,Married-civ-spouse,Machine-op-inspct,Other-relative,Black,Female,0,0,36,United-States,<=50K,UT,04361,7,With Family,Yes,No,Yes
CEN-70058,27,Local-gov,Masters,14,Divorced,Tech-support,Unmarried,White,Male,0,0,30,United-States,<=50K,OK,48358,6,Rent,Yes,No,No
CEN-70059,40,State-gov,HS-grad,9,Separated,Sales,Other-relative,White,Female,0,0,20,United-States,<=50K,OR,55402,4,Other,Yes,No,No
CEN-70060,54,Federal-gov,Assoc-voc,11,Divorced,Exec-managerial,Husband,White,Female,0,0,53,United-States,<=50K,OK,21227,1,With Family,Yes,Yes,No
CEN-70061,90,Federal-gov,Assoc-acdm,12,Divorced,Tech-support,Husband,White,Female,0,0,44,United-States,>50K,WA,40421,7,With Family,Yes,No,No
CEN-70062,72,Self-emp-inc,Masters,14,Never-married,Tech-support,Other-relative,White,Female,3412,0,48,United-States,<=50K,NY,53571,7,Other,Yes,No,No
CEN-70063,76,Local-gov,10th,6,Widowed,Machine-op-inspct,Other-relative,White,Male,0,0,53,Cuba,>50K,NC,03359,2,With Family,Yes,No,No
CEN-70064,23,Local-gov,Masters,14,Separated,Prof-specialty,Wife,Black,Male,0,0,31,United-States,<=50K,MD,03279,7,Own,Yes,Yes,No
CEN-70065,43,Private,Some-college,10,Never-married,Exec-managerial,Own-child,Amer-Indian-Eskimo,Male,0,0,37,United-States,<=50K,AZ,08916,3,Rent,Yes,No,Yes
CEN-70066,55,Self-emp-not-inc,Assoc-voc,11,Widowed,Prof-specialty,Unmarried,White,Female,0,0,24,United-States,<=50K,WI,25148,6,Rent,No,No,No
CEN-70067,76,Self-emp-inc,Bachelors,13,Separated,Sales,Other-relative,White,Male,0,0,37,Canada,<=50K,WA,21427,2,Own,Yes,No,Yes
CEN-70068,82,Self-emp-inc,Prof-school,15,Married-civ-spouse,Tech-support,Other-relative,White,Male,0,0,34,United-States,>50K,OH,47274,6,Own,Yes,No,Yes
CEN-70069,43,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Own-child,White,Male,0,0,40,United-States,>50K,AZ,35776,7,Other,No,Yes,No
CEN-70070,37,Federal-gov,Prof-school,15,Separated,Exec-managerial,Own-child,White,Male,0,0,47,United-States,<=50K,KY,44297,6,Other,Yes,Yes,No
CEN-70071,79,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Not-in-family,White,Male,0,0,60,United-States,<=50K,KY,33718,1,Other,Yes,No,Yes
CEN-70072,50,Federal-gov,Masters,14,Widowed,Machine-op-inspct,Husband,White,Female,0,0,33,China,<=50K,WI,51126,7,With Family,No,No,No
CEN-70073,85,Self-emp-not-inc,Assoc-acdm,12,Divorced,Farming-fishing,Wife,White,Male,0,0,40,United-States,>50K,MD,40166,4,Own,No,No,No
CEN-70074,69,Self-emp-inc,HS-grad,9,Divorced,Sales,Husband,White,Male,0,0,38,United-States,<=50K,MA,22250,3,Rent,Yes,No,No
CEN-70075,24,State-gov,Doctorate,16,Married-civ-spouse,Sales,Unmarried,White,Female,0,0,32,United-States,>50K,MN,48814,2,Own,Yes,No,Yes
CEN-70076,54,Private,Prof-school,15,Widowed,Other-service,Wife,White,Male,0,0,29,United-States,<=50K,CA,50045,6,With Family,Yes,Yes,No
CEN-70077,41,Private,Prof-school,15,Divorced,Machine-op-inspct,Not-in-family,White,Male,0,0,30,United-States,>50K,NJ,11380,3,With Family,Yes,No,No
CEN-70078,86,Self-emp-not-inc,11th,7,Separated,Transport-moving,Not-in-family,Black,Female,0,0,21,United-States,<=50K,MI,37594,2,With Family,Yes,No,No
CEN-70079,52,State-gov,11th,7,Divorced,Other-service,Other-relative,White,Female,0,0,35,United-States,<=50K,VA,43074,2,Rent,Yes,No,No
CEN-70080,39,Private,Assoc-voc,11,Never-married,Tech-support,Other-relative,White,Female,0,0,40,Philippines,>50K,NJ,31690,5,Own,Yes,No,No
CEN-70081,50,Self-emp-not-inc,Assoc-voc,11,Never-married,Sales,Not-in-family,White,Female,0,0,30,Mexico,<=50K,CA,54748,5,Other,Yes,Yes,No
CEN-70082,53,Federal-gov,Doctorate,16,Never-married,Prof-specialty,Husband,White,Female,0,0,55,United-States,<=50K,MI,30564,4,Own,Yes,No,No
CEN-70083,24,Federal-gov,Masters,14,Never-married,Craft-repair,Wife,White,Male,0,294,76,United-States,<=50K,OK,18019,1,With Family,Yes,No,No
CEN-70084,35,Self-emp-inc,Masters,14,Separated,Sales,Unmarried,White,Female,0,0,43,El-Salvador,<=50K,SC,24721,1,With Family,Yes,Yes,No
CEN-70085,17,Self-emp-inc,Prof-school,15,Widowed,Adm-clerical,Wife,Black,Female,0,0,32,Jamaica,<=50K,WI,42102,6,Own,Yes,No,No
CEN-70086,58,Private,11th,7,Divorced,Transport-moving,Unmarried,Black,Male,0,0,31,United-States,<=50K,MN,13730,2,With Family,Yes,No,No
CEN-70087,68,Federal-gov,Some-college,10,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,0,0,46,United-States,<=50K,OH,17164,2,Rent,No,No,No
CEN-70088,63,Self-emp-inc,HS-grad,9,Never-married,Farming-fishing,Own-child,White,Female,0,0,37,Vietnam,<=50K,MI,27150,1,Other,Yes,Yes,No
CEN-70089,30,Federal-gov,Doctorate,16,Separated,Prof-specialty,Other-relative,White,Male,0,0,54,United-States,<=50K,KY,31636,7,With Family,No,No,No
CEN-70090,66,Private,Assoc-voc,11,Separated,Craft-repair,Not-in-family,White,Female,8147,0,34,United-States,<=50K,SC,37581,4,Other,Yes,No,No
CEN-70091,81,Private,Masters,14,Never-married,Tech-support,Not-in-family,Black,Male,0,0,40,United-States,<=50K,WI,41036,1,Other,Yes,Yes,No
CEN-70092,68,Self-emp-inc,10th,6,Divorced,Other-service,Husband,Black,Male,0,0,66,United-States,<=50K,NC,54041,4,Other,No,No,No
CEN-70093,58,Private,Assoc-voc,11,Separated,Exec-managerial,Not-in-family,White,Male,5554,0,38,United-States,<=50K,TX,48023,2,With Family,Yes,No,Yes
CEN-70094,45,Federal-gov,10th,6,Married-civ-spouse,Sales,Not-in-family,Black,Female,0,158,22,United-States,<=50K,TX,26427,3,With Family,No,No,No
CEN-70095,87,Self-emp-inc,11th,7,Separated,Tech-support,Own-child,White,Female,0,0,38,United-States,<=50K,UT,18133,7,With Family,Yes,No,No
CEN-70096,57,State-gov,Assoc-acdm,12,Divorced,Other-service,Not-in-family,White,Female,0,0,53,United-States,>50K,CT,47786,5,Own,No,No,No
CEN-70097,88,Private,Assoc-acdm,12,Married-civ-spouse,Other-service,Wife,Asian-Pac-Islander,Female,0,0,40,United-States,<=50K,OR,49757,6,Other,No,No,No
CEN-70098,69,Federal-gov,11th,7,Separated,Sales,Other-relative,White,Female,0,0,30,United-States,<=50K,NJ,17588,1,Other,Yes,No,No
CEN-70099,23,Self-emp-inc,Assoc-acdm,12,Separated,Adm-clerical,Husband,White,Male,0,0,48,El-Salvador,>50K,WI,12511,2,Other,Yes,No,Yes
CEN-70100,41,State-gov,Assoc-voc,11,Divorced,Adm-clerical,Other-relative,White,Male,0,0,22,United-States,<=50K,KY,31778,5,Own,Yes,No,Yes
CEN-70101,82,Federal-gov,HS-grad,9,Widowed,Craft-repair,Own-child,Black,Female,0,0,39,United-States,<=50K,OR,03595,1,With Family,Yes,No,No
CEN-70102,71,Federal-gov,Some-college,10,Never-married,Prof-specialty,Own-child,Other,Female,0,0,22,United-States,<=50K,WI,17886,7,With Family,Yes,Yes,No
CEN-70103,54,State-gov,10th,6,Married-civ-spouse,Farming-fishing,Unmarried,Black,Male,0,0,49,United-States,<=50K,MI,44706,6,Other,No,Yes,No
CEN-70104,51,Self-emp-not-inc,Prof-school,15,Widowed,Prof-specialty,Unmarried,White,Male,0,93,40,United-States,<=50K,PA,05807,4,Own,Yes,No,No
CEN-70105,62,Private,Some-college,10,Married-civ-spouse,Farming-fishing,Not-in-family,White,Female,0,0,49,United-States,<=50K,PA,36396,3,Rent,Yes,No,No
CEN-70106,45,Self-emp-inc,Masters,14,Separated,Farming-fishing,Not-in-family,White,Male,0,0,31,United-States,<=50K,UT,23302,2,Other,No,No,No
CEN-70107,36,State-gov,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Unmarried,Amer-Indian-Eskimo,Female,0,0,57,United-States,<=50K,MA,44092,4,Rent,Yes,No,No
CEN-70108,23,Local-gov,10th,6,Married-civ-spouse,Farming-fishing,Own-child,Asian-Pac-Islander,Male,0,0,38,United-States,>50K,NJ,23611,2,With Family,No,No,No
CEN-70109,42,State-gov,Assoc-voc,11,Divorced,Sales,Own-child,Amer-Indian-Eskimo,Female,0,0,32,United-States,<=50K,UT,07139,7,Own,Yes,No,No
CEN-70110,43,Federal-gov,Assoc-acdm,12,Never-married,Tech-support,Not-in-family,White,Female,0,0,47,United-States,<=50K,NC,14262,1,Own,No,No,No
CEN-70111,48,Private,Prof-school,15,Separated,Machine-op-inspct,Husband,White,Female,0,0,54,United-States,>50K,CO,45248,7,Other,Yes,No,No
CEN-70112,57,Self-emp-inc,Some-college,10,Married-civ-spouse,Other-service,Wife,White,Female,0,0,24,United-States,<=50K,MO,18145,7,Rent,Yes,Yes,No
CEN-70113,37,Private,Assoc-acdm,12,Married-civ-spouse,Transport-moving,Husband,White,Female,0,0,39,United-States,>50K,MD,17887,2,With Family,Yes,No,No
CEN-70114,76,Local-gov,11th,7,Separated,Exec-managerial,Not-in-family,White,Male,0,0,27,United-States,<=50K,MD,46301,2,Rent,Yes,No,No
CEN-70115,60,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Adm-clerical,Not-in-family,White,Female,0,0,46,Japan,<=50K,FL,10883,3,Other,Yes,No,No
CEN-70116,42,Self-emp-not-inc,Doctorate,16,Separated,Adm-clerical,Other-relative,White,Female,0,0,29,Mexico,<=50K,MO,47450,7,Other,Yes,No,No
CEN-70117,19,Private,11th,7,Married-civ-spouse,Tech-support,Not-in-family,White,Male,0,0,36,United-States,<=50K,MI,35691,2,Own,Yes,No,No
CEN-70118,24,Self-emp-not-inc,11th,7,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,27,United-States,<=50K,NC,34385,1,Rent,Yes,No,No
CEN-70119,47,Federal-gov,Prof-school,15,Divorced,Tech-support,Wife,White,Male,0,0,26,United-States,>50K,OR,47380,7,Other,Yes,No,No
CEN-70120,87,State-gov,11th,7,Widowed,Sales,Not-in-family,White,Male,0,0,9,United-States,<=50K,NJ,31821,6,Rent,No,No,No
CEN-70121,58,Self-emp-inc,Assoc-voc,11,Never-married,Transport-moving,Unmarried,White,Female,0,178,45,United-States,<=50K,UT,28990,4,Own,No,No,No
CEN-70122,23,Local-gov,Assoc-voc,11,Separated,Other-service,Husband,White,Male,0,0,34,Italy,<=50K,WI,01459,5,With Family,Yes,No,Yes
CEN-70123,36,State-gov,10th,6,Separated,Craft-repair,Unmarried,White,Male,0,0,56,United-States,>50K,MN,08710,4,Own,Yes,Yes,No
CEN-70124,36,Federal-gov,HS-grad,9,Married-civ-spouse,Exec-managerial,Unmarried,Asian-Pac-Islander,Male,0,0,43,United-States,>50K,OH,41555,1,Rent,No,Yes,No
CEN-70125,24,Self-emp-not-inc,11th,7,Married-civ-spouse,Farming-fishing,Wife,White,Male,42,0,47,United-States,<=50K,PA,53416,6,Own,Yes,No,No
CEN-70126,40,Self-emp-not-inc,HS-grad,9,Divorced,Other-service,Wife,White,Female,0,0,51,El-Salvador,<=50K,WI,42151,7,Other,No,No,No
CEN-70127,26,Self-emp-inc,Bachelors,13,Separated,Exec-managerial,Wife,White,Female,0,0,52,United-States,<=50K,MI,31133,5,With Family,Yes,No,Yes
CEN-70128,30,Private,Prof-school,15,Married-civ-spouse,Machine-op-inspct,Unmarried,White,Male,0,0,29,United-States,<=50K,FL,52985,7,Rent,No,No,No
CEN-70129,72,Federal-gov,Doctorate,16,Divorced,Sales,Wife,White,Male,0,0,25,United-States,<=50K,MO,39296,2,Rent,Yes,Yes,No
CEN-70130,70,State-gov,11th,7,Divorced,Farming-fishing,Other-relative,White,Male,0,0,35,China,>50K,CT,15268,7,With Family,Yes,No,No
CEN-70131,72,Self-emp-not-inc,Prof-school,15,Never-married,Tech-support,Husband,White,Male,0,0,39,United-States,<=50K,CO,16512,2,Own,Yes,No,No
CEN-70132,49,Self-emp-not-inc,11th,7,Separated,Craft-repair,Not-in-family,White,Male,0,0,38,United-States,<=50K,KY,13899,4,Own,Yes,Yes,No
CEN-70133,28,Local-gov,Prof-school,15,Separated,Prof-specialty,Husband,White,Female,0,0,27,Japan,<=50K,UT,12441,2,Own,Yes,No,No
CEN-70134,42,Local-gov,Doctorate,16,Married-civ-spouse,Farming-fishing,Other-relative,White,Male,0,0,67,Japan,<=50K,KY,23818,4,Other,Yes,No,Yes
CEN-70135,86,State-gov,Assoc-voc,11,Divorced,Adm-clerical,Not-in-family,White,Male,0,0,22,United-States,<=50K,TX,45698,6,With Family,Yes,Yes,No
CEN-70136,42,Self-emp-inc,Bachelors,13,Divorced,Transport-moving,Other-relative,White,Male,0,287,38,United-States,<=50K,MO,38043,7,Own,Yes,No,No
CEN-70137,32,State-gov,Assoc-voc,11,Divorced,Tech-support,Unmarried,White,Female,0,0,60,United-States,<=50K,OR,41108,6,Own,Yes,No,No
CEN-70138,55,Self-emp-not-inc,Bachelors,13,Divorced,Machine-op-inspct,Husband,Other,Female,0,0,37,England,<=50K,OK,42475,5,Own,Yes,No,No
CEN-70139,19,Private,Assoc-acdm,12,Separated,Exec-managerial,Husband,White,Female,0,0,61,United-States,<=50K,CO,11737,7,Other,Yes,No,No
CEN-70140,20,Private,Assoc-acdm,12,Married-civ-spouse,Transport-moving,Unmarried,White,Female,0,0,37,United-States,<=50K,OK,20210,6,Other,Yes,No,No
CEN-70141,21,State-gov,11th,7,Divorced,Farming-fishing,Husband,White,Male,0,0,38,United-States,<=50K,OK,27919,4,Rent,No,No,No
CEN-70142,18,State-gov,Assoc-voc,11,Never-married,Transport-moving,Wife,White,Male,3210,0,24,United-States,<=50K,NC,09589,7,Own,Yes,No,No
CEN-70143,89,Private,Prof-school,15,Married-civ-spouse,Other-service,Own-child,White,Male,0,0,47,United-States,<=50K,IN,02620,3,Other,Yes,No,No
CEN-70144,67,Local-gov,10th,6,Divorced,Tech-support,Not-in-family,White,Female,0,0,61,United-States,<=50K,FL,33362,2,With Family,Yes,No,No
CEN-70145,63,Federal-gov,Some-college,10,Married-civ-spouse,Adm-clerical,Own-child,White,Male,1186,0,40,United-States,<=50K,NY,54792,1,Own,Yes,No,No
CEN-70146,69,State-gov,Assoc-voc,11,Divorced,Other-service,Not-in-family,White,Female,0,0,30,United-States,<=50K,OH,18900,1,With Family,Yes,No,No
CEN-70147,46,Local-gov,Assoc-acdm,12,Separated,Other-service,Not-in-family,White,Male,0,0,32,United-States,<=50K,CA,54518,5,Other,No,No,Yes
CEN-70148,27,Self-emp-not-inc,Assoc-voc,11,Widowed,Transport-moving,Own-child,White,Female,0,0,33,United-States,<=50K,NJ,40529,5,Rent,Yes,No,No
CEN-70149,64,Self-emp-not-inc,Doctorate,16,Separated,Other-service,Not-in-family,White,Female,0,0,54,United-States,<=50K,MO,27969,3,With Family,Yes,Yes,No
CEN-70150,80,Private,Masters,14,Widowed,Adm-clerical,Not-in-family,Black,Female,0,0,34,United-States,>50K,IL,32299,1,With Family,No,Yes,No
CEN-70151,79,Private,Some-college,10,Never-married,Exec-managerial,Unmarried,White,Female,0,0,47,United-States,<=50K,NJ,21432,7,With Family,Yes,No,No
CEN-70152,37,Private,Masters,14,Separated,Craft-repair,Other-relative,White,Male,0,0,32,United-States,<=50K,OK,09177,1,With Family,Yes,No,No
CEN-70153,68,Private,Bachelors,13,Divorced,Farming-fishing,Other-relative,Black,Female,0,0,36,United-States,>50K,MA,31462,1,With Family,Yes,No,No
CEN-70154,49,Private,Some-college,10,Divorced,Adm-clerical,Own-child,White,Female,0,0,55,United-States,>50K,IN,26695,6,Other,Yes,No,No
CEN-70155,35,Self-emp-inc,Some-college,10,Separated,Adm-clerical,Wife,White,Male,0,0,44,Vietnam,>50K,SC,56485,1,With Family,No,No,No
CEN-70156,68,Local-gov,Bachelors,13,Widowed,Sales,Other-relative,White,Male,0,0,46,United-States,<=50K,TN,10477,6,With Family,Yes,No,No
CEN-70157,48,Local-gov,Masters,14,Widowed,Sales,Not-in-family,White,Male,0,0,33,United-States,>50K,NJ,27837,4,Rent,Yes,No,No
CEN-70158,40,Local-gov,Some-college,10,Separated,Other-service,Unmarried,White,Female,0,0,43,United-States,<=50K,UT,44384,3,Rent,Yes,No,No
CEN-70159,65,Private,Doctorate,16,Separated,Machine-op-inspct,Own-child,Asian-Pac-Islander,Male,0,0,46,Philippines,<=50K,OH,15991,5,With Family,Yes,No,No
CEN-70160,42,Private,10th,6,Separated,Prof-specialty,Husband,White,Male,0,0,53,United-States,<=50K,NY,55165,5,Other,Yes,Yes,No
CEN-70161,29,Federal-gov,11th,7,Never-married,Transport-moving,Husband,White,Female,0,0,55,United-States,<=50K,NY,48597,3,Other,Yes,No,No
CEN-70162,35,Local-gov,10th,6,Widowed,Farming-fishing,Not-in-family,White,Female,0,0,12,United-States,<=50K,OR,12893,4,Own,Yes,No,No
CEN-70163,57,State-gov,Assoc-acdm,12,Never-married,Craft-repair,Other-relative,White,Female,0,0,60,United-States,>50K,CA,50699,7,Own,Yes,No,No
CEN-70164,47,Local-gov,Assoc-acdm,12,Separated,Craft-repair,Own-child,White,Male,0,0,30,United-States,<=50K,WI,09385,5,Own,Yes,No,Yes
CEN-70165,35,Federal-gov,10th,6,Divorced,Machine-op-inspct,Other-relative,White,Female,6899,0,36,United-States,<=50K,MI,43387,7,With Family,Yes,Yes,No
CEN-70166,80,Local-gov,Masters,14,Never-married,Craft-repair,Husband,White,Female,0,0,21,United-States,<=50K,CA,54088,2,Own,Yes,No,Yes
