country,continent,year,lifeExp,pop,gdpPercap
Burkina Faso,Africa,1962,47.99,11298278,322.93
Burkina Faso,Africa,1967,50.49,10327242,433.68
Burkina Faso,Africa,1972,52.11,13696977,485.0
Burkina Faso,Africa,1977,54.84,12394363,667.45
Burkina Faso,Africa,1982,55.87,13896572,747.58
Burkina Faso,Africa,1987,57.13,21648584,1062.35
Burkina Faso,Africa,1992,59.74,28786747,469.73
Burkina Faso,Africa,1997,61.75,25538071,632.44
Burkina Faso,Africa,2002,63.18,36878696,1231.5
Burkina Faso,Africa,2007,65.39,20157686,444.47
Burundi,Africa,1952,35.93,14543012,1085.64
Burundi,Africa,1957,39.54,16112863,1121.28
Burundi,Africa,1962,42.12,16458785,1393.49
Burundi,Africa,1967,45.62,18618466,1195.86
Burundi,Africa,1972,47.3,22039740,1660.89
Burundi,Africa,1977,51.09,20586955,1592.37
Burundi,Africa,1982,54.03,34102079,1635.58
Burundi,Africa,1987,56.94,33413385,2576.63
Burundi,Africa,1992,59.87,47154324,3500.94
Burundi,Africa,1997,63.72,33267180,5576.69
Burundi,Africa,2002,66.44,65349959,7499.02
Burundi,Africa,2007,69.37,26881829,6182.51
Cameroon,Africa,1952,42.43,4249549,607.8
Cameroon,Africa,1957,45.24,4621470,686.8
Cameroon,Africa,1962,48.29,4911593,785.07
Cameroon,Africa,1967,50.25,5159350,806.38
Cameroon,Africa,1972,54.94,6974440,1012.69
Cameroon,Africa,1977,57.78,8822404,902.48
Cameroon,Africa,1982,59.64,5981409,818.47
Cameroon,Africa,1987,63.45,6815788,2381.57
Cameroon,Africa,1992,66.86,8207675,1537.25
Cameroon,Africa,1997,69.68,7351990,1521.66
Cameroon,Africa,2002,71.54,7505337,786.36
Cameroon,Africa,2007,75.67,15148469,1016.41
Central African Republic,Africa,1952,34.4,3049246,1061.75
Central African Republic,Africa,1957,39.47,3541180,1216.1
Central African Republic,Africa,1962,42.87,3697739,1169.52
Central African Republic,Africa,1967,45.61,4432596,1521.84
Central African Republic,Africa,1972,49.3,3845279,2031.43
Central African Republic,Africa,1977,53.06,4563348,1481.15
Central African Republic,Africa,1982,57.08,4698711,1631.11
Central African Republic,Africa,1987,59.65,6183900,3112.17
Central African Republic,Africa,1992,63.27,10166414,2343.9
Central African Republic,Africa,1997,66.88,5916690,2758.12
Central African Republic,Africa,2002,69.69,7970120,4592.14
Central African Republic,Africa,2007,73.46,12339176,3055.42
Chad,Africa,1952,35.5,11387573,444.87
Chad,Africa,1957,40.24,12407968,523.67
Chad,Africa,1962,43.05,14465186,510.87
Chad,Africa,1967,46.12,14593318,527.46
Chad,Africa,1972,48.63,17215245,614.24
Chad,Africa,1977,52.77,21946450,607.64
Chad,Africa,1982,55.55,23336361,805.53
Chad,Africa,1987,59.62,27865732,576.94
Chad,Africa,1992,62.72,18448448,578.39
Chad,Africa,1997,66.66,42288974,1790.07
Chad,Africa,2002,68.5,35315247,891.16
Chad,Africa,2007,72.03,21043644,3378.16
Congo,Africa,1952,35.2,4048955,318.85
Congo,Africa,1957,38.97,4501737,331.06
Congo,Africa,1962,40.84,4764199,327.08
Congo,Africa,1967,43.45,6122392,457.55
Congo,Africa,1972,46.66,5913271,369.56
Congo,Africa,1977,48.07,5179138,779.03
Congo,Africa,1982,50.39,6290417,479.61
Congo,Africa,1987,53.32,7066652,384.74
Congo,Africa,1992,56.24,6347380,553.51
Congo,Africa,1997,57.66,12972322,485.84
Congo,Africa,2002,61.14,10507496,1241.07
Congo,Africa,2007,63.18,6982176,2068.05
Egypt,Africa,1952,44.59,1033106,819.28
Egypt,Africa,1957,46.0,1137031,928.81
Egypt,Africa,1962,50.87,1252065,1019.69
Egypt,Africa,1967,54.18,1390229,1031.0
Egypt,Africa,1972,58.27,1620307,1390.82
Egypt,Africa,1977,61.36,1648856,1638.21
Egypt,Africa,1982,64.72,1663928,1357.8
Egypt,Africa,1987,68.92,1804387,1562.78
Egypt,Africa,1992,71.9,1992780,2227.45
Egypt,Africa,1997,75.8,3394163,3701.99
Egypt,Africa,2002,79.42,2026852,2767.03
Egypt,Africa,2007,82.0,3080969,2001.47
Ethiopia,Africa,1952,44.52,2880129,847.16
Ethiopia,Africa,1957,47.39,3262020,881.16
Ethiopia,Africa,1962,48.92,3903903,1046.32
Ethiopia,Africa,1967,53.47,4112613,953.72
Ethiopia,Africa,1972,56.36,3852378,1159.15
Ethiopia,Africa,1977,59.3,4019430,1491.93
Ethiopia,Africa,1982,61.59,6614277,2023.42
Ethiopia,Africa,1987,64.76,5799848,2336.05
Ethiopia,Africa,1992,66.85,9248584,1201.84
Ethiopia,Africa,1997,70.97,8374826,2615.18
Ethiopia,Africa,2002,72.46,10335363,4379.5
Ethiopia,Africa,2007,75.33,12767035,1183.07
Ghana,Africa,1952,35.08,10407087,919.38
Ghana,Africa,1957,36.62,11066977,981.41
Ghana,Africa,1962,39.71,12206136,1075.51
Ghana,Africa,1967,42.05,15956006,1404.88
Ghana,Africa,1972,43.97,13163586,1498.94
Ghana,Africa,1977,46.52,18511697,1903.13
Ghana,Africa,1982,48.69,19697677,1845.74
Ghana,Africa,1987,50.59,16514978,3446.52
Ghana,Africa,1992,53.25,22930263,3753.32
Ghana,Africa,1997,54.57,32112650,2929.21
Ghana,Africa,2002,56.39,26606193,2169.99
Ghana,Africa,2007,58.93,30840576,1373.6
Guinea,Africa,1952,36.55,19243021,696.35
Guinea,Africa,1957,40.47,20023251,741.0
Guinea,Africa,1962,43.25,21637078,785.71
Guinea,Africa,1967,47.15,23297558,745.96
Guinea,Africa,1972,50.8,28832782,868.9
Guinea,Africa,1977,55.21,35457257,816.94
Guinea,Africa,1982,58.4,35421418,782.83
Guinea,Africa,1987,62.79,47518502,1711.74
Guinea,Africa,1992,65.57,40252065,1246.12
Guinea,Africa,1997,69.37,55440934,1087.41
Guinea,Africa,2002,72.57,43692006,4503.88
Guinea,Africa,2007,76.85,51557965,1122.99
Kenya,Africa,1952,40.18,11122854,784.05
Kenya,Africa,1957,42.99,12335124,925.92
Kenya,Africa,1962,45.03,13100189,1019.03
Kenya,Africa,1967,48.93,17477109,1371.35
Kenya,Africa,1972,51.44,18245865,1500.0
Kenya,Africa,1977,52.78,22817565,1204.97
Kenya,Africa,1982,55.25,24420779,1133.22
Kenya,Africa,1987,58.58,19600002,3011.29
Kenya,Africa,1992,61.23,25648849,1898.18
Kenya,Africa,1997,63.21,26520373,1157.54
Kenya,Africa,2002,66.02,29410773,1236.55
Kenya,Africa,2007,67.58,21363337,1962.29
Madagascar,Africa,1952,43.12,13696809,538.81
Madagascar,Africa,1957,45.27,14667966,597.91
Madagascar,Africa,1962,49.48,15060737,695.52
Madagascar,Africa,1967,51.78,17608307,621.25
Madagascar,Africa,1972,56.81,22575081,774.03
Madagascar,Africa,1977,58.86,28318218,1419.35
Madagascar,Africa,1982,61.82,31074193,1244.29
Madagascar,Africa,1987,65.01,26843281,830.87
Madagascar,Africa,1992,69.58,25752381,1575.24
Madagascar,Africa,1997,71.8,48406385,2932.78
Madagascar,Africa,2002,75.08,32565099,1958.7
Madagascar,Africa,2007,77.87,32877972,822.83
Malawi,Africa,1952,43.66,15873983,1031.98
Malawi,Africa,1957,46.21,17341489,1131.77
Malawi,Africa,1962,49.52,20582451,1418.42
Malawi,Africa,1967,52.27,23104459,1325.72
Malawi,Africa,1972,54.86,20992499,1501.87
Malawi,Africa,1977,58.22,32119720,1280.63
Malawi,Africa,1982,61.99,22375217,2591.54
Malawi,Africa,1987,63.79,25408545,2276.88
Malawi,Africa,1992,66.81,25385902,1932.82
Malawi,Africa,1997,70.43,36245676,5442.69
Malawi,Africa,2002,74.27,45148505,1966.79
Malawi,Africa,2007,76.9,48142080,2951.77
Mali,Africa,1952,41.28,19361464,622.61
Mali,Africa,1957,45.41,21775477,635.19
Mali,Africa,1962,45.9,24444041,720.24
Mali,Africa,1967,49.09,21802180,890.68
Mali,Africa,1972,50.4,23260460,713.08
Mali,Africa,1977,54.14,26182167,1093.46
Mali,Africa,1982,55.7,36722739,1451.6
Mali,Africa,1987,59.54,43844999,1320.75
Mali,Africa,1992,60.83,49708808,893.21
Mali,Africa,1997,62.83,38763276,944.71
Mali,Africa,2002,66.23,57170795,1306.62
Mali,Africa,2007,68.86,69276123,4548.8
Mauritania,Africa,1952,35.11,10808334,368.48
Mauritania,Africa,1957,37.82,11994118,425.07
Mauritania,Africa,1962,41.32,11981714,410.19
Mauritania,Africa,1967,44.8,12841624,516.55
Mauritania,Africa,1972,48.81,13626220,546.27
Mauritania,Africa,1977,51.3,15662068,467.66
Mauritania,Africa,1982,54.55,15281946,582.84
Mauritania,Africa,1987,58.05,20527967,679.14
Mauritania,Africa,1992,60.64,27052332,924.46
Mauritania,Africa,1997,63.65,19467687,915.99
Mauritania,Africa,2002,67.94,22676581,866.53
Mauritania,Africa,2007,71.07,39090612,1063.25
Morocco,Africa,1952,35.15,2403112,627.87
Morocco,Africa,1957,37.64,2800937,715.41
Morocco,Africa,1962,39.71,3098816,921.4
Morocco,Africa,1967,42.04,2921978,810.33
Morocco,Africa,1972,44.52,4082798,1363.29
Morocco,Africa,1977,46.69,4305504,1370.62
Morocco,Africa,1982,49.7,5878083,1434.45
Morocco,Africa,1987,51.41,6677723,850.34
Morocco,Africa,1992,54.66,6189061,1862.68
Morocco,Africa,1997,56.1,4326198,883.9
Morocco,Africa,2002,58.33,6062810,1419.91
Morocco,Africa,2007,60.95,4494964,906.29
Mozambique,Africa,1952,37.77,16557724,495.29
Mozambique,Africa,1957,39.51,18075220,562.7
Mozambique,Africa,1962,41.99,22321372,553.12
Mozambique,Africa,1967,44.93,22398958,579.06
Mozambique,Africa,1972,46.08,29581676,808.85
Mozambique,Africa,1977,48.94,26083722,612.63
Mozambique,Africa,1982,51.36,26582177,893.21
Mozambique,Africa,1987,53.65,33221355,1902.87
Mozambique,Africa,1992,56.0,34977525,1924.93
Mozambique,Africa,1997,57.86,50524974,1671.43
Mozambique,Africa,2002,61.27,64777397,3469.31
Mozambique,Africa,2007,63.03,56910167,1097.52
Namibia,Africa,1952,44.35,11636763,333.1
Namibia,Africa,1957,44.58,12204655,385.56
Namibia,Africa,1962,47.45,14512720,427.08
Namibia,Africa,1967,50.09,16482862,438.84
Namibia,Africa,1972,52.45,16346905,710.17
Namibia,Africa,1977,54.17,18584083,590.84
Namibia,Africa,1982,56.26,22546980,608.72
Namibia,Africa,1987,58.87,20144966,1265.32
Namibia,Africa,1992,61.06,18754365,705.41
Namibia,Africa,1997,62.95,38344376,612.42
Namibia,Africa,2002,64.92,19811511,787.33
Namibia,Africa,2007,67.13,38011150,470.35
Niger,Africa,1952,42.46,6517552,810.13
Niger,Africa,1957,45.08,7105261,936.35
Niger,Africa,1962,49.01,8238461,836.7
Niger,Africa,1967,52.82,8274087,1231.52
Niger,Africa,1972,56.0,9498407,944.8
Niger,Africa,1977,59.5,9468750,1030.32
Niger,Africa,1982,64.18,13685979,1049.93
Niger,Africa,1987,67.33,13755596,2440.73
Niger,Africa,1992,71.45,17113952,1486.36
Niger,Africa,1997,74.97,16935399,2519.93
Niger,Africa,2002,79.46,26606129,4217.95
Niger,Africa,2007,82.0,16637169,5254.46
Nigeria,Africa,1952,37.08,1497077,307.25
Nigeria,Africa,1957,40.97,1730604,354.93
Nigeria,Africa,1962,43.38,1619569,428.93
Nigeria,Africa,1967,46.88,1721664,385.84
Nigeria,Africa,1972,52.12,2564340,449.52
Nigeria,Africa,1977,55.33,2318791,739.93
Nigeria,Africa,1982,58.72,2500404,622.94
Nigeria,Africa,1987,62.61,3241458,473.51
Nigeria,Africa,1992,66.02,3272635,1235.5
Nigeria,Africa,1997,69.8,5069165,886.94
Nigeria,Africa,2002,73.36,4536134,897.86
Nigeria,Africa,2007,77.87,5462334,756.62
Rwanda,Africa,1952,38.17,7937624,367.61
Rwanda,Africa,1957,41.19,8891405,419.66
Rwanda,Africa,1962,44.96,8732371,463.96
Rwanda,Africa,1967,47.86,10236657,457.76
Rwanda,Africa,1972,50.47,11386029,727.04
Rwanda,Africa,1977,54.13,11810663,799.94
Rwanda,Africa,1982,57.16,11095880,1106.2
Rwanda,Africa,1987,60.56,16248981,454.33
Rwanda,Africa,1992,63.31,19695008,737.2
Rwanda,Africa,1997,67.12,30469191,1415.49
Rwanda,Africa,2002,70.29,14357884,970.31
Rwanda,Africa,2007,71.73,27258935,571.76
Senegal,Africa,1952,38.32,8987046,749.97
Senegal,Africa,1957,40.49,10163838,864.19
Senegal,Africa,1962,42.78,11332492,912.9
Senegal,Africa,1967,44.35,10529524,1304.16
Senegal,Africa,1972,45.47,15445380,954.08
Senegal,Africa,1977,48.79,12600287,1203.93
Senegal,Africa,1982,51.15,17815908,1299.32
Senegal,Africa,1987,52.61,19849534,1385.7
Senegal,Africa,1992,55.12,13527923,2173.4
Senegal,Africa,1997,57.07,31411690,2031.24
Senegal,Africa,2002,59.26,23243591,2827.58
Senegal,Africa,2007,61.48,19973482,2185.6
Sierra Leone,Africa,1952,36.5,7602040,1029.19
Sierra Leone,Africa,1957,39.46,8484787,1095.4
Sierra Leone,Africa,1962,41.59,8989561,1102.34
Sierra Leone,Africa,1967,43.32,9313446,1157.17
Sierra Leone,Africa,1972,45.64,9240414,1353.43
Sierra Leone,Africa,1977,47.07,10531867,2560.56
Sierra Leone,Africa,1982,49.95,16912364,1738.63
Sierra Leone,Africa,1987,52.7,20510287,1874.22
Sierra Leone,Africa,1992,54.3,15769931,1285.2
Sierra Leone,Africa,1997,57.31,12377073,1386.41
Sierra Leone,Africa,2002,58.86,17128527,5510.36
Sierra Leone,Africa,2007,61.12,26803462,4754.88
Somalia,Africa,1952,42.7,6768701,1016.35
Somalia,Africa,1957,45.76,7590131,1131.35
Somalia,Africa,1962,50.14,8565392,1250.38
Somalia,Africa,1967,53.5,9156097,1645.95
Somalia,Africa,1972,57.98,9666740,1581.98
Somalia,Africa,1977,61.64,11320722,1702.91
Somalia,Africa,1982,65.41,9526601,1161.43
Somalia,Africa,1987,69.17,14500260,1224.58
Somalia,Africa,1992,72.41,20756391,1314.06
Somalia,Africa,1997,75.67,12077481,2819.42
Somalia,Africa,2002,81.01,14652362,6759.36
Somalia,Africa,2007,82.0,27135896,5856.27
South Africa,Africa,1952,43.2,12542917,1000.35
South Africa,Africa,1957,45.79,13603354,1196.63
South Africa,Africa,1962,49.89,16112589,1441.8
South Africa,Africa,1967,52.93,19204360,1246.8
South Africa,Africa,1972,55.35,15718588,1492.29
South Africa,Africa,1977,57.85,17728636,2047.31
South Africa,Africa,1982,61.72,23152564,2970.92
South Africa,Africa,1987,64.69,23550810,1466.66
South Africa,Africa,1992,67.2,20538217,3549.04
South Africa,Africa,1997,70.62,40041664,3254.45
South Africa,Africa,2002,74.15,31017974,3915.94
South Africa,Africa,2007,77.42,24874689,3032.42
Sudan,Africa,1952,34.5,6204975,954.03
Sudan,Africa,1957,37.41,7234452,1037.61
Sudan,Africa,1962,40.63,8158249,1457.19
Sudan,Africa,1967,43.48,9549815,1127.84
Sudan,Africa,1972,46.31,8357315,1837.24
Sudan,Africa,1977,48.77,10483027,1522.06
Sudan,Africa,1982,51.71,14507276,3036.63
Sudan,Africa,1987,54.9,9548186,2536.06
Sudan,Africa,1992,56.32,16243145,1683.35
Sudan,Africa,1997,59.74,13258910,4472.15
Sudan,Africa,2002,62.1,15024596,2322.62
Sudan,Africa,2007,66.56,16858396,2927.57
Tanzania,Africa,1952,41.19,11648406,316.02
Tanzania,Africa,1957,44.61,12679154,363.43
Tanzania,Africa,1962,46.67,13823948,451.83
Tanzania,Africa,1967,49.65,14419133,463.18
Tanzania,Africa,1972,52.69,19995644,493.95
Tanzania,Africa,1977,55.72,23365467,497.34
Tanzania,Africa,1982,60.01,27679163,539.13
Tanzania,Africa,1987,62.35,23061978,878.89
Tanzania,Africa,1992,65.45,34607423,532.45
Tanzania,Africa,1997,68.17,24849273,1340.38
Tanzania,Africa,2002,71.15,23346288,2233.13
Tanzania,Africa,2007,74.42,32969961,1068.8
Togo,Africa,1952,36.19,15038338,920.21
Togo,Africa,1957,38.96,17578234,988.12
Togo,Africa,1962,41.76,17222341,1347.59
Togo,Africa,1967,45.52,22283360,970.7
Togo,Africa,1972,47.29,20535922,1095.45
Togo,Africa,1977,51.08,28106596,1632.99
Togo,Africa,1982,53.62,32568833,2456.92
Togo,Africa,1987,56.51,21660993,2608.29
Togo,Africa,1992,58.84,25606229,4155.47
Togo,Africa,1997,62.77,54162695,2800.5
Togo,Africa,2002,66.07,34235500,1367.68
Togo,Africa,2007,68.68,36528861,1552.62
Tunisia,Africa,1952,39.54,968874,441.88
Tunisia,Africa,1957,40.93,1079229,457.21
Tunisia,Africa,1962,45.24,1153565,561.83
Tunisia,Africa,1967,46.51,1465611,734.83
Tunisia,Africa,1972,50.12,1563130,698.73
Tunisia,Africa,1977,53.99,1327152,516.91
Tunisia,Africa,1982,55.96,1317429,910.33
Tunisia,Africa,1987,59.09,1393585,1109.6
Tunisia,Africa,1992,63.49,2480929,1553.5
Tunisia,Africa,1997,64.45,1891049,2283.79
Tunisia,Africa,2002,67.44,2320003,2208.07
Tunisia,Africa,2007,70.56,4013648,866.43
Uganda,Africa,1952,45.41,16708991,817.8
Uganda,Africa,1957,47.83,19872909,880.81
Uganda,Africa,1962,51.83,19366615,1070.48
Uganda,Africa,1967,55.91,22555381,1078.2
Uganda,Africa,1972,59.42,21941757,1847.59
Uganda,Africa,1977,62.02,26685286,1743.06
Uganda,Africa,1982,67.27,30328349,1402.17
Uganda,Africa,1987,71.53,38466327,1625.72
Uganda,Africa,1992,74.24,37637669,3418.34
Uganda,Africa,1997,78.83,37036170,2568.7
Uganda,Africa,2002,82.0,73207778,1637.2
Uganda,Africa,2007,82.0,64630725,2023.82
Zambia,Africa,1952,35.22,6326252,882.5
Zambia,Africa,1957,40.05,7080970,1064.13
Zambia,Africa,1962,42.61,7739930,1194.1
Zambia,Africa,1967,47.29,8711627,1034.62
Zambia,Africa,1972,49.72,10491921,1672.15
Zambia,Africa,1977,53.26,8083656,2308.59
Zambia,Africa,1982,57.03,14321856,1341.3
Zambia,Africa,1987,60.4,11237152,2734.63
Zambia,Africa,1992,64.02,19781797,1912.31
Zambia,Africa,1997,68.16,10839412,4940.34
Zambia,Africa,2002,71.95,12083638,5890.79
Zambia,Africa,2007,74.73,11617161,3616.29
Zimbabwe,Africa,1952,41.95,16098537,305.73
Zimbabwe,Africa,1957,46.43,18263616,383.11
Zimbabwe,Africa,1962,49.79,18831872,377.16
Zimbabwe,Africa,1967,53.7,19588603,533.31
Zimbabwe,Africa,1972,57.49,22189315,373.05
Zimbabwe,Africa,1977,61.18,26344029,368.01
Zimbabwe,Africa,1982,65.67,26743573,380.93
Zimbabwe,Africa,1987,70.13,38248828,569.03
Zimbabwe,Africa,1992,73.67,51439687,412.68
Zimbabwe,Africa,1997,78.63,39906434,1486.1
Zimbabwe,Africa,2002,82.0,40350701,1814.54
Zimbabwe,Africa,2007,82.0,49212173,2526.69
Argentina,Americas,1952,48.94,29768994,8003.64
Argentina,Americas,1957,49.89,32305702,8125.6
Argentina,Americas,1962,51.99,36330520,8897.44
Argentina,Americas,1967,52.24,34799485,12367.22
Argentina,Americas,1972,53.06,38658134,10694.86
Argentina,Americas,1977,54.36,37037408,16944.27
Argentina,Americas,1982,54.59,44861651,10176.84
Argentina,Americas,1987,56.57,49430705,24422.78
Argentina,Americas,1992,57.49,53701117,30850.11
Argentina,Americas,1997,58.64,107174224,42215.72
Argentina,Americas,2002,59.92,115193489,19080.8
Argentina,Americas,2007,60.26,62923206,31499.01
Bolivia,Americas,1952,61.4,6997741,2123.17
Bolivia,Americas,1957,62.75,8390258,2408.02
Bolivia,Americas,1962,63.25,8768103,2988.89
Bolivia,Americas,1967,65.86,8523362,3753.43
Bolivia,Americas,1972,67.66,9779201,2874.37
Bolivia,Americas,1977,70.16,12675658,4384.02
Bolivia,Americas,1982,71.38,13410096,4321.53
Bolivia,Americas,1987,72.84,17920054,6734.39
Bolivia,Americas,1992,74.81,18280005,5365.37
Bolivia,Americas,1997,76.23,25159626,6365.51
Bolivia,Americas,2002,77.76,13658880,7355.81
Bolivia,Americas,2007,80.06,13810812,8720.97
Brazil,Americas,1952,60.44,23002939,7774.78
Brazil,Americas,1957,62.03,25338149,8875.49
Brazil,Americas,1962,62.4,25793227,9465.98
Brazil,Americas,1967,64.35,30968537,11722.6
Brazil,Americas,1972,66.45,33678906,9712.67
Brazil,Americas,1977,67.51,44232286,9603.4
Brazil,Americas,1982,68.88,42900275,15674.16
Brazil,Americas,1987,71.21,54102458,12283.54
Brazil,Americas,1992,72.03,41366547,24326.35
Brazil,Americas,1997,74.01,51429384,32992.99
Brazil,Americas,2002,75.08,88572307,43891.91
Brazil,Americas,2007,77.65,92854766,19542.57
Canada,Americas,1952,49.63,8363890,6034.16
Canada,Americas,1957,52.04,9402874,6527.31
Canada,Americas,1962,54.08,9509486,6949.5
Canada,Americas,1967,55.94,11187678,8404.62
Canada,Americas,1972,59.29,10979704,7739.76
Canada,Americas,1977,60.59,13369512,8963.86
Canada,Americas,1982,63.89,17549009,19341.47
Canada,Americas,1987,66.24,18547735,18221.79
Canada,Americas,1992,68.18,16717340,20858.98
Canada,Americas,1997,70.09,19658189,15055.7
Canada,Americas,2002,72.17,37744179,12588.98
Canada,Americas,2007,74.87,36488123,9223.89
Chile,Americas,1952,57.68,6554003,4060.14
Chile,Americas,1957,59.45,7376061,4235.55
Chile,Americas,1962,62.07,7630557,5580.41
Chile,Americas,1967,62.74,10028517,7004.05
Chile,Americas,1972,64.79,10497716,6503.97
Chile,Americas,1977,67.29,13037867,7437.59
Chile,Americas,1982,69.34,10567446,9812.64
Chile,Americas,1987,71.66,16254168,12450.82
Chile,Americas,1992,73.4,15110633,5819.53
Chile,Americas,1997,74.4,18139705,10333.89
Chile,Americas,2002,77.27,16030119,12326.5
Chile,Americas,2007,79.25,26434908,10308.93
Colombia,Americas,1952,52.21,43636784,7817.52
Colombia,Americas,1957,53.62,50137394,8636.87
Colombia,Americas,1962,56.35,54440284,11451.65
Colombia,Americas,1967,59.64,54213823,9602.47
Colombia,Americas,1972,60.84,53834736,9168.84
Colombia,Americas,1977,62.93,77951105,14199.85
Colombia,Americas,1982,64.54,85061231,12976.05
Colombia,Americas,1987,66.78,71498574,11591.38
Colombia,Americas,1992,68.85,136631853,15231.27
Colombia,Americas,1997,70.8,136489084,16168.31
Colombia,Americas,2002,71.84,122080950,24136.11
Colombia,Americas,2007,74.78,81579844,23581.23
Costa Rica,Americas,1952,63.82,33739083,4804.49
Costa Rica,Americas,1957,66.71,35722123,5141.52
Costa Rica,Americas,1962,69.26,42344876,5185.19
Costa Rica,Americas,1967,71.17,43486306,6563.48
Costa Rica,Americas,1972,74.46,48963691,7425.18
Costa Rica,Americas,1977,75.68,52215397,6495.83
Costa Rica,Americas,1982,78.02,44660369,11721.72
Costa Rica,Americas,1987,81.98,86550137,10603.36
Costa Rica,Americas,1992,82.0,103950596,22093.25
Costa Rica,Americas,1997,82.0,68438140,13674.93
Costa Rica,Americas,2002,82.0,108486204,7639.61
Costa Rica,Americas,2007,82.0,65666599,7306.29
Cuba,Americas,1952,46.51,18609347,2199.73
Cuba,Americas,1957,48.94,20324304,2550.65
Cuba,Americas,1962,50.87,20839007,2526.02
Cuba,Americas,1967,52.06,25455246,2588.9
Cuba,Americas,1972,55.79,24533329,3032.79
Cuba,Americas,1977,57.83,29676176,4707.83
Cuba,Americas,1982,59.99,29252252,4236.23
Cuba,Americas,1987,63.23,39087343,4607.07
Cuba,Americas,1992,64.39,59470183,9487.02
Cuba,Americas,1997,67.16,27834311,6099.37
Cuba,Americas,2002,69.24,30065403,4452.33
Cuba,Americas,2007,70.9,58951119,12852.27
Dominican Republic,Americas,1952,63.0,38931902,6059.81
Dominican Republic,Americas,1957,63.52,43635145,6343.19
Dominican Republic,Americas,1962,66.1,45115567,8547.49
Dominican Republic,Americas,1967,67.51,51760974,9091.88
Dominican Republic,Americas,1972,67.95,51451686,11301.73
Dominican Republic,Americas,1977,68.47,52233728,8709.83
Dominican Republic,Americas,1982,70.15,77162307,15947.79
Dominican Republic,Americas,1987,71.27,99845836,23301.96
Dominican Republic,Americas,1992,74.09,83925165,20269.49
Dominican Republic,Americas,1997,73.5,140530817,22617.53
Dominican Republic,Americas,2002,75.59,89840342,14864.07
Dominican Republic,Americas,2007,76.76,85325298,28507.2
Ecuador,Americas,1952,57.21,20557339,5698.0
Ecuador,Americas,1957,59.09,21433145,6310.0
Ecuador,Americas,1962,61.3,25423515,7483.44
Ecuador,Americas,1967,63.94,29416022,6716.75
Ecuador,Americas,1972,65.54,34540115,9615.69
Ecuador,Americas,1977,68.16,40585248,13998.18
Ecuador,Americas,1982,69.58,43705024,10835.57
Ecuador,Americas,1987,71.17,54937440,22237.41
Ecuador,Americas,1992,73.75,48385239,22018.74
Ecuador,Americas,1997,74.89,32500497,11321.61
Ecuador,Americas,2002,77.51,54690129,19242.95
Ecuador,Americas,2007,79.22,80773105,13507.37
El Salvador,Americas,1952,54.94,37749294,2439.52
El Salvador,Americas,1957,58.41,42307525,2910.54
El Salvador,Americas,1962,60.5,49424428,3331.21
El Salvador,Americas,1967,63.16,57193234,3553.39
