Id,Neighborhood,OverallQual,OverallCond,YearBuilt,YearRemodAdd,GrLivArea,LotArea,BedroomAbvGr,FullBath,GarageCars,TotalBsmtSF,1stFlrSF,MasVnrArea,GarageArea,SalePrice
66,Timber,7,5,1942,1953,1453,9215,2,2,2,720,560,0,432,302900
67,Mitchel,8,4,1994,1994,769,5572,3,2,2,1224,1257,70,556,207600
68,BrkSide,5,6,1923,1951,1255,2226,1,1,1,884,809,893,91,152300
69,SawyerW,6,5,1895,1969,1063,19382,6,2,3,1135,1588,663,739,161600
70,NridgHt,5,5,1957,1973,1015,27086,5,2,2,1189,1699,0,563,270400
71,Gilbert,7,4,1881,1997,1805,6910,3,1,2,1753,1519,0,389,247800
72,Sawyer,7,4,1957,2002,2386,33708,1,1,2,1546,1511,0,587,251100
73,BrkSide,6,6,1943,1996,2009,9416,3,3,2,1538,1948,0,411,236500
74,Somerst,6,8,1924,1974,894,14482,5,1,2,1517,1156,64,535,161300
75,NWAmes,4,5,2000,2000,1138,11655,5,2,2,1239,1255,1581,372,155900
76,NWAmes,4,6,1895,1969,1146,8599,6,2,1,1469,1353,0,192,149000
77,Crawfor,6,5,1988,2005,1769,5444,1,2,2,1452,1601,0,382,233000
78,NoRidge,4,5,1875,1992,1757,9611,4,1,2,190,801,0,343,279200
79,Crawfor,6,4,1940,1970,1000,4274,3,1,1,1273,1356,0,188,184200
80,Sawyer,4,5,2002,2002,1697,3589,4,1,2,1722,764,0,593,219600
81,Crawfor,5,3,1887,1989,1867,5382,3,2,0,1231,1896,976,0,227300
82,NWAmes,5,4,1961,1961,1663,11288,1,2,2,718,1219,1124,323,188300
83,NAmes,3,5,1908,1968,1078,8764,3,1,2,1454,1250,0,607,124000
84,Timber,5,5,2003,2003,1940,5646,1,2,2,551,846,729,658,307500
85,Gilbert,6,6,1904,2006,1857,11907,2,1,3,1128,862,0,793,230800
86,OldTown,8,6,1893,1975,1482,12378,3,2,1,1298,1042,547,230,188100
87,NWAmes,8,5,1876,1988,1972,5291,3,2,2,1971,1596,824,351,250600
88,OldTown,6,7,1984,2000,2033,6476,3,1,2,1564,1924,1059,720,234600
89,Crawfor,7,4,1977,1999,2789,9247,6,1,2,1094,878,0,390,326100
90,Crawfor,7,6,1943,1974,1606,8478,1,2,2,1270,1309,417,442,261800
91,CollgCr,5,5,1874,1953,1608,4915,3,2,1,415,334,0,116,196000
92,NWAmes,4,4,1970,1970,751,10063,6,2,1,1001,1897,77,310,115100
93,NoRidge,5,6,1931,1997,1865,8205,2,1,2,551,754,0,405,320900
94,OldTown,6,6,1961,1990,1398,8941,3,2,2,2028,1322,635,244,163200
95,NoRidge,7,5,1915,1993,1504,3586,4,2,2,840,1776,893,409,305300
96,Timber,4,7,1997,1997,705,13019,5,2,2,695,663,0,559,160700
97,CollgCr,7,6,1980,1980,998,9881,1,2,0,969,987,363,0,203000
98,NWAmes,6,7,1883,1987,1372,15466,5,2,0,1534,1529,0,0,183800
99,Mitchel,5,6,1997,1997,759,12347,4,1,3,981,828,1343,837,149200
100,OldTown,8,4,1902,1961,1916,15994,4,2,1,883,766,1017,258,248400
101,SawyerW,7,4,2000,2000,1741,8782,6,2,0,1045,1535,841,0,231900
102,NAmes,7,4,1886,2003,1900,4510,1,1,2,1287,1337,464,603,260100
103,BrkSide,8,6,1991,2008,1452,13979,1,1,2,599,926,619,390,183800
104,Gilbert,6,5,1986,1986,2319,7666,1,3,2,1444,2011,627,610,328200
105,Somerst,6,6,1919,2005,2836,11274,3,2,2,1388,334,90,442,404000
106,OldTown,6,5,1996,1996,1427,5996,5,2,2,1530,568,0,520,167500
107,BrkSide,4,4,1904,1967,1543,10873,5,2,2,813,1551,741,453,175800
108,Timber,6,6,1941,1996,1482,4516,5,3,1,1043,585,488,347,250600
109,Timber,6,7,1895,1972,1123,14848,2,2,2,1408,1012,0,324,219500
110,CollgCr,5,5,1957,1990,638,9239,3,1,2,1624,1576,0,547,141000
111,NAmes,5,5,1960,1964,1321,12552,3,3,2,1712,533,0,522,216500
112,Gilbert,7,7,1944,1966,1909,5578,5,2,2,757,1376,0,504,251400
113,NoRidge,7,6,1996,1996,1552,8590,4,1,2,1046,1310,1393,332,329700
114,Mitchel,7,7,1994,1994,1177,11807,2,1,0,948,1222,220,0,176400
115,SawyerW,5,7,1980,2009,2151,11415,3,1,2,1551,2327,0,515,270000
116,Edwards,7,5,1953,2008,1748,10332,4,1,2,1010,1392,0,352,233400
117,Sawyer,7,5,1953,1961,3083,6460,6,1,2,1434,1373,0,727,345700
118,Timber,5,6,1990,1990,1906,8648,5,1,2,817,1352,591,534,336800
119,NoRidge,6,5,1931,2007,1803,7678,4,2,3,356,846,676,899,318000
120,NAmes,3,5,1954,1963,1341,4166,2,1,2,941,1523,0,356,135300
121,NWAmes,8,6,2001,2001,1950,6398,6,2,2,853,1315,1401,584,326300
122,Mitchel,6,6,1886,1955,928,7479,5,1,2,714,911,16,700,160600
123,Sawyer,5,5,1947,1996,1584,6787,3,1,1,703,1110,0,258,218700
124,NridgHt,7,4,1891,1971,1463,8662,3,2,2,430,988,201,580,342200
125,NAmes,4,6,1982,1999,1842,10523,3,2,1,779,930,1042,247,231800
126,NWAmes,6,5,1954,1991,1734,8853,2,2,2,710,1221,666,409,206800
127,Timber,7,5,1950,1966,1614,7260,5,2,0,1464,908,290,0,310900
128,NoRidge,7,5,1876,1968,2193,13676,2,2,2,790,1021,314,599,420100
129,Timber,6,5,1962,1993,2358,5112,4,2,2,1130,1113,0,428,370800
130,Crawfor,6,5,1874,1951,2313,6100,1,2,0,1175,1008,0,0,285400
131,NridgHt,8,7,1895,1982,2002,5287,6,3,2,747,982,0,427,398800
132,Somerst,6,5,1918,1998,1773,11424,6,2,3,2050,1315,0,719,238500
133,NWAmes,7,4,1873,1994,1991,11342,5,2,2,1316,1346,0,517,247800
134,NWAmes,5,6,2008,2008,1772,10955,1,2,1,1177,814,0,178,211800
135,Sawyer,6,7,1879,1975,2037,21281,1,2,2,1211,379,0,301,213600
136,Timber,6,6,1907,1958,1477,6242,4,2,2,997,1275,0,535,249900
137,Somerst,4,5,1940,2007,1662,9133,2,2,2,746,965,0,589,202300
138,OldTown,5,4,1976,1976,2321,11620,4,2,3,865,1319,1428,635,248300
139,SawyerW,6,5,1995,1995,1999,7639,6,2,2,785,1407,979,511,279400
140,NridgHt,7,5,1929,1974,1938,11985,4,3,2,805,1517,0,281,325200
141,Gilbert,3,4,1882,2007,1550,13780,3,1,2,1135,334,0,308,162500
142,NWAmes,8,4,1961,2006,1588,12911,6,2,2,212,1779,209,341,273400
143,CollgCr,9,7,1920,2008,1055,19838,1,1,2,1086,867,475,449,205500
144,Sawyer,6,7,1999,1999,1551,20405,1,2,3,945,583,0,671,272600
145,NridgHt,5,7,1967,1983,1635,11605,2,1,3,1186,810,1568,804,346600
146,NoRidge,5,6,1967,1987,1701,6364,4,2,2,2047,398,0,353,330800
147,Somerst,4,3,1949,2000,913,45508,5,1,2,454,1395,717,749,167700
148,NWAmes,5,6,1983,1983,2398,5095,2,2,1,515,1604,719,236,256000
149,Edwards,4,8,1954,1999,1346,8528,2,1,1,1007,908,875,266,143900
150,Sawyer,6,4,1937,1952,785,13769,5,2,2,1926,1462,0,733,181300
151,BrkSide,10,4,1981,1981,1114,10353,5,2,2,342,1296,1598,439,212900
152,Timber,7,4,1875,1950,986,10090,4,1,2,1014,1286,0,322,206800
153,NridgHt,5,6,2009,2009,1165,11110,4,2,2,754,491,0,313,267900
154,Sawyer,3,3,1888,1978,1756,13325,5,2,1,1018,1316,0,360,173000
155,NridgHt,5,6,2005,2005,2099,5172,4,2,3,502,1571,1204,613,407000
156,Somerst,7,5,1985,1985,1372,13511,5,2,1,914,910,0,195,247800
157,Timber,6,6,1920,1969,334,9764,4,1,2,1261,1671,386,498,140500
158,CollgCr,7,6,1918,1957,801,13172,1,2,2,804,1468,1419,530,181300
159,Timber,8,5,1957,1976,1753,9175,6,2,0,1368,1972,895,0,345600
160,Timber,7,5,1991,1991,929,5290,3,3,2,1885,1029,0,457,288100
161,NAmes,7,6,1939,1996,1472,12192,3,2,2,1363,1506,0,549,223900
162,CollgCr,6,7,1913,2007,862,4597,2,2,2,1552,1513,537,437,172000
163,NWAmes,5,5,1903,1979,1454,11614,5,2,2,1400,925,1053,529,206800
164,OldTown,7,4,1987,1993,1367,31483,2,2,1,905,419,797,261,184800
165,NAmes,8,6,1899,1995,1410,6634,2,2,3,181,913,891,749,218000
166,BrkSide,4,6,1879,1952,1283,5658,6,2,1,673,1569,504,363,136300
167,Timber,8,8,1928,1962,748,9783,4,2,2,1492,1476,72,671,229900
168,Sawyer,7,6,2004,2004,2049,7573,3,2,2,533,1369,0,354,267400
169,SawyerW,4,7,1929,1993,1392,10334,2,2,3,1001,1405,126,689,170100
170,BrkSide,6,6,1931,1969,1965,6495,1,1,2,1070,1402,1296,373,208400
171,Crawfor,7,6,1872,2001,1573,5145,1,2,2,598,948,0,682,217900
172,NridgHt,6,7,1992,1992,1810,2097,3,2,2,1747,1493,0,372,401200
173,BrkSide,8,8,1946,1964,1355,5016,5,2,2,1288,849,602,636,222200
174,Crawfor,8,6,1986,1986,1482,9661,3,1,2,1733,1082,1460,653,276500
175,SawyerW,5,7,1998,1999,1130,14256,3,2,2,1601,1023,90,339,209800
176,Gilbert,5,3,1922,1992,1535,11882,1,2,0,1432,1688,0,0,160900
177,NridgHt,7,4,1878,1986,1648,12411,5,2,2,266,972,56,245,318400
178,Gilbert,7,5,1899,1978,881,12722,2,1,0,583,1019,1402,0,141300
179,NAmes,5,6,2007,2007,1659,6429,2,2,3,1068,1223,1348,849,249300
180,Crawfor,5,4,1970,1979,1903,3353,4,1,2,976,1108,0,545,251600
181,NridgHt,4,5,1999,1999,2413,8189,1,1,1,841,717,281,315,311500
182,Edwards,6,6,1923,1985,1503,3980,1,2,1,1032,1533,1347,203,185900
183,Sawyer,5,7,1941,1993,1354,9786,1,2,3,2231,348,0,696,208300
184,Somerst,5,6,1969,1969,641,8366,1,1,3,1026,1349,0,1167,168600
185,Sawyer,6,6,1914,1988,1300,24185,6,2,2,948,1587,0,544,169800
186,NAmes,8,5,1977,2006,1863,16472,3,2,2,1059,884,1364,276,268400
187,OldTown,4,5,1904,1987,1395,11393,1,1,2,1269,849,0,596,156500
188,Gilbert,6,7,1995,1995,334,6663,4,2,2,1265,684,786,692,130400
189,Gilbert,5,6,1988,1988,1355,4296,2,3,2,1109,852,0,382,190900
190,BrkSide,5,4,1899,1994,1477,24834,1,1,2,770,603,0,649,160600
191,BrkSide,7,5,1958,1992,1552,8371,2,1,1,735,1856,0,245,210100
192,Gilbert,5,7,1902,2006,2254,10748,2,2,2,1007,728,1527,432,273800
193,Gilbert,6,4,1886,1964,1815,6019,5,2,3,856,1384,0,638,255300
194,Gilbert,6,5,1946,1998,1086,20715,6,2,2,585,1882,1278,526,211000
195,Somerst,7,4,1944,1956,1457,5622,6,1,2,476,334,1250,388,265000
196,OldTown,5,6,1995,1995,1069,7288,4,1,2,1345,1542,1344,445,150500
197,NWAmes,7,5,1952,2005,1774,10796,3,2,2,512,827,1322,604,263400
198,NWAmes,7,4,1988,1997,1461,14679,1,2,2,1173,1269,0,534,247900
199,CollgCr,7,4,1904,1996,1636,7508,3,2,2,1857,1058,99,560,256900
200,Gilbert,4,7,1932,1986,1263,9227,4,3,2,233,858,0,404,197800
201,CollgCr,6,6,1965,1982,606,6434,4,2,1,1029,1083,673,231,175800
202,Edwards,7,6,1877,1974,1564,8551,4,1,0,764,1007,529,0,185700
203,Edwards,5,5,1947,1996,1715,11543,6,2,3,965,1617,908,778,213400
204,OldTown,7,4,1913,1997,2196,18882,6,2,3,508,980,810,887,229900
205,Crawfor,6,6,1911,1954,1593,9489,1,2,0,707,1221,1427,0,218000
206,SawyerW,6,5,1901,1961,1343,4946,2,1,1,1486,1059,0,169,163400
207,NoRidge,6,6,1896,1974,2390,20782,2,2,2,1514,919,1234,537,370200
208,Gilbert,7,5,2008,2008,1411,12784,2,1,3,1109,1251,931,494,219200
209,Somerst,5,5,1908,1960,1243,11110,4,3,2,573,1400,1182,474,212200
210,Edwards,5,6,1950,1978,1521,22306,2,2,2,941,1034,0,659,186600
211,Gilbert,7,5,1948,1989,1474,19643,4,2,3,1877,1946,374,669,246100
212,Edwards,7,8,1974,1996,1165,5323,1,2,2,841,1441,0,367,175100
213,OldTown,6,7,1932,1995,933,8216,2,1,2,2182,1492,782,509,148300
214,Mitchel,5,4,1972,1999,1537,4452,4,2,2,1194,1445,0,563,228400
215,NAmes,6,6,1956,1973,682,8724,3,1,2,1017,1990,1196,411,141500
216,Gilbert,7,5,1926,1979,1302,10248,2,2,2,1018,1488,0,516,218800
217,Gilbert,7,5,1952,1964,1314,3731,1,1,0,842,1872,982,0,213400
218,Somerst,8,5,1909,1950,1499,8435,1,2,1,909,1463,761,142,290500
219,NridgHt,7,5,1956,1968,1594,7056,5,2,0,1502,1081,0,0,329000
220,NridgHt,7,7,1902,1954,1284,15517,4,2,2,1754,558,0,482,315100
221,OldTown,7,6,1896,1983,1411,20684,6,1,2,636,1430,0,393,172300
222,Crawfor,6,6,2000,2000,1614,15891,5,1,2,1152,664,915,574,217500
223,NridgHt,4,4,1955,1955,1452,7959,6,2,0,179,1214,461,0,227000
224,Timber,6,2,1958,1984,1151,13540,6,2,3,601,1169,0,544,281800
225,Gilbert,7,4,1952,1956,1535,7318,1,1,2,1207,1147,0,579,248100
226,SawyerW,5,7,1880,1968,2463,5845,5,2,2,1123,1519,0,236,296500
227,Crawfor,5,5,1892,2008,1573,5970,3,2,3,1418,741,720,417,197100
228,Sawyer,6,5,1940,1980,1643,15538,5,3,2,1104,1537,1244,515,228100
229,Gilbert,4,6,2006,2006,1223,21485,5,1,2,998,717,0,220,184400
230,OldTown,8,6,2005,2005,1303,8469,5,1,1,165,1550,1493,222,230900
231,NoRidge,4,5,1919,1982,1154,12567,1,2,2,1091,1248,0,436,193000
232,NAmes,4,6,1906,2007,1442,6613,5,1,2,1070,1432,1248,604,159900
233,NoRidge,7,6,1874,2003,1899,13841,5,1,2,463,1935,789,266,303200
234,Mitchel,8,8,1974,2000,1438,4033,6,2,2,993,736,683,454,237900
235,NoRidge,7,7,1978,2002,2051,16097,3,1,2,1130,499,1549,458,393300
236,Mitchel,8,5,1999,1999,1538,16586,1,2,1,1460,1361,0,177,287700
237,Mitchel,6,6,1983,1983,1064,6532,5,1,2,1859,910,376,400,213100
238,Edwards,6,4,1881,1975,1525,17990,5,2,0,405,1613,508,0,180400
239,OldTown,5,5,1998,1998,1059,1970,2,1,3,436,833,326,1050,176700
240,Edwards,6,6,1993,1993,1108,7648,4,1,2,451,1512,1543,375,176700
241,Timber,8,6,1992,1992,1333,14235,4,3,0,1177,1290,978,0,324000
242,Crawfor,4,4,1885,1982,2458,8487,4,2,1,505,906,1379,349,225400
243,Somerst,7,5,1872,1995,1974,3787,5,1,2,1034,1636,957,499,265400
244,Crawfor,6,5,1889,1985,925,9822,5,2,3,1252,797,1337,667,161200
245,NAmes,9,6,1903,1951,1464,5976,5,2,2,433,1218,934,653,253600
246,BrkSide,7,6,1925,1990,2104,17483,4,1,2,1102,914,0,320,205700
247,CollgCr,6,6,1890,1955,1771,3743,4,1,2,1222,1395,0,576,252000
248,NAmes,8,6,1924,2002,1475,8865,2,1,1,353,1335,123,107,234100
249,CollgCr,6,5,1974,1974,574,4189,1,1,1,762,1171,809,152,126000
250,NWAmes,8,5,1964,1987,935,9379,6,1,2,562,627,0,548,177700
251,SawyerW,4,5,1975,1994,1414,5140,3,2,2,1026,1073,0,369,213100
252,Crawfor,5,6,1903,1971,2065,8300,5,2,2,598,866,164,428,201700
253,NoRidge,6,6,1880,2001,2239,6756,5,1,2,2453,1010,0,378,360100
254,SawyerW,9,5,1897,1997,1232,6789,6,2,0,1262,964,0,0,222700
255,Crawfor,4,4,1995,1995,1972,9545,5,3,2,932,1670,0,710,268700
256,OldTown,7,6,1996,1996,1088,12953,2,2,2,1104,1197,1517,243,171900
257,Somerst,6,4,1986,1998,1818,9544,3,1,1,887,1416,1356,186,233500
258,SawyerW,4,5,1888,1999,334,8351,6,1,2,870,1602,1324,490,92000
259,Sawyer,6,4,1917,1950,959,16322,6,2,2,832,774,1076,387,193200
260,NridgHt,7,7,1904,1998,926,5892,4,2,2,939,2070,1572,519,277100
261,Edwards,5,6,1882,1999,684,11860,4,2,2,1176,1168,657,593,104100
262,Edwards,7,7,1971,1986,1623,7645,1,2,2,582,536,39,394,221600
263,CollgCr,6,4,1979,1979,1009,26997,6,2,0,419,1291,979,0,165700
264,Gilbert,6,4,1939,1964,980,5963,1,1,2,1407,1296,0,623,178400
265,NWAmes,7,8,1985,1985,1452,5361,1,1,1,1714,842,0,280,230600
266,Gilbert,3,6,1943,1997,835,8459,3,1,1,972,2172,854,276,122200
267,Crawfor,4,3,2002,2002,837,7994,1,2,2,1074,516,216,495,142400
268,NWAmes,4,5,1937,2003,1748,9780,6,1,2,1014,1295,0,627,179800
269,CollgCr,6,5,1892,1962,1748,9016,4,2,2,981,1300,0,391,258900
270,BrkSide,5,6,1914,1981,2089,8543,5,1,1,1489,1623,1554,275,166300
271,Mitchel,7,4,1906,1993,2065,17536,6,2,2,825,1505,0,635,248800
272,Edwards,6,5,1882,1965,897,17515,6,2,2,1441,1065,0,581,145000
273,Crawfor,5,6,1901,2001,1518,9112,2,1,2,832,812,0,587,194800
274,BrkSide,7,6,1884,1982,2297,8503,6,2,1,913,1475,0,199,253000
275,Sawyer,6,5,1968,1993,1906,9560,6,1,1,808,1022,0,249,246700
276,CollgCr,5,4,1872,2007,944,11259,4,1,2,463,1429,259,271,138500
277,Mitchel,6,6,1980,1980,1776,3894,5,3,2,1172,1076,0,421,237800
278,OldTown,6,3,1976,1976,1125,17811,1,2,1,1281,1159,0,247,148100
279,Mitchel,10,6,1926,1958,1346,14089,3,1,1,592,1878,1413,266,223100
280,NAmes,7,6,1950,2002,1742,7626,6,2,2,1158,683,0,562,276800
281,Timber,4,5,1911,1962,1752,6232,4,2,1,918,852,471,265,240400
282,SawyerW,8,4,1911,2008,1348,4801,4,2,2,968,1372,322,472,260900
283,OldTown,7,6,1956,1956,653,11779,6,3,2,895,864,0,315,148700
284,Mitchel,8,6,1952,1958,1343,22780,2,1,2,1114,1762,0,464,228900
285,Mitchel,4,5,1972,1972,1531,2496,1,2,2,1006,334,0,479,224000
286,Mitchel,5,3,1888,1988,378,8670,5,1,1,1039,625,469,101,95200
287,Gilbert,4,6,1996,2009,1298,3756,6,2,2,1279,1111,0,680,182100
288,Timber,8,7,1933,1993,1087,7078,2,2,2,1273,1446,1341,673,238400
289,Sawyer,5,5,1890,1995,1274,7181,4,2,2,625,1012,0,460,154200
290,SawyerW,3,5,1944,2004,1211,17885,3,1,2,1437,1226,0,522,145400
291,NoRidge,8,6,1994,1994,502,9763,6,2,3,1505,1727,0,863,281400
292,CollgCr,7,5,1980,2000,1201,13180,2,2,2,817,1564,0,622,255100
293,Sawyer,5,5,1972,1987,1184,6853,4,3,1,283,1086,1466,366,161300
294,NAmes,7,7,1934,1970,1685,10166,2,2,0,548,1254,0,0,233400
295,Gilbert,7,6,1950,1997,744,9802,1,1,2,1219,1003,0,528,170700
296,NridgHt,5,7,1971,1990,1502,24059,2,1,2,869,2163,946,452,278400
297,Edwards,9,6,2000,2000,918,8378,6,2,1,1238,688,0,307,184000
298,Timber,7,6,1974,1974,1747,10040,2,1,2,1836,957,0,517,337100
299,Mitchel,5,5,1938,2004,1995,15905,6,2,2,608,1581,391,469,236900
300,Mitchel,5,5,1948,1979,2121,6314,6,1,2,982,1190,0,210,209300
301,OldTown,6,6,1917,1996,2517,4161,1,1,2,1642,1742,778,354,231500
302,Somerst,5,7,1964,2006,334,7296,2,2,2,832,2034,0,685,151900
303,Mitchel,6,5,1908,1965,1096,12301,2,1,2,393,1319,0,524,182800
304,BrkSide,5,7,1925,1994,2042,7552,5,1,2,1073,1043,944,464,211700
305,BrkSide,7,7,1954,1976,964,9644,6,1,2,1753,592,0,401,174100
306,OldTown,6,8,1910,1959,2238,6809,2,2,2,1405,653,0,499,217900
307,NoRidge,5,6,1888,1956,1549,8274,1,2,2,568,334,328,426,237600
308,NridgHt,7,6,1982,1982,1612,4817,6,1,2,708,1156,381,573,314900
309,Sawyer,6,5,1930,1984,1198,12696,1,2,2,243,1789,830,387,166300
310,NAmes,8,6,2007,2007,2057,12534,1,2,2,1257,778,438,419,342100
311,Mitchel,5,6,1872,1982,1926,19654,2,1,1,1397,1443,0,144,212600
312,Timber,8,5,2002,2002,1614,5231,4,1,3,1112,1397,0,610,340300
313,OldTown,6,4,2000,2000,361,24265,4,2,3,796,691,0,617,149700
314,Timber,6,5,1969,2006,953,7217,4,1,2,1127,1537,207,424,214200
315,Crawfor,8,3,1881,2009,334,3240,5,2,0,402,1162,0,0,125300
316,NridgHt,3,5,1909,1962,1977,15735,5,1,1,887,1883,0,202,227400
317,Gilbert,8,4,1890,1963,2087,15800,3,3,2,1298,1043,1439,663,326500
318,OldTown,9,6,1932,2008,1275,7063,6,1,1,1331,1804,1231,262,221800
319,Mitchel,4,8,1908,1984,1503,5232,4,1,2,1190,334,0,529,152600
320,OldTown,7,7,1939,1986,1365,2274,2,1,2,262,1279,0,419,164700
321,Mitchel,4,5,1973,1973,2289,4438,3,2,1,501,334,0,224,245500
322,CollgCr,6,7,1995,1996,1551,5774,5,2,2,798,362,638,560,251600
323,NridgHt,7,6,1964,1981,1218,12856,2,2,2,1504,1307,1563,394,262000
324,BrkSide,7,6,1920,1976,1477,10332,1,1,2,892,509,0,705,196100
325,Somerst,5,5,1906,1975,1525,9648,2,1,2,965,495,0,489,224200
326,NWAmes,5,7,1934,1976,1698,7078,5,2,3,1206,904,1096,775,240800
327,Edwards,8,5,1983,1983,1041,8738,1,3,2,1015,1356,0,450,230200
328,Gilbert,3,4,1902,1989,999,12656,4,1,0,1038,1363,236,0,96100
329,Timber,6,5,1959,2009,534,11819,2,1,2,652,1271,1540,648,192200
330,Somerst,6,6,1986,2006,1075,10330,3,1,0,744,1220,0,0,182700
