fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality,type
5.9,0.51,0.57,3.7,0.085,9,4,0.9988,3.23,0.48,11.3,6,red
9.7,0.52,0.34,4.1,0.099,-7,16,0.9968,3.13,0.59,10.9,7,red
8.4,0.66,0.47,3.4,0.102,40,58,0.9956,3.26,0.32,11.1,6,red
9.0,0.65,0.22,0.9,0.076,21,32,0.9962,3.34,0.71,11.6,5,red
10.2,0.71,0.26,0.5,0.083,24,8,0.9981,3.17,0.65,9.2,5,red
7.1,0.53,0.14,0.4,0.103,34,36,0.9977,3.14,0.67,12.1,7,red
7.9,0.46,0.36,1.9,0.1,17,36,0.9981,3.15,0.93,11.3,6,red
7.1,0.61,0.36,0.5,-0.044,8,76,1.0,3.29,0.47,8.9,6,red
10.7,0.61,0.4,2.5,0.084,25,38,0.9968,3.23,0.68,11.2,5,red
10.5,0.6,0.35,1.3,0.125,13,95,0.998,3.06,0.47,11.0,4,red
6.4,0.87,0.24,1.7,0.053,-3,-21,0.9926,3.11,0.88,10.8,8,red
8.9,0.65,0.37,2.5,0.109,32,62,0.997,3.29,0.49,9.4,5,red
10.1,0.74,0.55,3.1,0.135,4,116,0.9941,3.25,0.98,10.4,5,red
5.6,0.33,0.29,1.4,0.091,8,42,0.9955,3.29,0.5,11.1,6,red
10.7,0.35,0.02,1.9,0.093,24,37,0.9958,3.54,0.71,10.4,5,red
8.2,0.39,0.08,3.0,0.023,-5,25,0.9967,3.34,0.75,9.0,5,red
7.5,0.53,0.32,2.3,0.083,17,-1,0.9956,3.03,0.81,10.0,6,red
10.7,0.5,0.11,2.3,0.11,18,81,0.996,3.21,0.48,10.8,7,red
10.2,0.58,0.17,3.5,0.066,27,21,0.9979,3.36,0.46,10.2,6,red
6.0,0.83,0.17,1.3,0.069,22,76,0.9969,3.2,0.58,12.4,6,red
9.5,0.51,0.35,3.7,0.111,23,59,0.9966,3.16,0.78,11.2,5,red
9.5,0.62,0.57,5.7,0.104,25,68,0.9967,3.44,0.66,11.1,6,red
4.6,0.54,-0.01,2.9,0.109,31,15,0.9963,3.24,0.84,10.6,6,red
9.3,0.72,0.46,1.9,0.013,11,58,0.9986,3.17,0.52,9.9,6,red
7.6,0.64,0.46,0.5,0.107,5,47,0.9965,3.18,0.62,12.2,7,red
10.2,0.52,0.32,1.8,0.012,6,53,1.001,3.56,0.65,10.0,5,red
6.8,0.7,0.23,3.0,0.074,22,-36,0.9976,3.13,0.64,10.5,7,red
8.5,0.64,0.41,2.3,0.178,13,64,0.9981,3.27,0.76,10.3,6,red
7.4,0.69,0.28,2.4,0.114,9,120,0.9961,3.28,0.87,8.9,5,red
7.2,0.54,0.24,2.3,0.102,27,5,0.9978,3.41,0.56,10.9,7,red
4.6,0.65,-0.07,1.8,0.048,22,78,0.9986,3.18,0.58,11.4,7,red
10.1,0.49,0.36,2.4,0.159,32,39,0.9971,3.18,0.71,9.8,4,red
10.3,0.35,0.54,1.4,0.102,19,12,0.996,3.43,0.72,10.1,7,red
8.4,0.45,0.0,2.6,-0.022,22,23,0.9988,3.68,0.84,9.5,6,red
8.9,0.64,0.1,2.7,0.055,11,94,1.0004,3.22,0.68,12.3,5,red
7.1,0.63,0.18,4.5,0.1,-6,56,0.9939,3.21,0.63,10.9,6,red
10.1,0.41,0.22,1.4,0.076,10,42,0.9958,3.68,0.96,11.8,7,red
8.7,0.78,0.13,3.5,0.138,8,-5,0.9966,3.25,0.72,10.0,4,red
8.4,0.35,0.51,3.7,0.034,2,65,0.996,3.26,0.78,11.0,7,red
10.8,0.56,0.65,2.1,0.095,18,82,0.9966,3.34,0.39,8.7,5,red
6.1,0.46,0.31,1.6,0.057,25,56,0.9948,3.37,0.64,9.8,6,red
5.0,0.57,0.14,4.4,0.094,11,9,0.9985,3.35,0.85,12.6,7,red
9.1,0.3,0.3,0.7,0.061,20,64,0.9968,3.45,0.68,10.8,5,red
7.9,0.23,0.06,1.4,0.09,10,108,0.9972,3.1,0.65,10.0,5,red
6.4,0.42,0.23,1.0,0.158,14,41,0.9962,3.28,0.34,8.4,6,red
8.6,0.65,0.37,1.6,0.013,10,81,0.9954,3.47,0.64,10.6,6,red
8.9,0.56,0.39,2.2,0.184,19,39,0.9954,2.97,0.87,9.9,5,red
9.8,0.29,0.38,4.6,0.25,22,41,0.9998,3.11,0.66,11.3,5,red
6.4,0.7,0.18,1.9,0.063,34,53,0.9948,3.42,0.74,8.8,5,red
7.6,0.57,0.29,5.4,0.153,10,35,0.9959,3.32,0.61,11.4,5,red
8.8,0.67,0.2,3.8,0.129,14,31,0.9933,3.21,0.6,9.9,6,red
10.2,0.47,0.44,1.8,0.123,28,47,0.9976,3.36,0.67,9.3,4,red
9.8,0.21,0.35,1.8,0.051,12,78,0.9984,3.38,0.75,10.6,5,red
7.5,0.8,0.58,2.8,0.043,21,49,0.9934,3.18,0.79,12.3,6,red
9.2,0.5,0.33,2.6,0.065,11,45,0.9953,3.3,0.78,11.2,6,red
7.4,0.71,0.11,0.9,0.067,20,53,0.9952,3.13,0.6,10.7,6,red
7.6,0.46,0.04,1.5,0.029,22,99,0.996,3.48,0.7,9.8,5,red
7.8,0.55,0.3,0.3,0.05,30,14,0.9977,3.08,0.45,11.9,5,red
7.2,0.24,-0.17,5.0,0.134,8,69,0.9966,3.29,0.7,10.8,6,red
9.5,0.38,0.19,2.7,0.16,21,74,0.9967,3.43,0.32,8.3,6,red
9.9,0.8,0.16,2.1,0.044,14,41,0.994,3.61,0.4,11.2,5,red
7.6,0.69,0.12,1.6,0.202,-1,87,0.9966,3.28,0.69,10.7,6,red
8.6,0.74,0.3,1.7,0.02,9,77,0.9985,3.72,0.75,10.3,6,red
7.6,0.62,0.07,0.4,0.031,8,74,0.9969,3.14,0.45,11.7,5,red
6.7,0.58,-0.03,2.7,-0.002,20,5,0.9929,3.4,0.75,9.6,7,red
6.4,0.7,0.36,3.6,0.002,7,29,0.9991,3.21,0.63,9.8,5,red
11.3,0.69,0.2,4.7,0.141,17,25,0.9993,3.56,0.85,10.2,5,red
7.0,0.58,0.33,3.6,0.064,16,70,0.9978,3.3,0.91,10.8,5,red
9.4,0.55,0.3,3.5,0.085,23,76,0.9985,3.16,0.28,9.7,5,red
9.0,0.7,0.37,4.1,0.07,11,38,0.9976,3.5,0.99,9.3,4,red
6.3,0.34,0.31,2.3,0.024,0,38,0.998,3.24,0.82,10.2,7,red
9.0,0.48,0.38,0.6,0.003,26,120,0.9956,3.12,0.76,9.9,7,red
8.8,0.28,0.59,3.6,-0.02,10,53,0.9982,3.26,0.6,12.2,5,red
8.3,0.36,0.33,1.5,0.069,27,62,0.9924,3.46,0.75,8.2,6,red
7.6,0.57,0.38,2.4,0.102,16,39,0.9964,3.29,0.72,11.3,5,red
8.3,0.67,0.29,1.1,0.037,17,90,0.9984,3.25,0.81,8.2,5,red
9.1,0.86,-0.09,4.1,-0.026,22,60,0.9995,3.31,0.72,10.3,6,red
6.8,0.51,0.24,3.7,0.124,23,53,0.9975,2.95,0.76,9.2,6,red
10.7,0.46,0.52,0.5,0.13,15,54,0.999,3.74,0.79,8.7,7,red
9.5,0.52,0.36,2.6,0.014,11,33,0.9966,3.3,0.33,11.8,4,red
4.2,0.57,0.18,4.0,0.023,15,15,0.9979,3.45,0.61,11.2,6,red
7.9,0.85,0.34,2.3,0.116,-3,47,0.9981,3.53,0.66,10.4,8,red
11.9,0.53,0.06,2.5,-0.012,26,98,0.9922,3.15,0.6,10.5,4,red
8.9,0.33,0.4,3.9,0.015,7,37,0.9982,3.12,0.85,9.6,5,red
7.1,0.6,0.18,2.1,0.148,11,81,0.9969,3.55,0.94,9.9,6,red
9.4,0.55,0.3,2.4,0.055,12,34,0.9971,3.19,0.69,9.6,6,red
4.7,0.52,0.08,3.6,0.081,20,-15,0.9984,3.25,0.69,9.8,6,red
8.8,0.48,0.31,1.1,0.024,15,29,0.9957,3.2,0.68,10.1,6,red
7.4,0.9,-0.19,1.5,0.134,23,-7,0.9967,2.86,0.4,11.8,7,red
8.4,0.44,0.19,0.1,0.076,21,71,0.9968,3.28,0.51,11.0,5,red
6.0,0.25,0.12,5.3,0.127,7,-14,0.9974,3.3,0.51,10.7,7,red
7.6,0.42,0.13,2.7,0.054,7,49,0.9926,3.47,0.8,9.3,6,red
3.9,0.44,-0.38,4.0,0.025,13,22,0.998,3.24,0.6,10.9,6,red
7.2,0.3,0.14,0.8,0.073,23,26,0.998,3.22,0.65,7.7,5,red
8.5,0.5,0.32,4.2,0.039,22,75,0.9942,3.39,0.63,9.6,5,red
10.2,0.82,0.1,2.1,0.054,23,43,0.9953,3.44,0.62,9.1,5,red
12.5,0.3,0.36,4.4,0.039,13,46,0.9989,3.13,1.02,10.0,6,red
6.9,0.28,0.44,2.2,0.019,26,43,0.9948,3.01,0.68,10.1,5,red
9.2,0.66,0.32,1.0,0.115,20,34,0.9995,3.64,0.9,9.9,6,red
7.7,0.49,0.34,4.0,0.101,10,20,0.9949,3.54,0.54,10.4,6,red
7.8,0.46,0.32,2.6,0.031,13,-8,0.9985,3.21,0.47,10.5,7,red
8.5,0.72,0.37,0.9,0.163,24,59,0.9949,3.26,0.81,11.8,7,red
8.0,0.43,0.14,0.2,0.044,32,56,0.9983,3.3,0.69,9.5,7,red
11.5,0.25,0.11,3.1,0.118,-2,84,0.9971,3.18,0.77,9.5,6,red
7.8,0.67,0.11,2.5,-0.045,19,60,0.9972,3.22,0.97,10.3,5,red
6.4,0.52,0.4,2.8,0.065,-1,32,0.9947,3.29,0.69,10.7,6,red
8.6,0.51,0.11,2.8,-0.009,8,41,0.9967,3.09,0.73,10.4,5,red
6.5,0.18,0.21,2.3,0.038,21,65,0.9952,3.66,0.6,12.3,6,red
7.7,0.35,0.19,3.0,0.098,17,83,0.995,3.05,0.68,11.3,6,red
10.1,0.49,0.3,3.5,0.093,7,33,0.9992,2.99,0.71,11.8,4,red
7.9,0.34,0.39,2.3,0.043,11,83,1.0021,3.44,0.74,10.9,5,red
9.2,0.7,0.39,3.2,0.081,26,44,0.9952,3.25,0.71,10.5,5,red
7.9,0.52,-0.07,3.3,0.093,17,25,0.9975,3.37,0.4,7.7,3,red
8.7,0.49,0.33,4.0,0.049,16,26,0.9985,3.31,0.92,10.4,7,red
7.1,0.71,0.26,-0.6,0.111,27,37,0.9955,3.25,0.68,10.0,6,red
9.7,0.43,0.3,1.9,0.085,24,46,0.995,3.29,0.93,10.0,6,red
6.1,0.6,0.2,3.3,0.053,12,84,0.9967,3.37,0.52,11.4,7,red
6.9,0.53,0.12,5.4,0.165,22,109,0.9967,3.48,0.58,8.9,6,red
8.4,0.68,0.45,4.2,0.06,13,40,0.9919,3.19,0.63,11.5,6,red
9.7,0.61,0.23,4.2,0.028,17,1,0.9972,3.38,0.59,11.0,7,red
8.7,0.64,0.5,6.2,0.125,-2,27,0.9982,3.24,0.72,10.6,6,red
9.2,0.44,0.26,2.4,0.108,10,37,0.9976,3.25,0.85,11.2,6,red
6.2,0.43,0.27,5.4,-0.017,18,56,0.9962,3.18,0.89,8.4,6,red
7.8,0.51,0.14,3.5,-0.014,4,-13,0.9939,3.26,0.58,10.8,5,red
8.7,0.64,0.26,1.1,0.101,12,81,0.9976,3.12,0.56,8.8,4,red
8.4,0.6,0.44,0.1,0.046,-1,17,0.9952,3.14,0.79,10.7,4,red
6.5,0.67,0.24,2.2,0.093,23,57,0.9961,3.17,0.48,9.1,6,red
6.9,0.38,0.31,3.4,0.06,31,43,0.9967,2.97,0.77,9.5,5,red
8.1,0.29,0.58,2.1,0.104,5,25,0.9982,3.16,0.62,9.9,6,red
9.6,0.44,0.04,2.7,0.114,-1,91,0.9987,3.23,0.59,10.0,6,red
11.9,0.41,0.09,5.2,-0.01,22,32,0.9971,3.36,0.18,10.5,7,red
6.4,0.36,0.33,2.6,0.031,18,15,0.9968,3.1,0.71,11.1,6,red
8.4,0.49,-0.06,5.3,0.154,21,64,0.9982,3.3,0.86,12.9,6,red
6.6,0.3,0.37,3.6,0.099,23,76,0.995,3.36,0.46,9.6,6,red
8.3,0.43,0.12,4.0,0.111,17,40,0.9954,3.26,0.71,10.5,8,red
7.6,0.36,0.18,2.2,0.188,30,53,0.9995,3.33,0.74,10.2,5,red
9.0,0.32,0.43,2.4,0.135,31,78,0.9995,3.34,0.57,9.2,7,red
4.9,0.31,0.03,2.5,0.084,36,40,0.9933,3.25,0.73,8.2,6,red
7.7,0.35,-0.11,2.4,0.026,38,38,0.9958,3.2,0.81,9.3,6,red
8.5,0.62,-0.13,3.4,0.143,8,72,0.9985,3.33,0.69,9.7,6,red
8.6,0.48,0.32,4.3,0.145,27,42,0.9974,3.14,0.75,9.9,4,red
8.9,0.55,0.43,5.9,0.093,18,21,0.9964,2.97,0.62,8.8,5,red
8.6,0.49,0.07,1.5,0.174,-4,46,0.9944,3.19,0.8,10.0,6,red
10.4,0.64,0.47,2.5,0.1,21,15,0.9957,3.22,0.37,10.1,6,red
10.6,0.62,0.26,3.9,0.09,8,44,0.9951,3.33,0.79,9.4,6,red
7.9,0.63,0.28,2.6,0.143,16,78,0.9993,3.32,0.87,11.1,6,red
7.4,0.5,0.44,0.7,0.11,4,6,0.9953,3.21,0.53,8.5,8,red
8.6,0.52,-0.07,3.6,0.123,30,45,0.9969,3.32,0.53,10.6,5,red
9.7,0.32,0.39,1.4,-0.014,6,66,0.9975,3.44,0.94,10.1,6,red
8.4,0.4,-0.08,2.8,0.104,8,45,0.9965,3.27,0.73,10.4,6,red
6.4,0.66,-0.04,4.9,0.063,28,92,0.9966,3.16,0.4,10.8,6,red
9.9,0.43,-0.01,3.5,0.06,19,48,0.9943,3.24,0.62,10.6,6,red
9.0,0.48,0.38,3.4,0.076,35,59,0.996,3.41,0.37,8.2,5,red
11.3,0.64,0.39,4.6,0.054,25,92,0.9961,3.09,0.62,10.0,6,red
7.0,0.57,0.43,2.3,0.121,27,64,0.9956,3.4,0.66,10.8,7,red
8.7,0.53,0.25,3.0,0.03,5,46,0.9993,3.22,0.76,10.9,8,red
9.0,0.49,0.19,2.3,0.002,20,32,1.0003,3.46,0.66,9.5,4,red
7.9,0.68,0.35,3.6,0.08,35,42,0.9986,3.34,0.93,9.2,6,red
6.7,0.41,0.23,0.6,0.149,4,58,0.9996,3.39,0.68,10.9,4,red
8.8,0.59,0.3,1.3,0.062,16,21,0.9955,3.44,0.34,10.8,5,red
7.6,0.48,0.24,2.5,0.074,15,90,0.9963,3.46,0.76,9.2,6,red
8.3,0.63,0.25,3.3,0.073,19,122,0.9951,3.43,0.68,8.9,5,red
8.4,0.64,0.64,5.2,0.205,24,47,0.9969,3.16,0.63,9.9,5,red
6.5,0.55,0.43,1.2,0.131,17,-10,0.995,3.41,0.84,9.5,5,red
7.6,0.72,0.35,2.4,0.059,37,72,0.9947,3.1,0.8,10.4,6,red
7.6,0.65,0.18,2.9,0.077,-9,50,0.9915,3.12,0.51,11.7,5,red
8.4,0.48,0.27,0.9,0.05,-12,69,0.9976,3.29,0.71,9.0,7,red
9.1,0.57,0.44,1.5,0.174,13,46,0.9989,3.49,0.92,10.1,6,red
8.8,0.58,0.29,-0.0,0.015,29,78,0.9987,3.28,0.67,9.5,5,red
9.8,0.7,0.18,3.3,0.041,14,23,0.9982,3.18,0.44,11.1,4,red
8.6,0.27,-0.06,1.4,0.129,11,60,0.9983,3.39,0.73,11.2,5,red
11.7,0.72,0.19,4.2,0.167,-4,57,0.9961,3.23,0.61,9.3,6,red
9.0,0.25,0.39,3.1,0.086,13,60,0.9937,3.37,0.67,11.4,6,red
6.0,0.61,0.02,2.2,0.074,10,72,0.9947,3.32,0.5,11.2,6,red
7.6,0.61,0.54,1.4,0.089,14,77,0.9961,3.16,0.72,10.1,7,red
13.7,0.49,0.3,3.0,0.09,14,9,0.9926,3.47,0.56,11.1,6,red
6.0,0.63,0.52,2.1,0.186,23,73,0.9978,3.05,0.8,8.8,7,red
9.1,0.32,0.24,3.3,0.107,11,53,0.9975,3.17,0.89,12.3,5,red
12.1,0.39,-0.16,4.1,0.07,7,40,0.9977,3.4,0.69,10.3,6,red
6.2,0.34,0.18,1.4,0.106,16,56,0.9984,3.73,0.5,11.6,5,red
11.0,0.41,0.13,1.9,0.131,16,54,0.9933,3.04,0.53,9.6,5,red
11.0,0.72,0.09,4.3,0.042,3,50,0.9952,3.28,0.69,8.6,7,red
7.9,0.75,0.35,4.4,0.099,20,-11,0.9945,2.95,0.71,10.8,6,red
5.1,0.51,0.08,1.1,0.088,3,51,0.9956,3.28,0.57,9.5,5,red
9.4,0.56,-0.02,1.3,0.033,23,40,0.9954,3.2,0.63,9.6,5,red
8.2,0.87,0.13,1.3,0.067,10,58,0.9926,3.31,0.76,10.5,8,red
8.0,0.45,0.41,2.8,0.064,4,45,0.998,3.51,0.84,11.1,6,red
9.5,0.41,0.2,0.6,0.064,45,117,0.9993,3.43,0.66,10.6,6,red
8.4,0.69,0.08,2.5,0.175,17,40,0.9953,3.25,0.76,11.4,5,red
5.6,0.44,0.17,2.4,0.088,27,-4,0.9955,3.41,0.66,10.0,4,red
8.1,0.36,0.46,1.6,0.103,15,43,0.9983,3.31,0.71,11.7,5,red
9.0,0.69,0.34,2.6,0.118,30,32,0.9966,3.15,0.55,11.1,5,red
9.2,0.77,0.35,2.6,0.084,24,53,0.9978,3.3,0.73,9.1,5,red
10.5,0.44,0.34,2.0,0.066,13,32,0.9948,3.37,0.89,10.9,6,red
5.0,0.52,-0.06,4.9,0.157,26,67,0.9979,3.86,0.72,10.3,7,red
10.1,0.69,0.23,1.9,0.157,28,46,0.9974,3.5,0.73,9.4,6,red
7.7,0.39,0.44,2.6,0.13,12,58,0.9958,3.41,0.51,10.9,6,red
8.7,0.7,-0.17,1.7,0.082,16,95,0.9966,3.04,0.72,10.7,7,red
9.8,0.79,-0.12,3.9,0.103,38,49,0.9927,3.33,0.31,11.0,7,red
7.0,0.31,0.04,0.9,0.049,18,3,0.9962,3.52,0.77,9.1,5,red
7.7,0.29,0.11,2.7,0.092,28,31,0.9968,3.39,0.9,7.9,6,red
9.3,0.24,0.26,1.2,0.032,25,1,0.9959,3.48,0.57,9.9,6,red
7.3,0.44,0.0,0.1,0.124,27,27,0.9951,3.38,0.62,9.9,6,red
8.9,0.3,0.34,1.6,0.164,26,-69,0.9993,3.46,0.82,10.8,5,red
6.5,0.73,0.67,1.6,0.034,-13,74,0.9991,3.05,0.52,7.4,5,red
10.4,0.36,0.14,3.3,0.169,10,-2,0.9968,3.56,0.74,10.9,6,red
9.6,0.46,-0.02,1.3,0.116,13,70,0.9974,3.43,0.53,11.1,6,red
7.0,0.59,0.17,-0.4,0.05,19,25,0.9933,3.49,0.76,11.2,7,red
10.2,0.38,0.35,-0.3,0.099,7,38,0.9946,3.33,0.62,11.1,6,red
9.0,0.53,0.28,2.7,0.159,15,100,0.9958,3.39,0.19,9.1,5,red
6.7,0.65,0.39,3.2,0.145,3,36,0.9947,3.42,0.48,9.3,5,red
9.5,1.09,0.2,2.7,0.144,-5,15,0.9986,3.28,0.64,10.0,5,red
9.5,0.6,0.31,1.9,0.07,44,30,0.9955,3.19,0.98,10.1,6,red
5.6,0.25,0.74,2.9,0.043,11,6,0.9944,3.14,0.62,9.2,5,red
4.2,0.65,0.17,-0.1,0.087,29,74,1.0005,3.29,0.54,10.4,5,red
7.6,0.59,0.25,-0.3,0.093,25,65,1.0002,3.18,0.71,10.7,7,red
7.1,0.62,0.33,0.5,0.077,12,37,0.9981,3.2,0.14,10.6,6,red
9.4,0.51,0.72,2.2,0.058,32,72,0.993,3.53,0.88,10.4,6,red
7.2,0.69,0.41,3.6,0.04,7,66,0.9995,3.55,0.76,10.7,5,red
